idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-1.9488253906369208,-2.595947489142418,-2.779177987575531,-1.6053577810525894,-2.03769588470459,-1.9149075541645288
2,-2.000219376385212,-2.863175258040428,-2.992960202693939,-1.6696002632379532,-2.135584751764933,-2.182135323062539
3,-1.9749882057309152,-2.436527296900749,-2.651641833782196,-1.638061299920082,-2.077235221862793,-1.7554873619228601
4,-1.9414147928357124,-2.7382402271032333,-2.8930121779441835,-1.5960945338010788,-2.0263073444366455,-2.0572002921253443
5,-2.0225547149777414,-2.798676237463951,-2.9413609862327577,-1.6975194364786148,-2.145688851674398,-2.117636302486062
6,-1.8424079731106757,-2.5948388427495956,-2.825160491466522,-1.4723360687494278,-2.1830220222473145,-1.9149075541645288
7,-1.9072297886013985,-2.862066611647606,-3.0389427065849306,-1.5533633381128311,-2.291058381398519,-2.182135323062539
8,-1.8733154132962226,-2.435418650507927,-2.6976243376731874,-1.5109703689813614,-2.234534422556559,-1.7554873619228601
9,-1.763395507633686,-2.737131580710411,-2.9389946818351746,-1.3735704869031906,-2.0409656365712485,-2.0572002921253443
10,-1.8791854217648507,-2.797567591071129,-2.987343490123749,-1.5183078795671463,-2.2443176905314126,-2.117636302486062
11,-2.129968245327473,-2.6935651153326035,-2.8452852606773376,-1.8317864686250687,-2.2799458503723145,-1.9149075541645288
12,-2.321796400845051,-2.9607928842306137,-3.0590674757957457,-2.0715716630220413,-2.5996593634287515,-2.182135323062539
13,-2.217976315319538,-2.5341449230909348,-2.7177491068840025,-1.9417965561151505,-2.426625887552897,-1.7554873619228601
14,-1.9493274047970772,-2.835857853293419,-2.95911945104599,-1.6059854179620743,-1.9646979967753093,-2.0572002921253443
15,-2.16068561822176,-2.8962938636541367,-3.0074682593345643,-1.8701831847429276,-2.331141471862793,-2.117636302486062
16,-2.171040326356888,-3.348194122314453,-3.3891707062721252,-1.9540261030197144,-2.03769588470459,-2.476220448811849
17,-2.235282838344574,-3.50870688756307,-3.5095552802085876,-2.0396827856699624,-2.135584751764933,-2.6367332140604653
18,-2.203743875026703,-3.5020345052083335,-3.5045509934425354,-1.9976308345794678,-2.077235221862793,-2.630060831705729
19,-2.161777079105377,-3.3421268463134766,-3.384620249271393,-1.941675106684367,-2.0263073444366455,-2.4701531728108725
20,-2.2632020115852356,-3.4227081934611,-3.4450562596321106,-2.0769083499908447,-2.145688851674398,-2.550734519958496
21,-2.3201979398727417,-3.346715768178304,-3.446648597717285,-2.1529027620951333,-2.1830220222473145,-2.476220448811849
22,-2.401225209236145,-3.5072285334269204,-3.5670331716537476,-2.260939121246338,-2.291058381398519,-2.6367332140604653
23,-2.3588322401046753,-3.500556151072184,-3.5620288848876953,-2.2044151624043784,-2.234534422556559,-2.630060831705729
24,-2.221432387828827,-3.3406484921773276,-3.4420981407165527,-2.0212153593699136,-2.0409656365712485,-2.4701531728108725
25,-2.36616975069046,-3.421229839324951,-3.5025341510772705,-2.2141985098520913,-2.2443176905314126,-2.550734519958496
26,-2.457874894142151,-3.4783509572347007,-3.471804678440094,-2.3364720344543457,-2.2799458503723145,-2.476220448811849
27,-2.6976600885391235,-3.638863722483317,-3.5921892523765564,-2.6561856269836426,-2.5996593634287515,-2.6367332140604653
28,-2.5678849816322327,-3.6321913401285806,-3.587184965610504,-2.483152151107788,-2.426625887552897,-2.630060831705729
29,-2.2320738434791565,-3.472283681233724,-3.4672542214393616,-2.0354039669036865,-1.9646979967753093,-2.4701531728108725
30,-2.4962716102600098,-3.5528650283813477,-3.5276902318000793,-2.387667655944824,-2.331141471862793,-2.550734519958496
31,-2.237142503261566,-3.2247632344563804,-3.2965975403785706,-2.0447537899017334,-2.03769588470459,-2.4838155110677085
32,-2.30138498544693,-3.3852759997049966,-3.416982114315033,-2.1304104328155518,-2.135584751764933,-2.6443282763163247
33,-2.269846022129059,-3.3786036173502603,-3.4119778275489807,-2.088358481725057,-2.077235221862793,-2.6376558939615884
34,-2.2278792560100555,-3.218695958455404,-3.292047083377838,-2.0324027935663858,-2.0263073444366455,-2.477748235066732
35,-2.3293041586875916,-3.2992773056030273,-3.352483093738556,-2.167635997136434,-2.145688851674398,-2.5583295822143555
36,-2.3258941173553467,-3.386885166168213,-3.476775646209717,-2.1630894343058267,-2.1830220222473145,-2.4838155110677085
37,-2.40692138671875,-3.5473979314168296,-3.597160220146179,-2.2711257934570312,-2.291058381398519,-2.6443282763163247
38,-2.3645284175872803,-3.5407255490620932,-3.592155933380127,-2.2146018346150718,-2.234534422556559,-2.6376558939615884
39,-2.227128565311432,-3.3808178901672363,-3.4722251892089844,-2.031402031580607,-2.0409656365712485,-2.477748235066732
40,-2.371865928173065,-3.46139923731486,-3.532661199569702,-2.2243851820627847,-2.2443176905314126,-2.5583295822143555
41,-2.4635711908340454,-3.5185203552246094,-3.5019317269325256,-2.3466588656107583,-2.2799458503723145,-2.4838155110677085
42,-2.703356385231018,-3.679033120473226,-3.622316300868988,-2.666372458140055,-2.5996593634287515,-2.6443282763163247
43,-2.573581278324127,-3.6723607381184897,-3.617312014102936,-2.4933389822642007,-2.426625887552897,-2.6376558939615884
44,-2.237770140171051,-3.512453079223633,-3.497381269931793,-2.045590798060099,-1.9646979967753093,-2.477748235066732
45,-2.5019679069519043,-3.5930344263712564,-3.557817280292511,-2.397854487101237,-2.331141471862793,-2.5583295822143555
46,-1.9781690329313277,-2.649358630180359,-2.8219069957733156,-1.3465659357607365,-2.03769588470459,-2.1825306676328182
47,-2.122371980547905,-2.8347408175468445,-2.9702127456665037,-1.526819620281458,-2.135584751764933,-2.3679129146039486
48,-2.054355928301811,-2.76153427362442,-2.9116475105285646,-1.4417995549738407,-2.077235221862793,-2.2947063706815243
49,-1.9038688391447067,-2.6621166467666626,-2.8321134090423583,-1.25369069352746,-2.0263073444366455,-2.195288684219122
50,-2.1447073191404344,-2.7133083939552307,-2.873066806793213,-1.5547387935221195,-2.145688851674398,-2.246480491012335
51,-2.1623674601316454,-2.648249864578247,-2.8678893089294433,-1.5768139101564884,-2.1830220222473145,-2.1825306676328182
52,-2.2271892756223677,-2.8336320519447327,-3.016195058822632,-1.6578411795198917,-2.291058381398519,-2.3679129146039486
53,-2.110549709200859,-2.7604255080223083,-2.9576298236846923,-1.5120417214930058,-2.234534422556559,-2.2947063706815243
54,-2.051136228442192,-2.661007881164551,-2.8780957221984864,-1.437774870544672,-2.0409656365712485,-2.195288684219122
55,-2.01949927508831,-2.712199628353119,-2.919049119949341,-1.3982286788523197,-2.2443176905314126,-2.246480491012335
56,-2.3557050436735154,-2.7469762563705444,-2.8880141735076905,-1.818485889583826,-2.2799458503723145,-2.1825306676328182
57,-2.5475331991910934,-2.93235844373703,-3.036319923400879,-2.0582710839807987,-2.5996593634287515,-2.3679129146039486
58,-2.4437131136655807,-2.8591518998146057,-2.9777546882629395,-1.9284959770739079,-2.426625887552897,-2.2947063706815243
59,-2.17506420314312,-2.759734272956848,-2.898220586776733,-1.5926848389208317,-1.9646979967753093,-2.195288684219122
