idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-2.581554099917412,-3.065755980355399,-3.082914277911186,-2.9536103010177612,-2.334126387323652,-2.754910400935582
2,-2.586851015686989,-3.148551889828273,-3.155360698699951,-2.959663919040135,-2.3526729004723683,-2.837706310408456
3,-2.5742653757333755,-3.1413882800510953,-3.1490925401449203,-2.9452803305217197,-2.3394941432135448,-2.8305427006312778
4,-2.58236725628376,-3.0585896968841553,-3.076643779873848,-2.954539622579302,-2.3503030368259976,-2.747744117464338
5,-2.616559699177742,-3.0866202116012573,-3.1011704802513123,-2.9936167001724243,-2.3546871287482127,-2.7757746321814403
6,-2.6213652193546295,-3.087219715118408,-3.1076204031705856,-2.999108757291521,-2.3792925562177385,-2.754910400935582
7,-2.655144438147545,-3.1700156245912825,-3.1800668239593506,-3.037713578769139,-2.4151341915130615,-2.837706310408456
8,-2.6984337717294693,-3.162852014814104,-3.1737986654043198,-3.087187102862767,-2.4646077156066895,-2.8305427006312778
9,-2.5771906077861786,-3.0800534316471646,-3.1013499051332474,-2.9486234869275774,-2.3321119206292287,-2.747744117464338
10,-2.650422230362892,-3.1080839463642667,-3.1258766055107117,-3.0323167698723927,-2.4097373826163158,-2.7757746321814403
11,-2.7340832948684692,-3.1636764662606374,-3.1547584384679794,-3.1279294150216237,-2.4970630747931346,-2.754910400935582
12,-2.901053473353386,-3.2464723757335117,-3.2272048592567444,-3.318752476147243,-2.6878861699785506,-2.837706310408456
13,-2.8074231445789337,-3.2393087659563338,-3.2209367007017136,-3.2117463861192976,-2.580880045890808,-2.8305427006312778
14,-2.5728768408298492,-3.1565101827893938,-3.148487940430641,-2.9436934675489153,-2.3020555121558055,-2.747744117464338
15,-2.7294218093156815,-3.184540697506496,-3.1730146408081055,-3.122602002961295,-2.4917356627328053,-2.7757746321814403
16,-2.5295193642377853,-2.9944330624171664,-3.020506724715233,-2.882287383079529,-2.334126387323652,-2.6954421315874373
17,-2.5348162800073624,-3.0772289718900407,-3.092953145503998,-2.8883410011019026,-2.3526729004723683,-2.7782380410603116
18,-2.522230640053749,-3.070065362112863,-3.086684986948967,-2.8739574125834872,-2.3394941432135448,-2.7710744312831332
19,-2.5303325206041336,-2.987266778945923,-3.0142362266778946,-2.8832167046410695,-2.3503030368259976,-2.6882758481161937
20,-2.5645249634981155,-3.015297293663025,-3.038762927055359,-2.922293782234192,-2.3546871287482127,-2.7163063628332957
21,-2.569330483675003,-3.015896797180176,-3.0452128499746323,-2.9277858393532887,-2.3792925562177385,-2.6954421315874373
22,-2.6031097024679184,-3.09869270665305,-3.117659270763397,-2.9663906608309065,-2.4151341915130615,-2.7782380410603116
23,-2.646399036049843,-3.0915290968758717,-3.1113911122083664,-3.0158641849245345,-2.4646077156066895,-2.7710744312831332
24,-2.525155872106552,-3.008730513708932,-3.038942351937294,-2.877300568989345,-2.3321119206292287,-2.6882758481161937
25,-2.5983874946832657,-3.0367610284260342,-3.0634690523147583,-2.9609938519341603,-2.4097373826163158,-2.7163063628332957
