idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-3.8130762577056885,-5.50685453414917,-6.664381980895996,-7.104103088378906,-5.01098108291626,-6.46821403503418
2,-3.867382764816284,-5.862879276275635,-6.967798709869385,-7.2004570960998535,-5.109682083129883,-6.772285461425781
3,-3.7989604473114014,-5.901836395263672,-7.005372524261475,-7.094399929046631,-5.135730266571045,-6.743729114532471
4,-3.7425804138183594,-5.718533992767334,-6.838608741760254,-6.956140518188477,-5.235132217407227,-6.729200839996338
5,-3.9901554584503174,-6.219968318939209,-7.058252334594727,-7.303212642669678,-5.200247287750244,-6.346846103668213
6,-3.85321307182312,-5.901899337768555,-6.812321662902832,-7.243607997894287,-5.503610134124756,-6.46821403503418
7,-4.050858020782471,-6.419826984405518,-7.321220397949219,-7.519315242767334,-6.048465251922607,-6.772285461425781
8,-3.812613010406494,-6.277566909790039,-7.2190141677856445,-7.176746368408203,-5.840872287750244,-6.743729114532471
9,-3.6907448768615723,-5.928189754486084,-6.875493049621582,-6.907497406005859,-5.730260848999023,-6.729200839996338
10,-3.9813458919525146,-6.464017391204834,-7.116959095001221,-7.3506340980529785,-5.805557727813721,-6.346846103668213
11,-4.993114948272705,-8.10263729095459,-7.86219596862793,-8.454697608947754,-6.490861892700195,-6.46821403503418
12,-5.469854354858398,-8.792174339294434,-8.535361289978027,-9.109755516052246,-7.571863174438477,-6.772285461425781
13,-5.253422737121582,-8.478363990783691,-8.319969177246094,-8.7513427734375,-7.340267181396484,-6.743729114532471
14,-4.616733551025391,-7.778190612792969,-7.698935508728027,-7.777903079986572,-6.207775592803955,-6.729200839996338
15,-5.020341873168945,-8.420138359069824,-8.013731956481934,-8.549248695373535,-6.8053059577941895,-6.346846103668213
16,-3.5835726261138916,-4.866892337799072,-6.179899215698242,-7.608593463897705,-5.01098108291626,-5.903910160064697
17,-3.6953487396240234,-5.3157172203063965,-6.553214073181152,-7.829578399658203,-5.109682083129883,-6.375579833984375
18,-3.6605145931243896,-5.530607223510742,-6.736271381378174,-7.847662448883057,-5.135730266571045,-6.402871608734131
19,-3.6173481941223145,-5.112127304077148,-6.462795734405518,-7.687259674072266,-5.235132217407227,-6.244299411773682
20,-3.774390697479248,-5.88396692276001,-6.755876541137695,-7.968069553375244,-5.200247287750244,-5.887716770172119
21,-3.7381715774536133,-5.24582576751709,-6.457388877868652,-7.672997951507568,-5.503610134124756,-5.903910160064697
22,-3.9785525798797607,-5.809812068939209,-6.985542297363281,-8.122947692871094,-6.048465251922607,-6.375579833984375
