idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-3.5979392528533936,-4.320890426635742,-5.2951531410217285,-5.580334663391113,-4.413909435272217,-5.903520584106445
2,-3.705029249191284,-4.560063362121582,-5.534653663635254,-5.8426008224487305,-4.743565082550049,-5.945880889892578
3,-3.7440025806427,-4.760532379150391,-5.787303924560547,-5.840819358825684,-4.993118762969971,-6.08946418762207
4,-3.5536110401153564,-4.5187225341796875,-5.658562183380127,-5.712133884429932,-5.324031829833984,-5.800301551818848
5,-3.5723423957824707,-4.929071426391602,-5.960479259490967,-5.673027038574219,-5.370855808258057,-5.699975490570068
6,-3.6198792457580566,-4.401211261749268,-5.260703086853027,-5.622777462005615,-4.749083518981934,-5.903520584106445
7,-3.786724805831909,-4.729162693023682,-5.675705432891846,-5.970134735107422,-5.284267425537109,-5.945880889892578
8,-3.7496466636657715,-4.8594818115234375,-5.865597724914551,-5.834909439086914,-5.415096282958984,-6.08946418762207
9,-3.5085113048553467,-4.4864420890808105,-5.51305627822876,-5.598844051361084,-5.270196437835693,-5.800301551818848
10,-3.5749740600585938,-5.0726637840271,-6.036168575286865,-5.667809963226318,-5.80129861831665,-5.699975490570068
11,-4.303582668304443,-5.8560357093811035,-6.536953926086426,-6.441253662109375,-6.157524108886719,-5.903520584106445
12,-4.580529689788818,-6.4530839920043945,-7.093884468078613,-7.088630676269531,-7.177918910980225,-5.945880889892578
13,-4.512298583984375,-6.303796768188477,-6.984193325042725,-6.831488609313965,-6.8504462242126465,-6.08946418762207
14,-3.876300811767578,-5.504033088684082,-6.417572021484375,-6.067868232727051,-6.015388011932373,-5.800301551818848
15,-4.244236946105957,-6.3945207595825195,-6.9855637550354,-6.419978618621826,-6.856263637542725,-5.699975490570068
16,-2.6070616245269775,-3.0813817977905273,-4.412920951843262,-4.59222936630249,-4.413909435272217,-4.591571807861328
17,-2.6110239028930664,-3.283163547515869,-4.593541622161865,-4.824512004852295,-4.743565082550049,-4.623907089233398
18,-2.858215808868408,-3.611689567565918,-4.949167728424072,-4.960417747497559,-4.993118762969971,-4.712413787841797
19,-2.88688325881958,-3.4510855674743652,-4.9043989181518555,-4.9180192947387695,-5.324031829833984,-4.562183380126953
20,-2.9233763217926025,-4.1166791915893555,-5.225843906402588,-5.04757022857666,-5.370855808258057,-4.726114273071289
21,-2.684246301651001,-3.1329874992370605,-4.435019493103027,-4.600981712341309,-4.749083518981934,-4.591571807861328
22,-2.864497184753418,-3.550625801086426,-4.793829917907715,-4.963825702667236,-5.284267425537109,-4.623907089233398
23,-2.9355688095092773,-3.747485637664795,-5.057019233703613,-4.907289028167725,-5.415096282958984,-4.712413787841797
24,-2.8611650466918945,-3.3882508277893066,-4.797741889953613,-4.71981143951416,-5.270196437835693,-4.562183380126953
25,-3.016488552093506,-4.177596569061279,-5.33609676361084,-4.963931560516357,-5.80129861831665,-4.726114273071289
26,-3.6226420402526855,-4.366780757904053,-5.524064064025879,-5.669285297393799,-6.157524108886719,-4.591571807861328
27,-3.9859931468963623,-5.137028217315674,-6.155579566955566,-6.473114967346191,-7.177918910980225,-4.623907089233398
28,-3.942866086959839,-5.058521270751953,-6.171172618865967,-6.216745376586914,-6.8504462242126465,-4.712413787841797
29,-3.3742270469665527,-4.4091901779174805,-5.689651012420654,-5.400736331939697,-6.015388011932373,-4.562183380126953
30,-3.8195853233337402,-5.187568187713623,-6.116245269775391,-5.914665222167969,-6.856263637542725,-4.726114273071289
