idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.277087211608887,-5.464390277862549,-6.4425048828125,-7.305356502532959,-6.215775012969971,-6.575137138366699
2,-5.026599884033203,-5.119783878326416,-5.971704959869385,-7.198797225952148,-6.083234786987305,-6.406230449676514
3,-4.973258018493652,-4.765035629272461,-5.704189300537109,-6.7866973876953125,-5.876715183258057,-6.015240669250488
4,-4.911928176879883,-4.301424026489258,-5.318576335906982,-6.749683380126953,-5.372229099273682,-5.687108039855957
5,-5.4080119132995605,-5.958584785461426,-6.768810272216797,-7.434789657592773,-6.751014709472656,-6.314270973205566
6,-5.16264009475708,-5.5087890625,-6.309107303619385,-7.329010963439941,-6.188201904296875,-6.575137138366699
7,-5.1593122482299805,-5.224143028259277,-5.937495708465576,-7.395526885986328,-6.462284088134766,-6.406230449676514
8,-5.122457981109619,-4.863128662109375,-5.620534420013428,-6.99756383895874,-6.243289947509766,-6.015240669250488
9,-4.871407985687256,-4.4347639083862305,-5.218413352966309,-6.481096267700195,-5.619802951812744,-5.687108039855957
10,-5.188140392303467,-5.89791202545166,-6.432656764984131,-7.467273712158203,-6.9115424156188965,-6.314270973205566
11,-5.457888126373291,-6.035392761230469,-6.572347164154053,-7.510997772216797,-6.813909530639648,-6.575137138366699
12,-5.754171848297119,-5.939027786254883,-6.422505855560303,-7.82457971572876,-7.31347131729126,-6.406230449676514
13,-5.541402339935303,-5.67165470123291,-6.245574474334717,-7.6646809577941895,-7.155423641204834,-6.015240669250488
14,-4.68626594543457,-5.297540664672852,-5.712920188903809,-6.360830783843994,-5.84430456161499,-5.687108039855957
15,-5.568778038024902,-6.192821502685547,-6.622112274169922,-7.447950839996338,-7.360872745513916,-6.314270973205566
16,-5.873765468597412,-6.684861660003662,-7.196291446685791,-8.836694717407227,-6.215775012969971,-6.65491247177124
17,-5.443163871765137,-6.52105188369751,-6.920909881591797,-8.686753273010254,-6.083234786987305,-6.77891731262207
18,-5.445145606994629,-6.171021938323975,-6.62845516204834,-8.24641227722168,-5.876715183258057,-6.365950107574463
19,-5.335892200469971,-5.113724231719971,-5.832987308502197,-8.198420524597168,-5.372229099273682,-5.711227893829346
20,-5.813359260559082,-7.2563395500183105,-7.589676856994629,-8.839550971984863,-6.751014709472656,-6.368873119354248
21,-5.9051899909973145,-7.128138065338135,-7.327277183532715,-9.268357276916504,-6.188201904296875,-6.65491247177124
22,-5.769320487976074,-7.050052642822266,-7.279559135437012,-9.346720695495605,-6.462284088134766,-6.77891731262207
23,-5.766176223754883,-6.671977519989014,-6.892607688903809,-8.957074165344238,-6.243289947509766,-6.365950107574463
24,-5.324365139007568,-5.550100803375244,-6.09943151473999,-8.170594215393066,-5.619802951812744,-5.711227893829346
25,-5.948841571807861,-7.639768123626709,-7.5690765380859375,-9.365540504455566,-6.9115424156188965,-6.368873119354248
26,-6.266641139984131,-7.798966884613037,-8.002755165100098,-9.449463844299316,-6.813909530639648,-6.65491247177124
27,-6.5724873542785645,-7.621562957763672,-7.956573009490967,-9.82031536102295,-7.31347131729126,-6.77891731262207
28,-6.4813337326049805,-7.609304904937744,-7.97685432434082,-9.686015129089355,-7.155423641204834,-6.365950107574463
29,-5.320111274719238,-6.2753777503967285,-6.787467956542969,-7.9830474853515625,-5.84430456161499,-5.711227893829346
30,-6.21741247177124,-7.872016906738281,-7.954891204833984,-9.17467212677002,-7.360872745513916,-6.368873119354248
31,-5.811007499694824,-7.305765151977539,-7.492798805236816,-9.800824165344238,-6.215775012969971,-6.76331090927124
32,-5.382219314575195,-7.224584579467773,-7.137905597686768,-9.5892972946167,-6.083234786987305,-6.731552600860596
33,-5.2813944816589355,-6.987396717071533,-6.981344223022461,-9.059060096740723,-5.876715183258057,-6.530702114105225
34,-4.882616996765137,-5.2418670654296875,-5.782536029815674,-8.551780700683594,-5.372229099273682,-5.838250637054443
35,-6.031655788421631,-8.052787780761719,-8.219265937805176,-10.064212799072266,-6.751014709472656,-7.2453789710998535
36,-5.881438255310059,-7.298818588256836,-7.478442668914795,-10.180520057678223,-6.188201904296875,-6.76331090927124
37,-5.63382625579834,-7.248415470123291,-7.2822794914245605,-10.324352264404297,-6.462284088134766,-6.731552600860596
38,-5.501775741577148,-6.852494716644287,-7.001111030578613,-9.799362182617188,-6.243289947509766,-6.530702114105225
39,-4.935689926147461,-5.192584037780762,-5.843926429748535,-8.633854866027832,-5.619802951812744,-5.838250637054443
40,-6.052423477172852,-7.992620944976807,-8.04581356048584,-10.564833641052246,-6.9115424156188965,-7.2453789710998535
41,-6.241250038146973,-8.687870979309082,-7.967646598815918,-9.878729820251465,-6.813909530639648,-6.76331090927124
42,-6.480676651000977,-8.996933937072754,-8.100884437561035,-10.163252830505371,-7.31347131729126,-6.731552600860596
43,-6.354313850402832,-8.9506196975708,-8.13116455078125,-9.941628456115723,-7.155423641204834,-6.530702114105225
44,-5.165304183959961,-7.251079082489014,-6.69918155670166,-8.111503601074219,-5.84430456161499,-5.838250637054443
45,-6.381218910217285,-9.29684066772461,-8.506044387817383,-9.892613410949707,-7.360872745513916,-7.2453789710998535
46,-4.833374977111816,-5.991349220275879,-6.480151176452637,-6.688899517059326,-6.215775012969971,-5.457265853881836
47,-4.371885776519775,-5.6472015380859375,-6.037782669067383,-6.57292366027832,-6.083234786987305,-5.283326148986816
48,-4.329973220825195,-5.1741485595703125,-5.760252952575684,-6.295860290527344,-5.876715183258057,-4.709913730621338
49,-4.230036735534668,-4.719225883483887,-5.383942127227783,-6.1615824699401855,-5.372229099273682,-4.545356273651123
50,-5.305348873138428,-6.81024694442749,-6.988256931304932,-7.326323986053467,-6.751014709472656,-5.533987045288086
51,-4.943309783935547,-5.8665876388549805,-6.556527614593506,-6.637706279754639,-6.188201904296875,-5.457265853881836
52,-4.684577941894531,-5.5112385749816895,-6.231083869934082,-6.731566429138184,-6.462284088134766,-5.283326148986816
