idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.155730247497559,-4.776927471160889,-6.0049872398376465,-7.094732284545898,-4.855684280395508,-5.271805286407471
2,-4.030869007110596,-4.783079624176025,-5.659849166870117,-7.080644607543945,-4.577794551849365,-4.795627117156982
3,-3.78483510017395,-4.633756637573242,-5.6103949546813965,-6.990657806396484,-4.326766490936279,-4.861266136169434
4,-4.023957252502441,-4.34178352355957,-5.294389247894287,-6.90229606628418,-4.479562282562256,-4.250992298126221
5,-4.226190567016602,-5.010282039642334,-5.951183795928955,-7.159510135650635,-5.309545516967773,-4.490972518920898
6,-4.258454322814941,-4.947714805603027,-6.377358436584473,-7.221737384796143,-5.317637920379639,-5.271805286407471
7,-4.349790096282959,-5.031474590301514,-6.022556304931641,-7.321410179138184,-5.417294979095459,-4.795627117156982
8,-4.09057092666626,-4.934267044067383,-6.052323818206787,-7.113348960876465,-5.132583141326904,-4.861266136169434
9,-3.9644241333007812,-4.656349182128906,-5.720586776733398,-6.6688032150268555,-4.739080429077148,-4.250992298126221
10,-4.167545795440674,-5.095797061920166,-6.309003829956055,-6.943854331970215,-5.858423233032227,-4.490972518920898
11,-4.143623352050781,-5.711012840270996,-6.850862979888916,-7.383131504058838,-5.7805352210998535,-5.271805286407471
12,-4.649041652679443,-5.989582061767578,-6.728282928466797,-8.099884033203125,-6.505951404571533,-4.795627117156982
13,-4.399632930755615,-5.974575042724609,-6.784369468688965,-7.809426307678223,-6.012026309967041,-4.861266136169434
14,-3.7129619121551514,-5.462108612060547,-6.283923625946045,-6.721950531005859,-4.966781139373779,-4.250992298126221
15,-3.8991832733154297,-5.8473734855651855,-6.69028377532959,-7.152462959289551,-6.115741729736328,-4.490972518920898
16,-6.539078712463379,-6.565589904785156,-7.571170330047607,-9.116413116455078,-4.855684280395508,-7.183910369873047
17,-6.436588287353516,-6.752079486846924,-7.269128799438477,-9.127900123596191,-4.577794551849365,-7.4277191162109375
18,-6.041066646575928,-6.522531032562256,-7.039544105529785,-8.656695365905762,-4.326766490936279,-7.3621506690979
19,-5.997217178344727,-5.708694934844971,-6.3963799476623535,-8.286307334899902,-4.479562282562256,-6.257162570953369
20,-6.582344055175781,-6.630953311920166,-7.414634704589844,-8.84747314453125,-5.309545516967773,-6.514756679534912
21,-6.959129333496094,-6.16620397567749,-7.467258930206299,-9.538375854492188,-5.317637920379639,-7.183910369873047
22,-7.185218811035156,-6.655832290649414,-7.3580803871154785,-9.965193748474121,-5.417294979095459,-7.4277191162109375
23,-6.836130142211914,-6.331180572509766,-7.115674018859863,-9.49451732635498,-5.132583141326904,-7.3621506690979
24,-6.301580429077148,-5.564628601074219,-6.417884826660156,-8.549004554748535,-4.739080429077148,-6.257162570953369
25,-6.864478588104248,-6.475010395050049,-7.491782188415527,-9.08682632446289,-5.858423233032227,-6.514756679534912
26,-5.995025157928467,-8.38328742980957,-8.75090217590332,-9.354673385620117,-5.7805352210998535,-7.183910369873047
27,-6.471221923828125,-8.674518585205078,-8.6749267578125,-10.172643661499023,-6.505951404571533,-7.4277191162109375
28,-6.09047269821167,-8.459568977355957,-8.472166061401367,-9.740718841552734,-6.012026309967041,-7.3621506690979
29,-4.94272518157959,-7.3490118980407715,-7.5213727951049805,-8.001492500305176,-4.966781139373779,-6.257162570953369
30,-5.641754627227783,-8.17541790008545,-8.5872802734375,-8.94654655456543,-6.115741729736328,-6.514756679534912
31,-6.118655204772949,-5.7812018394470215,-6.730902671813965,-9.484393119812012,-4.855684280395508,-7.163613796234131
32,-5.824004173278809,-5.954822540283203,-6.32912540435791,-9.271397590637207,-4.577794551849365,-7.112110137939453
33,-5.406901836395264,-5.714504241943359,-6.363044738769531,-8.77970027923584,-4.326766490936279,-7.241714954376221
34,-5.423479080200195,-5.088516712188721,-5.952726364135742,-8.434943199157715,-4.479562282562256,-6.2003912925720215
35,-6.257485389709473,-6.265580654144287,-7.044671535491943,-9.52047061920166,-5.309545516967773,-6.965593338012695
36,-6.46239709854126,-6.31238317489624,-6.99020528793335,-9.757304191589355,-5.317637920379639,-7.163613796234131
37,-6.365728378295898,-6.555574893951416,-6.774243354797363,-9.877863883972168,-5.417294979095459,-7.112110137939453
38,-6.023048400878906,-6.352088928222656,-6.788577079772949,-9.409111976623535,-5.132583141326904,-7.241714954376221
39,-5.6128339767456055,-5.576863765716553,-6.360284805297852,-8.447922706604004,-4.739080429077148,-6.2003912925720215
40,-6.472899913787842,-6.857763767242432,-7.351706027984619,-9.683746337890625,-5.858423233032227,-6.965593338012695
41,-5.801774501800537,-7.6920294761657715,-8.00654411315918,-9.411458015441895,-5.7805352210998535,-7.163613796234131
42,-6.198327541351318,-8.133097648620605,-7.960683822631836,-10.263648986816406,-6.505951404571533,-7.112110137939453
43,-5.8699140548706055,-7.889681339263916,-7.980714797973633,-9.755224227905273,-6.012026309967041,-7.241714954376221
44,-4.865360260009766,-6.8708367347717285,-7.238353729248047,-8.198075294494629,-4.966781139373779,-6.2003912925720215
45,-5.755105972290039,-8.073092460632324,-8.222726821899414,-9.34476375579834,-6.115741729736328,-6.965593338012695
46,-4.76151180267334,-4.61523962020874,-5.939845085144043,-7.582285404205322,-4.855684280395508,-5.04741096496582
47,-4.507343769073486,-4.4469099044799805,-5.52089262008667,-7.4146013259887695,-4.577794551849365,-4.840648174285889
48,-4.217486381530762,-4.123651504516602,-5.270310401916504,-6.988991737365723,-4.326766490936279,-4.825718402862549
49,-4.175141334533691,-3.849985122680664,-5.099302291870117,-6.756526947021484,-4.479562282562256,-4.182933807373047
50,-5.0822930335998535,-5.246267318725586,-6.446336269378662,-8.004014015197754,-5.309545516967773,-5.501378059387207
51,-4.936331748962402,-4.767856597900391,-5.972314357757568,-7.8155837059021,-5.317637920379639,-5.04741096496582
52,-4.8790998458862305,-4.706960201263428,-5.597377777099609,-7.828438758850098,-5.417294979095459,-4.840648174285889
53,-4.627286434173584,-4.306033134460449,-5.339293003082275,-7.224411964416504,-5.132583141326904,-4.825718402862549
54,-4.147024631500244,-4.054396629333496,-5.12966251373291,-6.589580059051514,-4.739080429077148,-4.182933807373047
