idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.542301177978516,-5.073075294494629,-6.137913227081299,-8.65865421295166,-6.327693462371826,-6.116601943969727
2,-5.5188307762146,-4.790388107299805,-6.0768961906433105,-8.786422729492188,-6.0200324058532715,-6.4732770919799805
3,-5.29343318939209,-5.054381370544434,-6.326381206512451,-8.472543716430664,-5.5398430824279785,-6.3083930015563965
4,-5.159173965454102,-4.668063163757324,-5.787219047546387,-8.170209884643555,-5.12890625,-5.7446393966674805
5,-5.522387504577637,-5.385750770568848,-6.4303436279296875,-8.871129989624023,-6.5149993896484375,-5.61956262588501
6,-5.89424991607666,-5.828188896179199,-6.550008296966553,-8.829397201538086,-6.925065994262695,-6.116601943969727
7,-5.839482307434082,-5.5168962478637695,-6.492258548736572,-9.095024108886719,-6.993028163909912,-6.4732770919799805
8,-5.606072425842285,-5.847290992736816,-6.807981967926025,-8.725861549377441,-6.313906192779541,-6.3083930015563965
9,-5.292665004730225,-5.41550350189209,-6.329909324645996,-8.099839210510254,-5.429544925689697,-5.7446393966674805
10,-5.891609191894531,-6.005801200866699,-6.848198890686035,-9.126651763916016,-7.304158687591553,-5.61956262588501
11,-6.003006935119629,-6.170682907104492,-6.325371742248535,-9.066621780395508,-7.014589786529541,-6.116601943969727
12,-6.247952461242676,-6.197710990905762,-6.636538505554199,-9.659454345703125,-7.448378086090088,-6.4732770919799805
13,-5.922172546386719,-6.555872440338135,-6.757391452789307,-9.290176391601562,-6.765989780426025,-6.3083930015563965
14,-5.0347771644592285,-6.165957450866699,-6.217561721801758,-7.955556869506836,-5.225525379180908,-5.7446393966674805
15,-5.621713161468506,-6.4882588386535645,-6.651177883148193,-9.1058988571167,-7.3654913902282715,-5.61956262588501
16,-6.817017078399658,-6.612052917480469,-8.126096725463867,-9.700150489807129,-6.327693462371826,-7.392781734466553
17,-6.665681838989258,-6.397366046905518,-7.901025772094727,-9.769501686096191,-6.0200324058532715,-7.842695713043213
18,-6.431599140167236,-6.976465702056885,-8.135334014892578,-9.491705894470215,-5.5398430824279785,-7.435050964355469
19,-6.201870918273926,-5.8939208984375,-7.317960739135742,-8.886287689208984,-5.12890625,-6.751163482666016
20,-6.686283111572266,-7.277609348297119,-8.70101547241211,-10.110954284667969,-6.5149993896484375,-7.134952545166016
21,-7.0974440574646,-7.977503299713135,-8.52219295501709,-9.875977516174316,-6.925065994262695,-7.392781734466553
22,-6.967262268066406,-7.830038547515869,-8.348121643066406,-9.973722457885742,-6.993028163909912,-7.842695713043213
23,-6.60969352722168,-8.412878036499023,-8.586591720581055,-9.511852264404297,-6.313906192779541,-7.435050964355469
24,-6.212470531463623,-6.736570358276367,-7.571226119995117,-8.736649513244629,-5.429544925689697,-6.751163482666016
25,-7.1066718101501465,-8.782821655273438,-9.150609970092773,-10.166007041931152,-7.304158687591553,-7.134952545166016
26,-7.044717788696289,-9.039104461669922,-8.228351593017578,-10.416598320007324,-7.014589786529541,-7.392781734466553
27,-7.184125900268555,-9.271101951599121,-8.43342399597168,-10.95099925994873,-7.448378086090088,-7.842695713043213
28,-6.799688339233398,-9.990311622619629,-8.75151538848877,-10.351181983947754,-6.765989780426025,-7.435050964355469
29,-5.655069828033447,-8.075032234191895,-7.4492411613464355,-8.63015365600586,-5.225525379180908,-6.751163482666016
30,-6.731464385986328,-9.671277046203613,-8.767230987548828,-10.323195457458496,-7.3654913902282715,-7.134952545166016
31,-6.344944000244141,-6.831912994384766,-7.694522857666016,-9.868439674377441,-6.327693462371826,-5.979624271392822
32,-6.313465595245361,-7.422761917114258,-8.186372756958008,-10.097382545471191,-6.0200324058532715,-6.975908279418945
33,-6.004050254821777,-7.5482916831970215,-8.203967094421387,-9.889388084411621,-5.5398430824279785,-6.498629093170166
