idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.479977607727051,-5.647454261779785,-6.81558895111084,-7.066580772399902,-5.387367248535156,-5.26704216003418
2,-4.58623743057251,-5.0476298332214355,-6.162381172180176,-7.368124961853027,-5.327927112579346,-5.236965179443359
3,-4.318663597106934,-4.7641215324401855,-5.94412899017334,-7.064208984375,-5.340482234954834,-5.094721794128418
4,-4.112250804901123,-4.131376266479492,-5.4417524337768555,-6.734441757202148,-4.971791744232178,-4.6038336753845215
5,-4.788344383239746,-5.793022155761719,-6.667916297912598,-7.564298152923584,-6.445625305175781,-4.999477386474609
6,-4.383090019226074,-5.8698577880859375,-6.973604679107666,-7.023250579833984,-5.94916296005249,-5.26704216003418
7,-4.717020511627197,-5.281999588012695,-6.41983699798584,-7.436078071594238,-6.117015361785889,-5.236965179443359
8,-4.464758396148682,-5.151063919067383,-6.3483171463012695,-7.104859352111816,-6.18637228012085,-5.094721794128418
9,-3.963698148727417,-4.527775287628174,-5.759285926818848,-6.379145622253418,-5.257359504699707,-4.6038336753845215
10,-4.640635013580322,-5.850350379943848,-6.7359490394592285,-7.26509952545166,-7.059179782867432,-4.999477386474609
11,-5.301377773284912,-6.749819755554199,-7.405404567718506,-7.923367500305176,-6.511190891265869,-5.26704216003418
12,-5.522149085998535,-6.512381553649902,-6.948244571685791,-8.200651168823242,-6.990077495574951,-5.236965179443359
13,-5.296323299407959,-6.399809837341309,-6.871301174163818,-7.87210750579834,-6.6905341148376465,-5.094721794128418
14,-4.375253677368164,-5.908207893371582,-6.331419467926025,-6.832355499267578,-5.157664775848389,-4.6038336753845215
15,-5.165284156799316,-6.15798807144165,-6.848242282867432,-7.714509963989258,-6.698204040527344,-4.999477386474609
16,-6.351064682006836,-7.000516414642334,-7.994542121887207,-9.12685489654541,-5.387367248535156,-7.537822723388672
17,-6.245633125305176,-6.9624481201171875,-7.658188343048096,-9.273191452026367,-5.327927112579346,-7.4379401206970215
18,-6.250604629516602,-7.01260232925415,-7.829930305480957,-9.105475425720215,-5.340482234954834,-7.748743534088135
19,-6.075800895690918,-5.996525287628174,-7.233188629150391,-8.502739906311035,-4.971791744232178,-6.73503303527832
20,-6.669612884521484,-7.72051477432251,-8.341480255126953,-9.513798713684082,-6.445625305175781,-7.212564945220947
21,-6.4807658195495605,-7.463743686676025,-8.057371139526367,-9.124872207641602,-5.94916296005249,-7.537822723388672
22,-6.624202728271484,-7.515317916870117,-7.900876045227051,-9.266585350036621,-6.117015361785889,-7.4379401206970215
23,-6.750790596008301,-7.5782341957092285,-8.144186019897461,-9.26279354095459,-6.18637228012085,-7.748743534088135
24,-5.987584114074707,-6.43229866027832,-7.359854698181152,-8.139815330505371,-5.257359504699707,-6.73503303527832
25,-6.887308120727539,-8.058435440063477,-8.454855918884277,-9.436251640319824,-7.059179782867432,-7.212564945220947
26,-7.089815139770508,-8.561629295349121,-8.072553634643555,-10.44970703125,-6.511190891265869,-7.537822723388672
27,-7.302285194396973,-8.617228507995605,-7.993136882781982,-10.886483192443848,-6.990077495574951,-7.4379401206970215
28,-7.0049238204956055,-8.807791709899902,-8.177814483642578,-10.579121589660645,-6.6905341148376465,-7.748743534088135
29,-5.773707866668701,-7.574886322021484,-7.1392130851745605,-8.882554054260254,-5.157664775848389,-6.73503303527832
30,-6.749056339263916,-8.46225643157959,-8.076593399047852,-9.992250442504883,-6.698204040527344,-7.212564945220947
