idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.027060031890869,-5.75398063659668,-6.818328857421875,-7.3229451179504395,-6.013281345367432,-4.9601359367370605
2,-3.977245807647705,-5.833605766296387,-7.036090850830078,-7.100244045257568,-6.00482702255249,-5.787840366363525
3,-3.820634365081787,-5.271522045135498,-6.559658050537109,-6.913806915283203,-5.830707550048828,-5.247434616088867
4,-3.6305007934570312,-4.472634792327881,-5.947831630706787,-6.503408432006836,-5.102083683013916,-4.631119728088379
5,-4.311326026916504,-5.799014091491699,-6.769898891448975,-7.655767440795898,-6.569658279418945,-4.850708961486816
6,-3.918875217437744,-6.136452674865723,-7.154875755310059,-6.757063865661621,-6.278598308563232,-4.9601359367370605
7,-4.103307247161865,-6.180475234985352,-7.380484580993652,-6.8631134033203125,-6.561058044433594,-5.787840366363525
8,-3.8566246032714844,-5.632747650146484,-6.942286491394043,-6.66426944732666,-6.455989837646484,-5.247434616088867
9,-3.3884787559509277,-4.765433311462402,-6.32848596572876,-5.92478084564209,-5.600959777832031,-4.631119728088379
10,-4.288082599639893,-6.115727424621582,-7.1309685707092285,-7.220923900604248,-7.007193088531494,-4.850708961486816
11,-4.645689964294434,-7.24617862701416,-7.167810916900635,-7.753735065460205,-6.758227825164795,-4.9601359367370605
12,-4.9740142822265625,-7.488328456878662,-7.567694187164307,-8.126240730285645,-7.301672458648682,-5.787840366363525
13,-4.685899257659912,-7.171948432922363,-7.0711565017700195,-7.746024131774902,-7.1554131507873535,-5.247434616088867
14,-3.56453013420105,-6.031684875488281,-6.440174102783203,-6.211710453033447,-5.184397220611572,-4.631119728088379
15,-4.660237789154053,-7.097951412200928,-6.848877906799316,-7.673731803894043,-6.999895095825195,-4.850708961486816
16,-6.090630054473877,-6.3396172523498535,-7.810434818267822,-9.653556823730469,-6.013281345367432,-6.2382941246032715
17,-6.2736005783081055,-7.0361809730529785,-8.54010009765625,-9.706547737121582,-6.00482702255249,-7.920456409454346
18,-5.92343807220459,-6.484765529632568,-8.187568664550781,-9.304953575134277,-5.830707550048828,-7.253476619720459
19,-5.559925556182861,-5.322700500488281,-7.097651481628418,-8.661949157714844,-5.102083683013916,-6.197090148925781
20,-6.268160820007324,-6.690614223480225,-8.187634468078613,-10.284123420715332,-6.569658279418945,-6.591744899749756
21,-5.939144134521484,-6.588651180267334,-8.025861740112305,-9.483891487121582,-6.278598308563232,-6.2382941246032715
22,-6.252744197845459,-7.214568614959717,-8.679291725158691,-9.850597381591797,-6.561058044433594,-7.920456409454346
23,-5.89567232131958,-6.736128330230713,-8.494073867797852,-9.389729499816895,-6.455989837646484,-7.253476619720459
24,-5.27769660949707,-5.4897685050964355,-7.299695014953613,-8.227469444274902,-5.600959777832031,-6.197090148925781
25,-6.1971354484558105,-7.129052639007568,-8.55455493927002,-10.255456924438477,-7.007193088531494,-6.591744899749756
