idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.925925254821777,-6.705243110656738,-7.10854434967041,-6.820915222167969,-6.288271427154541,-6.5785651206970215
2,-4.6613969802856445,-7.158725261688232,-7.3900604248046875,-6.624725341796875,-5.930838108062744,-6.607054233551025
3,-4.514145374298096,-6.855965614318848,-7.097100257873535,-6.498499870300293,-5.646862030029297,-6.515913963317871
4,-4.290623188018799,-6.1260666847229,-6.433394432067871,-6.217665672302246,-5.3289313316345215,-5.410708427429199
5,-5.295194149017334,-7.3927106857299805,-7.611508846282959,-7.414796352386475,-6.730865478515625,-6.436256408691406
6,-4.56516695022583,-6.680650234222412,-6.921717643737793,-6.564204216003418,-6.669325351715088,-6.5785651206970215
7,-4.508284568786621,-7.350349426269531,-7.272965431213379,-6.442856311798096,-6.7091498374938965,-6.607054233551025
8,-4.22622013092041,-7.048371315002441,-7.03894567489624,-6.230022430419922,-6.127915859222412,-6.515913963317871
9,-3.8971340656280518,-6.312501907348633,-6.5271806716918945,-5.7918243408203125,-5.4593353271484375,-5.410708427429199
10,-4.936881065368652,-7.424919128417969,-7.396101951599121,-7.025846004486084,-7.164137363433838,-6.436256408691406
11,-5.532266139984131,-7.418560028076172,-7.223970890045166,-7.8242974281311035,-7.2485270500183105,-6.5785651206970215
12,-5.558318614959717,-8.043871879577637,-7.634563446044922,-7.956549167633057,-7.2472243309021,-6.607054233551025
13,-5.466320037841797,-7.824444770812988,-7.507639408111572,-7.946026802062988,-7.183202266693115,-6.515913963317871
14,-4.337747097015381,-7.15371036529541,-6.780653476715088,-6.639049530029297,-5.249441146850586,-5.410708427429199
15,-5.671304225921631,-8.047579765319824,-7.603726863861084,-7.871584415435791,-7.209695339202881,-6.436256408691406
16,-6.902736186981201,-7.565269947052002,-8.904263496398926,-10.335721015930176,-6.288271427154541,-7.918365001678467
17,-6.6463823318481445,-8.394625663757324,-9.286822319030762,-10.097229957580566,-5.930838108062744,-8.550127983093262
18,-6.410378456115723,-8.070677757263184,-9.099940299987793,-9.724989891052246,-5.646862030029297,-8.451172828674316
19,-5.869117736816406,-7.088430404663086,-8.303858757019043,-8.97867202758789,-5.3289313316345215,-7.435984134674072
20,-7.279468536376953,-8.37578296661377,-9.684863090515137,-10.884799003601074,-6.730865478515625,-7.985908508300781
21,-6.958543300628662,-7.76738977432251,-8.895462036132812,-10.395492553710938,-6.669325351715088,-7.918365001678467
22,-6.941126346588135,-8.616241455078125,-9.333423614501953,-10.375834465026855,-6.7091498374938965,-8.550127983093262
23,-6.528695106506348,-8.26330852508545,-9.021822929382324,-9.824925422668457,-6.127915859222412,-8.451172828674316
24,-5.839650630950928,-7.419801235198975,-8.401247024536133,-8.892594337463379,-5.4593353271484375,-7.435984134674072
25,-7.302845001220703,-8.493583679199219,-9.574687957763672,-10.773368835449219,-7.164137363433838,-7.985908508300781
26,-7.6112775802612305,-9.10666561126709,-8.891091346740723,-10.974186897277832,-7.2485270500183105,-7.918365001678467
27,-7.714964866638184,-9.97198486328125,-9.317976951599121,-11.264068603515625,-7.2472243309021,-8.550127983093262
28,-7.463109493255615,-9.652397155761719,-9.162456512451172,-10.798121452331543,-7.183202266693115,-8.451172828674316
29,-6.001841068267822,-8.541290283203125,-8.26439094543457,-8.999730110168457,-5.249441146850586,-7.435984134674072
30,-7.681242942810059,-9.758525848388672,-9.253541946411133,-11.016953468322754,-7.209695339202881,-7.985908508300781
31,-6.245752811431885,-7.665577411651611,-8.257594108581543,-10.18386459350586,-6.288271427154541,-7.496420383453369
32,-5.956567764282227,-8.561038970947266,-8.574368476867676,-10.045401573181152,-5.930838108062744,-7.714927673339844
33,-5.694759368896484,-8.232898712158203,-8.37762451171875,-9.650670051574707,-5.646862030029297,-7.439121246337891
34,-5.14129638671875,-7.229942321777344,-7.643847465515137,-8.901253700256348,-5.3289313316345215,-6.231539249420166
35,-6.639885425567627,-9.290091514587402,-9.408523559570312,-11.00634765625,-6.730865478515625,-7.829338073730469
36,-6.197845458984375,-7.762388229370117,-8.124967575073242,-10.246467590332031,-6.669325351715088,-7.496420383453369
37,-6.21109676361084,-8.97881031036377,-8.752710342407227,-10.273548126220703,-6.7091498374938965,-7.714927673339844
38,-5.722134590148926,-8.698009490966797,-8.536856651306152,-9.825091361999512,-6.127915859222412,-7.439121246337891
39,-5.069861888885498,-7.7187347412109375,-7.898398399353027,-8.871009826660156,-5.4593353271484375,-6.231539249420166
40,-6.6044440269470215,-9.326188087463379,-9.227139472961426,-10.922953605651855,-7.164137363433838,-7.829338073730469
41,-6.941279888153076,-8.898755073547363,-8.65990924835205,-11.520851135253906,-7.2485270500183105,-7.496420383453369
42,-6.883735656738281,-10.039873123168945,-9.055102348327637,-11.695940971374512,-7.2472243309021,-7.714927673339844
43,-6.566504001617432,-9.676068305969238,-8.936694145202637,-11.306130409240723,-7.183202266693115,-7.439121246337891
44,-5.109975814819336,-9.006543159484863,-8.303250312805176,-9.3222017288208,-5.249441146850586,-6.231539249420166
45,-7.165600776672363,-9.82182788848877,-9.287970542907715,-11.654200553894043,-7.209695339202881,-7.829338073730469
46,-4.650726318359375,-6.094145774841309,-7.278560638427734,-7.224734306335449,-6.288271427154541,-5.911610126495361
47,-4.445765495300293,-5.890973091125488,-6.890683174133301,-7.158082485198975,-5.930838108062744,-5.77158784866333
48,-4.24654483795166,-6.051279544830322,-7.01312255859375,-7.028240203857422,-5.646862030029297,-5.751051902770996
49,-4.016910552978516,-5.147772312164307,-6.180294990539551,-6.599725723266602,-5.3289313316345215,-4.762355804443359
50,-5.186800479888916,-7.502541542053223,-8.51856803894043,-7.900044918060303,-6.730865478515625,-6.4402689933776855
51,-4.739259243011475,-6.140376091003418,-7.003904819488525,-7.0882062911987305,-6.669325351715088,-5.911610126495361
52,-4.6547651290893555,-5.974235534667969,-6.741192817687988,-7.153956413269043,-6.7091498374938965,-5.77158784866333
53,-4.393047332763672,-6.07818603515625,-6.843323707580566,-7.09790563583374,-6.127915859222412,-5.751051902770996
54,-4.09250545501709,-5.238583564758301,-6.203230381011963,-6.628105163574219,-5.4593353271484375,-4.762355804443359
55,-5.314070701599121,-7.421599864959717,-8.212121963500977,-7.782528877258301,-7.164137363433838,-6.4402689933776855
56,-5.520408630371094,-7.047124862670898,-6.8408203125,-8.702467918395996,-7.2485270500183105,-5.911610126495361
