idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.135786533355713,-5.834385871887207,-6.926428318023682,-7.73383903503418,-5.885475158691406,-6.436229228973389
2,-4.9884748458862305,-5.855721473693848,-6.95172119140625,-7.565906047821045,-5.500672817230225,-6.374723434448242
3,-4.937769889831543,-5.762667655944824,-6.989004611968994,-7.488377571105957,-5.607196807861328,-6.339245796203613
4,-4.828275203704834,-5.303252220153809,-6.552660942077637,-7.354018211364746,-5.251163959503174,-5.649147987365723
5,-5.351561069488525,-5.976463317871094,-6.970707893371582,-8.11769962310791,-6.367184162139893,-6.018923759460449
6,-5.330174922943115,-6.129083633422852,-7.212023735046387,-7.9626665115356445,-6.63642692565918,-6.436229228973389
7,-5.237463474273682,-6.251370429992676,-7.326164245605469,-7.85233211517334,-6.475757122039795,-6.374723434448242
8,-5.12542724609375,-6.110319137573242,-7.311633110046387,-7.7222700119018555,-6.371983051300049,-6.339245796203613
9,-4.760511875152588,-5.794304847717285,-6.850262641906738,-7.417906761169434,-5.776010990142822,-5.649147987365723
10,-5.460816860198975,-6.346736907958984,-7.177529811859131,-8.200383186340332,-7.15036153793335,-6.018923759460449
11,-5.477469444274902,-7.542478561401367,-7.604235649108887,-8.206460952758789,-6.972040176391602,-6.436229228973389
12,-5.6940436363220215,-7.771211624145508,-7.700281620025635,-8.502914428710938,-7.156766414642334,-6.374723434448242
13,-5.582536220550537,-7.5845136642456055,-7.7406325340271,-8.415077209472656,-6.656178951263428,-6.339245796203613
14,-4.489486217498779,-7.110567569732666,-7.226757049560547,-7.16550350189209,-5.378154754638672,-5.649147987365723
15,-5.690367221832275,-7.429288864135742,-7.550711154937744,-8.27838134765625,-7.90929651260376,-6.018923759460449
16,-6.249011039733887,-7.466233730316162,-8.341745376586914,-8.692753791809082,-5.885475158691406,-8.234657287597656
17,-6.1167755126953125,-7.588484287261963,-8.491853713989258,-8.784075736999512,-5.500672817230225,-8.155963897705078
18,-6.076227188110352,-7.614856719970703,-8.456612586975098,-8.796818733215332,-5.607196807861328,-8.481657028198242
19,-6.035097122192383,-6.7784552574157715,-7.718876838684082,-8.70891284942627,-5.251163959503174,-7.342998504638672
20,-6.268316268920898,-7.785074710845947,-8.469015121459961,-8.867975234985352,-6.367184162139893,-7.723348140716553
21,-6.429335594177246,-8.085402488708496,-8.508783340454102,-9.12559700012207,-6.63642692565918,-8.234657287597656
22,-6.4665961265563965,-8.373433113098145,-8.833950996398926,-9.269841194152832,-6.475757122039795,-8.155963897705078
23,-6.3056440353393555,-8.428317070007324,-8.795780181884766,-9.094321250915527,-6.371983051300049,-8.481657028198242
24,-5.936594009399414,-7.412315368652344,-8.070816993713379,-8.64882755279541,-5.776010990142822,-7.342998504638672
25,-6.535741329193115,-8.43186092376709,-8.750903129577637,-9.338486671447754,-7.15036153793335,-7.723348140716553
26,-7.224151134490967,-10.124794960021973,-8.706398963928223,-9.983145713806152,-6.972040176391602,-8.234657287597656
27,-7.389693260192871,-10.63676929473877,-9.018031120300293,-10.498023986816406,-7.156766414642334,-8.155963897705078
28,-7.241058349609375,-10.87743854522705,-9.268701553344727,-10.194427490234375,-6.656178951263428,-8.481657028198242
29,-6.02285099029541,-9.439845085144043,-8.191007614135742,-8.362259864807129,-5.378154754638672,-7.342998504638672
30,-7.7614874839782715,-10.051836967468262,-8.71471118927002,-10.173150062561035,-7.90929651260376,-7.723348140716553
31,-6.277459144592285,-7.20046854019165,-8.427390098571777,-10.221819877624512,-5.885475158691406,-7.855905532836914
32,-5.889768123626709,-7.26257848739624,-8.353894233703613,-9.720746040344238,-5.500672817230225,-7.207573413848877
33,-5.884410858154297,-7.178966522216797,-8.36072826385498,-9.55667781829834,-5.607196807861328,-7.453582763671875
34,-5.663965702056885,-6.74765157699585,-7.934033393859863,-9.596447944641113,-5.251163959503174,-6.757745742797852
