idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.870586395263672,-6.283319473266602,-6.79052209854126,-7.440727233886719,-5.451841831207275,-6.689411163330078
2,-4.49655294418335,-5.717761039733887,-6.486732482910156,-7.309418678283691,-4.865767955780029,-5.947970390319824
3,-4.545583248138428,-6.075904369354248,-6.717634677886963,-7.242526054382324,-5.004693508148193,-6.313776969909668
4,-4.342785835266113,-5.325191497802734,-6.084263801574707,-6.885376930236816,-4.8674798011779785,-5.7958269119262695
5,-5.100207805633545,-6.530442714691162,-6.917258262634277,-7.55085563659668,-5.91970682144165,-6.176397323608398
6,-4.810360908508301,-6.794541358947754,-7.431826591491699,-7.181623458862305,-6.212611675262451,-6.689411163330078
7,-4.530811309814453,-6.372841835021973,-7.0335540771484375,-7.229268550872803,-5.984376430511475,-5.947970390319824
8,-4.486475467681885,-6.6718034744262695,-7.3592376708984375,-7.063846588134766,-6.104042053222656,-6.313776969909668
9,-4.148687839508057,-5.7341108322143555,-6.647767066955566,-6.590069770812988,-5.368039608001709,-5.7958269119262695
10,-5.068340301513672,-6.892178058624268,-7.474062919616699,-7.507607936859131,-6.591989040374756,-6.176397323608398
11,-5.140508651733398,-7.835789680480957,-8.611905097961426,-7.8861494064331055,-7.254581928253174,-6.689411163330078
12,-5.3662824630737305,-7.441344261169434,-8.090265274047852,-8.320211410522461,-7.358689785003662,-5.947970390319824
13,-5.218771457672119,-7.939167022705078,-8.444692611694336,-8.103718757629395,-7.1727471351623535,-6.313776969909668
14,-4.418182373046875,-6.975859642028809,-7.683457374572754,-7.011524200439453,-5.97634744644165,-5.7958269119262695
15,-5.417108058929443,-7.553351879119873,-8.253236770629883,-8.266162872314453,-7.710835933685303,-6.176397323608398
16,-5.660784721374512,-7.199199676513672,-8.004377365112305,-9.784567832946777,-5.451841831207275,-7.394695281982422
17,-5.085606575012207,-6.854785919189453,-7.72329568862915,-9.377017974853516,-4.865767955780029,-6.894453525543213
18,-5.102301597595215,-7.238765716552734,-8.039113998413086,-9.120677947998047,-5.004693508148193,-7.091363430023193
19,-4.951809883117676,-6.373881816864014,-7.165454864501953,-8.882535934448242,-4.8674798011779785,-6.394460678100586
20,-5.589015960693359,-7.9736328125,-8.533732414245605,-9.632458686828613,-5.91970682144165,-7.090181827545166
21,-5.980494499206543,-8.230545997619629,-8.554373741149902,-9.911985397338867,-6.212611675262451,-7.394695281982422
22,-5.82378625869751,-7.836801052093506,-8.25645637512207,-9.81961727142334,-5.984376430511475,-6.894453525543213
23,-5.657271385192871,-8.109076499938965,-8.576189041137695,-9.62680721282959,-6.104042053222656,-7.091363430023193
24,-5.0644755363464355,-7.066075801849365,-7.5042009353637695,-8.837850570678711,-5.368039608001709,-6.394460678100586
25,-6.129776477813721,-8.802760124206543,-9.147747993469238,-9.94686222076416,-6.591989040374756,-7.090181827545166
26,-6.594985485076904,-9.132584571838379,-9.437793731689453,-10.716785430908203,-7.254581928253174,-7.394695281982422
27,-6.767416477203369,-9.03830623626709,-9.147743225097656,-10.812256813049316,-7.358689785003662,-6.894453525543213
28,-6.494472026824951,-9.146269798278809,-9.341645240783691,-10.378795623779297,-7.1727471351623535,-7.091363430023193
29,-5.396166801452637,-8.06015682220459,-8.32366943359375,-9.139935493469238,-5.97634744644165,-6.394460678100586
30,-6.725232124328613,-9.098200798034668,-9.509346961975098,-10.934792518615723,-7.710835933685303,-7.090181827545166
31,-5.441989421844482,-6.948083877563477,-8.089470863342285,-10.239567756652832,-5.451841831207275,-7.5714545249938965
32,-4.875427722930908,-6.56492805480957,-7.701582908630371,-9.660855293273926,-4.865767955780029,-7.061408996582031
33,-4.865973949432373,-7.13220739364624,-8.28749942779541,-9.508866310119629,-5.004693508148193,-7.631493091583252
34,-4.668252944946289,-5.693337917327881,-7.134986877441406,-9.089777946472168,-4.8674798011779785,-6.027937412261963
35,-5.742038249969482,-7.99071741104126,-9.053794860839844,-10.594695091247559,-5.91970682144165,-8.011691093444824
36,-5.710103988647461,-8.185531616210938,-8.733156204223633,-9.961852073669434,-6.212611675262451,-7.5714545249938965
37,-5.541213035583496,-7.893263339996338,-8.334123611450195,-9.739612579345703,-5.984376430511475,-7.061408996582031
38,-5.398436546325684,-8.442931175231934,-9.022977828979492,-9.580292701721191,-6.104042053222656,-7.631493091583252
39,-4.805262565612793,-6.888763427734375,-7.6510539054870605,-8.79708194732666,-5.368039608001709,-6.027937412261963
40,-6.273592472076416,-9.177519798278809,-9.698409080505371,-10.491013526916504,-6.591989040374756,-8.011691093444824
41,-6.114739894866943,-9.485695838928223,-10.023493766784668,-10.921326637268066,-7.254581928253174,-7.5714545249938965
42,-6.243875026702881,-9.343071937561035,-9.417407989501953,-11.067164421081543,-7.358689785003662,-7.061408996582031
43,-6.038888454437256,-10.13238525390625,-10.050703048706055,-10.586261749267578,-7.1727471351623535,-7.631493091583252
44,-4.983968734741211,-8.570731163024902,-8.792791366577148,-9.304886817932129,-5.97634744644165,-6.027937412261963
45,-6.559528350830078,-9.795795440673828,-10.340147018432617,-11.479774475097656,-7.710835933685303,-8.011691093444824
46,-4.285557746887207,-5.339844703674316,-6.038444995880127,-7.244138240814209,-5.451841831207275,-5.932689666748047
47,-3.7830893993377686,-4.932480812072754,-5.537664890289307,-6.843476295471191,-4.865767955780029,-5.198702812194824
48,-3.7362265586853027,-5.014802932739258,-5.680140972137451,-6.720528602600098,-5.004693508148193,-5.2576727867126465
49,-3.696795701980591,-4.814474105834961,-5.47026252746582,-6.457236289978027,-4.8674798011779785,-4.933566570281982
50,-4.6714348793029785,-5.992618560791016,-6.4896650314331055,-7.588871955871582,-5.91970682144165,-6.003810882568359
51,-4.402020454406738,-5.955422401428223,-6.506143093109131,-7.072370529174805,-6.212611675262451,-5.932689666748047
52,-4.106087684631348,-5.490268707275391,-5.910139560699463,-7.002918720245361,-5.984376430511475,-5.198702812194824
53,-4.1012725830078125,-5.634736061096191,-6.17222261428833,-6.849764823913574,-6.104042053222656,-5.2576727867126465
54,-3.8588993549346924,-5.371819496154785,-5.874302864074707,-6.337322235107422,-5.368039608001709,-4.933566570281982
55,-4.825802803039551,-6.435659408569336,-6.884591579437256,-7.587372303009033,-6.591989040374756,-6.003810882568359
56,-5.188795566558838,-6.657864570617676,-7.528302192687988,-7.919739723205566,-7.254581928253174,-5.932689666748047
57,-5.213753700256348,-6.168087005615234,-6.722541809082031,-8.194303512573242,-7.358689785003662,-5.198702812194824
58,-5.049415588378906,-6.2811174392700195,-6.975274562835693,-7.825826168060303,-7.1727471351623535,-5.2576727867126465
59,-4.352865695953369,-5.832030773162842,-6.559338569641113,-6.820281028747559,-5.97634744644165,-4.933566570281982
60,-5.50609827041626,-6.779265403747559,-7.4308180809021,-8.390174865722656,-7.710835933685303,-6.003810882568359
61,-5.718677520751953,-8.903946876525879,-8.956501960754395,-9.624268531799316,-5.451841831207275,-7.996805667877197
62,-5.041012763977051,-8.320079803466797,-8.563222885131836,-9.168745040893555,-4.865767955780029,-7.344381809234619
63,-5.098027229309082,-8.569445610046387,-8.704106330871582,-9.231071472167969,-5.004693508148193,-7.654529571533203
