idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.603813648223877,-5.694533348083496,-6.8433685302734375,-7.637035369873047,-5.493269443511963,-6.04046630859375
2,-4.3051652908325195,-5.4513325691223145,-6.539029598236084,-7.694716453552246,-5.046574115753174,-5.924091339111328
3,-4.252080917358398,-5.111804008483887,-6.155587196350098,-7.4667067527771,-5.364553928375244,-5.594016075134277
4,-4.353825569152832,-5.075529098510742,-6.047072410583496,-7.536039352416992,-5.103958606719971,-5.122361183166504
5,-4.979689598083496,-5.674011707305908,-6.987870693206787,-8.053183555603027,-6.418676853179932,-5.786395072937012
6,-4.566986083984375,-6.7178239822387695,-7.275836944580078,-7.5974202156066895,-5.578385829925537,-6.04046630859375
7,-4.227909088134766,-6.419726371765137,-6.936084747314453,-7.56242561340332,-5.1425089836120605,-5.924091339111328
8,-4.1895623207092285,-6.1414642333984375,-6.592923164367676,-7.220670700073242,-5.471599102020264,-5.594016075134277
9,-3.9900219440460205,-5.977894306182861,-6.384871482849121,-7.040280342102051,-4.883664131164551,-5.122361183166504
10,-5.016884803771973,-6.6194305419921875,-7.435173988342285,-8.079970359802246,-6.6156158447265625,-5.786395072937012
11,-6.089230537414551,-7.3581743240356445,-7.765057563781738,-8.696586608886719,-6.698356628417969,-6.04046630859375
12,-6.050492286682129,-7.224717617034912,-7.551599025726318,-9.078412055969238,-6.999129772186279,-5.924091339111328
13,-5.750553131103516,-7.013564109802246,-7.3214263916015625,-8.5677490234375,-7.1086554527282715,-5.594016075134277
14,-4.764254570007324,-6.905423164367676,-7.0687103271484375,-7.272127151489258,-5.394578456878662,-5.122361183166504
15,-6.273118019104004,-7.0803608894348145,-7.77621603012085,-8.875089645385742,-7.813328266143799,-5.786395072937012
16,-5.471982002258301,-6.631253719329834,-8.055354118347168,-9.606160163879395,-5.493269443511963,-7.465181350708008
17,-5.161480903625488,-6.707451343536377,-8.099656105041504,-9.391373634338379,-5.046574115753174,-7.51587438583374
