idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.052164554595947,-6.988245487213135,-7.782774448394775,-7.028714179992676,-5.801476955413818,-6.367560863494873
2,-4.766716957092285,-6.589948654174805,-7.4451141357421875,-6.853020191192627,-5.280624866485596,-6.102469444274902
3,-4.3866682052612305,-5.871888160705566,-6.825467109680176,-6.170897960662842,-4.885522365570068,-5.389392375946045
4,-4.1889777183532715,-5.123946666717529,-6.319427490234375,-5.943086624145508,-4.460999011993408,-4.792013168334961
5,-5.339210033416748,-6.774842739105225,-7.612713813781738,-7.411635398864746,-6.132726669311523,-5.642805099487305
6,-4.574620723724365,-7.53785514831543,-7.936148166656494,-6.658673286437988,-6.208620548248291,-6.367560863494873
7,-4.45638370513916,-7.213722229003906,-7.673377990722656,-6.605298042297363,-5.7919440269470215,-6.102469444274902
8,-4.124515533447266,-6.532655715942383,-7.120863437652588,-5.977314472198486,-5.324056148529053,-5.389392375946045
9,-3.62041974067688,-5.7420477867126465,-6.631152153015137,-5.451749801635742,-4.656754016876221,-4.792013168334961
10,-4.827432155609131,-7.378407955169678,-7.7324981689453125,-6.866410255432129,-6.2769083976745605,-5.642805099487305
11,-5.479197978973389,-7.993037223815918,-8.257024765014648,-6.905829429626465,-7.050306797027588,-6.367560863494873
12,-5.777132987976074,-7.799691200256348,-7.939550876617432,-7.347009181976318,-7.286281108856201,-6.102469444274902
13,-5.447484970092773,-7.279448509216309,-7.462841987609863,-6.708866119384766,-6.9625773429870605,-5.389392375946045
14,-4.380549430847168,-6.548751354217529,-6.831234931945801,-5.602792263031006,-5.517274379730225,-4.792013168334961
15,-5.599942207336426,-7.906388282775879,-8.031895637512207,-6.905428886413574,-7.017746448516846,-5.642805099487305
16,-7.061731338500977,-7.875728130340576,-8.734055519104004,-9.264606475830078,-5.801476955413818,-8.792167663574219
17,-6.85526180267334,-7.193414688110352,-8.260655403137207,-9.267266273498535,-5.280624866485596,-8.596152305603027
18,-6.477950096130371,-7.294229984283447,-8.24841594696045,-8.428961753845215,-4.885522365570068,-8.291244506835938
19,-6.360995292663574,-6.714531421661377,-7.589460372924805,-8.182173728942871,-4.460999011993408,-7.92543363571167
20,-7.168543338775635,-8.020110130310059,-8.798477172851562,-9.852034568786621,-6.132726669311523,-8.595973014831543
21,-6.63645601272583,-8.468875885009766,-8.919983863830566,-8.863372802734375,-6.208620548248291,-8.792167663574219
22,-6.722820281982422,-8.030961036682129,-8.749368667602539,-9.18185806274414,-5.7919440269470215,-8.596152305603027
23,-6.308199882507324,-8.015398979187012,-8.66989517211914,-8.266791343688965,-5.324056148529053,-8.291244506835938
24,-5.666131973266602,-7.368744373321533,-7.954017162322998,-7.509405612945557,-4.656754016876221,-7.92543363571167
25,-6.883005142211914,-8.574953079223633,-9.048564910888672,-9.6370210647583,-6.2769083976745605,-8.595973014831543
26,-7.763949394226074,-9.819369316101074,-9.785675048828125,-9.79355525970459,-7.050306797027588,-8.792167663574219
27,-8.216421127319336,-9.424175262451172,-9.342710494995117,-10.61206340789795,-7.286281108856201,-8.596152305603027
28,-7.855044841766357,-9.613823890686035,-9.447149276733398,-9.78072452545166,-6.9625773429870605,-8.291244506835938
29,-6.511699199676514,-8.403141975402832,-8.155498504638672,-8.378739356994629,-5.517274379730225,-7.92543363571167
30,-7.683103561401367,-9.654448509216309,-9.560626029968262,-9.9921293258667,-7.017746448516846,-8.595973014831543
31,-7.021551132202148,-7.458457946777344,-8.284309387207031,-9.600016593933105,-5.801476955413818,-8.480080604553223
32,-6.822654724121094,-7.130510330200195,-7.8419904708862305,-9.646174430847168,-5.280624866485596,-8.12506103515625
33,-6.449517250061035,-7.048881530761719,-7.868096351623535,-8.767646789550781,-4.885522365570068,-7.749977111816406
34,-6.20981502532959,-6.659871578216553,-7.512889862060547,-8.333282470703125,-4.460999011993408,-7.644289493560791
35,-7.188472270965576,-7.868097305297852,-8.448042869567871,-10.206661224365234,-6.132726669311523,-8.23917293548584
36,-6.702232360839844,-8.150853157043457,-8.74127197265625,-9.445836067199707,-6.208620548248291,-8.480080604553223
37,-6.700303077697754,-7.944316864013672,-8.477435111999512,-9.704512596130371,-5.7919440269470215,-8.12506103515625
38,-6.392492771148682,-7.858615398406982,-8.485971450805664,-8.882340431213379,-5.324056148529053,-7.749977111816406
39,-5.596205711364746,-7.30225133895874,-8.109911918640137,-8.052119255065918,-4.656754016876221,-7.644289493560791
40,-6.886006832122803,-8.620859146118164,-9.030106544494629,-10.089462280273438,-6.2769083976745605,-8.23917293548584
41,-7.63674259185791,-9.49280071258545,-9.724287033081055,-10.118663787841797,-7.050306797027588,-8.480080604553223
42,-8.06523323059082,-9.216235160827637,-9.195198059082031,-10.782646179199219,-7.286281108856201,-8.12506103515625
43,-7.71550178527832,-9.38418960571289,-9.226727485656738,-10.100982666015625,-6.9625773429870605,-7.749977111816406
44,-6.364604949951172,-8.606715202331543,-8.66065502166748,-8.680617332458496,-5.517274379730225,-7.644289493560791
45,-7.501684188842773,-9.712333679199219,-9.676004409790039,-10.100970268249512,-7.017746448516846,-8.23917293548584
46,-4.696824550628662,-6.028855323791504,-6.946629524230957,-6.657475471496582,-5.801476955413818,-5.990780830383301
47,-4.435608386993408,-5.714742660522461,-6.605973720550537,-6.542213439941406,-5.280624866485596,-5.648855209350586
48,-4.157583713531494,-5.464591979980469,-6.2433552742004395,-6.168999671936035,-4.885522365570068,-5.176919937133789
