idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.521489143371582,-6.8698320388793945,-7.2572221755981445,-7.722567558288574,-5.132177352905273,-7.46577787399292
2,-6.127540588378906,-6.225284576416016,-6.905007839202881,-7.447334289550781,-4.755453109741211,-8.015613555908203
3,-6.145977973937988,-6.703463554382324,-7.1360321044921875,-7.332065582275391,-4.773779392242432,-8.029427528381348
4,-5.956559181213379,-5.493645668029785,-6.246944427490234,-7.043488502502441,-4.5143914222717285,-6.714685440063477
5,-6.84182596206665,-7.924713611602783,-7.7765302658081055,-8.578997611999512,-5.541388034820557,-7.856756210327148
6,-6.695364475250244,-7.652348518371582,-7.875628471374512,-7.693474769592285,-5.678352355957031,-7.46577787399292
7,-6.535119533538818,-6.847857475280762,-7.452893257141113,-7.389493942260742,-5.67348051071167,-8.015613555908203
8,-6.5134453773498535,-7.462480545043945,-7.8175048828125,-7.3771138191223145,-5.6047539710998535,-8.029427528381348
9,-6.101861476898193,-6.193387508392334,-6.995573997497559,-6.93560791015625,-5.055338382720947,-6.714685440063477
10,-7.046566963195801,-8.61616039276123,-8.319860458374023,-8.312102317810059,-6.258487224578857,-7.856756210327148
11,-6.9611663818359375,-8.635724067687988,-8.878364562988281,-7.578439235687256,-6.11395788192749,-7.46577787399292
12,-7.132236480712891,-8.105328559875488,-8.613839149475098,-8.024307250976562,-6.35144567489624,-8.015613555908203
13,-6.9070234298706055,-8.8541841506958,-8.861246109008789,-7.466002464294434,-6.223222255706787,-8.029427528381348
14,-6.090493202209473,-7.5142035484313965,-8.076748847961426,-6.480504035949707,-5.105909824371338,-6.714685440063477
15,-7.081843376159668,-9.204172134399414,-9.073147773742676,-8.063507080078125,-6.33172082901001,-7.856756210327148
16,-8.073836326599121,-7.561295986175537,-8.024580001831055,-10.13327693939209,-5.132177352905273,-9.197514533996582
17,-7.782700061798096,-7.701127529144287,-8.237728118896484,-9.855888366699219,-4.755453109741211,-9.84102725982666
18,-7.54262638092041,-8.04493522644043,-8.50459098815918,-9.497425079345703,-4.773779392242432,-10.284668922424316
19,-7.4769673347473145,-6.716044902801514,-7.55021858215332,-9.11633014678955,-4.5143914222717285,-8.8311185836792
20,-8.395478248596191,-8.680256843566895,-8.65476131439209,-10.996444702148438,-5.541388034820557,-8.937920570373535
21,-8.440401077270508,-8.090353965759277,-8.764492988586426,-10.012409210205078,-5.678352355957031,-9.197514533996582
22,-8.368227005004883,-8.118725776672363,-8.915722846984863,-9.894683837890625,-5.67348051071167,-9.84102725982666
23,-8.177800178527832,-8.707778930664062,-9.325675964355469,-9.668590545654297,-5.6047539710998535,-10.284668922424316
24,-7.719703674316406,-6.946768283843994,-8.161561965942383,-8.819670677185059,-5.055338382720947,-8.8311185836792
25,-8.906880378723145,-8.947392463684082,-9.242288589477539,-10.799846649169922,-6.258487224578857,-8.937920570373535
26,-9.478958129882812,-9.975897789001465,-8.888209342956543,-11.382598876953125,-6.11395788192749,-9.197514533996582
27,-9.853055000305176,-10.379725456237793,-8.953710556030273,-11.91308307647705,-6.35144567489624,-9.84102725982666
28,-9.520561218261719,-10.95624828338623,-9.51220989227295,-11.428196907043457,-6.223222255706787,-10.284668922424316
29,-8.379977226257324,-8.53244686126709,-7.937861442565918,-9.719252586364746,-5.105909824371338,-8.8311185836792
30,-9.737857818603516,-10.846397399902344,-8.776787757873535,-12.077896118164062,-6.33172082901001,-8.937920570373535
31,-8.966800689697266,-7.992748260498047,-8.503435134887695,-10.842132568359375,-5.132177352905273,-9.733758926391602
32,-8.437758445739746,-7.901063919067383,-8.3077392578125,-10.333823204040527,-4.755453109741211,-10.092400550842285
33,-8.402154922485352,-8.046683311462402,-8.425698280334473,-10.204081535339355,-4.773779392242432,-10.177384376525879
34,-8.348468780517578,-6.8837571144104,-7.6265411376953125,-9.934768676757812,-4.5143914222717285,-9.039325714111328
35,-9.109671592712402,-8.628470420837402,-8.740769386291504,-11.52450942993164,-5.541388034820557,-9.498050689697266
36,-8.920072555541992,-8.587737083435059,-9.102745056152344,-10.717499732971191,-5.678352355957031,-9.733758926391602
37,-8.534721374511719,-8.492904663085938,-8.839927673339844,-10.182351112365723,-5.67348051071167,-10.092400550842285
38,-8.414461135864258,-8.674317359924316,-8.975387573242188,-10.12382984161377,-5.6047539710998535,-10.177384376525879
39,-8.100712776184082,-7.309298038482666,-8.172250747680664,-9.550837516784668,-5.055338382720947,-9.039325714111328
40,-9.134417533874512,-9.137131690979004,-9.29129409790039,-11.281235694885254,-6.258487224578857,-9.498050689697266
41,-9.338325500488281,-10.130547523498535,-9.95528793334961,-11.627567291259766,-6.11395788192749,-9.733758926391602
42,-9.556926727294922,-10.483870506286621,-9.917370796203613,-11.93198013305664,-6.35144567489624,-10.092400550842285
43,-9.210930824279785,-10.770562171936035,-10.094326972961426,-11.362378120422363,-6.223222255706787,-10.177384376525879
44,-8.340043067932129,-9.032821655273438,-9.047290802001953,-10.0551176071167,-5.105909824371338,-9.039325714111328
