idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.851084232330322,-7.040541648864746,-8.268535614013672,-7.581963539123535,-5.84050989151001,-7.087717533111572
2,-5.518362998962402,-6.951160430908203,-8.278223037719727,-7.316155433654785,-5.572760105133057,-7.179527282714844
3,-5.249273300170898,-6.506859302520752,-7.890171051025391,-7.089395523071289,-5.570616245269775,-6.607748508453369
4,-4.975682735443115,-5.942976951599121,-7.549100399017334,-6.798250198364258,-4.72481107711792,-5.990180492401123
5,-6.207881927490234,-7.062595844268799,-8.13283920288086,-8.202317237854004,-6.788767337799072,-6.876711368560791
6,-6.110408782958984,-7.635784149169922,-8.28229808807373,-8.064757347106934,-6.319721698760986,-7.087717533111572
7,-5.871598720550537,-7.6499786376953125,-8.33112621307373,-7.736359596252441,-6.3550543785095215,-7.179527282714844
8,-5.473691463470459,-7.203065872192383,-7.971646308898926,-7.2228288650512695,-5.98667573928833,-6.607748508453369
9,-5.024142265319824,-6.59893798828125,-7.612431526184082,-6.777904510498047,-5.057102680206299,-5.990180492401123
10,-6.5766921043396,-7.761887550354004,-8.233827590942383,-8.71584701538086,-7.595738887786865,-6.876711368560791
11,-6.8757219314575195,-8.24338436126709,-8.847862243652344,-9.135692596435547,-7.552923679351807,-7.087717533111572
12,-7.081846714019775,-8.393357276916504,-8.976937294006348,-9.188153266906738,-7.92657470703125,-7.179527282714844
13,-6.602274417877197,-8.072002410888672,-8.643765449523926,-8.675938606262207,-7.420253753662109,-6.607748508453369
14,-5.613774299621582,-7.410758018493652,-8.257484436035156,-7.59321403503418,-5.8012566566467285,-5.990180492401123
15,-7.199381351470947,-8.354196548461914,-8.657173156738281,-9.31768798828125,-8.29753589630127,-6.876711368560791
16,-6.564350128173828,-8.157119750976562,-8.878168106079102,-10.541918754577637,-5.84050989151001,-7.694725036621094
17,-6.279994964599609,-8.117133140563965,-9.002298355102539,-10.17215633392334,-5.572760105133057,-8.124979019165039
18,-6.106470108032227,-7.678834438323975,-8.644613265991211,-9.819485664367676,-5.570616245269775,-7.3952507972717285
19,-5.656989097595215,-6.695560455322266,-7.736865997314453,-9.255026817321777,-4.72481107711792,-6.378758907318115
20,-6.869401931762695,-8.938347816467285,-9.642780303955078,-10.833149909973145,-6.788767337799072,-8.219395637512207
21,-6.502955436706543,-9.126917839050293,-9.14123821258545,-10.584188461303711,-6.319721698760986,-7.694725036621094
22,-6.364758491516113,-9.235899925231934,-9.265705108642578,-10.238364219665527,-6.3550543785095215,-8.124979019165039
23,-6.060117244720459,-8.764053344726562,-8.862974166870117,-9.672511100769043,-5.98667573928833,-7.3952507972717285
24,-5.149659633636475,-7.716097354888916,-7.93738317489624,-8.667738914489746,-5.057102680206299,-6.378758907318115
25,-7.162518501281738,-9.937045097351074,-10.017897605895996,-11.076006889343262,-7.595738887786865,-8.219395637512207
26,-7.567789077758789,-10.950896263122559,-9.669781684875488,-11.739883422851562,-7.552923679351807,-7.694725036621094
27,-7.9197678565979,-11.220382690429688,-9.933059692382812,-12.071815490722656,-7.92657470703125,-8.124979019165039
28,-7.381081581115723,-10.921855926513672,-9.522857666015625,-11.31336498260498,-7.420253753662109,-7.3952507972717285
29,-6.00707483291626,-9.61433219909668,-8.656388282775879,-9.377930641174316,-5.8012566566467285,-6.378758907318115
30,-7.903878688812256,-11.520529747009277,-10.527750015258789,-11.987086296081543,-8.29753589630127,-8.219395637512207
31,-6.513223648071289,-8.026705741882324,-9.223333358764648,-9.900981903076172,-5.84050989151001,-7.655859470367432
32,-6.275504112243652,-8.656376838684082,-9.48957633972168,-9.581833839416504,-5.572760105133057,-8.00245189666748
33,-6.047680377960205,-8.507843971252441,-9.32119369506836,-9.225932121276855,-5.570616245269775,-7.907995700836182
34,-5.397101879119873,-6.72081184387207,-8.041626930236816,-8.335118293762207,-4.72481107711792,-6.442442417144775
35,-7.140432834625244,-9.681559562683105,-10.33768081665039,-10.742851257324219,-6.788767337799072,-9.125872611999512
36,-6.274736404418945,-9.223427772521973,-9.231793403625488,-9.91442584991455,-6.319721698760986,-7.655859470367432
37,-6.235077381134033,-9.806432723999023,-9.43190860748291,-9.68405818939209,-6.3550543785095215,-8.00245189666748
38,-5.931591987609863,-9.610367774963379,-9.318984031677246,-9.251251220703125,-5.98667573928833,-7.907995700836182
39,-5.009096145629883,-7.8612213134765625,-8.008907318115234,-8.084301948547363,-5.057102680206299,-6.442442417144775
40,-7.172397613525391,-10.844207763671875,-10.339774131774902,-11.0235013961792,-7.595738887786865,-9.125872611999512
41,-7.7977800369262695,-10.380290031433105,-9.91999626159668,-11.633121490478516,-7.552923679351807,-7.655859470367432
42,-8.145232200622559,-11.074193000793457,-10.2275390625,-11.961739540100098,-7.92657470703125,-8.00245189666748
43,-7.577276229858398,-11.140137672424316,-10.212564468383789,-11.306640625,-7.420253753662109,-7.907995700836182
44,-6.270475387573242,-9.130057334899902,-8.84454345703125,-9.432244300842285,-5.8012566566467285,-6.442442417144775
45,-8.325860977172852,-12.05424976348877,-11.245327949523926,-12.042214393615723,-8.29753589630127,-9.125872611999512
46,-6.248806953430176,-6.652470588684082,-7.471592903137207,-7.7095537185668945,-5.84050989151001,-7.071086883544922
47,-5.787053108215332,-6.026700019836426,-7.071286201477051,-7.162026882171631,-5.572760105133057,-7.016002655029297
48,-5.462474822998047,-5.941732406616211,-7.034304141998291,-6.871480941772461,-5.570616245269775,-6.480427265167236
49,-4.955625057220459,-5.423182010650635,-6.58219051361084,-6.591143608093262,-4.72481107711792,-5.858713150024414
50,-6.611147880554199,-6.748685836791992,-7.604134559631348,-8.229764938354492,-6.788767337799072,-7.439746856689453
51,-5.963076591491699,-7.298495292663574,-7.609729766845703,-7.452783584594727,-6.319721698760986,-7.071086883544922
52,-5.6445722579956055,-6.732875823974609,-7.206571102142334,-6.951473236083984,-6.3550543785095215,-7.016002655029297
53,-5.289092063903809,-6.722235679626465,-7.182431221008301,-6.608752250671387,-5.98667573928833,-6.480427265167236
54,-4.869720458984375,-6.175778388977051,-6.7474212646484375,-6.145362854003906,-5.057102680206299,-5.858713150024414
55,-6.533145904541016,-7.493128776550293,-7.847981929779053,-8.120765686035156,-7.595738887786865,-7.439746856689453
56,-7.088453769683838,-7.3185505867004395,-7.740272521972656,-8.822192192077637,-7.552923679351807,-7.071086883544922
57,-7.0940260887146,-7.021058082580566,-7.408978462219238,-8.529016494750977,-7.92657470703125,-7.016002655029297
58,-6.720760345458984,-6.988168716430664,-7.443444728851318,-8.224756240844727,-7.420253753662109,-6.480427265167236
59,-5.73510217666626,-6.24892520904541,-7.0189666748046875,-7.287321090698242,-5.8012566566467285,-5.858713150024414
60,-7.398172855377197,-7.542035102844238,-7.951446533203125,-8.822641372680664,-8.29753589630127,-7.439746856689453
61,-7.811005592346191,-9.819729804992676,-10.175775527954102,-9.295648574829102,-5.84050989151001,-9.350204467773438
62,-7.290257930755615,-9.01414966583252,-9.747856140136719,-8.955451965332031,-5.572760105133057,-9.01573657989502
63,-6.98206901550293,-8.811833381652832,-9.591079711914062,-8.390972137451172,-5.570616245269775,-8.410690307617188
64,-6.416533470153809,-8.107335090637207,-8.976419448852539,-7.685985565185547,-4.72481107711792,-7.482274532318115
65,-8.256868362426758,-10.295184135437012,-10.659320831298828,-9.926556587219238,-6.788767337799072,-9.956204414367676
66,-7.762486457824707,-11.310704231262207,-10.503637313842773,-9.960664749145508,-6.319721698760986,-9.350204467773438
67,-7.467080116271973,-10.556632995605469,-10.034329414367676,-9.551350593566895,-6.3550543785095215,-9.01573657989502
68,-7.010695457458496,-10.372783660888672,-9.973674774169922,-8.887184143066406,-5.98667573928833,-8.410690307617188
69,-6.196913719177246,-9.535161018371582,-9.233282089233398,-7.86911153793335,-5.057102680206299,-7.482274532318115
70,-8.44512939453125,-11.6298246383667,-11.047036170959473,-10.64305591583252,-7.595738887786865,-9.956204414367676
71,-8.755094528198242,-11.5557861328125,-10.323312759399414,-11.401949882507324,-7.552923679351807,-9.350204467773438
72,-8.950746536254883,-11.162955284118652,-10.10520076751709,-11.482623100280762,-7.92657470703125,-9.01573657989502
73,-8.344528198242188,-11.147177696228027,-10.033143043518066,-10.875576972961426,-7.420253753662109,-8.410690307617188
74,-7.0697340965271,-9.641528129577637,-9.192469596862793,-9.061068534851074,-5.8012566566467285,-7.482274532318115
75,-9.155219078063965,-12.046775817871094,-10.916364669799805,-11.518628120422363,-8.29753589630127,-9.956204414367676
76,-5.610159397125244,-6.631552696228027,-7.311789035797119,-7.511875152587891,-5.84050989151001,-6.5179266929626465
77,-5.465559482574463,-6.385164737701416,-7.14914083480835,-7.531160354614258,-5.572760105133057,-6.450885772705078
78,-5.096107482910156,-6.081984996795654,-6.893969535827637,-7.026739120483398,-5.570616245269775,-5.839354991912842
79,-4.94146203994751,-5.774810791015625,-6.507031440734863,-6.8745927810668945,-4.72481107711792,-5.423405647277832
80,-6.10561990737915,-7.480887413024902,-7.709719657897949,-8.011139869689941,-6.788767337799072,-6.76104736328125
81,-5.5602898597717285,-7.367926597595215,-7.500593662261963,-7.760259628295898,-6.319721698760986,-6.5179266929626465
