idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.370057106018066,-5.532002925872803,-6.183146953582764,-7.743553638458252,-6.101998805999756,-5.375418663024902
2,-5.167789936065674,-5.830631256103516,-6.395974159240723,-7.775764465332031,-5.579827785491943,-5.735786437988281
3,-4.875730037689209,-5.461544990539551,-6.134256839752197,-7.35169792175293,-5.563992977142334,-5.605857849121094
4,-4.938098430633545,-5.418979644775391,-6.007163047790527,-7.2009687423706055,-5.812206268310547,-5.5338134765625
5,-5.251309394836426,-5.267372131347656,-5.972579002380371,-7.851369380950928,-6.856462001800537,-5.409846305847168
6,-5.600405693054199,-5.725243091583252,-6.365673065185547,-7.9892144203186035,-6.976615905761719,-5.375418663024902
7,-5.549468040466309,-6.104504585266113,-6.74985408782959,-8.0272216796875,-6.781378269195557,-5.735786437988281
8,-5.355308532714844,-5.672764778137207,-6.529488563537598,-7.6923112869262695,-6.890989303588867,-5.605857849121094
9,-5.130110263824463,-5.64759635925293,-6.414493560791016,-7.253715515136719,-6.241827011108398,-5.5338134765625
10,-5.58706521987915,-5.428836345672607,-6.272595405578613,-8.106302261352539,-8.175820350646973,-5.409846305847168
11,-5.5016350746154785,-7.8295087814331055,-8.022915840148926,-8.127115249633789,-7.348577976226807,-5.375418663024902
12,-6.277276515960693,-8.340784072875977,-8.499053955078125,-8.875228881835938,-8.009413719177246,-5.735786437988281
13,-5.929936408996582,-8.036214828491211,-8.339424133300781,-8.453180313110352,-7.692831516265869,-5.605857849121094
14,-4.965880393981934,-7.93418550491333,-8.143122673034668,-7.274635314941406,-6.34869384765625,-5.5338134765625
15,-5.677256107330322,-7.513635635375977,-7.882891654968262,-8.342693328857422,-8.383206367492676,-5.409846305847168
16,-7.416651725769043,-7.278656005859375,-8.348808288574219,-10.212367057800293,-6.101998805999756,-6.863597393035889
17,-6.837709903717041,-7.392036437988281,-8.582235336303711,-9.941773414611816,-5.579827785491943,-7.558810710906982
18,-6.823359489440918,-7.483896732330322,-8.416618347167969,-9.445745468139648,-5.563992977142334,-7.717492580413818
19,-6.762602806091309,-6.801975250244141,-7.6494646072387695,-9.337218284606934,-5.812206268310547,-6.967173099517822
20,-7.137757778167725,-7.334709644317627,-8.268227577209473,-9.874516487121582,-6.856462001800537,-7.207789897918701
21,-8.123126983642578,-7.7210822105407715,-8.657812118530273,-10.956539154052734,-6.976615905761719,-6.863597393035889
22,-7.779346466064453,-7.942613124847412,-9.032962799072266,-10.745734214782715,-6.781378269195557,-7.558810710906982
23,-7.785710334777832,-7.972311496734619,-8.927875518798828,-10.336283683776855,-6.890989303588867,-7.717492580413818
24,-7.340968132019043,-7.198995113372803,-8.105520248413086,-9.815953254699707,-6.241827011108398,-6.967173099517822
25,-8.146621704101562,-7.649092197418213,-8.610666275024414,-10.800052642822266,-8.175820350646973,-7.207789897918701
26,-7.76854944229126,-8.613179206848145,-9.046431541442871,-10.71700668334961,-7.348577976226807,-6.863597393035889
27,-8.44711685180664,-9.153541564941406,-9.651302337646484,-11.762657165527344,-8.009413719177246,-7.558810710906982
28,-8.11404800415039,-9.350653648376465,-9.6781587600708,-11.047393798828125,-7.692831516265869,-7.717492580413818
29,-6.75865364074707,-8.063504219055176,-8.49276351928711,-9.318580627441406,-6.34869384765625,-6.967173099517822
30,-8.067218780517578,-8.656209945678711,-8.801291465759277,-10.926704406738281,-8.383206367492676,-7.207789897918701
31,-6.744884490966797,-7.471582889556885,-8.995465278625488,-10.711302757263184,-6.101998805999756,-6.8089447021484375
32,-6.1702752113342285,-7.814070224761963,-9.09061336517334,-10.394722938537598,-5.579827785491943,-7.205626010894775
33,-6.102229118347168,-7.6685919761657715,-8.992305755615234,-9.9032621383667,-5.563992977142334,-7.013792514801025
34,-6.063915252685547,-6.726240634918213,-8.106239318847656,-9.4946870803833,-5.812206268310547,-6.03370475769043
35,-6.58262825012207,-7.828666687011719,-9.253530502319336,-10.67967700958252,-6.856462001800537,-7.31851053237915
36,-7.25826358795166,-8.159993171691895,-9.322958946228027,-10.880230903625488,-6.976615905761719,-6.8089447021484375
37,-6.927033424377441,-8.597900390625,-9.654873847961426,-10.596829414367676,-6.781378269195557,-7.205626010894775
38,-6.788193702697754,-8.445473670959473,-9.468101501464844,-10.138189315795898,-6.890989303588867,-7.013792514801025
39,-6.3222761154174805,-7.2777485847473145,-8.46508502960205,-9.373147010803223,-6.241827011108398,-6.03370475769043
40,-7.340993404388428,-8.351095199584961,-9.463072776794434,-11.138389587402344,-8.175820350646973,-7.31851053237915
41,-7.504876136779785,-9.30646800994873,-9.48123836517334,-11.82470989227295,-7.348577976226807,-6.8089447021484375
42,-8.175664901733398,-9.986538887023926,-9.973869323730469,-12.717061042785645,-8.009413719177246,-7.205626010894775
43,-7.781867027282715,-9.859442710876465,-9.780216217041016,-11.883057594299316,-7.692831516265869,-7.013792514801025
44,-6.471477031707764,-8.311490058898926,-8.377950668334961,-10.069738388061523,-6.34869384765625,-6.03370475769043
45,-7.680765151977539,-9.457491874694824,-9.23355770111084,-12.052787780761719,-8.383206367492676,-7.31851053237915
46,-5.349119663238525,-5.486738204956055,-7.301506042480469,-7.582396030426025,-6.101998805999756,-5.469886779785156
47,-5.101596832275391,-5.1802473068237305,-7.008108615875244,-7.48369836807251,-5.579827785491943,-5.358253479003906
48,-4.808175086975098,-4.833735466003418,-6.809991359710693,-7.104313850402832,-5.563992977142334,-5.188930988311768
49,-4.746689796447754,-4.748804092407227,-6.661099433898926,-6.837970733642578,-5.812206268310547,-4.985507011413574
50,-5.590493679046631,-5.6428728103637695,-7.341082572937012,-7.889008522033691,-6.856462001800537,-5.906524658203125
51,-5.454456806182861,-5.981906890869141,-7.293185234069824,-7.661446571350098,-6.976615905761719,-5.469886779785156
52,-5.327295303344727,-5.666040420532227,-7.080700874328613,-7.633646488189697,-6.781378269195557,-5.358253479003906
53,-5.026132583618164,-5.335433006286621,-6.938394069671631,-7.224961280822754,-6.890989303588867,-5.188930988311768
54,-4.800965309143066,-5.145288467407227,-6.731381416320801,-6.83934211730957,-6.241827011108398,-4.985507011413574
55,-5.767517566680908,-6.075847625732422,-7.4290056228637695,-7.896088600158691,-8.175820350646973,-5.906524658203125
56,-5.744014263153076,-6.71731424331665,-7.514408111572266,-8.404193878173828,-7.348577976226807,-5.469886779785156
57,-6.4636430740356445,-6.683557510375977,-7.3774094581604,-9.109773635864258,-8.009413719177246,-5.358253479003906
58,-5.983811378479004,-6.338506698608398,-7.199095249176025,-8.66661548614502,-7.692831516265869,-5.188930988311768
59,-5.0067033767700195,-5.973872661590576,-6.874486446380615,-7.385430335998535,-6.34869384765625,-4.985507011413574
60,-6.096642017364502,-6.793254375457764,-7.588644981384277,-8.649700164794922,-8.383206367492676,-5.906524658203125
61,-8.08242416381836,-8.202909469604492,-9.360918045043945,-10.275036811828613,-6.101998805999756,-8.905330657958984
62,-7.582706451416016,-8.065380096435547,-9.171514511108398,-10.193148612976074,-5.579827785491943,-8.982486724853516
63,-7.40783166885376,-7.635728359222412,-8.697643280029297,-9.697162628173828,-5.563992977142334,-8.852751731872559
64,-7.455577850341797,-7.343529224395752,-8.362834930419922,-9.118338584899902,-5.812206268310547,-8.3388032913208
65,-7.895077705383301,-8.114105224609375,-9.15441608428955,-10.345431327819824,-6.856462001800537,-8.815142631530762
66,-8.475467681884766,-8.855168342590332,-9.467741966247559,-10.499552726745605,-6.976615905761719,-8.905330657958984
67,-8.1739501953125,-8.762042999267578,-9.497542381286621,-10.360201835632324,-6.781378269195557,-8.982486724853516
68,-7.987639427185059,-8.439948081970215,-9.080724716186523,-9.9960355758667,-6.890989303588867,-8.852751731872559
69,-7.7522969245910645,-7.8752312660217285,-8.560859680175781,-9.165199279785156,-6.241827011108398,-8.3388032913208
70,-8.58344841003418,-8.863826751708984,-9.213247299194336,-10.708844184875488,-8.175820350646973,-8.815142631530762
71,-8.69999885559082,-10.904125213623047,-9.969375610351562,-11.226330757141113,-7.348577976226807,-8.905330657958984
72,-9.530405044555664,-11.12120532989502,-10.24740219116211,-12.372960090637207,-8.009413719177246,-8.982486724853516
73,-9.096017837524414,-10.835693359375,-9.96185302734375,-11.651161193847656,-7.692831516265869,-8.852751731872559
74,-7.738437652587891,-10.12195110321045,-9.31371021270752,-9.660761833190918,-6.34869384765625,-8.3388032913208
75,-9.112824440002441,-10.729110717773438,-9.668966293334961,-11.748878479003906,-8.383206367492676,-8.815142631530762
76,-5.9635772705078125,-6.041977882385254,-7.264452934265137,-7.3557538986206055,-6.101998805999756,-6.264782905578613
77,-5.777141571044922,-6.01754903793335,-7.167443752288818,-7.429773807525635,-5.579827785491943,-6.27675724029541
78,-5.474673271179199,-5.511783599853516,-6.757925510406494,-6.895627975463867,-5.563992977142334,-5.905519962310791
79,-5.364189147949219,-5.3059492111206055,-6.570073127746582,-6.631970405578613,-5.812206268310547,-5.678360462188721
80,-6.165072441101074,-6.120421409606934,-7.2945966720581055,-7.665633201599121,-6.856462001800537,-6.482668876647949
