idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.198168754577637,-6.912683486938477,-7.1224565505981445,-6.848069190979004,-6.093886852264404,-7.019893646240234
2,-5.174543857574463,-6.424654006958008,-6.605506896972656,-6.6860809326171875,-6.27832555770874,-6.557096481323242
3,-4.914709568023682,-6.470940589904785,-6.771965980529785,-6.461453437805176,-5.658270359039307,-6.315273284912109
4,-4.804093837738037,-6.185067176818848,-6.58599853515625,-6.29464864730835,-5.2918500900268555,-5.842111587524414
5,-5.80047082901001,-7.1472578048706055,-7.531236171722412,-7.631250381469727,-7.3649725914001465,-7.138343334197998
6,-5.213559150695801,-7.6105732917785645,-7.581185817718506,-6.936774730682373,-6.4814019203186035,-7.019893646240234
7,-5.325313091278076,-7.1160383224487305,-7.088606357574463,-6.794630527496338,-6.875732898712158,-6.557096481323242
8,-5.114029884338379,-7.141437530517578,-7.19000768661499,-6.638694763183594,-6.439108371734619,-6.315273284912109
9,-4.820435523986816,-6.851893424987793,-7.046516418457031,-6.32441520690918,-5.629109859466553,-5.842111587524414
10,-5.747738361358643,-7.914302825927734,-8.096596717834473,-7.676714897155762,-7.710134506225586,-7.138343334197998
11,-6.524807929992676,-8.552577018737793,-8.600046157836914,-7.7672343254089355,-7.656879425048828,-7.019893646240234
12,-6.755210876464844,-8.358774185180664,-8.36198902130127,-7.87784481048584,-8.265227317810059,-6.557096481323242
13,-6.545709133148193,-8.459057807922363,-8.422846794128418,-7.557524681091309,-7.8100266456604,-6.315273284912109
14,-5.720000743865967,-7.847714424133301,-7.957769870758057,-6.750760078430176,-6.255115509033203,-5.842111587524414
15,-6.63314962387085,-8.63518238067627,-8.756205558776855,-7.962573051452637,-8.281654357910156,-7.138343334197998
16,-7.217752456665039,-8.402727127075195,-8.061149597167969,-10.884627342224121,-6.093886852264404,-8.199743270874023
17,-7.081559181213379,-8.54455852508545,-8.130537986755371,-10.822880744934082,-6.27832555770874,-8.365307807922363
18,-6.868228435516357,-8.315154075622559,-8.056416511535645,-10.380514144897461,-5.658270359039307,-8.219317436218262
19,-6.767260551452637,-7.356359004974365,-7.2552080154418945,-10.117222785949707,-5.2918500900268555,-6.961203098297119
20,-7.61366081237793,-9.240975379943848,-8.836738586425781,-11.756730079650879,-7.3649725914001465,-8.51438045501709
21,-7.752689361572266,-9.228316307067871,-8.488649368286133,-10.9198637008667,-6.4814019203186035,-8.199743270874023
22,-8.029773712158203,-9.26826000213623,-8.566986083984375,-11.026935577392578,-6.875732898712158,-8.365307807922363
23,-7.7495927810668945,-9.033956527709961,-8.475234985351562,-10.896573066711426,-6.439108371734619,-8.219317436218262
24,-7.252341270446777,-7.981520175933838,-7.588843822479248,-10.125328063964844,-5.629109859466553,-6.961203098297119
25,-8.367345809936523,-9.829315185546875,-9.140188217163086,-11.787620544433594,-7.710134506225586,-8.51438045501709
26,-8.358377456665039,-10.37285327911377,-9.117413520812988,-11.711814880371094,-7.656879425048828,-8.199743270874023
27,-8.565986633300781,-10.570940971374512,-9.22829818725586,-11.965920448303223,-8.265227317810059,-8.365307807922363
28,-8.360838890075684,-10.64637279510498,-9.385586738586426,-11.685741424560547,-7.8100266456604,-8.219317436218262
29,-7.174894332885742,-9.260119438171387,-8.199026107788086,-10.225356101989746,-6.255115509033203,-6.961203098297119
30,-8.43095588684082,-10.454340934753418,-9.172850608825684,-12.050846099853516,-8.281654357910156,-8.51438045501709
31,-7.155303001403809,-8.484589576721191,-7.975786209106445,-10.84304428100586,-6.093886852264404,-8.623908042907715
32,-7.03721809387207,-7.785430908203125,-7.4879536628723145,-10.619966506958008,-6.27832555770874,-8.345745086669922
33,-6.690609455108643,-7.864785671234131,-7.665655136108398,-10.160178184509277,-5.658270359039307,-8.218475341796875
34,-6.333186626434326,-6.823251247406006,-7.073880672454834,-9.48257827758789,-5.2918500900268555,-7.449408054351807
35,-7.803697109222412,-10.199824333190918,-9.504156112670898,-12.03783893585205,-7.3649725914001465,-9.407231330871582
36,-7.35173225402832,-9.217852592468262,-8.267537117004395,-11.25793170928955,-6.4814019203186035,-8.623908042907715
37,-7.390218257904053,-8.65729808807373,-7.900493621826172,-11.122651100158691,-6.875732898712158,-8.345745086669922
38,-7.025251388549805,-8.683773040771484,-8.069670677185059,-10.719149589538574,-6.439108371734619,-8.218475341796875
39,-6.383605003356934,-7.650939464569092,-7.417786121368408,-9.905597686767578,-5.629109859466553,-7.449408054351807
40,-8.100648880004883,-11.045745849609375,-9.787782669067383,-12.424870491027832,-7.710134506225586,-9.407231330871582
41,-8.288128852844238,-10.616768836975098,-9.306840896606445,-12.122082710266113,-7.656879425048828,-8.623908042907715
42,-8.375467300415039,-10.513726234436035,-9.18870735168457,-12.136122703552246,-8.265227317810059,-8.345745086669922
43,-8.122841835021973,-10.640686988830566,-9.418747901916504,-11.927108764648438,-7.8100266456604,-8.218475341796875
44,-7.058062553405762,-9.311039924621582,-8.488164901733398,-10.542054176330566,-6.255115509033203,-7.449408054351807
45,-8.491881370544434,-11.94588851928711,-10.374544143676758,-12.633804321289062,-8.281654357910156,-9.407231330871582
46,-5.776534080505371,-6.231757164001465,-7.394091606140137,-7.673856735229492,-6.093886852264404,-7.022980690002441
47,-5.606230735778809,-6.071629524230957,-7.211165428161621,-7.493110656738281,-6.27832555770874,-7.070112228393555
48,-5.618210792541504,-6.037611961364746,-7.234899044036865,-7.636414527893066,-5.658270359039307,-6.593123912811279
49,-5.365927696228027,-5.763368129730225,-6.9124345779418945,-7.5821051597595215,-5.2918500900268555,-6.05300235748291
50,-6.507681846618652,-6.838920593261719,-7.940956115722656,-8.494497299194336,-7.3649725914001465,-7.700371265411377
51,-6.184628486633301,-7.633780479431152,-8.272923469543457,-8.205865859985352,-6.4814019203186035,-7.022980690002441
52,-6.1363019943237305,-7.283687114715576,-8.142576217651367,-8.100118637084961,-6.875732898712158,-7.070112228393555
53,-6.18021297454834,-7.37247371673584,-8.08784294128418,-8.219181060791016,-6.439108371734619,-6.593123912811279
54,-5.827818870544434,-7.021775245666504,-7.751660346984863,-7.9432549476623535,-5.629109859466553,-6.05300235748291
55,-6.9434919357299805,-8.185247421264648,-8.68986701965332,-8.978483200073242,-7.710134506225586,-7.700371265411377
56,-6.873344421386719,-7.106950283050537,-8.104240417480469,-8.476568222045898,-7.656879425048828,-7.022980690002441
57,-6.942410469055176,-6.977621078491211,-8.029878616333008,-8.707202911376953,-8.265227317810059,-7.070112228393555
58,-6.9289231300354,-6.959303379058838,-7.988989353179932,-8.578795433044434,-7.8100266456604,-6.593123912811279
59,-6.348775386810303,-6.682303428649902,-7.610650539398193,-7.855382442474365,-6.255115509033203,-6.05300235748291
60,-7.436679840087891,-7.569314002990723,-8.468317985534668,-8.908614158630371,-8.281654357910156,-7.700371265411377
