idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.740904808044434,-5.849865913391113,-5.681765079498291,-7.171353816986084,-6.084442138671875,-5.366949081420898
2,-4.558255672454834,-5.714341163635254,-5.64632511138916,-7.02944803237915,-5.518163204193115,-5.261565685272217
3,-4.420828819274902,-5.4244384765625,-5.421271324157715,-6.781425952911377,-5.294877529144287,-4.8257155418396
4,-4.395451068878174,-4.898207664489746,-4.8790483474731445,-6.616846084594727,-4.81727933883667,-4.4344587326049805
5,-4.988699436187744,-5.613828659057617,-5.659458160400391,-7.500614166259766,-6.4851393699646,-5.079009056091309
6,-4.787047386169434,-6.318070411682129,-5.803633689880371,-7.411872863769531,-6.136881351470947,-5.366949081420898
7,-4.707414627075195,-6.160252571105957,-5.828745365142822,-7.306154251098633,-5.765540599822998,-5.261565685272217
8,-4.485166072845459,-5.834962844848633,-5.582190036773682,-6.961921691894531,-5.546240329742432,-4.8257155418396
9,-4.138004302978516,-5.2387919425964355,-4.9990034103393555,-6.507419586181641,-4.850761413574219,-4.4344587326049805
10,-4.9768781661987305,-6.061276435852051,-5.8112359046936035,-7.752037525177002,-6.625809192657471,-5.079009056091309
11,-5.408041477203369,-7.258713245391846,-6.3173089027404785,-8.02427864074707,-6.626837253570557,-5.366949081420898
12,-5.788743019104004,-7.145449638366699,-6.335119724273682,-8.60353946685791,-7.0394287109375,-5.261565685272217
13,-5.5838398933410645,-6.869866371154785,-6.0808539390563965,-8.400463104248047,-6.791584014892578,-4.8257155418396
14,-4.874392032623291,-6.106760025024414,-5.36929178237915,-7.490563869476318,-5.591042995452881,-4.4344587326049805
15,-5.455306053161621,-6.929769515991211,-6.1941118240356445,-8.333693504333496,-7.085763454437256,-5.079009056091309
16,-6.997977256774902,-7.05773401260376,-6.513075828552246,-9.932406425476074,-6.084442138671875,-8.316654205322266
17,-6.66746187210083,-6.878259658813477,-6.602546691894531,-9.413536071777344,-5.518163204193115,-8.131592750549316
18,-6.4559783935546875,-6.509553909301758,-6.384190559387207,-9.191913604736328,-5.294877529144287,-7.630397796630859
19,-6.443995475769043,-5.997213840484619,-5.813210487365723,-8.7195463180542,-4.81727933883667,-6.827701568603516
20,-7.162740707397461,-7.127546310424805,-6.850598335266113,-10.412915229797363,-6.4851393699646,-8.106446266174316
21,-6.594612121582031,-8.00142765045166,-6.5780110359191895,-9.674076080322266,-6.136881351470947,-8.316654205322266
22,-6.420443058013916,-7.991668701171875,-6.79923152923584,-9.360846519470215,-5.765540599822998,-8.131592750549316
23,-6.1202545166015625,-7.404388427734375,-6.443309307098389,-9.029156684875488,-5.546240329742432,-7.630397796630859
24,-5.765193462371826,-6.818759918212891,-5.8149800300598145,-8.333720207214355,-4.850761413574219,-6.827701568603516
25,-6.8094329833984375,-8.25541877746582,-6.921519756317139,-10.230436325073242,-6.625809192657471,-8.106446266174316
26,-7.658547401428223,-9.322595596313477,-7.301822662353516,-10.508201599121094,-6.626837253570557,-8.316654205322266
27,-7.929361343383789,-9.595276832580566,-7.6135125160217285,-10.711387634277344,-7.0394287109375,-8.131592750549316
28,-7.739292144775391,-9.149712562561035,-7.324902534484863,-10.681777000427246,-6.791584014892578,-7.630397796630859
29,-6.822404861450195,-8.196033477783203,-6.532894611358643,-9.198601722717285,-5.591042995452881,-6.827701568603516
30,-7.909826755523682,-9.659351348876953,-7.657859802246094,-10.926467895507812,-7.085763454437256,-8.106446266174316
31,-6.33017635345459,-7.445079803466797,-6.083154201507568,-10.553936004638672,-6.084442138671875,-7.3638434410095215
