idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.942383766174316,-5.860300540924072,-4.90284538269043,-7.258614540100098,-5.425511837005615,-5.73613166809082
2,-4.694474220275879,-5.742766857147217,-4.811793804168701,-7.159499645233154,-4.985820293426514,-5.540323257446289
3,-4.381905555725098,-5.678713321685791,-4.811474800109863,-6.803005218505859,-4.503093242645264,-5.137616157531738
4,-4.2458906173706055,-5.132268905639648,-4.554704189300537,-6.659394264221191,-4.297028064727783,-4.688074588775635
5,-5.119064807891846,-5.929587364196777,-5.2036542892456055,-7.7502031326293945,-5.770488739013672,-5.4929399490356445
6,-5.080503940582275,-6.259117126464844,-5.2849016189575195,-7.589347839355469,-6.271901607513428,-5.73613166809082
7,-4.942145347595215,-6.214489936828613,-5.216254234313965,-7.646787166595459,-5.96510124206543,-5.540323257446289
8,-4.654330253601074,-6.042219161987305,-5.1427764892578125,-7.2934064865112305,-5.423374176025391,-5.137616157531738
9,-4.228566646575928,-5.430728435516357,-4.780450344085693,-6.807343482971191,-4.900110244750977,-4.688074588775635
10,-5.258022308349609,-6.246072292327881,-5.508862495422363,-8.178750991821289,-6.7429986000061035,-5.4929399490356445
11,-5.644770622253418,-6.524004936218262,-5.0559492111206055,-8.131543159484863,-6.612911224365234,-5.73613166809082
12,-5.7851881980896,-6.801875591278076,-5.146614074707031,-8.466157913208008,-6.661574840545654,-5.540323257446289
13,-5.463023662567139,-6.769259452819824,-5.153939723968506,-8.06961441040039,-6.175218105316162,-5.137616157531738
14,-4.412555694580078,-5.9749956130981445,-4.705690860748291,-6.740315914154053,-4.92241907119751,-4.688074588775635
15,-5.756594657897949,-6.578505516052246,-5.2785868644714355,-8.328500747680664,-6.8748459815979,-5.4929399490356445
16,-6.273382186889648,-7.849588871002197,-6.880829811096191,-9.796160697937012,-5.425511837005615,-7.578867435455322
17,-6.150927543640137,-7.7960524559021,-6.8720526695251465,-9.558964729309082,-4.985820293426514,-7.379245758056641
18,-5.829150676727295,-7.433874130249023,-6.710914611816406,-9.134264945983887,-4.503093242645264,-6.93107795715332
19,-5.636392593383789,-6.994787216186523,-6.43666934967041,-8.941962242126465,-4.297028064727783,-6.366764068603516
20,-6.410816192626953,-8.50979232788086,-7.756089210510254,-9.910173416137695,-5.770488739013672,-7.315571308135986
21,-7.030753135681152,-8.02164077758789,-7.330661773681641,-10.28371810913086,-6.271901607513428,-7.578867435455322
22,-6.877352237701416,-8.082425117492676,-7.340029239654541,-10.141393661499023,-5.96510124206543,-7.379245758056641
23,-6.510552406311035,-7.615180969238281,-7.072305679321289,-9.722678184509277,-5.423374176025391,-6.93107795715332
24,-5.954940319061279,-7.124783039093018,-6.629746913909912,-9.088455200195312,-4.900110244750977,-6.366764068603516
25,-7.030216217041016,-8.502591133117676,-7.950940132141113,-10.37398910522461,-6.7429986000061035,-7.315571308135986
26,-7.550984859466553,-9.959364891052246,-7.748857498168945,-10.556302070617676,-6.612911224365234,-7.578867435455322
