idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.8460001945495605,-6.539529800415039,-7.400765419006348,-7.406284332275391,-5.732826232910156,-6.676148414611816
2,-4.628085136413574,-7.042076110839844,-7.718140602111816,-7.314083099365234,-5.82374906539917,-6.947320938110352
3,-4.2987751960754395,-6.534262657165527,-7.546244144439697,-6.829072952270508,-5.508878231048584,-6.760320663452148
4,-3.9676899909973145,-5.861562728881836,-6.683106422424316,-6.562474727630615,-4.975603103637695,-5.888054847717285
5,-5.159962177276611,-6.874818325042725,-7.4666876792907715,-7.744496822357178,-6.584599018096924,-6.812004089355469
6,-5.0496931076049805,-6.769349098205566,-7.512972831726074,-7.492776870727539,-6.414077281951904,-6.676148414611816
7,-4.998991966247559,-7.2559614181518555,-7.828895568847656,-7.488607406616211,-6.822022914886475,-6.947320938110352
8,-4.520839691162109,-6.744139671325684,-7.682533264160156,-6.973598480224609,-6.346105098724365,-6.760320663452148
9,-3.972306728363037,-6.151880264282227,-6.853582859039307,-6.26555061340332,-5.196443557739258,-5.888054847717285
10,-5.478604316711426,-7.175721168518066,-7.756126403808594,-7.8150153160095215,-7.376348972320557,-6.812004089355469
11,-4.78915548324585,-7.592135429382324,-7.6090192794799805,-7.182435989379883,-6.774467468261719,-6.676148414611816
12,-5.002313137054443,-8.01451301574707,-7.855284214019775,-7.601977825164795,-7.419136047363281,-6.947320938110352
13,-4.780647277832031,-7.578200340270996,-7.730298042297363,-7.34762716293335,-7.294155120849609,-6.760320663452148
14,-3.856055498123169,-7.049029350280762,-6.963294982910156,-6.3025994300842285,-5.482652187347412,-5.888054847717285
15,-5.037088871002197,-7.828804969787598,-7.708014011383057,-7.4109039306640625,-7.1374831199646,-6.812004089355469
16,-6.6257123947143555,-7.732776165008545,-8.610420227050781,-9.279168128967285,-5.732826232910156,-8.546452522277832
17,-6.463245868682861,-8.436837196350098,-9.080784797668457,-9.241211891174316,-5.82374906539917,-8.828372955322266
18,-6.251500129699707,-7.823668003082275,-8.783806800842285,-8.935151100158691,-5.508878231048584,-8.907071113586426
19,-5.768512725830078,-6.804843902587891,-8.001733779907227,-8.461592674255371,-4.975603103637695,-7.7640509605407715
20,-6.963301658630371,-9.314598083496094,-10.100688934326172,-9.77992057800293,-6.584599018096924,-9.512371063232422
21,-7.054349899291992,-8.228943824768066,-9.033791542053223,-9.60278606414795,-6.414077281951904,-8.546452522277832
22,-7.107587814331055,-8.852557182312012,-9.463419914245605,-9.844677925109863,-6.822022914886475,-8.828372955322266
23,-6.6594038009643555,-8.240837097167969,-9.12796688079834,-9.36083698272705,-6.346105098724365,-8.907071113586426
24,-5.7362847328186035,-6.939746856689453,-8.247892379760742,-8.174235343933105,-5.196443557739258,-7.7640509605407715
25,-7.553177833557129,-10.0995512008667,-10.696614265441895,-10.168442726135254,-7.376348972320557,-9.512371063232422
26,-7.165575981140137,-9.090590476989746,-8.972346305847168,-9.678553581237793,-6.774467468261719,-8.546452522277832
27,-7.514410018920898,-10.175230026245117,-9.341063499450684,-10.705745697021484,-7.419136047363281,-8.828372955322266
28,-7.213155746459961,-9.712658882141113,-9.369169235229492,-10.275360107421875,-7.294155120849609,-8.907071113586426
29,-5.78651237487793,-8.272794723510742,-8.314090728759766,-8.181943893432617,-5.482652187347412,-7.7640509605407715
30,-7.372204780578613,-10.771923065185547,-10.22399616241455,-9.815766334533691,-7.1374831199646,-9.512371063232422
31,-6.853314399719238,-8.052372932434082,-8.846990585327148,-10.28845500946045,-5.732826232910156,-8.623011589050293
32,-6.481321334838867,-7.649078369140625,-8.49825382232666,-9.94599437713623,-5.82374906539917,-8.504683494567871
33,-6.080548286437988,-7.594980716705322,-8.617319107055664,-9.242794036865234,-5.508878231048584,-8.682951927185059
34,-5.711936950683594,-6.1255011558532715,-7.439621925354004,-8.742690086364746,-4.975603103637695,-7.370950222015381
35,-7.349240779876709,-8.947822570800781,-9.77116584777832,-10.900337219238281,-6.584599018096924,-9.264941215515137
36,-7.18829345703125,-8.087791442871094,-8.9393949508667,-10.18101978302002,-6.414077281951904,-8.623011589050293
37,-6.972908020019531,-7.7009711265563965,-8.558844566345215,-10.084839820861816,-6.822022914886475,-8.504683494567871
38,-6.447146415710449,-7.568750858306885,-8.674226760864258,-9.40761661529541,-6.346105098724365,-8.682951927185059
39,-5.621374607086182,-6.063304901123047,-7.437945365905762,-8.304457664489746,-5.196443557739258,-7.370950222015381
40,-7.782668113708496,-9.136919975280762,-9.925073623657227,-11.003918647766113,-7.376348972320557,-9.264941215515137
41,-6.905601501464844,-9.087924003601074,-9.7373685836792,-9.549031257629395,-6.774467468261719,-8.623011589050293
42,-7.144026279449463,-8.780821800231934,-9.400436401367188,-10.25869083404541,-7.419136047363281,-8.504683494567871
43,-6.848219871520996,-8.85023021697998,-9.613055229187012,-9.954573631286621,-7.294155120849609,-8.682951927185059
44,-5.432271957397461,-7.342442989349365,-8.423201560974121,-7.974015712738037,-5.482652187347412,-7.370950222015381
45,-7.194019317626953,-9.833597183227539,-10.449190139770508,-9.948433876037598,-7.1374831199646,-9.264941215515137
46,-4.906113147735596,-6.926115036010742,-7.496120452880859,-7.798499584197998,-5.732826232910156,-6.559311866760254
47,-4.586061954498291,-6.501829624176025,-6.9681196212768555,-7.484353065490723,-5.82374906539917,-6.1191487312316895
48,-4.236380100250244,-6.361538887023926,-6.962216854095459,-7.131131649017334,-5.508878231048584,-6.162528038024902
49,-4.0941619873046875,-5.800287246704102,-6.484803199768066,-6.9838361740112305,-4.975603103637695,-5.296587944030762
50,-5.417089939117432,-7.278777122497559,-7.867909908294678,-8.251228332519531,-6.584599018096924,-6.853381156921387
51,-5.033349514007568,-6.711353302001953,-7.473158836364746,-7.429853439331055,-6.414077281951904,-6.559311866760254
52,-4.9735307693481445,-6.307600975036621,-7.009406089782715,-7.492138862609863,-6.822022914886475,-6.1191487312316895
53,-4.468827724456787,-6.158633708953857,-6.968222141265869,-6.941318511962891,-6.346105098724365,-6.162528038024902
54,-4.0858659744262695,-5.627266883850098,-6.48468542098999,-6.6235456466674805,-5.196443557739258,-5.296587944030762
55,-5.5815019607543945,-7.058104515075684,-7.885495662689209,-7.9841718673706055,-7.376348972320557,-6.853381156921387
56,-5.249075889587402,-6.634493350982666,-6.8336687088012695,-7.907220363616943,-6.774467468261719,-6.559311866760254
57,-5.317544460296631,-6.212066650390625,-6.354477882385254,-8.201433181762695,-7.419136047363281,-6.1191487312316895
58,-5.097214221954346,-6.335472106933594,-6.524101257324219,-7.828117370605469,-7.294155120849609,-6.162528038024902
59,-4.3914313316345215,-5.918785095214844,-6.012337684631348,-7.031807899475098,-5.482652187347412,-5.296587944030762
60,-5.6314167976379395,-6.744718074798584,-7.027493476867676,-8.364484786987305,-7.1374831199646,-6.853381156921387
61,-6.294609069824219,-9.992752075195312,-9.231611251831055,-11.274819374084473,-5.732826232910156,-8.72899341583252
62,-6.074398040771484,-9.973017692565918,-9.196569442749023,-11.075289726257324,-5.82374906539917,-8.629839897155762
63,-5.562828063964844,-9.647523880004883,-9.063755989074707,-10.461098670959473,-5.508878231048584,-8.689658164978027
64,-5.185193061828613,-8.612396240234375,-8.08822250366211,-9.91417407989502,-4.975603103637695,-7.469259738922119
65,-6.93265438079834,-10.24460220336914,-9.614885330200195,-11.894370079040527,-6.584599018096924,-8.81787395477295
66,-6.3282599449157715,-10.013038635253906,-9.9867525100708,-11.648078918457031,-6.414077281951904,-8.72899341583252
67,-6.377787113189697,-9.895112037658691,-9.78488540649414,-11.696690559387207,-6.822022914886475,-8.629839897155762
68,-5.746695518493652,-9.548864364624023,-9.600240707397461,-10.90062427520752,-6.346105098724365,-8.689658164978027
69,-5.0793962478637695,-8.529841423034668,-8.778884887695312,-9.975115776062012,-5.196443557739258,-7.469259738922119
70,-7.138858795166016,-10.477548599243164,-10.691919326782227,-12.442217826843262,-7.376348972320557,-8.81787395477295
