idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.875245094299316,-6.04019021987915,-6.663241386413574,-7.537240982055664,-5.22383451461792,-6.728397369384766
2,-4.698042869567871,-5.932086944580078,-6.33419132232666,-7.522414207458496,-5.102618217468262,-6.840787887573242
3,-4.705300807952881,-5.667444229125977,-6.172862529754639,-7.55620002746582,-5.2871270179748535,-6.743551254272461
4,-4.371626377105713,-5.152449607849121,-5.696660995483398,-7.0876054763793945,-4.970025539398193,-5.903857231140137
5,-4.958653926849365,-6.539911270141602,-6.956995964050293,-7.718501091003418,-5.827878475189209,-6.205327033996582
6,-5.2753071784973145,-6.995021820068359,-7.1287946701049805,-7.721473217010498,-6.0655837059021,-6.728397369384766
7,-5.029823303222656,-7.0446014404296875,-7.000349521636963,-7.74714469909668,-5.9885735511779785,-6.840787887573242
8,-4.986713886260986,-6.694323539733887,-6.790793418884277,-7.7269392013549805,-6.045019149780273,-6.743551254272461
9,-4.503208160400391,-6.177150726318359,-6.354592323303223,-6.956808090209961,-5.367443084716797,-5.903857231140137
10,-5.307440280914307,-7.252684593200684,-7.346301078796387,-7.812545299530029,-6.75018835067749,-6.205327033996582
11,-5.709287166595459,-7.861362457275391,-7.404079437255859,-7.844919681549072,-7.2408270835876465,-6.728397369384766
12,-5.929086208343506,-7.967121601104736,-7.396907806396484,-8.328214645385742,-7.591115474700928,-6.840787887573242
13,-5.882781982421875,-7.6968536376953125,-7.272106170654297,-8.257221221923828,-7.409568786621094,-6.743551254272461
14,-4.959878444671631,-6.935077667236328,-6.604917049407959,-7.087160110473633,-5.916112422943115,-5.903857231140137
15,-5.622956275939941,-7.967958450317383,-7.550753116607666,-7.943462371826172,-7.578917980194092,-6.205327033996582
16,-6.292822360992432,-6.351554870605469,-7.753876686096191,-8.879061698913574,-5.22383451461792,-7.640403747558594
17,-6.079750061035156,-6.325937747955322,-7.5499491691589355,-8.849506378173828,-5.102618217468262,-8.5679292678833
18,-6.020406723022461,-6.248821258544922,-7.710821151733398,-8.769621849060059,-5.2871270179748535,-8.47701644897461
19,-5.823001861572266,-5.382211208343506,-7.003567695617676,-8.300957679748535,-4.970025539398193,-7.293752193450928
20,-6.26005744934082,-6.946746349334717,-8.331466674804688,-9.044934272766113,-5.827878475189209,-7.2964935302734375
21,-6.727240562438965,-7.433000087738037,-7.865748405456543,-9.205432891845703,-6.0655837059021,-7.640403747558594
22,-6.484901428222656,-7.631206512451172,-7.923946380615234,-9.141804695129395,-5.9885735511779785,-8.5679292678833
23,-6.3558759689331055,-7.568239688873291,-7.978689193725586,-8.918971061706543,-6.045019149780273,-8.47701644897461
24,-5.706401824951172,-6.607463836669922,-7.218514919281006,-7.897449970245361,-5.367443084716797,-7.293752193450928
25,-6.564239501953125,-7.941179275512695,-8.40460205078125,-9.367691040039062,-6.75018835067749,-7.2964935302734375
26,-7.368131637573242,-8.463801383972168,-8.592666625976562,-10.225665092468262,-7.2408270835876465,-7.640403747558594
27,-7.761836051940918,-9.036298751831055,-8.858196258544922,-10.873675346374512,-7.591115474700928,-8.5679292678833
28,-7.483076095581055,-9.063813209533691,-8.898937225341797,-10.323590278625488,-7.409568786621094,-8.47701644897461
29,-6.0873870849609375,-7.87238073348999,-7.935090065002441,-8.611968040466309,-5.916112422943115,-7.293752193450928
30,-7.1598992347717285,-8.627373695373535,-8.755134582519531,-9.95982837677002,-7.578917980194092,-7.2964935302734375
31,-5.9074296951293945,-7.645727157592773,-7.940229415893555,-9.297114372253418,-5.22383451461792,-8.052105903625488
32,-5.736167907714844,-7.53972053527832,-7.623105049133301,-9.3272705078125,-5.102618217468262,-8.14631175994873
33,-5.731924057006836,-7.395687580108643,-7.725622177124023,-9.165350914001465,-5.2871270179748535,-8.192742347717285
34,-5.471113681793213,-6.044300079345703,-6.658045768737793,-8.560680389404297,-4.970025539398193,-7.085037708282471
35,-6.237804412841797,-8.066650390625,-8.347978591918945,-9.766361236572266,-5.827878475189209,-7.369058132171631
36,-6.231393814086914,-9.228888511657715,-8.524064064025879,-9.543496131896973,-6.0655837059021,-8.052105903625488
37,-6.11528205871582,-9.24575138092041,-8.449006080627441,-9.32461929321289,-5.9885735511779785,-8.14631175994873
38,-6.010702133178711,-8.952476501464844,-8.324357032775879,-9.211819648742676,-6.045019149780273,-8.192742347717285
39,-5.443075180053711,-7.671603679656982,-7.246708869934082,-8.285118103027344,-5.367443084716797,-7.085037708282471
40,-6.5234527587890625,-9.646515846252441,-8.83682918548584,-10.030696868896484,-6.75018835067749,-7.369058132171631
41,-7.040256500244141,-9.713193893432617,-9.371065139770508,-10.410305976867676,-7.2408270835876465,-8.052105903625488
42,-7.331844329833984,-9.951244354248047,-9.306466102600098,-10.987730979919434,-7.591115474700928,-8.14631175994873
43,-7.096066951751709,-9.881891250610352,-9.421662330627441,-10.469669342041016,-7.409568786621094,-8.192742347717285
44,-5.884034633636475,-8.237401962280273,-8.115236282348633,-8.97213077545166,-5.916112422943115,-7.085037708282471
45,-6.992873191833496,-10.131631851196289,-9.620500564575195,-10.299477577209473,-7.578917980194092,-7.369058132171631
46,-5.0982537269592285,-5.5591535568237305,-6.694631099700928,-6.900853157043457,-5.22383451461792,-6.716142177581787
47,-4.953647613525391,-5.126014232635498,-6.04966402053833,-6.894623279571533,-5.102618217468262,-6.396827697753906
48,-5.014401912689209,-5.083849906921387,-6.24910306930542,-6.8264641761779785,-5.2871270179748535,-6.606166839599609
49,-4.5556440353393555,-4.604916572570801,-5.843098163604736,-6.275369644165039,-4.970025539398193,-6.052705764770508
50,-5.665348052978516,-6.397402286529541,-7.29607629776001,-7.258575439453125,-5.827878475189209,-6.934998512268066
51,-5.123368263244629,-6.197059631347656,-7.1283159255981445,-6.989799976348877,-6.0655837059021,-6.716142177581787
52,-5.089478492736816,-5.899897575378418,-6.6155104637146,-7.04762077331543,-5.9885735511779785,-6.396827697753906
53,-5.107303619384766,-5.816210746765137,-6.833548069000244,-6.930820465087891,-6.045019149780273,-6.606166839599609
54,-4.499344825744629,-5.372309684753418,-6.400378227233887,-6.126219749450684,-5.367443084716797,-6.052705764770508
55,-5.659341335296631,-7.092453479766846,-7.63055419921875,-7.185863494873047,-6.75018835067749,-6.934998512268066
56,-6.008235931396484,-5.9532060623168945,-7.5330305099487305,-7.721261978149414,-7.2408270835876465,-6.716142177581787
57,-6.3035407066345215,-5.90876579284668,-7.116696357727051,-8.151247024536133,-7.591115474700928,-6.396827697753906
58,-6.3259124755859375,-5.886947154998779,-7.1745147705078125,-7.91446590423584,-7.409568786621094,-6.606166839599609
59,-5.4814653396606445,-5.385021209716797,-6.776147365570068,-6.781694412231445,-5.916112422943115,-6.052705764770508
60,-6.2849836349487305,-6.60627555847168,-7.808006286621094,-7.804299831390381,-7.578917980194092,-6.934998512268066
61,-6.608640193939209,-8.288506507873535,-8.404048919677734,-11.242107391357422,-5.22383451461792,-8.55494213104248
62,-6.34690523147583,-7.8421950340271,-7.714604377746582,-11.24269962310791,-5.102618217468262,-8.716447830200195
63,-6.26257848739624,-8.075432777404785,-8.025436401367188,-11.061909675598145,-5.2871270179748535,-8.886724472045898
64,-6.007989406585693,-7.298551082611084,-7.44602632522583,-10.316447257995605,-4.970025539398193,-8.360459327697754
65,-6.888564109802246,-8.46981143951416,-8.615171432495117,-11.473282814025879,-5.827878475189209,-8.33055591583252
66,-6.960226535797119,-9.333538055419922,-8.943096160888672,-11.81988525390625,-6.0655837059021,-8.55494213104248
67,-6.839727878570557,-8.938183784484863,-8.472480773925781,-11.722488403320312,-5.9885735511779785,-8.716447830200195
68,-6.776435375213623,-9.043588638305664,-8.759578704833984,-11.57413101196289,-6.045019149780273,-8.886724472045898
69,-6.159440040588379,-8.102219581604004,-8.013091087341309,-10.470332145690918,-5.367443084716797,-8.360459327697754
70,-7.232317924499512,-8.937966346740723,-8.817337989807129,-12.009746551513672,-6.75018835067749,-8.33055591583252
71,-7.845444679260254,-9.676841735839844,-8.814111709594727,-12.031275749206543,-7.2408270835876465,-8.55494213104248
72,-8.118429183959961,-9.555468559265137,-8.419184684753418,-12.415053367614746,-7.591115474700928,-8.716447830200195
73,-7.861852169036865,-9.620223999023438,-8.70048713684082,-11.969806671142578,-7.409568786621094,-8.886724472045898
74,-6.671185493469238,-8.670746803283691,-7.776607513427734,-10.542086601257324,-5.916112422943115,-8.360459327697754
75,-7.8963165283203125,-9.23837947845459,-8.355657577514648,-11.879040718078613,-7.578917980194092,-8.33055591583252
76,-5.3226165771484375,-6.528208255767822,-7.237643241882324,-6.3141984939575195,-5.22383451461792,-7.156359672546387
77,-5.201329231262207,-6.014861106872559,-6.808174133300781,-6.076444625854492,-5.102618217468262,-6.959410190582275
78,-5.282674312591553,-5.819055557250977,-6.601348876953125,-6.271182537078857,-5.2871270179748535,-6.544254779815674
79,-5.0184454917907715,-5.273321151733398,-6.331527233123779,-5.936461448669434,-4.970025539398193,-6.06047248840332
80,-5.752612113952637,-6.679051399230957,-7.074488639831543,-6.65930700302124,-5.827878475189209,-6.762622833251953
