idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.069082736968994,-6.412228584289551,-6.973292350769043,-7.932675838470459,-5.683080673217773,-6.599855422973633
2,-4.896910667419434,-6.0925750732421875,-6.475404262542725,-7.994348526000977,-5.358684539794922,-6.384740829467773
3,-4.768763065338135,-6.00771951675415,-6.600186347961426,-7.738406181335449,-5.256194591522217,-6.337385654449463
4,-4.623171329498291,-5.632452964782715,-6.491781711578369,-7.426914691925049,-5.104371547698975,-5.964747428894043
5,-5.0922393798828125,-6.696103096008301,-6.919661045074463,-8.217700958251953,-6.390199184417725,-6.384189605712891
6,-5.642167568206787,-6.922463417053223,-7.0444769859313965,-8.100284576416016,-6.738170623779297,-6.599855422973633
7,-5.504580020904541,-6.772798538208008,-6.711878776550293,-8.096962928771973,-6.789117813110352,-6.384740829467773
8,-5.207013130187988,-6.552264213562012,-6.675543785095215,-7.726469993591309,-6.3855462074279785,-6.337385654449463
9,-4.900423049926758,-6.203238487243652,-6.4900641441345215,-7.21891975402832,-5.585052490234375,-5.964747428894043
10,-5.673111915588379,-7.262513160705566,-6.9707770347595215,-8.12387752532959,-7.473626613616943,-6.384189605712891
11,-6.306856632232666,-8.190964698791504,-7.593264579772949,-8.410737037658691,-7.1307549476623535,-6.599855422973633
12,-6.375082969665527,-8.46056842803955,-7.463152885437012,-9.05047607421875,-7.961968898773193,-6.384740829467773
13,-6.15789794921875,-8.375615119934082,-7.342019557952881,-8.673473358154297,-7.6634979248046875,-6.337385654449463
14,-5.397547245025635,-7.744612693786621,-7.157548427581787,-7.4690961837768555,-6.334083557128906,-5.964747428894043
15,-6.186898231506348,-8.482711791992188,-7.433287143707275,-8.362173080444336,-7.663580417633057,-6.384189605712891
16,-7.246572017669678,-7.096246242523193,-7.554507732391357,-10.816429138183594,-5.683080673217773,-8.197108268737793
17,-7.141756057739258,-7.490560054779053,-7.754848480224609,-11.168362617492676,-5.358684539794922,-8.599915504455566
18,-7.096816062927246,-7.428615570068359,-7.685649871826172,-10.880558967590332,-5.256194591522217,-8.6528959274292
19,-6.909518241882324,-7.030699253082275,-7.155373573303223,-10.508055686950684,-5.104371547698975,-8.222489356994629
20,-7.224434852600098,-8.103052139282227,-8.113319396972656,-10.802884101867676,-6.390199184417725,-7.934091567993164
21,-7.838705062866211,-7.390305042266846,-7.379557132720947,-11.1983642578125,-6.738170623779297,-8.197108268737793
22,-7.956192970275879,-8.106535911560059,-7.83839225769043,-11.931134223937988,-6.789117813110352,-8.599915504455566
23,-7.752500534057617,-7.866893768310547,-7.680824279785156,-11.346267700195312,-6.3855462074279785,-8.6528959274292
