idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.100950717926025,-6.696470737457275,-7.364253044128418,-7.314723968505859,-5.896081447601318,-5.643731117248535
2,-4.90532922744751,-6.65667724609375,-7.5445966720581055,-7.2933125495910645,-5.51812744140625,-5.855086326599121
3,-4.798316955566406,-6.331430435180664,-7.1182966232299805,-7.0860185623168945,-5.4227142333984375,-5.513566017150879
4,-4.53751277923584,-5.730330944061279,-6.701402187347412,-7.1849212646484375,-5.081055641174316,-4.826736927032471
5,-5.260022163391113,-7.394892692565918,-7.880918979644775,-7.709734916687012,-6.498530864715576,-6.212922096252441
6,-5.5597710609436035,-7.43571662902832,-7.477038383483887,-7.61130428314209,-6.162741184234619,-5.643731117248535
7,-5.422204494476318,-7.335155487060547,-7.607298374176025,-7.56687593460083,-5.96850061416626,-5.855086326599121
8,-5.391509056091309,-7.0933685302734375,-7.205099582672119,-7.357447624206543,-5.7603607177734375,-5.513566017150879
9,-4.795057773590088,-6.3440446853637695,-6.718778133392334,-6.9593505859375,-5.106632232666016,-4.826736927032471
10,-5.718055248260498,-8.020319938659668,-8.014787673950195,-7.845588684082031,-6.7168450355529785,-6.212922096252441
11,-5.6119890213012695,-7.880610942840576,-8.419711112976074,-8.057344436645508,-6.774858474731445,-5.643731117248535
12,-6.103452682495117,-7.913738250732422,-8.513761520385742,-8.716103553771973,-7.77492094039917,-5.855086326599121
13,-5.7430267333984375,-7.523524284362793,-8.042474746704102,-8.260048866271973,-6.940070629119873,-5.513566017150879
14,-4.782816410064697,-6.806419849395752,-7.555361747741699,-7.160554885864258,-5.5759758949279785,-4.826736927032471
15,-5.611905097961426,-8.424701690673828,-8.82713508605957,-8.058479309082031,-7.019519805908203,-6.212922096252441
16,-6.0334367752075195,-6.789541244506836,-8.95969009399414,-8.503777503967285,-5.896081447601318,-6.291987895965576
17,-5.750648021697998,-6.833149433135986,-8.823633193969727,-8.289889335632324,-5.51812744140625,-6.633581161499023
18,-5.676606178283691,-6.927055358886719,-8.725210189819336,-8.164978981018066,-5.4227142333984375,-6.3667473793029785
19,-5.57604455947876,-6.440439701080322,-8.375408172607422,-7.972911834716797,-5.081055641174316,-6.086492538452148
20,-6.184880256652832,-7.610262393951416,-9.317303657531738,-8.885869026184082,-6.498530864715576,-6.877178192138672
21,-6.690088272094727,-7.332963466644287,-8.414588928222656,-8.945075035095215,-6.162741184234619,-6.291987895965576
22,-6.451189994812012,-7.481754302978516,-8.27096939086914,-8.748048782348633,-5.96850061416626,-6.633581161499023
