idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.6658430099487305,-6.514122009277344,-7.122108459472656,-6.729905128479004,-6.452913284301758,-6.758644104003906
2,-5.4915771484375,-6.748154163360596,-7.373960971832275,-6.699607849121094,-5.994460582733154,-7.355198860168457
3,-5.136676788330078,-5.661434173583984,-6.310919284820557,-6.200425148010254,-5.367239475250244,-6.066567420959473
4,-5.014640808105469,-5.132007598876953,-5.985804557800293,-6.070683479309082,-4.978236675262451,-5.770162582397461
5,-5.900145530700684,-7.01574182510376,-7.384324550628662,-7.199504375457764,-6.952007293701172,-6.538948059082031
6,-5.584881782531738,-6.620659828186035,-7.584725856781006,-6.413104057312012,-7.12774133682251,-6.758644104003906
7,-5.674718379974365,-6.831002235412598,-7.771359443664551,-6.50369930267334,-6.771675109863281,-7.355198860168457
8,-5.349897861480713,-5.762767314910889,-6.646589756011963,-6.171698570251465,-6.343860626220703,-6.066567420959473
9,-5.004561424255371,-5.121951103210449,-6.252886772155762,-5.736306190490723,-5.403339862823486,-5.770162582397461
10,-5.92287540435791,-7.027997016906738,-7.842469692230225,-6.892032623291016,-7.394702911376953,-6.538948059082031
11,-6.301476955413818,-8.098647117614746,-8.26586627960205,-7.649113655090332,-7.956481456756592,-6.758644104003906
12,-6.94048547744751,-8.318519592285156,-8.509071350097656,-8.246603965759277,-8.07304573059082,-7.355198860168457
13,-6.414284706115723,-7.374056816101074,-7.3458404541015625,-7.741448402404785,-7.11596155166626,-6.066567420959473
14,-5.475274085998535,-6.614825248718262,-6.841056823730469,-6.541821479797363,-6.013787746429443,-5.770162582397461
15,-6.580660343170166,-8.148171424865723,-8.337182998657227,-7.706490993499756,-7.898553371429443,-6.538948059082031
16,-6.868730545043945,-7.241016387939453,-8.153335571289062,-9.66799545288086,-6.452913284301758,-7.6548542976379395
17,-6.608452320098877,-6.758249759674072,-7.704821586608887,-9.416810989379883,-5.994460582733154,-7.692765712738037
18,-6.198691368103027,-6.52856969833374,-7.307186126708984,-8.722395896911621,-5.367239475250244,-6.930077075958252
19,-6.1855974197387695,-6.164247989654541,-7.079836368560791,-8.395970344543457,-4.978236675262451,-6.5412139892578125
20,-7.084554195404053,-7.593260288238525,-8.237489700317383,-10.12193775177002,-6.952007293701172,-7.365965366363525
21,-7.046869277954102,-7.694635391235352,-8.44503402709961,-9.466830253601074,-7.12774133682251,-7.6548542976379395
22,-7.160154342651367,-7.334964752197266,-8.180404663085938,-9.586933135986328,-6.771675109863281,-7.692765712738037
23,-6.85122537612915,-7.104822635650635,-7.825313568115234,-8.988029479980469,-6.343860626220703,-6.930077075958252
24,-6.161886215209961,-6.4694037437438965,-7.324127197265625,-8.141818046569824,-5.403339862823486,-6.5412139892578125
25,-7.598642349243164,-8.379266738891602,-8.7505521774292,-10.226836204528809,-7.394702911376953,-7.365965366363525
26,-7.875890731811523,-9.295368194580078,-9.69248104095459,-11.473437309265137,-7.956481456756592,-7.6548542976379395
27,-8.326887130737305,-8.927997589111328,-9.67383098602295,-12.203328132629395,-8.07304573059082,-7.692765712738037
28,-7.751631736755371,-8.616471290588379,-9.17061996459961,-11.39794921875,-7.11596155166626,-6.930077075958252
29,-6.613595008850098,-7.4075703620910645,-8.045870780944824,-9.67319393157959,-6.013787746429443,-6.5412139892578125
30,-7.993782043457031,-9.282337188720703,-9.73948860168457,-11.694099426269531,-7.898553371429443,-7.365965366363525
31,-7.0179443359375,-7.5726189613342285,-9.155031204223633,-11.118515968322754,-6.452913284301758,-8.249534606933594
32,-6.773421287536621,-7.27844762802124,-8.913169860839844,-11.021954536437988,-5.994460582733154,-7.955957889556885
33,-6.437338829040527,-7.034509658813477,-8.313772201538086,-10.378634452819824,-5.367239475250244,-7.12076997756958
34,-6.120270729064941,-6.314643383026123,-7.738719463348389,-9.905722618103027,-4.978236675262451,-6.665870189666748
35,-7.5428466796875,-8.544869422912598,-9.663163185119629,-11.830517768859863,-6.952007293701172,-7.876363754272461
36,-6.940839767456055,-8.32713794708252,-9.895124435424805,-10.799174308776855,-7.12774133682251,-8.249534606933594
37,-6.887844085693359,-7.994203567504883,-9.607129096984863,-10.855923652648926,-6.771675109863281,-7.955957889556885
38,-6.694619178771973,-7.9647064208984375,-9.049779891967773,-10.482535362243652,-6.343860626220703,-7.12076997756958
39,-5.977873802185059,-6.884077548980713,-8.380020141601562,-9.69507122039795,-5.403339862823486,-6.665870189666748
40,-7.613348007202148,-9.236915588378906,-10.307893753051758,-11.713047981262207,-7.394702911376953,-7.876363754272461
41,-7.5770111083984375,-10.128206253051758,-11.125162124633789,-12.748076438903809,-7.956481456756592,-8.249534606933594
42,-8.078995704650879,-9.741914749145508,-10.833769798278809,-13.590995788574219,-8.07304573059082,-7.955957889556885
43,-7.527708053588867,-9.757759094238281,-10.136317253112793,-12.834527015686035,-7.11596155166626,-7.12076997756958
44,-6.1395721435546875,-8.445374488830566,-9.295382499694824,-11.029815673828125,-6.013787746429443,-6.665870189666748
45,-8.005666732788086,-10.645983695983887,-11.047003746032715,-13.162654876708984,-7.898553371429443,-7.876363754272461
46,-5.282044887542725,-5.093614101409912,-6.516079902648926,-6.5487565994262695,-6.452913284301758,-5.717561721801758
47,-5.186326026916504,-4.899547576904297,-6.450860500335693,-6.472865104675293,-5.994460582733154,-6.017665863037109
48,-4.901118278503418,-4.453239440917969,-5.942150592803955,-6.387227535247803,-5.367239475250244,-5.2848052978515625
49,-4.6716461181640625,-4.183213710784912,-5.745426654815674,-6.162160873413086,-4.978236675262451,-5.050842761993408
50,-5.925887107849121,-6.378593444824219,-7.4976959228515625,-7.429632186889648,-6.952007293701172,-6.126128196716309
51,-5.260890007019043,-5.613265514373779,-6.858306884765625,-6.66948938369751,-7.12774133682251,-5.717561721801758
52,-5.215381622314453,-5.379215240478516,-6.807744026184082,-6.647640228271484,-6.771675109863281,-6.017665863037109
53,-5.105990409851074,-4.964993000030518,-6.248412132263184,-6.517721652984619,-6.343860626220703,-5.2848052978515625
54,-4.55164098739624,-4.685092926025391,-6.017157077789307,-6.112245082855225,-5.403339862823486,-5.050842761993408
55,-5.899387359619141,-6.871779441833496,-7.7805070877075195,-7.439708709716797,-7.394702911376953,-6.126128196716309
56,-5.748236656188965,-6.608482360839844,-7.378951072692871,-7.767175197601318,-7.956481456756592,-5.717561721801758
57,-6.216713905334473,-6.520183086395264,-7.439889430999756,-8.212998390197754,-8.07304573059082,-6.017665863037109
58,-5.803778171539307,-5.964423656463623,-6.781583309173584,-7.714749813079834,-7.11596155166626,-5.2848052978515625
59,-4.899138450622559,-5.506863594055176,-6.331739902496338,-6.50452995300293,-6.013787746429443,-5.050842761993408
60,-6.244889736175537,-7.364611625671387,-8.015718460083008,-7.929298400878906,-7.898553371429443,-6.126128196716309
61,-7.777362823486328,-7.839813709259033,-8.681184768676758,-10.772555351257324,-6.452913284301758,-9.474984169006348
62,-7.516958236694336,-7.804931163787842,-8.796537399291992,-10.551358222961426,-5.994460582733154,-9.72270679473877
63,-6.975581169128418,-6.501101970672607,-7.5543742179870605,-9.819010734558105,-5.367239475250244,-8.175031661987305
64,-6.611739158630371,-5.6893310546875,-6.965104103088379,-9.242201805114746,-4.978236675262451,-7.677520751953125
65,-8.354969024658203,-8.716697692871094,-9.320964813232422,-11.811966896057129,-6.952007293701172,-9.473111152648926
66,-7.52719783782959,-8.200769424438477,-8.774148941040039,-10.695067405700684,-7.12774133682251,-9.474984169006348
67,-7.463039398193359,-8.12793254852295,-8.985727310180664,-10.731308937072754,-6.771675109863281,-9.72270679473877
68,-7.06422233581543,-6.816214084625244,-7.675504207611084,-10.16230297088623,-6.343860626220703,-8.175031661987305
69,-6.402501106262207,-5.799993991851807,-7.004674911499023,-9.140549659729004,-5.403339862823486,-7.677520751953125
70,-8.19581413269043,-8.976092338562012,-9.468643188476562,-11.396781921386719,-7.394702911376953,-9.473111152648926
71,-8.335283279418945,-10.95708179473877,-10.473894119262695,-11.51709270477295,-7.956481456756592,-9.474984169006348
72,-8.807326316833496,-11.082199096679688,-10.5693998336792,-11.977917671203613,-8.07304573059082,-9.72270679473877
73,-8.172077178955078,-10.048059463500977,-9.566400527954102,-11.319945335388184,-7.11596155166626,-8.175031661987305
74,-6.98089599609375,-8.309481620788574,-8.2940673828125,-9.688923835754395,-6.013787746429443,-7.677520751953125
75,-8.781100273132324,-11.564225196838379,-10.875557899475098,-11.750640869140625,-7.898553371429443,-9.473111152648926
76,-6.331636905670166,-6.317943572998047,-7.087319374084473,-6.945677757263184,-6.452913284301758,-7.642796516418457
77,-6.249276161193848,-6.173743724822998,-6.923630714416504,-6.900296211242676,-5.994460582733154,-7.626176834106445
78,-5.913372993469238,-5.48069953918457,-6.349692344665527,-6.3241071701049805,-5.367239475250244,-6.663550853729248
79,-5.705930233001709,-5.082404136657715,-6.0050530433654785,-5.923333168029785,-4.978236675262451,-6.350644111633301
80,-6.830300331115723,-6.875952243804932,-7.380319118499756,-7.833818435668945,-6.952007293701172,-7.422957897186279
81,-6.263760089874268,-6.885703086853027,-7.462737083435059,-6.8314619064331055,-7.12774133682251,-7.642796516418457
82,-6.402697563171387,-6.68031120300293,-7.312547206878662,-6.841831207275391,-6.771675109863281,-7.626176834106445
83,-6.113459587097168,-5.945220947265625,-6.667500972747803,-6.367627143859863,-6.343860626220703,-6.663550853729248
84,-5.593681335449219,-5.548887252807617,-6.28894567489624,-5.683393478393555,-5.403339862823486,-6.350644111633301
