idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.496607780456543,-6.262097358703613,-7.451406955718994,-7.811209678649902,-6.536571025848389,-7.145198822021484
2,-7.361756324768066,-6.3596906661987305,-7.513897895812988,-7.881607532501221,-6.504524230957031,-7.236948490142822
3,-7.082995414733887,-5.9008307456970215,-7.2341508865356445,-7.437717437744141,-5.733314037322998,-6.984152317047119
4,-6.840516090393066,-5.163934707641602,-6.624085903167725,-7.320793151855469,-5.545690536499023,-6.517004013061523
5,-7.712485313415527,-6.42831563949585,-7.824301242828369,-8.141647338867188,-6.972012042999268,-7.267029285430908
6,-7.02327823638916,-6.531656265258789,-8.251448631286621,-7.99067497253418,-7.303714275360107,-7.145198822021484
7,-6.945487976074219,-6.700355529785156,-8.283342361450195,-8.002584457397461,-7.220404148101807,-7.236948490142822
8,-6.490790367126465,-6.2524824142456055,-7.992058753967285,-7.343112945556641,-6.290604114532471,-6.984152317047119
9,-5.909060478210449,-5.462774276733398,-7.355008602142334,-6.819626808166504,-5.740205764770508,-6.517004013061523
10,-7.1382155418396,-6.574456214904785,-8.506229400634766,-7.98784065246582,-7.735628604888916,-7.267029285430908
11,-7.295551300048828,-7.884519577026367,-8.29924488067627,-8.265289306640625,-7.8263115882873535,-7.145198822021484
12,-7.263381004333496,-8.10772705078125,-8.229352951049805,-8.405089378356934,-7.668186187744141,-7.236948490142822
13,-6.938498020172119,-7.793081283569336,-8.024460792541504,-7.952617168426514,-6.950606822967529,-6.984152317047119
14,-5.836033821105957,-6.918686866760254,-7.350597381591797,-6.800665378570557,-5.544429302215576,-6.517004013061523
15,-7.288863182067871,-7.66403865814209,-8.33323860168457,-8.23583698272705,-7.907088756561279,-7.267029285430908
16,-7.170710563659668,-7.619771957397461,-8.976973533630371,-9.593552589416504,-6.536571025848389,-7.301219940185547
17,-7.10512638092041,-8.149054527282715,-9.297322273254395,-9.717267036437988,-6.504524230957031,-7.263894557952881
18,-6.722672462463379,-8.03489875793457,-9.296173095703125,-9.179527282714844,-5.733314037322998,-7.590633869171143
19,-6.587648868560791,-6.342640399932861,-8.281416893005371,-9.292540550231934,-5.545690536499023,-6.835117340087891
20,-7.612757682800293,-8.105372428894043,-9.639852523803711,-10.027143478393555,-6.972012042999268,-7.4656243324279785
21,-7.372704029083252,-8.332322120666504,-9.105005264282227,-10.178054809570312,-7.303714275360107,-7.301219940185547
22,-7.575648784637451,-9.124346733093262,-9.685794830322266,-10.717190742492676,-7.220404148101807,-7.263894557952881
23,-7.132768630981445,-8.73195743560791,-9.350714683532715,-9.918782234191895,-6.290604114532471,-7.590633869171143
24,-6.314619064331055,-6.625463962554932,-8.023933410644531,-9.17526626586914,-5.740205764770508,-6.835117340087891
25,-7.562529563903809,-8.65909194946289,-9.616275787353516,-10.125061988830566,-7.735628604888916,-7.4656243324279785
26,-7.63984489440918,-9.198838233947754,-8.947088241577148,-11.206448554992676,-7.8263115882873535,-7.301219940185547
27,-7.677178382873535,-10.041610717773438,-9.359477996826172,-11.437630653381348,-7.668186187744141,-7.263894557952881
28,-7.36543607711792,-10.012652397155762,-9.299517631530762,-11.103549003601074,-6.950606822967529,-7.590633869171143
29,-5.966975212097168,-8.065892219543457,-7.875332832336426,-9.297388076782227,-5.544429302215576,-6.835117340087891
30,-7.417784214019775,-9.07528305053711,-8.945173263549805,-11.250682830810547,-7.907088756561279,-7.4656243324279785
31,-7.963296890258789,-7.4440178871154785,-7.823826789855957,-11.055027961730957,-6.536571025848389,-7.899614334106445
32,-8.078022003173828,-7.376181125640869,-7.746363639831543,-11.016060829162598,-6.504524230957031,-7.694570541381836
33,-7.588001251220703,-7.158685207366943,-7.599739074707031,-10.194594383239746,-5.733314037322998,-7.856906890869141
