idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.058881759643555,-6.405647277832031,-7.393914699554443,-6.181933879852295,-6.940334796905518,-5.52714204788208
2,-5.05924654006958,-6.481441497802734,-7.3243255615234375,-6.377152442932129,-6.65149450302124,-5.557018756866455
3,-4.760759353637695,-6.123218536376953,-7.004168510437012,-6.017522811889648,-6.227283477783203,-5.356087684631348
4,-4.439451217651367,-5.526003360748291,-6.59320068359375,-5.619589328765869,-5.609353542327881,-4.818356513977051
5,-5.512153148651123,-6.961887359619141,-7.724270820617676,-6.968555927276611,-7.1738762855529785,-5.731350898742676
6,-5.286696434020996,-7.185575008392334,-8.064260482788086,-6.860017776489258,-7.481312274932861,-5.52714204788208
7,-5.488356113433838,-7.162057876586914,-7.968330383300781,-7.197966575622559,-7.584761142730713,-5.557018756866455
8,-5.12286376953125,-6.829196929931641,-7.6710205078125,-6.725216865539551,-6.83031702041626,-5.356087684631348
9,-4.397817611694336,-6.188945770263672,-7.202258110046387,-5.92072868347168,-5.722179412841797,-4.818356513977051
10,-5.699461936950684,-7.734989166259766,-8.401632308959961,-7.528903484344482,-7.655902862548828,-5.731350898742676
11,-5.32098388671875,-7.323666095733643,-7.997032165527344,-7.049673080444336,-7.793176174163818,-5.52714204788208
12,-5.922886848449707,-7.561639785766602,-8.12942123413086,-7.787012577056885,-8.461648941040039,-5.557018756866455
13,-5.427721977233887,-7.201414585113525,-7.845725059509277,-7.3355302810668945,-7.688671112060547,-5.356087684631348
14,-4.198094844818115,-6.598429203033447,-7.453484535217285,-6.0058488845825195,-5.629775524139404,-4.818356513977051
15,-5.7064714431762695,-7.97459602355957,-8.491758346557617,-7.516200065612793,-8.316237449645996,-5.731350898742676
16,-7.161585807800293,-8.646315574645996,-9.247770309448242,-9.901068687438965,-6.940334796905518,-8.158341407775879
17,-7.065001964569092,-8.406506538391113,-8.963288307189941,-10.010128021240234,-6.65149450302124,-8.08786392211914
18,-6.634303092956543,-8.025862693786621,-8.5814847946167,-9.35233211517334,-6.227283477783203,-8.035037994384766
19,-6.352716445922852,-7.220546722412109,-7.9483442306518555,-8.851320266723633,-5.609353542327881,-7.349706172943115
20,-7.376685619354248,-8.358283996582031,-8.962493896484375,-10.513138771057129,-7.1738762855529785,-7.673106670379639
21,-7.52578592300415,-9.45396900177002,-9.85776138305664,-10.091324806213379,-7.481312274932861,-8.158341407775879
22,-7.7396626472473145,-8.99822998046875,-9.511724472045898,-10.37781810760498,-7.584761142730713,-8.08786392211914
23,-7.225221633911133,-8.72200870513916,-9.28030776977539,-9.836865425109863,-6.83031702041626,-8.035037994384766
24,-6.377775192260742,-7.726048946380615,-8.497539520263672,-8.71164608001709,-5.722179412841797,-7.349706172943115
25,-7.592097282409668,-9.211506843566895,-9.528759002685547,-10.468948364257812,-7.655902862548828,-7.673106670379639
26,-7.54701042175293,-9.322009086608887,-9.708902359008789,-10.078442573547363,-7.793176174163818,-8.158341407775879
27,-8.273860931396484,-9.317416191101074,-9.666427612304688,-11.09754467010498,-8.461648941040039,-8.08786392211914
28,-7.592293739318848,-9.231993675231934,-9.615562438964844,-10.261239051818848,-7.688671112060547,-8.035037994384766
29,-6.093689918518066,-8.073263168334961,-8.683364868164062,-8.295475959777832,-5.629775524139404,-7.349706172943115
30,-7.817856311798096,-9.243531227111816,-9.512212753295898,-10.624873161315918,-8.316237449645996,-7.673106670379639
31,-7.398703098297119,-8.814408302307129,-9.432072639465332,-10.566170692443848,-6.940334796905518,-8.961299896240234
32,-7.373629570007324,-8.994876861572266,-9.268876075744629,-10.675089836120605,-6.65149450302124,-9.146471977233887
33,-6.813546180725098,-8.186725616455078,-8.713882446289062,-9.877681732177734,-6.227283477783203,-8.47004222869873
34,-6.372365951538086,-6.616807460784912,-7.665287971496582,-9.092411041259766,-5.609353542327881,-7.326406002044678
35,-7.838834285736084,-9.933716773986816,-10.059833526611328,-11.380370140075684,-7.1738762855529785,-9.240628242492676
36,-7.653871059417725,-9.926928520202637,-10.274372100830078,-10.813145637512207,-7.481312274932861,-8.961299896240234
37,-7.824103355407715,-9.848116874694824,-10.040334701538086,-11.088932991027832,-7.584761142730713,-9.146471977233887
38,-7.1946563720703125,-9.152449607849121,-9.585297584533691,-10.369349479675293,-6.83031702041626,-8.47004222869873
39,-6.352908611297607,-7.5032734870910645,-8.328338623046875,-9.14017391204834,-5.722179412841797,-7.326406002044678
40,-7.965068340301514,-11.034235954284668,-11.052436828613281,-11.3328857421875,-7.655902862548828,-9.240628242492676
41,-7.917681694030762,-10.563342094421387,-10.31898021697998,-10.973664283752441,-7.793176174163818,-8.961299896240234
42,-8.573567390441895,-10.918078422546387,-10.405376434326172,-11.935249328613281,-8.461648941040039,-9.146471977233887
43,-7.890000820159912,-10.290508270263672,-9.99075984954834,-10.940842628479004,-7.688671112060547,-8.47004222869873
44,-6.36952018737793,-8.5330228805542,-8.791779518127441,-9.020209312438965,-5.629775524139404,-7.326406002044678
45,-8.598783493041992,-11.471301078796387,-10.937110900878906,-11.724432945251465,-8.316237449645996,-9.240628242492676
46,-4.893959045410156,-7.3368239402771,-8.239980697631836,-7.730338096618652,-6.940334796905518,-6.067422866821289
47,-4.744077682495117,-6.857602119445801,-7.685911655426025,-7.576976776123047,-6.65149450302124,-5.652788162231445
48,-4.430881977081299,-6.599525451660156,-7.552116394042969,-7.25361442565918,-6.227283477783203,-5.499626159667969
49,-4.007687568664551,-5.547909736633301,-6.85955810546875,-6.756413459777832,-5.609353542327881,-4.76621150970459
50,-5.453415870666504,-7.977782726287842,-8.790295600891113,-8.582684516906738,-7.1738762855529785,-6.465968132019043
51,-5.23774528503418,-7.69382381439209,-8.614022254943848,-8.130468368530273,-7.481312274932861,-6.067422866821289
52,-5.234507083892822,-7.187717437744141,-8.021617889404297,-8.231760025024414,-7.584761142730713,-5.652788162231445
53,-4.908575534820557,-6.893584251403809,-7.94207239151001,-7.835883617401123,-6.83031702041626,-5.499626159667969
54,-4.219165802001953,-5.8192219734191895,-7.241023063659668,-7.069990634918213,-5.722179412841797,-4.76621150970459
55,-5.6969194412231445,-8.311553955078125,-9.196491241455078,-8.852749824523926,-7.655902862548828,-6.465968132019043
56,-5.686943054199219,-8.196039199829102,-8.5270414352417,-8.549461364746094,-7.793176174163818,-6.067422866821289
57,-6.1407365798950195,-7.906277656555176,-8.163736343383789,-9.105722427368164,-8.461648941040039,-5.652788162231445
58,-5.5551557540893555,-7.582903861999512,-8.006632804870605,-8.458932876586914,-7.688671112060547,-5.499626159667969
59,-4.406436920166016,-6.568686485290527,-7.3272504806518555,-7.1646623611450195,-5.629775524139404,-4.76621150970459
60,-6.237410545349121,-8.654394149780273,-8.985095024108887,-9.210602760314941,-8.316237449645996,-6.465968132019043
61,-7.77969217300415,-9.053689002990723,-9.666622161865234,-11.711002349853516,-6.940334796905518,-8.663514137268066
62,-7.646099090576172,-9.578099250793457,-9.869072914123535,-11.829100608825684,-6.65149450302124,-9.132285118103027
63,-7.230312824249268,-8.811805725097656,-9.32038688659668,-11.268267631530762,-6.227283477783203,-8.702208518981934
64,-6.998112678527832,-7.875404357910156,-8.658764839172363,-10.78347396850586,-5.609353542327881,-7.854490756988525
65,-8.300277709960938,-9.31585693359375,-10.01959228515625,-12.69760513305664,-7.1738762855529785,-8.764102935791016
66,-8.0865478515625,-10.05008602142334,-10.40696907043457,-12.353675842285156,-7.481312274932861,-8.663514137268066
67,-8.157098770141602,-10.349160194396973,-10.37729549407959,-12.598472595214844,-7.584761142730713,-9.132285118103027
68,-7.633670806884766,-9.614574432373047,-9.965165138244629,-12.021567344665527,-6.83031702041626,-8.702208518981934
69,-6.789493560791016,-8.650657653808594,-9.328556060791016,-10.862561225891113,-5.722179412841797,-7.854490756988525
70,-8.475992202758789,-10.322609901428223,-10.763933181762695,-13.102813720703125,-7.655902862548828,-8.764102935791016
71,-8.464143753051758,-10.556258201599121,-10.530077934265137,-12.385379791259766,-7.793176174163818,-8.663514137268066
72,-9.127593040466309,-11.230903625488281,-10.873873710632324,-13.396652221679688,-8.461648941040039,-9.132285118103027
73,-8.370676040649414,-10.459306716918945,-10.449688911437988,-12.581612586975098,-7.688671112060547,-8.702208518981934
74,-6.944140434265137,-9.682852745056152,-9.766345977783203,-10.8132905960083,-5.629775524139404,-7.854490756988525
75,-9.113630294799805,-10.972943305969238,-10.917253494262695,-13.424359321594238,-8.316237449645996,-8.764102935791016
76,-5.885276794433594,-7.85699462890625,-8.426737785339355,-6.916926383972168,-6.940334796905518,-7.056370258331299
77,-5.762094974517822,-7.693855285644531,-8.046308517456055,-6.985833644866943,-6.65149450302124,-6.697988033294678
78,-5.336627006530762,-6.906332969665527,-7.5378007888793945,-6.4716267585754395,-6.227283477783203,-6.276738166809082
79,-5.168971061706543,-6.443013668060303,-7.27462911605835,-6.337128639221191,-5.609353542327881,-5.969049453735352
80,-6.252753734588623,-7.910894393920898,-8.529157638549805,-7.732478141784668,-7.1738762855529785,-6.913778305053711
81,-5.9729437828063965,-8.779760360717773,-9.173750877380371,-6.754958152770996,-7.481312274932861,-7.056370258331299
82,-6.165541172027588,-8.478145599365234,-8.709426879882812,-7.000335693359375,-7.584761142730713,-6.697988033294678
83,-5.685036659240723,-7.732836723327637,-8.268345832824707,-6.512581825256348,-6.83031702041626,-6.276738166809082
84,-5.144161224365234,-7.134208679199219,-7.9350762367248535,-6.035599231719971,-5.722179412841797,-5.969049453735352
85,-6.4115495681762695,-8.761404991149902,-9.278956413269043,-7.448719024658203,-7.655902862548828,-6.913778305053711
86,-6.110173225402832,-8.625513076782227,-9.201070785522461,-7.23497200012207,-7.793176174163818,-7.056370258331299
87,-6.672987461090088,-8.466590881347656,-8.925381660461426,-7.9527812004089355,-8.461648941040039,-6.697988033294678
88,-6.002667427062988,-7.690332889556885,-8.410204887390137,-7.221044540405273,-7.688671112060547,-6.276738166809082
89,-4.92120885848999,-7.113411903381348,-8.094297409057617,-6.16819953918457,-5.629775524139404,-5.969049453735352
90,-6.545854091644287,-8.482230186462402,-9.183151245117188,-7.966713905334473,-8.316237449645996,-6.913778305053711
