idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.066281318664551,-6.203965187072754,-7.008023738861084,-7.873350143432617,-6.876254558563232,-5.850895881652832
2,-5.375727653503418,-6.261519908905029,-7.067554473876953,-8.119118690490723,-6.6924567222595215,-5.954465866088867
3,-4.943317413330078,-5.963072776794434,-6.794512748718262,-7.609654426574707,-6.31663179397583,-5.7715654373168945
4,-4.556911468505859,-5.0661516189575195,-6.358331203460693,-7.097175121307373,-5.664567470550537,-5.489217281341553
5,-5.993888854980469,-6.47761344909668,-7.122989654541016,-8.486764907836914,-7.68834114074707,-5.583644866943359
6,-5.269760608673096,-6.811718940734863,-7.108950138092041,-8.065322875976562,-7.263014316558838,-5.850895881652832
7,-5.593401908874512,-6.800351142883301,-7.1452155113220215,-8.423127174377441,-7.3330864906311035,-5.954465866088867
8,-5.044103622436523,-6.532331466674805,-6.894298553466797,-7.769168853759766,-6.719982147216797,-5.7715654373168945
9,-4.374484062194824,-5.567516326904297,-6.419085502624512,-6.967772483825684,-5.638286113739014,-5.489217281341553
10,-5.924637317657471,-6.931221961975098,-7.19101619720459,-8.683889389038086,-7.814108371734619,-5.583644866943359
11,-5.907932758331299,-7.364160537719727,-7.546195983886719,-8.798763275146484,-7.743799209594727,-5.850895881652832
12,-6.493313789367676,-7.313663482666016,-7.57024621963501,-9.475181579589844,-8.337980270385742,-5.954465866088867
13,-5.9419450759887695,-7.131095886230469,-7.423040866851807,-8.954174041748047,-7.739988327026367,-5.7715654373168945
14,-4.916652202606201,-6.120059013366699,-6.949403285980225,-7.537782669067383,-6.297737121582031,-5.489217281341553
15,-6.2422990798950195,-7.307896614074707,-7.556485652923584,-9.255097389221191,-7.847784042358398,-5.583644866943359
16,-6.966744422912598,-8.24777889251709,-9.621452331542969,-9.140213966369629,-6.876254558563232,-7.806811809539795
17,-7.104244232177734,-8.237695693969727,-9.530385971069336,-9.173638343811035,-6.6924567222595215,-7.9587531089782715
18,-6.723418235778809,-8.174532890319824,-9.472878456115723,-8.645941734313965,-6.31663179397583,-8.0635347366333
19,-6.402558326721191,-6.666036605834961,-8.731891632080078,-7.885687351226807,-5.664567470550537,-7.169117450714111
20,-7.8174872398376465,-8.66305160522461,-9.850071907043457,-9.99239444732666,-7.68834114074707,-7.376009464263916
21,-7.43394660949707,-9.046950340270996,-9.525883674621582,-9.477355003356934,-7.263014316558838,-7.806811809539795
22,-7.8068647384643555,-9.038914680480957,-9.442477226257324,-9.752629280090332,-7.3330864906311035,-7.9587531089782715
23,-7.300677299499512,-8.939699172973633,-9.388136863708496,-9.130913734436035,-6.719982147216797,-8.0635347366333
24,-6.5399580001831055,-7.319725513458252,-8.541747093200684,-8.006824493408203,-5.638286113739014,-7.169117450714111
25,-7.9572367668151855,-9.269744873046875,-9.742270469665527,-10.024435997009277,-7.814108371734619,-7.376009464263916
26,-8.078330039978027,-9.7855806350708,-9.518221855163574,-10.772326469421387,-7.743799209594727,-7.806811809539795
27,-8.657750129699707,-9.854513168334961,-9.518445014953613,-11.555912971496582,-8.337980270385742,-7.9587531089782715
28,-8.036591529846191,-9.795796394348145,-9.579440116882324,-10.788520812988281,-7.739988327026367,-8.0635347366333
29,-6.825973033905029,-7.955410480499268,-8.361637115478516,-8.86752986907959,-6.297737121582031,-7.169117450714111
30,-8.157148361206055,-9.772638320922852,-9.586627960205078,-11.036880493164062,-7.847784042358398,-7.376009464263916
31,-5.848930358886719,-7.396825313568115,-8.742084503173828,-9.266073226928711,-6.876254558563232,-6.397946834564209
32,-6.046634674072266,-7.698312282562256,-8.990927696228027,-9.139544486999512,-6.6924567222595215,-6.842077255249023
33,-5.676630020141602,-7.632832050323486,-8.819080352783203,-8.68161392211914,-6.31663179397583,-7.016635894775391
34,-5.188164710998535,-6.300048828125,-8.104639053344727,-7.704749584197998,-5.664567470550537,-6.284549713134766
35,-6.942086219787598,-7.912776947021484,-9.221123695373535,-10.050965309143066,-7.68834114074707,-6.4024176597595215
36,-6.324885845184326,-8.34313678741455,-9.248747825622559,-9.245345115661621,-7.263014316558838,-6.397946834564209
37,-6.679293632507324,-8.562399864196777,-9.395792007446289,-9.383549690246582,-7.3330864906311035,-6.842077255249023
38,-6.109889030456543,-8.435397148132324,-9.166476249694824,-8.763453483581543,-6.719982147216797,-7.016635894775391
39,-5.284567832946777,-7.122989654541016,-8.4157133102417,-7.404087066650391,-5.638286113739014,-6.284549713134766
40,-7.042720794677734,-8.658557891845703,-9.585277557373047,-9.922919273376465,-7.814108371734619,-6.4024176597595215
41,-7.137826919555664,-9.394824028015137,-9.54964828491211,-10.539251327514648,-7.743799209594727,-6.397946834564209
42,-7.7576093673706055,-9.65732479095459,-9.653706550598145,-11.159523010253906,-8.337980270385742,-6.842077255249023
43,-7.091243267059326,-9.681014060974121,-9.664033889770508,-10.30618667602539,-7.739988327026367,-7.016635894775391
44,-5.7855024337768555,-8.166566848754883,-8.492633819580078,-8.380572319030762,-6.297737121582031,-6.284549713134766
45,-7.5270209312438965,-9.574874877929688,-9.841209411621094,-10.83448314666748,-7.847784042358398,-6.4024176597595215
46,-5.148358345031738,-6.456608772277832,-7.639313697814941,-7.595745086669922,-6.876254558563232,-6.453676223754883
47,-5.389681339263916,-5.676095962524414,-7.148705959320068,-7.688346862792969,-6.6924567222595215,-6.269082069396973
48,-5.012531757354736,-5.689496994018555,-7.101766109466553,-7.343930244445801,-6.31663179397583,-6.214199066162109
49,-4.42093563079834,-4.939451694488525,-6.595931053161621,-6.562127113342285,-5.664567470550537,-5.68632173538208
50,-6.113767147064209,-6.852543830871582,-8.191781044006348,-8.261982917785645,-7.68834114074707,-6.914650917053223
51,-5.216753959655762,-7.095816135406494,-7.947938442230225,-7.632246494293213,-7.263014316558838,-6.453676223754883
52,-5.472664833068848,-6.22764778137207,-7.471545219421387,-7.832609176635742,-7.3330864906311035,-6.269082069396973
53,-5.019533634185791,-6.308740139007568,-7.459968566894531,-7.29155969619751,-6.719982147216797,-6.214199066162109
54,-4.228158473968506,-5.4787187576293945,-6.850163459777832,-6.348658561706543,-5.638286113739014,-5.68632173538208
55,-6.017369270324707,-7.4729695320129395,-8.479435920715332,-8.14256763458252,-7.814108371734619,-6.914650917053223
56,-6.055760860443115,-6.903201103210449,-7.9451799392700195,-8.187742233276367,-7.743799209594727,-6.453676223754883
57,-6.402456760406494,-6.236939907073975,-7.6443986892700195,-8.581277847290039,-8.337980270385742,-6.269082069396973
58,-5.922077178955078,-6.418043613433838,-7.660621643066406,-8.015946388244629,-7.739988327026367,-6.214199066162109
59,-4.917874813079834,-5.427410125732422,-7.030901908874512,-6.661284446716309,-6.297737121582031,-5.68632173538208
60,-6.521370887756348,-7.303938388824463,-8.415277481079102,-8.604308128356934,-7.847784042358398,-6.914650917053223
61,-7.382055282592773,-9.668569564819336,-9.670052528381348,-9.959003448486328,-6.876254558563232,-8.607177734375
62,-7.585592746734619,-9.604459762573242,-9.674448013305664,-9.971407890319824,-6.6924567222595215,-8.72158145904541
63,-7.192994117736816,-9.5816650390625,-9.598392486572266,-9.38097858428955,-6.31663179397583,-8.771111488342285
64,-6.770899772644043,-7.906698703765869,-8.536392211914062,-8.541703224182129,-5.664567470550537,-7.99481201171875
65,-8.555784225463867,-10.086845397949219,-9.876080513000488,-10.604972839355469,-7.68834114074707,-8.214364051818848
66,-7.8156819343566895,-10.772236824035645,-9.84821891784668,-10.197396278381348,-7.263014316558838,-8.607177734375
67,-8.144789695739746,-10.54493522644043,-9.887048721313477,-10.506402015686035,-7.3330864906311035,-8.72158145904541
68,-7.589704990386963,-10.621903419494629,-9.817633628845215,-9.644920349121094,-6.719982147216797,-8.771111488342285
69,-6.8545989990234375,-8.773795127868652,-8.614307403564453,-8.549251556396484,-5.638286113739014,-7.99481201171875
70,-8.585665702819824,-10.961426734924316,-9.974749565124512,-10.885579109191895,-7.814108371734619,-8.214364051818848
71,-8.05311107635498,-10.956793785095215,-9.849148750305176,-10.717772483825684,-7.743799209594727,-8.607177734375
72,-8.635303497314453,-11.082290649414062,-10.061656951904297,-11.495055198669434,-8.337980270385742,-8.72158145904541
73,-8.057056427001953,-11.168289184570312,-10.187957763671875,-10.554364204406738,-7.739988327026367,-8.771111488342285
74,-6.868688583374023,-9.244026184082031,-8.786459922790527,-8.827916145324707,-6.297737121582031,-7.99481201171875
75,-8.380831718444824,-10.928260803222656,-10.00873851776123,-10.950302124023438,-7.847784042358398,-8.214364051818848
76,-6.09010124206543,-6.793367385864258,-7.768272399902344,-7.79082727432251,-6.876254558563232,-6.516869068145752
77,-6.29164981842041,-6.9406819343566895,-7.838990688323975,-8.124605178833008,-6.6924567222595215,-6.574116230010986
78,-5.967320442199707,-6.370739936828613,-7.403257846832275,-7.570211410522461,-6.31663179397583,-6.378650665283203
79,-5.69171142578125,-5.813294410705566,-7.350775241851807,-6.964090347290039,-5.664567470550537,-6.332124710083008
80,-7.01574182510376,-7.237285614013672,-8.127573013305664,-8.667730331420898,-7.68834114074707,-6.615453720092773
81,-6.1742353439331055,-7.6356730461120605,-8.141695976257324,-7.735931396484375,-7.263014316558838,-6.516869068145752
82,-6.530388832092285,-7.759794235229492,-8.200075149536133,-8.226184844970703,-7.3330864906311035,-6.574116230010986
83,-6.006765842437744,-7.2024335861206055,-7.782275199890137,-7.526791095733643,-6.719982147216797,-6.378650665283203
84,-5.377840518951416,-6.59651517868042,-7.687762260437012,-6.679228782653809,-5.638286113739014,-6.332124710083008
85,-6.8245110511779785,-7.909308910369873,-8.41279125213623,-8.56004810333252,-7.814108371734619,-6.615453720092773
86,-6.700174808502197,-8.263909339904785,-8.701898574829102,-8.38503646850586,-7.743799209594727,-6.516869068145752
87,-7.243934631347656,-8.393437385559082,-8.77404499053955,-9.167724609375,-8.337980270385742,-6.574116230010986
88,-6.708722114562988,-7.868263244628906,-8.395220756530762,-8.412772178649902,-7.739988327026367,-6.378650665283203
89,-5.8845720291137695,-7.212865829467773,-8.219339370727539,-7.1353960037231445,-6.297737121582031,-6.332124710083008
90,-7.258515357971191,-8.532968521118164,-8.949187278747559,-9.263843536376953,-7.847784042358398,-6.615453720092773
91,-7.092168807983398,-7.795958042144775,-8.87004566192627,-9.774275779724121,-6.876254558563232,-8.009478569030762
92,-7.305496692657471,-8.11355972290039,-8.953990936279297,-9.85429859161377,-6.6924567222595215,-8.443927764892578
93,-6.903339385986328,-7.731025695800781,-8.681342124938965,-9.28384780883789,-6.31663179397583,-8.072993278503418
94,-6.5428853034973145,-6.684268951416016,-8.2710599899292,-8.573349952697754,-5.664567470550537,-7.772744655609131
95,-7.967870235443115,-8.387211799621582,-8.925701141357422,-10.359990119934082,-7.68834114074707,-7.409233570098877
96,-7.456154823303223,-8.707735061645508,-9.018306732177734,-9.800385475158691,-7.263014316558838,-8.009478569030762
97,-7.9508209228515625,-8.88818073272705,-9.007594108581543,-10.276119232177734,-7.3330864906311035,-8.443927764892578
98,-7.440279006958008,-8.425694465637207,-8.71256160736084,-9.61337947845459,-6.719982147216797,-8.072993278503418
99,-6.540008068084717,-7.27076530456543,-8.145730018615723,-8.390685081481934,-5.638286113739014,-7.772744655609131
100,-7.982200622558594,-9.050942420959473,-8.992080688476562,-10.330794334411621,-7.814108371734619,-7.409233570098877
101,-7.852001190185547,-8.44185733795166,-8.80942153930664,-10.679736137390137,-7.743799209594727,-8.009478569030762
102,-8.451948165893555,-8.786896705627441,-8.849969863891602,-11.565814018249512,-8.337980270385742,-8.443927764892578
103,-7.757469654083252,-8.614631652832031,-8.859163284301758,-10.784896850585938,-7.739988327026367,-8.072993278503418
104,-6.72218656539917,-7.217630863189697,-8.05135726928711,-9.077801704406738,-6.297737121582031,-7.772744655609131
105,-8.033031463623047,-8.727932929992676,-8.897785186767578,-11.08060073852539,-7.847784042358398,-7.409233570098877
106,-6.922582149505615,-7.477250576019287,-8.369954109191895,-10.442740440368652,-6.876254558563232,-7.8924994468688965
107,-6.956942558288574,-7.729442596435547,-8.718393325805664,-10.44649887084961,-6.6924567222595215,-8.388924598693848
108,-6.548562049865723,-7.383368015289307,-8.319398880004883,-9.891532897949219,-6.31663179397583,-8.127276420593262
109,-6.085582733154297,-5.697302341461182,-7.381170272827148,-8.873478889465332,-5.664567470550537,-7.0014777183532715
110,-7.862941741943359,-8.222247123718262,-8.937845230102539,-11.268696784973145,-7.68834114074707,-7.702419281005859
111,-7.379781723022461,-8.727551460266113,-8.786090850830078,-10.778958320617676,-7.263014316558838,-7.8924994468688965
112,-7.603851318359375,-8.881892204284668,-9.023675918579102,-10.935009002685547,-7.3330864906311035,-8.388924598693848
113,-7.014801979064941,-8.451107025146484,-8.575736045837402,-10.182260513305664,-6.719982147216797,-8.127276420593262
114,-6.258309364318848,-6.695158004760742,-7.5269880294799805,-9.023429870605469,-5.638286113739014,-7.0014777183532715
115,-7.955080032348633,-9.246182441711426,-9.224702835083008,-11.456496238708496,-7.814108371734619,-7.702419281005859
116,-7.88023567199707,-9.184563636779785,-8.91142463684082,-11.539729118347168,-7.743799209594727,-7.8924994468688965
117,-8.457595825195312,-9.628902435302734,-9.188616752624512,-12.375404357910156,-8.337980270385742,-8.388924598693848
118,-7.841214179992676,-9.299281120300293,-9.029167175292969,-11.542900085449219,-7.739988327026367,-8.127276420593262
119,-6.58594274520874,-7.4688591957092285,-7.748368263244629,-9.65329647064209,-6.297737121582031,-7.0014777183532715
120,-8.096688270568848,-9.494925498962402,-9.156370162963867,-11.868938446044922,-7.847784042358398,-7.702419281005859
121,-5.166013717651367,-5.3695173263549805,-6.281008243560791,-6.2339277267456055,-6.876254558563232,-5.607654094696045
122,-5.346911907196045,-5.587445259094238,-6.448594570159912,-6.505723476409912,-6.6924567222595215,-5.79569149017334
