idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.088315010070801,-6.433049201965332,-7.1341872215271,-7.400359153747559,-5.5884175300598145,-6.030390739440918
2,-4.9849748611450195,-6.169824123382568,-6.81036376953125,-7.347021102905273,-5.339550018310547,-5.981664657592773
3,-4.666799068450928,-6.11976432800293,-6.756117343902588,-6.950718879699707,-4.906322956085205,-5.849865913391113
4,-4.48936653137207,-5.644848346710205,-6.300735950469971,-6.682958126068115,-4.186460494995117,-5.280463218688965
5,-5.3035173416137695,-6.728020191192627,-7.291856288909912,-7.783139228820801,-6.473181247711182,-6.151529312133789
6,-5.3861236572265625,-6.930192947387695,-7.743351936340332,-7.804559707641602,-6.383975982666016,-6.030390739440918
7,-5.511913299560547,-6.6500959396362305,-7.37790060043335,-7.722865581512451,-6.52418851852417,-5.981664657592773
8,-5.059307098388672,-6.566378593444824,-7.321943759918213,-7.3112335205078125,-5.903446197509766,-5.849865913391113
9,-4.617344856262207,-6.073995590209961,-6.801751613616943,-6.766510963439941,-4.641735553741455,-5.280463218688965
10,-5.6256561279296875,-6.972180366516113,-7.691729545593262,-8.026487350463867,-7.313844203948975,-6.151529312133789
11,-5.681241512298584,-7.519510269165039,-8.571040153503418,-7.556980133056641,-7.215287685394287,-6.030390739440918
12,-5.966477870941162,-7.309377193450928,-8.420339584350586,-8.060102462768555,-7.9213104248046875,-5.981664657592773
13,-5.655241966247559,-7.338987350463867,-8.331591606140137,-7.685521125793457,-7.13879919052124,-5.849865913391113
14,-4.52328634262085,-6.662614345550537,-7.8174729347229,-6.323216438293457,-5.428145885467529,-5.280463218688965
15,-5.800243377685547,-7.3383965492248535,-8.426933288574219,-7.85933780670166,-7.983480930328369,-6.151529312133789
16,-5.869217872619629,-6.947460174560547,-7.621121406555176,-9.461517333984375,-5.5884175300598145,-6.187185764312744
17,-5.858498573303223,-7.118247985839844,-7.608776569366455,-9.521620750427246,-5.339550018310547,-6.2651519775390625
18,-5.591063499450684,-6.866578578948975,-7.466069221496582,-9.120105743408203,-4.906322956085205,-6.3451666831970215
19,-5.28006649017334,-5.820760250091553,-6.807865142822266,-8.807141304016113,-4.186460494995117,-5.5202507972717285
20,-6.3721723556518555,-8.009303092956543,-8.426103591918945,-10.22426700592041,-6.473181247711182,-6.485483646392822
21,-6.579201698303223,-7.431372165679932,-7.999274253845215,-10.097378730773926,-6.383975982666016,-6.187185764312744
22,-6.870050430297852,-7.568363189697266,-7.987484455108643,-10.388630867004395,-6.52418851852417,-6.2651519775390625
23,-6.309021949768066,-7.4087982177734375,-7.8834052085876465,-9.759239196777344,-5.903446197509766,-6.3451666831970215
24,-5.723499774932861,-6.118721008300781,-6.949616432189941,-9.060606956481934,-4.641735553741455,-5.5202507972717285
25,-7.039483547210693,-8.030069351196289,-8.563811302185059,-10.62336254119873,-7.313844203948975,-6.485483646392822
26,-7.088910102844238,-8.857232093811035,-9.160720825195312,-10.3172607421875,-7.215287685394287,-6.187185764312744
27,-7.513680934906006,-9.338661193847656,-9.479104995727539,-10.891739845275879,-7.9213104248046875,-6.2651519775390625
28,-6.993545055389404,-9.22571849822998,-9.298073768615723,-10.462940216064453,-7.13879919052124,-6.3451666831970215
29,-5.516770362854004,-7.757829189300537,-8.435033798217773,-8.4950532913208,-5.428145885467529,-5.5202507972717285
30,-7.231323719024658,-9.257990837097168,-9.651424407958984,-10.406712532043457,-7.983480930328369,-6.485483646392822
31,-5.819226264953613,-7.61732292175293,-7.963254928588867,-10.273091316223145,-5.5884175300598145,-6.881555557250977
32,-5.619585037231445,-7.496549129486084,-7.95745849609375,-10.052410125732422,-5.339550018310547,-6.654706954956055
33,-5.430280685424805,-7.086492538452148,-7.661951065063477,-9.684722900390625,-4.906322956085205,-6.263168811798096
34,-5.034024238586426,-6.4496636390686035,-6.998022079467773,-9.18193531036377,-4.186460494995117,-5.926088333129883
35,-6.300297260284424,-8.728569984436035,-8.846680641174316,-10.95589828491211,-6.473181247711182,-7.450537204742432
36,-6.176879405975342,-8.880572319030762,-9.071479797363281,-10.657105445861816,-6.383975982666016,-6.881555557250977
37,-6.3319549560546875,-8.597710609436035,-8.910257339477539,-10.468429565429688,-6.52418851852417,-6.654706954956055
38,-5.809754848480225,-8.162426948547363,-8.59781265258789,-9.959043502807617,-5.903446197509766,-6.263168811798096
39,-5.196521759033203,-7.259510517120361,-7.829214572906494,-9.183905601501465,-4.641735553741455,-5.926088333129883
40,-6.68555212020874,-9.667681694030762,-9.785597801208496,-11.121597290039062,-7.313844203948975,-7.450537204742432
41,-6.735341548919678,-9.486092567443848,-9.637104988098145,-10.953755378723145,-7.215287685394287,-6.881555557250977
42,-7.063939094543457,-9.39615535736084,-9.734302520751953,-11.332389831542969,-7.9213104248046875,-6.654706954956055
43,-6.728354454040527,-9.27394962310791,-9.360518455505371,-11.093666076660156,-7.13879919052124,-6.263168811798096
44,-5.19611120223999,-8.277012825012207,-8.75106430053711,-9.234450340270996,-5.428145885467529,-5.926088333129883
45,-6.972931861877441,-9.918047904968262,-10.294044494628906,-11.206273078918457,-7.983480930328369,-7.450537204742432
46,-5.423486232757568,-6.378230094909668,-7.014486789703369,-8.283306121826172,-5.5884175300598145,-6.571106910705566
47,-5.135159492492676,-5.830321311950684,-6.5196123123168945,-7.754076957702637,-5.339550018310547,-6.269773483276367
48,-5.009479522705078,-5.653533458709717,-6.4884443283081055,-7.491518974304199,-4.906322956085205,-5.910618305206299
49,-4.7433013916015625,-4.9026899337768555,-5.736575126647949,-7.259418964385986,-4.186460494995117,-5.359610557556152
50,-5.895691871643066,-6.797248840332031,-7.3331804275512695,-8.571824073791504,-6.473181247711182,-6.960259437561035
51,-5.8001389503479,-6.857955455780029,-7.654473781585693,-8.228997230529785,-6.383975982666016,-6.571106910705566
52,-5.528787136077881,-6.213968276977539,-7.170819282531738,-7.742117881774902,-6.52418851852417,-6.269773483276367
53,-5.244711875915527,-6.100063323974609,-7.153752326965332,-7.403243064880371,-5.903446197509766,-5.910618305206299
