idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.3133063316345215,-5.734332084655762,-6.7375640869140625,-7.82414436340332,-5.324536323547363,-6.12883186340332
2,-5.065435886383057,-5.513028621673584,-6.77233362197876,-7.821864128112793,-4.9698262214660645,-6.202836036682129
3,-5.05271053314209,-5.368097305297852,-6.563931465148926,-7.627744674682617,-4.816791534423828,-5.777670860290527
4,-5.03244161605835,-4.709521770477295,-6.123129844665527,-7.5586090087890625,-4.8784003257751465,-5.494401931762695
5,-5.619130611419678,-5.428162097930908,-6.672613620758057,-8.100883483886719,-5.711314678192139,-5.328789234161377
6,-5.366517066955566,-6.430978775024414,-6.99139404296875,-7.678677558898926,-5.80071496963501,-6.12883186340332
7,-5.3026299476623535,-6.1717424392700195,-7.083871364593506,-7.719564914703369,-5.658472061157227,-6.202836036682129
8,-5.182178497314453,-6.0094170570373535,-6.8788161277771,-7.456449031829834,-5.522159576416016,-5.777670860290527
9,-4.73504114151001,-5.27506160736084,-6.401461601257324,-6.892801284790039,-4.8633198738098145,-5.494401931762695
10,-5.529242038726807,-6.039678573608398,-6.870310306549072,-7.772272109985352,-6.165292739868164,-5.328789234161377
11,-6.443504333496094,-8.327530860900879,-8.791963577270508,-8.867897987365723,-6.889464855194092,-6.12883186340332
12,-6.7135725021362305,-7.756000518798828,-8.448545455932617,-9.153518676757812,-7.710426330566406,-6.202836036682129
13,-6.224743366241455,-7.868816375732422,-8.520002365112305,-8.573768615722656,-7.079324245452881,-5.777670860290527
14,-5.275381088256836,-6.649200439453125,-7.751355171203613,-7.399680137634277,-5.3191819190979,-5.494401931762695
15,-6.515638828277588,-7.341851234436035,-8.311184883117676,-8.957977294921875,-7.094168186187744,-5.328789234161377
16,-6.940890789031982,-7.046329498291016,-8.313765525817871,-8.471638679504395,-5.324536323547363,-8.049151420593262
17,-6.617264747619629,-7.388547420501709,-8.555708885192871,-8.611507415771484,-4.9698262214660645,-8.040902137756348
18,-6.649534702301025,-7.278771877288818,-8.614967346191406,-8.223225593566895,-4.816791534423828,-7.865825653076172
19,-6.640704154968262,-6.260209560394287,-7.705414772033691,-8.159956932067871,-4.8784003257751465,-7.055592060089111
20,-7.06960391998291,-7.4317450523376465,-8.65787124633789,-8.883675575256348,-5.711314678192139,-7.0849761962890625
21,-7.274994850158691,-7.3791728019714355,-8.346051216125488,-8.851593971252441,-5.80071496963501,-8.049151420593262
22,-7.111907482147217,-7.745527744293213,-8.832158088684082,-8.964147567749023,-5.658472061157227,-8.040902137756348
23,-7.034523010253906,-7.71989107131958,-8.72982406616211,-8.53952693939209,-5.522159576416016,-7.865825653076172
24,-6.449328422546387,-6.422238826751709,-7.644781112670898,-8.073768615722656,-4.8633198738098145,-7.055592060089111
25,-7.254640579223633,-7.5645904541015625,-8.680416107177734,-9.056715965270996,-6.165292739868164,-7.0849761962890625
26,-8.420315742492676,-8.934863090515137,-8.813863754272461,-9.898627281188965,-6.889464855194092,-8.049151420593262
27,-8.767766952514648,-8.898162841796875,-8.751815795898438,-10.444416046142578,-7.710426330566406,-8.040902137756348
28,-8.133988380432129,-8.914458274841309,-8.78243350982666,-9.592190742492676,-7.079324245452881,-7.865825653076172
29,-6.848025798797607,-7.492406845092773,-7.59912109375,-7.929651737213135,-5.3191819190979,-7.055592060089111
30,-8.441998481750488,-8.582298278808594,-8.872913360595703,-10.066490173339844,-7.094168186187744,-7.0849761962890625
31,-6.496621131896973,-7.250064849853516,-8.836661338806152,-9.153739929199219,-5.324536323547363,-6.997961521148682
32,-5.9900898933410645,-7.4116668701171875,-8.938684463500977,-8.850722312927246,-4.9698262214660645,-7.523582458496094
33,-6.033926963806152,-6.864485263824463,-8.527664184570312,-8.576766967773438,-4.816791534423828,-6.7657294273376465
