idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.940488815307617,-6.265544891357422,-6.963630676269531,-7.260430335998535,-6.272000789642334,-6.082775115966797
2,-4.787106513977051,-6.193753242492676,-7.158059597015381,-7.2883172035217285,-5.754868984222412,-6.728682041168213
3,-4.4323930740356445,-5.673322677612305,-6.7671074867248535,-6.872526168823242,-5.349234104156494,-5.851114273071289
4,-4.364440441131592,-5.387770652770996,-6.615860939025879,-6.7749738693237305,-5.2747802734375,-5.92195463180542
5,-5.349976539611816,-7.072847366333008,-7.899779319763184,-7.760002136230469,-6.79071569442749,-6.565573692321777
6,-4.863978385925293,-6.506512641906738,-7.427309513092041,-7.154682159423828,-6.646826267242432,-6.082775115966797
7,-4.788480281829834,-6.737963676452637,-7.73871374130249,-7.255556106567383,-6.3134002685546875,-6.728682041168213
8,-4.391451358795166,-6.123227119445801,-7.1837921142578125,-6.828819274902344,-5.962374210357666,-5.851114273071289
9,-4.190823078155518,-5.746971130371094,-6.997908592224121,-6.562100410461426,-5.417987823486328,-5.92195463180542
10,-5.232149124145508,-7.368647575378418,-8.359804153442383,-7.516122817993164,-7.361465930938721,-6.565573692321777
11,-6.040148735046387,-8.14444637298584,-7.909455299377441,-8.673831939697266,-7.617019176483154,-6.082775115966797
12,-6.236402988433838,-8.325916290283203,-8.023178100585938,-9.063667297363281,-7.582808017730713,-6.728682041168213
13,-5.801939487457275,-7.794649124145508,-7.609677791595459,-8.5770902633667,-7.07952880859375,-5.851114273071289
14,-5.228304862976074,-7.312954902648926,-7.686580657958984,-7.75672721862793,-6.071744441986084,-5.92195463180542
15,-6.107891082763672,-8.67595100402832,-8.40095043182373,-8.671026229858398,-7.8481268882751465,-6.565573692321777
16,-6.060724258422852,-7.4932074546813965,-8.522951126098633,-8.802992820739746,-6.272000789642334,-8.138253211975098
17,-5.97926664352417,-7.609882354736328,-8.605134010314941,-9.016190528869629,-5.754868984222412,-8.450356483459473
18,-5.77157735824585,-7.6127610206604,-8.389607429504395,-8.604090690612793,-5.349234104156494,-8.14331340789795
19,-5.664507865905762,-6.913885116577148,-7.913538932800293,-8.4962797164917,-5.2747802734375,-7.584920883178711
20,-6.614213943481445,-7.828127384185791,-9.065601348876953,-9.473788261413574,-6.79071569442749,-8.03715991973877
21,-6.183157444000244,-8.420561790466309,-8.675237655639648,-8.687190055847168,-6.646826267242432,-8.138253211975098
22,-6.185993194580078,-8.58717155456543,-9.001235961914062,-9.14295482635498,-6.3134002685546875,-8.450356483459473
23,-5.936854362487793,-8.469600677490234,-8.63764762878418,-8.751152038574219,-5.962374210357666,-8.14331340789795
24,-5.463607311248779,-7.5332932472229,-8.108925819396973,-8.17459487915039,-5.417987823486328,-7.584920883178711
25,-6.688375473022461,-8.555683135986328,-9.194513320922852,-9.143113136291504,-7.361465930938721,-8.03715991973877
26,-7.441159248352051,-9.896037101745605,-8.828932762145996,-10.697662353515625,-7.617019176483154,-8.138253211975098
27,-7.816843509674072,-10.055770874023438,-9.192435264587402,-11.309365272521973,-7.582808017730713,-8.450356483459473
28,-7.360074520111084,-10.087165832519531,-8.969316482543945,-10.597020149230957,-7.07952880859375,-8.14331340789795
29,-6.184297561645508,-8.848029136657715,-8.312374114990234,-8.949061393737793,-6.071744441986084,-7.584920883178711
30,-7.623828411102295,-9.213149070739746,-9.051420211791992,-10.728549003601074,-7.8481268882751465,-8.03715991973877
31,-5.242096900939941,-7.325398921966553,-8.33828067779541,-9.135951042175293,-6.272000789642334,-7.267693996429443
32,-4.996970176696777,-7.1587982177734375,-8.297994613647461,-9.119152069091797,-5.754868984222412,-7.482374668121338
33,-4.6330766677856445,-6.493808746337891,-7.721209526062012,-8.60888957977295,-5.349234104156494,-6.598926544189453
34,-4.621038436889648,-6.217443943023682,-7.543247222900391,-8.383416175842285,-5.2747802734375,-6.665939807891846
35,-5.722938537597656,-8.00168228149414,-8.947456359863281,-9.938339233398438,-6.79071569442749,-7.308409214019775
36,-5.1942925453186035,-8.120715141296387,-8.764005661010742,-9.160847663879395,-6.646826267242432,-7.267693996429443
37,-4.950724124908447,-8.057909965515137,-8.675549507141113,-9.006990432739258,-6.3134002685546875,-7.482374668121338
38,-4.599474906921387,-7.264170169830322,-7.9814558029174805,-8.541409492492676,-5.962374210357666,-6.598926544189453
39,-4.384930610656738,-7.039386749267578,-7.8843793869018555,-8.043373107910156,-5.417987823486328,-6.665939807891846
40,-5.624985694885254,-8.702116966247559,-9.264280319213867,-9.762192726135254,-7.361465930938721,-7.308409214019775
41,-6.269975662231445,-8.684531211853027,-8.601522445678711,-10.479345321655273,-7.617019176483154,-7.267693996429443
42,-6.449146747589111,-8.906401634216309,-8.859373092651367,-10.684532165527344,-7.582808017730713,-7.482374668121338
43,-6.011504650115967,-8.477999687194824,-8.277271270751953,-10.057101249694824,-7.07952880859375,-6.598926544189453
44,-5.269337177276611,-8.04845905303955,-8.11652946472168,-8.947428703308105,-6.071744441986084,-6.665939807891846
45,-6.5177178382873535,-8.847437858581543,-8.867729187011719,-10.588024139404297,-7.8481268882751465,-7.308409214019775
46,-4.684117317199707,-6.275930404663086,-6.9630632400512695,-7.94228458404541,-6.272000789642334,-5.668681621551514
47,-4.201846122741699,-5.82583475112915,-7.002423286437988,-7.634004592895508,-5.754868984222412,-5.8832597732543945
48,-4.083014488220215,-5.406060218811035,-6.664114475250244,-7.204030990600586,-5.349234104156494,-5.182000637054443
49,-4.003701686859131,-5.550051689147949,-6.78341817855835,-7.1390061378479,-5.2747802734375,-5.33193302154541
50,-5.265932559967041,-7.076997756958008,-8.058001518249512,-8.579571723937988,-6.79071569442749,-6.6646528244018555
51,-4.665495872497559,-6.687196254730225,-7.205464839935303,-7.77200984954834,-6.646826267242432,-5.668681621551514
52,-4.2337141036987305,-6.270655632019043,-7.216333866119385,-7.574536323547363,-6.3134002685546875,-5.8832597732543945
53,-4.109811305999756,-5.8223114013671875,-6.796658515930176,-7.304649353027344,-5.962374210357666,-5.182000637054443
54,-3.8926072120666504,-5.997601509094238,-6.931842803955078,-7.034749984741211,-5.417987823486328,-5.33193302154541
55,-5.1536078453063965,-7.3829665184021,-8.251643180847168,-8.365180969238281,-7.361465930938721,-6.6646528244018555
56,-5.672991752624512,-7.228981971740723,-7.018036842346191,-9.261274337768555,-7.617019176483154,-5.668681621551514
57,-5.755603790283203,-6.987911224365234,-6.998222351074219,-9.485933303833008,-7.582808017730713,-5.8832597732543945
58,-5.392366886138916,-6.385964393615723,-6.534341335296631,-9.076482772827148,-7.07952880859375,-5.182000637054443
