idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.792159080505371,-6.06949520111084,-7.096285820007324,-7.388281345367432,-6.743022918701172,-6.76853609085083
2,-4.494523048400879,-5.686976432800293,-6.702725410461426,-7.1494622230529785,-6.21979284286499,-6.465961456298828
3,-4.413200378417969,-5.875435829162598,-6.7598066329956055,-6.879559516906738,-6.034196376800537,-6.209597587585449
4,-4.510113716125488,-5.206780433654785,-6.367918014526367,-6.68034553527832,-5.973821640014648,-5.9503278732299805
5,-4.866272926330566,-6.654497146606445,-7.4034929275512695,-7.7754435539245605,-7.039909362792969,-6.283163070678711
6,-5.086051940917969,-6.651293754577637,-7.194715976715088,-7.7387237548828125,-6.839686870574951,-6.76853609085083
7,-4.89798641204834,-6.234226226806641,-6.743370056152344,-7.614055633544922,-6.654727935791016,-6.465961456298828
8,-4.687651634216309,-6.542046546936035,-6.856564521789551,-7.308781623840332,-6.484658718109131,-6.209597587585449
9,-4.4718170166015625,-5.685125827789307,-6.380829334259033,-6.743813514709473,-5.899144649505615,-5.9503278732299805
10,-5.176774501800537,-7.269169807434082,-7.493217468261719,-8.065614700317383,-7.414656162261963,-6.283163070678711
11,-5.411262035369873,-7.274347305297852,-7.430676460266113,-7.998106956481934,-7.422252655029297,-6.76853609085083
12,-5.75411319732666,-7.245565414428711,-7.197740077972412,-8.477252960205078,-7.889444828033447,-6.465961456298828
13,-5.523378372192383,-7.399031639099121,-7.186640739440918,-8.022745132446289,-7.702282428741455,-6.209597587585449
14,-4.541932582855225,-6.285581111907959,-6.629107475280762,-6.717902183532715,-6.408271789550781,-5.9503278732299805
15,-5.566226959228516,-7.832444667816162,-7.7057204246521,-8.202696800231934,-8.138348579406738,-6.283163070678711
16,-5.651543140411377,-8.53997802734375,-9.21040153503418,-8.589539527893066,-6.743022918701172,-7.990902423858643
17,-5.49251127243042,-8.323124885559082,-9.023929595947266,-8.601113319396973,-6.21979284286499,-8.04196548461914
18,-5.302666664123535,-8.407208442687988,-9.067760467529297,-8.389945983886719,-6.034196376800537,-7.8563055992126465
19,-5.29016637802124,-7.11842679977417,-8.365245819091797,-8.034924507141113,-5.973821640014648,-6.726140975952148
20,-5.794216156005859,-8.848236083984375,-9.39626693725586,-8.867755889892578,-7.039909362792969,-7.684349060058594
21,-6.163118362426758,-9.050640106201172,-9.50363540649414,-9.562834739685059,-6.839686870574951,-7.990902423858643
22,-6.264093399047852,-9.026615142822266,-9.403848648071289,-9.53321361541748,-6.654727935791016,-8.04196548461914
23,-5.883290767669678,-9.253883361816406,-9.622210502624512,-9.087126731872559,-6.484658718109131,-7.8563055992126465
24,-5.538303375244141,-7.452785968780518,-8.45789909362793,-8.346955299377441,-5.899144649505615,-6.726140975952148
25,-6.4061689376831055,-9.284667015075684,-9.63093090057373,-9.866769790649414,-7.414656162261963,-7.684349060058594
26,-6.892368316650391,-9.768576622009277,-9.71434211730957,-10.12741470336914,-7.422252655029297,-7.990902423858643
27,-7.361420631408691,-9.690587997436523,-9.488142013549805,-10.864117622375488,-7.889444828033447,-8.04196548461914
28,-6.990911483764648,-10.008567810058594,-10.01382827758789,-10.321585655212402,-7.702282428741455,-7.8563055992126465
29,-5.692853927612305,-8.25905704498291,-8.811426162719727,-8.375638008117676,-6.408271789550781,-6.726140975952148
30,-7.0196027755737305,-10.128785133361816,-9.860923767089844,-10.057204246520996,-8.138348579406738,-7.684349060058594
31,-5.082582950592041,-6.695542812347412,-8.403203964233398,-9.55939769744873,-6.743022918701172,-6.381205081939697
32,-4.9426679611206055,-6.813928127288818,-8.48283863067627,-9.290064811706543,-6.21979284286499,-6.6397247314453125
33,-4.68167781829834,-7.116998672485352,-8.660058975219727,-9.05762004852295,-6.034196376800537,-6.43065071105957
34,-4.688955307006836,-6.063027858734131,-8.065093994140625,-8.701811790466309,-5.973821640014648,-5.789620876312256
35,-5.4656243324279785,-7.1735382080078125,-8.956584930419922,-10.15206241607666,-7.039909362792969,-6.589000225067139
36,-5.646172523498535,-7.005407810211182,-8.3990478515625,-10.44759750366211,-6.839686870574951,-6.381205081939697
37,-5.457971572875977,-7.383663177490234,-8.75130844116211,-9.98714542388916,-6.654727935791016,-6.6397247314453125
38,-5.12843132019043,-7.692933559417725,-8.932985305786133,-9.628734588623047,-6.484658718109131,-6.43065071105957
39,-4.856932640075684,-6.344579219818115,-8.060591697692871,-8.938650131225586,-5.899144649505615,-5.789620876312256
40,-5.853194236755371,-7.384566783905029,-9.029043197631836,-10.663300514221191,-7.414656162261963,-6.589000225067139
41,-6.281333923339844,-9.804900169372559,-9.089334487915039,-11.097262382507324,-7.422252655029297,-6.381205081939697
42,-6.73765754699707,-10.071057319641113,-9.293505668640137,-11.772732734680176,-7.889444828033447,-6.6397247314453125
43,-6.389871597290039,-10.281167030334473,-9.428825378417969,-11.272720336914062,-7.702282428741455,-6.43065071105957
44,-5.1132049560546875,-8.759147644042969,-8.377460479736328,-9.314249992370605,-6.408271789550781,-5.789620876312256
45,-6.4665374755859375,-9.928342819213867,-9.418045043945312,-11.17734146118164,-8.138348579406738,-6.589000225067139
46,-4.051114082336426,-5.163665771484375,-6.277173042297363,-7.560512065887451,-6.743022918701172,-5.430115699768066
47,-3.650308132171631,-4.620466232299805,-5.792927265167236,-7.307490348815918,-6.21979284286499,-5.115994453430176
48,-3.6119179725646973,-5.011350631713867,-5.943237781524658,-7.295079231262207,-6.034196376800537,-4.834250450134277
49,-3.567310333251953,-4.438878536224365,-5.8401875495910645,-6.994178771972656,-5.973821640014648,-4.830836772918701
50,-4.307903289794922,-5.635108947753906,-6.685821533203125,-8.117247581481934,-7.039909362792969,-5.67440128326416
51,-4.368178367614746,-5.425723075866699,-6.42535400390625,-8.084333419799805,-6.839686870574951,-5.430115699768066
52,-3.9002633094787598,-4.950344562530518,-5.894400596618652,-7.82318639755249,-6.654727935791016,-5.115994453430176
53,-3.8737215995788574,-5.377228736877441,-6.102418899536133,-7.621910572052002,-6.484658718109131,-4.834250450134277
54,-3.618345260620117,-4.675715923309326,-5.86795711517334,-7.097850322723389,-5.899144649505615,-4.830836772918701
55,-4.476600646972656,-6.056952476501465,-7.003872871398926,-8.536828994750977,-7.414656162261963,-5.67440128326416
56,-4.9694976806640625,-7.070612907409668,-7.458817958831787,-8.519632339477539,-7.422252655029297,-5.430115699768066
57,-5.164651393890381,-6.825797080993652,-7.107678413391113,-8.892485618591309,-7.889444828033447,-5.115994453430176
58,-4.989931583404541,-7.20256233215332,-7.231100559234619,-8.751934051513672,-7.702282428741455,-4.834250450134277
59,-4.110867977142334,-6.305421829223633,-6.960675239562988,-7.444911956787109,-6.408271789550781,-4.830836772918701
60,-5.164582252502441,-7.643597602844238,-8.009381294250488,-8.849936485290527,-8.138348579406738,-5.67440128326416
61,-6.011425018310547,-8.305720329284668,-8.757633209228516,-10.655571937561035,-6.743022918701172,-8.28030014038086
62,-5.961979866027832,-8.230002403259277,-8.722871780395508,-10.72690486907959,-6.21979284286499,-8.710368156433105
63,-5.594413757324219,-8.1157865524292,-8.519115447998047,-10.422212600708008,-6.034196376800537,-8.159899711608887
64,-5.669022560119629,-7.517488479614258,-8.02315902709961,-10.180388450622559,-5.973821640014648,-7.48491907119751
65,-6.290090560913086,-8.559845924377441,-9.180476188659668,-11.288406372070312,-7.039909362792969,-8.131482124328613
66,-6.383178234100342,-9.104599952697754,-9.165033340454102,-11.690499305725098,-6.839686870574951,-8.28030014038086
67,-6.38640022277832,-9.156147956848145,-9.423354148864746,-11.704468727111816,-6.654727935791016,-8.710368156433105
68,-5.9167962074279785,-9.04531192779541,-9.289865493774414,-11.317461967468262,-6.484658718109131,-8.159899711608887
69,-5.679685592651367,-8.07007122039795,-8.517414093017578,-10.740803718566895,-5.899144649505615,-7.48491907119751
70,-6.700085163116455,-9.443144798278809,-9.668879508972168,-12.049419403076172,-7.414656162261963,-8.131482124328613
71,-6.976625442504883,-10.22070026397705,-8.992136001586914,-12.680689811706543,-7.422252655029297,-8.28030014038086
72,-7.440916061401367,-10.704916954040527,-9.319878578186035,-13.379135131835938,-7.889444828033447,-8.710368156433105
73,-7.0105719566345215,-10.755440711975098,-9.289101600646973,-12.88715648651123,-7.702282428741455,-8.159899711608887
74,-5.810152530670166,-9.527849197387695,-8.443232536315918,-10.886058807373047,-6.408271789550781,-7.48491907119751
75,-7.145791053771973,-10.46081829071045,-9.291984558105469,-12.774998664855957,-8.138348579406738,-8.131482124328613
76,-5.242350101470947,-6.102133274078369,-7.450141906738281,-6.936500549316406,-6.743022918701172,-6.926109790802002
77,-5.039664268493652,-5.893272399902344,-6.961512088775635,-7.056922912597656,-6.21979284286499,-6.50145149230957
78,-4.818678379058838,-5.621625900268555,-6.793715000152588,-6.673604965209961,-6.034196376800537,-6.1470417976379395
79,-4.881627559661865,-5.048501968383789,-6.5476884841918945,-6.545830249786377,-5.973821640014648,-5.995427131652832
80,-5.551023960113525,-6.148691177368164,-7.558072090148926,-7.649789810180664,-7.039909362792969,-6.505422592163086
81,-5.542106628417969,-6.668713569641113,-7.773227691650391,-7.433712959289551,-6.839686870574951,-6.926109790802002
82,-5.344841003417969,-6.537215232849121,-7.432881832122803,-7.434525012969971,-6.654727935791016,-6.50145149230957
83,-5.0001540184021,-6.266223907470703,-7.2511186599731445,-6.949501037597656,-6.484658718109131,-6.1470417976379395
84,-4.899835109710693,-5.4087419509887695,-6.776856899261475,-6.5295891761779785,-5.899144649505615,-5.995427131652832
85,-5.792471408843994,-6.7934370040893555,-7.923984527587891,-7.948696136474609,-7.414656162261963,-6.505422592163086
86,-6.160955905914307,-7.873539447784424,-8.570638656616211,-7.5611958503723145,-7.422252655029297,-6.926109790802002
87,-6.59365701675415,-8.015327453613281,-8.12303638458252,-8.2260103225708,-7.889444828033447,-6.50145149230957
88,-6.171372413635254,-7.625585556030273,-7.7365007400512695,-7.832891464233398,-7.702282428741455,-6.1470417976379395
89,-5.3057050704956055,-6.488375663757324,-7.170313835144043,-6.771340370178223,-6.408271789550781,-5.995427131652832
90,-6.382081031799316,-8.024828910827637,-8.603564262390137,-7.975934028625488,-8.138348579406738,-6.505422592163086
91,-6.297131538391113,-7.808310031890869,-8.619819641113281,-9.79315185546875,-6.743022918701172,-7.927324295043945
92,-6.142199993133545,-7.856278896331787,-8.584857940673828,-9.927444458007812,-6.21979284286499,-7.972103118896484
93,-5.847330093383789,-7.980967998504639,-8.535881042480469,-9.742606163024902,-6.034196376800537,-7.989858150482178
94,-6.171565055847168,-7.79730224609375,-8.44106674194336,-9.650395393371582,-5.973821640014648,-7.880391597747803
95,-6.352688789367676,-7.98007345199585,-8.707083702087402,-10.081931114196777,-7.039909362792969,-7.376878261566162
96,-6.4943318367004395,-8.134292602539062,-8.503701210021973,-10.416764259338379,-6.839686870574951,-7.927324295043945
97,-6.4758405685424805,-8.476249694824219,-8.718229293823242,-10.554558753967285,-6.654727935791016,-7.972103118896484
98,-6.064648628234863,-8.692424774169922,-8.719093322753906,-10.217857360839844,-6.484658718109131,-7.989858150482178
99,-5.955013275146484,-8.158040046691895,-8.486711502075195,-9.591814041137695,-5.899144649505615,-7.880391597747803
100,-6.568228721618652,-8.594998359680176,-8.784582138061523,-10.45769214630127,-7.414656162261963,-7.376878261566162
