idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.419339179992676,-6.232597351074219,-7.046977996826172,-6.472189903259277,-6.1718268394470215,-6.095638751983643
2,-4.443867206573486,-5.816079139709473,-6.626991271972656,-6.452762126922607,-6.435072422027588,-5.605719566345215
3,-4.526810646057129,-5.7661590576171875,-6.575292110443115,-6.4185686111450195,-6.096249103546143,-5.354722023010254
4,-4.297774314880371,-5.141999244689941,-6.067636966705322,-6.122100830078125,-5.480788707733154,-5.0366973876953125
5,-4.9522833824157715,-6.723013877868652,-7.280508995056152,-7.138575553894043,-7.099449157714844,-6.00425910949707
6,-4.527885437011719,-6.661212921142578,-7.22198486328125,-6.619468688964844,-6.246382236480713,-6.095638751983643
7,-4.742213249206543,-6.270780563354492,-6.830600738525391,-6.6329450607299805,-6.689907550811768,-5.605719566345215
8,-4.521413326263428,-6.2802839279174805,-6.787779808044434,-6.3902974128723145,-6.3000617027282715,-5.354722023010254
9,-4.252724647521973,-5.630831718444824,-6.263171195983887,-5.943566799163818,-5.399054050445557,-5.0366973876953125
10,-5.153799533843994,-7.0609025955200195,-7.452935695648193,-7.229123592376709,-7.404573440551758,-6.00425910949707
11,-4.973982810974121,-8.34096908569336,-8.14708137512207,-7.156949043273926,-6.794734477996826,-6.095638751983643
12,-5.554630279541016,-8.182111740112305,-7.880637168884277,-7.973979473114014,-7.862359523773193,-5.605719566345215
13,-5.128312110900879,-8.343133926391602,-7.922118186950684,-7.433758735656738,-6.791407108306885,-5.354722023010254
14,-4.245179176330566,-7.581284999847412,-7.353314399719238,-6.40443229675293,-5.490432262420654,-5.0366973876953125
15,-5.281794548034668,-8.566734313964844,-8.363565444946289,-7.769379615783691,-7.0682291984558105,-6.00425910949707
16,-5.4620819091796875,-7.3448486328125,-8.054133415222168,-8.719603538513184,-6.1718268394470215,-7.617252349853516
17,-5.3455681800842285,-7.08941125869751,-7.993797302246094,-8.523743629455566,-6.435072422027588,-7.499088764190674
18,-5.179067611694336,-7.127338409423828,-8.025552749633789,-8.254940032958984,-6.096249103546143,-6.939083099365234
19,-4.927321910858154,-6.393948078155518,-7.468479156494141,-7.987241268157959,-5.480788707733154,-6.928197383880615
20,-5.908908843994141,-7.847283840179443,-8.562772750854492,-9.235991477966309,-7.099449157714844,-7.156015872955322
21,-5.831223487854004,-7.578355312347412,-7.965695381164551,-9.424468994140625,-6.246382236480713,-7.617252349853516
22,-6.048418998718262,-7.452772617340088,-7.986106872558594,-9.34936809539795,-6.689907550811768,-7.499088764190674
