idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.722073554992676,-6.20866584777832,-8.24200439453125,-6.505953311920166,-5.779628753662109,-6.6230058670043945
2,-4.611605644226074,-6.120833396911621,-7.991453647613525,-6.295764923095703,-5.813617706298828,-6.288920879364014
3,-4.455270290374756,-5.934197425842285,-7.796038627624512,-6.173017501831055,-5.2892842292785645,-6.181879997253418
4,-4.265271186828613,-5.152263164520264,-7.259817600250244,-6.030137062072754,-5.1724066734313965,-5.495945453643799
5,-5.188000202178955,-6.165719032287598,-8.099078178405762,-7.032834529876709,-6.580560684204102,-6.323142051696777
6,-4.516087532043457,-6.673044204711914,-7.820901393890381,-6.291899681091309,-5.588512420654297,-6.6230058670043945
7,-4.6338090896606445,-6.608037948608398,-7.603489875793457,-6.27288818359375,-5.8389668464660645,-6.288920879364014
8,-4.489635944366455,-6.459063529968262,-7.450585842132568,-6.246856689453125,-5.505312442779541,-6.181879997253418
9,-4.207630157470703,-5.515902042388916,-6.839582920074463,-5.812869071960449,-4.850626468658447,-5.495945453643799
10,-5.042382717132568,-6.488266944885254,-7.676302909851074,-6.745891571044922,-6.499209880828857,-6.323142051696777
11,-5.125472068786621,-7.001398086547852,-8.581741333007812,-7.014400482177734,-7.224668979644775,-6.6230058670043945
12,-5.57607889175415,-7.293362140655518,-8.4364652633667,-7.5762834548950195,-7.623005390167236,-6.288920879364014
13,-5.221019744873047,-7.116617202758789,-8.30980396270752,-7.290526390075684,-7.0927557945251465,-6.181879997253418
14,-4.591662883758545,-6.102947235107422,-7.6632080078125,-6.332125663757324,-6.062992095947266,-5.495945453643799
15,-5.425612449645996,-6.759920597076416,-8.302291870117188,-7.370884895324707,-7.706995487213135,-6.323142051696777
16,-6.1188435554504395,-7.509986877441406,-8.02647590637207,-10.471421241760254,-5.779628753662109,-8.029598236083984
17,-5.782302379608154,-7.404689788818359,-7.772665023803711,-10.243010520935059,-5.813617706298828,-7.505712032318115
18,-5.659245014190674,-7.04580545425415,-7.499648571014404,-9.895204544067383,-5.2892842292785645,-7.428731441497803
19,-5.459203243255615,-6.476627826690674,-7.43369197845459,-9.825175285339355,-5.1724066734313965,-6.7106757164001465
20,-6.379854202270508,-7.870411396026611,-8.10411548614502,-11.123059272766113,-6.580560684204102,-8.02562427520752
21,-6.177289962768555,-7.961637020111084,-7.749903678894043,-10.479960441589355,-5.588512420654297,-8.029598236083984
22,-6.2775092124938965,-7.909681797027588,-7.656367301940918,-10.683026313781738,-5.8389668464660645,-7.505712032318115
23,-6.0772199630737305,-7.713943004608154,-7.549844264984131,-10.392037391662598,-5.505312442779541,-7.428731441497803
24,-5.558072090148926,-6.794948577880859,-7.128965377807617,-9.4932279586792,-4.850626468658447,-6.7106757164001465
25,-6.520402431488037,-8.054122924804688,-7.97230339050293,-11.129969596862793,-6.499209880828857,-8.02562427520752
26,-7.029690742492676,-9.160216331481934,-9.294499397277832,-11.414820671081543,-7.224668979644775,-8.029598236083984
27,-7.415151596069336,-9.35910701751709,-8.851531982421875,-12.034233093261719,-7.623005390167236,-7.505712032318115
28,-6.929721832275391,-9.245875358581543,-8.893267631530762,-11.482810974121094,-7.0927557945251465,-7.428731441497803
29,-5.892507076263428,-8.1123685836792,-8.554105758666992,-9.970049858093262,-6.062992095947266,-6.7106757164001465
30,-7.0668182373046875,-8.845463752746582,-9.085853576660156,-11.717575073242188,-7.706995487213135,-8.02562427520752
31,-6.226618766784668,-7.2260870933532715,-8.118138313293457,-9.462535858154297,-5.779628753662109,-7.570982456207275
