idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.799746513366699,-7.270270347595215,-7.573251247406006,-6.645346164703369,-5.4271626472473145,-6.12587308883667
2,-4.883332252502441,-7.293622016906738,-7.587486267089844,-6.660372734069824,-5.405999660491943,-6.056501388549805
3,-4.719578742980957,-6.825523853302002,-7.074472904205322,-6.416445732116699,-5.325605869293213,-5.549165725708008
4,-4.429872512817383,-6.250640869140625,-6.615782260894775,-6.026261806488037,-4.8720479011535645,-4.952975273132324
5,-5.1625895500183105,-7.691285610198975,-7.851310729980469,-7.162252426147461,-6.231932163238525,-6.11720609664917
6,-4.619341850280762,-7.287635803222656,-7.526381492614746,-6.430838584899902,-5.499759674072266,-6.12587308883667
7,-4.818638801574707,-7.330677032470703,-7.588391304016113,-6.617415428161621,-5.672669887542725,-6.056501388549805
8,-4.660091400146484,-6.869198322296143,-7.060379981994629,-6.383027076721191,-5.597853183746338,-5.549165725708008
9,-4.238156795501709,-6.310074806213379,-6.652665138244629,-5.821065902709961,-5.096072196960449,-4.952975273132324
10,-5.0134758949279785,-7.5710344314575195,-7.700343132019043,-6.874884605407715,-6.311947345733643,-6.11720609664917
11,-5.242092132568359,-7.452144145965576,-7.874977111816406,-7.234017848968506,-6.5002593994140625,-6.12587308883667
12,-5.690022945404053,-7.520696640014648,-7.859124660491943,-7.6977715492248535,-7.093509197235107,-6.056501388549805
13,-5.604205131530762,-7.261167526245117,-7.541668891906738,-7.562870025634766,-7.051535129547119,-5.549165725708008
14,-4.6750006675720215,-6.630548000335693,-6.948382377624512,-6.3179240226745605,-5.476511001586914,-4.952975273132324
15,-5.518144130706787,-7.422704219818115,-7.921942234039307,-7.570257663726807,-7.110170841217041,-6.11720609664917
16,-6.56063175201416,-7.6680121421813965,-7.867343902587891,-8.313796043395996,-5.4271626472473145,-8.2612943649292
17,-6.585456371307373,-8.114907264709473,-8.06171989440918,-8.400439262390137,-5.405999660491943,-8.998879432678223
18,-6.594562530517578,-7.974924564361572,-7.928704261779785,-8.316088676452637,-5.325605869293213,-8.60908031463623
19,-6.308948516845703,-6.684709072113037,-7.089859962463379,-7.544622898101807,-4.8720479011535645,-7.015888214111328
20,-6.819318771362305,-7.946062088012695,-7.994600296020508,-8.879761695861816,-6.231932163238525,-8.03089427947998
21,-6.662464618682861,-8.128171920776367,-8.240181922912598,-8.450865745544434,-5.499759674072266,-8.2612943649292
22,-7.0479631423950195,-8.732685089111328,-8.531340599060059,-8.692042350769043,-5.672669887542725,-8.998879432678223
23,-7.026378631591797,-8.54075813293457,-8.370511054992676,-8.637645721435547,-5.597853183746338,-8.60908031463623
24,-6.535841464996338,-7.069152355194092,-7.444942951202393,-7.636690616607666,-5.096072196960449,-7.015888214111328
25,-7.040532112121582,-8.33757495880127,-8.2615327835083,-8.987894058227539,-6.311947345733643,-8.03089427947998
26,-7.665163040161133,-9.447193145751953,-9.05627727508545,-9.760973930358887,-6.5002593994140625,-8.2612943649292
27,-8.058269500732422,-9.8173246383667,-9.22956657409668,-10.19347095489502,-7.093509197235107,-8.998879432678223
