idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.579061985015869,-6.827587127685547,-7.259127616882324,-6.172628402709961,-5.3481574058532715,-6.113039016723633
2,-4.655062675476074,-6.6351189613342285,-6.939496040344238,-6.477169036865234,-5.400782108306885,-5.979068756103516
3,-4.415591239929199,-6.3816728591918945,-6.878701686859131,-6.061458587646484,-5.07016658782959,-5.901228904724121
4,-4.105241298675537,-5.774306297302246,-6.444932460784912,-5.660336017608643,-4.734455585479736,-5.509695529937744
5,-5.2735185623168945,-6.9713454246521,-7.497027397155762,-6.848934173583984,-6.351747989654541,-6.054553031921387
6,-4.4931840896606445,-7.2774338722229,-7.484556674957275,-6.444679260253906,-5.804093837738037,-6.113039016723633
7,-4.537537574768066,-7.167476177215576,-7.230587005615234,-6.6587347984313965,-5.98180627822876,-5.979068756103516
8,-4.299074172973633,-6.891098976135254,-7.177136421203613,-6.289804458618164,-5.594760894775391,-5.901228904724121
9,-3.9132652282714844,-6.236817359924316,-6.691227912902832,-5.735322952270508,-4.88578462600708,-5.509695529937744
10,-5.254856109619141,-7.3378005027771,-7.6135358810424805,-7.118130683898926,-6.85894775390625,-6.054553031921387
11,-5.514428615570068,-7.12359619140625,-7.993368625640869,-6.718597412109375,-7.257435321807861,-6.113039016723633
12,-5.9779767990112305,-7.270622253417969,-7.7837066650390625,-7.376962661743164,-7.8424906730651855,-5.979068756103516
13,-5.757620811462402,-6.997507572174072,-7.7051286697387695,-6.990433692932129,-7.441443920135498,-5.901228904724121
14,-4.8308610916137695,-6.286743640899658,-7.334573268890381,-5.935096263885498,-5.756124973297119,-5.509695529937744
15,-6.080735206604004,-7.153359413146973,-7.982100009918213,-7.085072994232178,-8.047450065612793,-6.054553031921387
16,-5.599618911743164,-7.866701126098633,-9.040367126464844,-7.722856044769287,-5.3481574058532715,-7.30996561050415
17,-5.570944786071777,-7.396595001220703,-8.570974349975586,-8.092158317565918,-5.400782108306885,-7.440492153167725
18,-5.349032402038574,-7.454074382781982,-8.74309253692627,-7.572488307952881,-5.07016658782959,-7.497430324554443
19,-5.222290992736816,-6.867952823638916,-8.291141510009766,-7.281762599945068,-4.734455585479736,-6.932929992675781
20,-6.147027969360352,-8.183245658874512,-9.158350944519043,-8.638427734375,-6.351747989654541,-7.393858432769775
21,-5.727334976196289,-8.31472110748291,-9.09434700012207,-7.895723342895508,-5.804093837738037,-7.30996561050415
22,-5.695209503173828,-7.938270568847656,-8.764945030212402,-8.251697540283203,-5.98180627822876,-7.440492153167725
23,-5.343229293823242,-7.938022613525391,-8.98495864868164,-7.6053147315979,-5.594760894775391,-7.497430324554443
24,-5.088740825653076,-7.149937152862549,-8.217157363891602,-6.9816670417785645,-4.88578462600708,-6.932929992675781
25,-6.246795654296875,-8.662816047668457,-9.432428359985352,-8.620102882385254,-6.85894775390625,-7.393858432769775
26,-7.045371055603027,-8.403681755065918,-8.937994003295898,-9.0651216506958,-7.257435321807861,-7.30996561050415
27,-7.39998197555542,-8.836146354675293,-8.873900413513184,-9.850884437561035,-7.8424906730651855,-7.440492153167725
28,-7.313137531280518,-8.640154838562012,-8.951743125915527,-9.55144214630127,-7.441443920135498,-7.497430324554443
29,-5.961855888366699,-7.310896396636963,-8.181963920593262,-7.8973565101623535,-5.756124973297119,-6.932929992675781
30,-7.52681303024292,-8.7330904006958,-9.131542205810547,-9.552474021911621,-8.047450065612793,-7.393858432769775
31,-4.850800514221191,-7.9228596687316895,-9.095712661743164,-9.545504570007324,-5.3481574058532715,-6.759591579437256
32,-4.890756607055664,-7.3300042152404785,-8.736740112304688,-9.775786399841309,-5.400782108306885,-6.436958312988281
33,-4.613595008850098,-7.6078667640686035,-8.63062858581543,-9.096671104431152,-5.07016658782959,-6.4426093101501465
34,-4.177175521850586,-6.499874114990234,-7.515469074249268,-8.31078815460205,-4.734455585479736,-6.0013747215271
35,-5.511782646179199,-8.901901245117188,-9.88404655456543,-10.451225280761719,-6.351747989654541,-7.193172454833984
36,-4.976404190063477,-8.512164115905762,-9.582317352294922,-9.84727954864502,-5.804093837738037,-6.759591579437256
37,-4.993045806884766,-7.93948221206665,-9.095245361328125,-10.053354263305664,-5.98180627822876,-6.436958312988281
38,-4.571220397949219,-8.179778099060059,-8.989511489868164,-9.300322532653809,-5.594760894775391,-6.4426093101501465
39,-4.020398139953613,-7.063859462738037,-7.938767433166504,-8.122383117675781,-4.88578462600708,-6.0013747215271
40,-5.711085319519043,-9.383712768554688,-10.29712963104248,-10.818644523620605,-6.85894775390625,-7.193172454833984
41,-6.057923793792725,-9.618815422058105,-9.954069137573242,-9.868218421936035,-7.257435321807861,-6.759591579437256
42,-6.560436248779297,-9.493256568908691,-9.720678329467773,-10.865116119384766,-7.8424906730651855,-6.436958312988281
43,-6.332106590270996,-9.679620742797852,-9.55654525756836,-10.408278465270996,-7.441443920135498,-6.4426093101501465
44,-5.095837593078613,-8.301016807556152,-8.45685863494873,-8.830634117126465,-5.756124973297119,-6.0013747215271
45,-6.67084264755249,-10.247505187988281,-10.363191604614258,-10.724541664123535,-8.047450065612793,-7.193172454833984
46,-4.588064193725586,-6.290972709655762,-7.128822326660156,-8.23482894897461,-5.3481574058532715,-5.944467544555664
47,-4.454703330993652,-5.877744674682617,-6.792030334472656,-8.086898803710938,-5.400782108306885,-5.961599349975586
48,-4.279988765716553,-5.743676662445068,-6.746849060058594,-7.771982669830322,-5.07016658782959,-5.507917404174805
49,-4.0545654296875,-4.866265296936035,-6.08223819732666,-7.345532417297363,-4.734455585479736,-4.719026565551758
50,-5.078976631164551,-6.828258037567139,-7.4372711181640625,-8.98531723022461,-6.351747989654541,-6.403193473815918
51,-4.77935266494751,-6.646378040313721,-7.465797424316406,-8.719232559204102,-5.804093837738037,-5.944467544555664
52,-4.672257900238037,-6.274535179138184,-7.0929670333862305,-8.733543395996094,-5.98180627822876,-5.961599349975586
53,-4.2932000160217285,-6.08824348449707,-6.924873352050781,-8.23949909210205,-5.594760894775391,-5.507917404174805
54,-3.9354896545410156,-5.227808475494385,-6.185745716094971,-7.685637474060059,-4.88578462600708,-4.719026565551758
55,-5.405694484710693,-7.02815580368042,-7.717288017272949,-9.387721061706543,-6.85894775390625,-6.403193473815918
56,-5.182701110839844,-7.664610385894775,-8.205855369567871,-8.454537391662598,-7.257435321807861,-5.944467544555664
57,-5.4046149253845215,-7.508052825927734,-7.9850172996521,-8.822138786315918,-7.8424906730651855,-5.961599349975586
58,-5.243114471435547,-7.327963829040527,-7.675418853759766,-8.511529922485352,-7.441443920135498,-5.507917404174805
59,-4.3588080406188965,-6.282785415649414,-6.865671634674072,-7.357207298278809,-5.756124973297119,-4.719026565551758
60,-5.638003349304199,-8.097411155700684,-8.375555992126465,-8.790080070495605,-8.047450065612793,-6.403193473815918
61,-6.209424018859863,-8.260860443115234,-8.87578010559082,-8.730317115783691,-5.3481574058532715,-7.788164138793945
62,-6.196760177612305,-7.767279148101807,-8.256966590881348,-8.825550079345703,-5.400782108306885,-7.798062801361084
63,-5.942073822021484,-8.103362083435059,-8.527501106262207,-8.675786972045898,-5.07016658782959,-7.909553527832031
64,-5.8110857009887695,-7.295139312744141,-7.718058109283447,-8.567986488342285,-4.734455585479736,-7.640226364135742
65,-6.882631778717041,-8.990936279296875,-9.165273666381836,-9.699055671691895,-6.351747989654541,-7.769677639007568
66,-6.342639923095703,-9.186854362487793,-9.578800201416016,-9.099102973937988,-5.804093837738037,-7.788164138793945
67,-6.415345191955566,-8.721756935119629,-9.113722801208496,-9.358561515808105,-5.98180627822876,-7.798062801361084
68,-6.0369791984558105,-9.164454460144043,-9.296125411987305,-9.098278999328613,-5.594760894775391,-7.909553527832031
69,-5.77634334564209,-8.136094093322754,-8.387939453125,-8.598739624023438,-4.88578462600708,-7.640226364135742
70,-7.028499603271484,-9.654292106628418,-9.742064476013184,-9.88586711883545,-6.85894775390625,-7.769677639007568
71,-7.667448043823242,-10.34430980682373,-10.241194725036621,-10.396735191345215,-7.257435321807861,-7.788164138793945
72,-8.03505802154541,-9.8936128616333,-9.956993103027344,-11.141685485839844,-7.8424906730651855,-7.798062801361084
73,-7.6861772537231445,-10.490530967712402,-10.107481956481934,-10.728943824768066,-7.441443920135498,-7.909553527832031
74,-6.822461128234863,-9.415878295898438,-9.307502746582031,-9.380256652832031,-5.756124973297119,-7.640226364135742
75,-8.114128112792969,-10.057348251342773,-10.10155200958252,-10.630890846252441,-8.047450065612793,-7.769677639007568
76,-4.554831504821777,-6.058877468109131,-7.1604156494140625,-6.323729515075684,-5.3481574058532715,-5.782262325286865
77,-4.5187273025512695,-5.475367546081543,-6.871551513671875,-6.463254451751709,-5.400782108306885,-5.826883792877197
78,-4.2261505126953125,-5.2995100021362305,-6.662348747253418,-5.913630485534668,-5.07016658782959,-5.485457897186279
79,-4.031142711639404,-4.9588518142700195,-6.328597068786621,-5.635916709899902,-4.734455585479736,-4.971006393432617
80,-5.14986515045166,-6.093745231628418,-7.283556938171387,-7.193851947784424,-6.351747989654541,-6.051901817321777
81,-4.589083194732666,-6.513585090637207,-7.4972429275512695,-6.779480934143066,-5.804093837738037,-5.782262325286865
82,-4.641242027282715,-5.906628608703613,-7.120702266693115,-7.044885158538818,-5.98180627822876,-5.826883792877197
83,-4.231396675109863,-5.675845146179199,-6.881316184997559,-6.332842826843262,-5.594760894775391,-5.485457897186279
84,-3.9429328441619873,-5.387450218200684,-6.62228536605835,-5.759544372558594,-4.88578462600708,-4.971006393432617
