idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.965507507324219,-4.837981224060059,-6.498737335205078,-6.7365264892578125,-5.193746089935303,-5.680422306060791
2,-5.028886318206787,-4.891051292419434,-6.332540035247803,-6.917365074157715,-5.014916896820068,-5.263311386108398
3,-4.911462306976318,-4.931166648864746,-6.176931381225586,-6.811434745788574,-5.015009880065918,-5.2109527587890625
4,-4.861634254455566,-4.261106491088867,-5.852266788482666,-6.434932708740234,-4.845729351043701,-5.162113189697266
5,-5.49757194519043,-4.851329803466797,-6.428232669830322,-7.35666561126709,-5.986875057220459,-5.434103488922119
6,-5.068306922912598,-4.980181694030762,-6.952246189117432,-6.709766387939453,-6.473527431488037,-5.680422306060791
7,-5.252325534820557,-5.128106117248535,-6.847936153411865,-6.908543109893799,-6.2856669425964355,-5.263311386108398
8,-5.0691351890563965,-5.100558757781982,-6.751405239105225,-6.772251129150391,-6.278402805328369,-5.2109527587890625
9,-4.847773551940918,-4.387755393981934,-6.319928169250488,-6.081735610961914,-5.755479335784912,-5.162113189697266
10,-5.521678447723389,-4.998316287994385,-6.894400119781494,-7.08567476272583,-7.00607442855835,-5.434103488922119
11,-5.510270595550537,-6.7896013259887695,-7.326303958892822,-7.41239595413208,-6.660337924957275,-5.680422306060791
12,-5.6472954750061035,-6.942109107971191,-6.968617916107178,-7.800901412963867,-6.907686710357666,-5.263311386108398
13,-5.4534010887146,-7.072272300720215,-6.977194309234619,-7.475344657897949,-6.392028331756592,-5.2109527587890625
14,-4.723126411437988,-6.163992404937744,-6.493100166320801,-6.21339750289917,-5.23615837097168,-5.162113189697266
15,-5.687510013580322,-6.610989570617676,-7.000052452087402,-7.616082668304443,-7.067147731781006,-5.434103488922119
16,-7.44608211517334,-7.1786789894104,-8.076374053955078,-9.481661796569824,-5.193746089935303,-8.278002738952637
17,-7.62587308883667,-6.959146499633789,-8.198722839355469,-9.768887519836426,-5.014916896820068,-7.77518892288208
18,-7.497053623199463,-7.343601703643799,-8.20846939086914,-9.544127464294434,-5.015009880065918,-8.18703556060791
19,-7.418033123016357,-5.934859752655029,-7.553798198699951,-9.179920196533203,-4.845729351043701,-7.3225016593933105
20,-8.115541458129883,-7.120975494384766,-8.481403350830078,-9.960688591003418,-5.986875057220459,-7.979482650756836
21,-7.778690338134766,-7.221452236175537,-8.668350219726562,-9.407687187194824,-6.473527431488037,-8.278002738952637
22,-7.949725151062012,-6.93145227432251,-8.82751178741455,-9.656556129455566,-6.2856669425964355,-7.77518892288208
