idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.546775817871094,-6.671047210693359,-7.314194679260254,-7.597799301147461,-6.268418788909912,-6.6628007888793945
2,-5.3994011878967285,-6.218653678894043,-6.71492862701416,-7.611245155334473,-5.983880519866943,-6.35418701171875
3,-5.108664512634277,-5.633692741394043,-6.494804382324219,-7.37735652923584,-5.474891185760498,-6.164399147033691
4,-5.055747032165527,-5.608895301818848,-6.363829612731934,-7.496620178222656,-5.2686991691589355,-6.046286582946777
5,-5.834973335266113,-6.531196594238281,-6.920016288757324,-8.308151245117188,-6.9523749351501465,-5.952648162841797
6,-5.5129899978637695,-7.396673202514648,-7.4544525146484375,-7.922049045562744,-6.4026336669921875,-6.6628007888793945
7,-5.488243103027344,-7.026012420654297,-6.940052032470703,-7.823503494262695,-6.3003315925598145,-6.35418701171875
8,-5.224343299865723,-6.425156593322754,-6.647510528564453,-7.545222759246826,-5.793951034545898,-6.164399147033691
9,-4.861947536468506,-6.335847854614258,-6.570334434509277,-7.229536056518555,-5.262626647949219,-6.046286582946777
10,-5.783997058868408,-7.268568992614746,-7.171348571777344,-8.275769233703613,-6.902299404144287,-5.952648162841797
11,-5.970507621765137,-6.866033554077148,-7.326081275939941,-7.912662029266357,-7.180788516998291,-6.6628007888793945
12,-6.116586685180664,-6.95394229888916,-7.04489803314209,-8.35080623626709,-7.3607354164123535,-6.35418701171875
13,-5.906033515930176,-6.433359146118164,-6.8482866287231445,-8.295607566833496,-7.042915344238281,-6.164399147033691
14,-5.240203857421875,-6.329993724822998,-6.885916233062744,-7.0978803634643555,-5.492736339569092,-6.046286582946777
15,-5.991341590881348,-6.614529609680176,-6.764188289642334,-8.158356666564941,-7.343456268310547,-5.952648162841797
16,-6.96092414855957,-7.462026119232178,-8.387235641479492,-9.445412635803223,-6.268418788909912,-8.369114875793457
17,-6.9083147048950195,-7.557746410369873,-8.306102752685547,-9.699783325195312,-5.983880519866943,-8.538561820983887
18,-6.737731456756592,-7.413424968719482,-8.248315811157227,-9.376121520996094,-5.474891185760498,-8.770344734191895
19,-6.683743476867676,-6.741922378540039,-7.574764251708984,-8.918041229248047,-5.2686991691589355,-8.513205528259277
20,-7.179103851318359,-8.05612850189209,-8.98594856262207,-10.394183158874512,-6.9523749351501465,-8.28848648071289
21,-7.291580677032471,-8.132892608642578,-8.60743522644043,-10.110451698303223,-6.4026336669921875,-8.369114875793457
22,-7.225690841674805,-8.3497896194458,-8.638763427734375,-10.378911972045898,-6.3003315925598145,-8.538561820983887
23,-7.110645294189453,-8.204163551330566,-8.620150566101074,-10.1078519821167,-5.793951034545898,-8.770344734191895
24,-6.470860481262207,-7.3332085609436035,-7.857850074768066,-8.98806095123291,-5.262626647949219,-8.513205528259277
25,-7.421114921569824,-8.684416770935059,-9.200141906738281,-10.758091926574707,-6.902299404144287,-8.28848648071289
26,-8.211645126342773,-8.026799201965332,-7.741329193115234,-11.790743827819824,-7.180788516998291,-8.369114875793457
27,-8.335309982299805,-8.220036506652832,-8.208240509033203,-12.35114574432373,-7.3607354164123535,-8.538561820983887
28,-8.166515350341797,-8.396993637084961,-8.360983848571777,-12.258952140808105,-7.042915344238281,-8.770344734191895
29,-7.098518371582031,-7.542657375335693,-7.684628009796143,-10.399426460266113,-5.492736339569092,-8.513205528259277
30,-8.380226135253906,-8.172999382019043,-8.375664710998535,-12.479292869567871,-7.343456268310547,-8.28848648071289
31,-6.191111087799072,-7.749654293060303,-9.169729232788086,-9.836197853088379,-6.268418788909912,-7.598634243011475
32,-6.04849100112915,-7.86676025390625,-9.240074157714844,-9.487743377685547,-5.983880519866943,-8.156634330749512
33,-5.717953205108643,-7.353643894195557,-9.133553504943848,-9.190526008605957,-5.474891185760498,-7.985764026641846
34,-5.586613655090332,-6.289272308349609,-8.409579277038574,-8.552703857421875,-5.2686991691589355,-7.42889404296875
35,-6.707596778869629,-8.332802772521973,-9.437333106994629,-10.591130256652832,-6.9523749351501465,-7.461279392242432
36,-6.548847198486328,-8.670952796936035,-9.157428741455078,-9.970926284790039,-6.4026336669921875,-7.598634243011475
37,-6.463877201080322,-8.825213432312012,-9.22950553894043,-9.733078002929688,-6.3003315925598145,-8.156634330749512
38,-6.1786580085754395,-8.284831047058105,-9.075702667236328,-9.445488929748535,-5.793951034545898,-7.985764026641846
39,-5.559547424316406,-7.1382737159729,-8.245878219604492,-8.465279579162598,-5.262626647949219,-7.42889404296875
40,-7.052961349487305,-9.220964431762695,-9.423755645751953,-10.525288581848145,-6.902299404144287,-7.461279392242432
41,-7.500080108642578,-8.83935546875,-9.11947250366211,-10.962191581726074,-7.180788516998291,-7.598634243011475
42,-7.465036392211914,-9.216826438903809,-9.606833457946777,-11.185077667236328,-7.3607354164123535,-8.156634330749512
43,-7.353017330169678,-8.871020317077637,-9.431797981262207,-11.10669231414795,-7.042915344238281,-7.985764026641846
44,-6.391861438751221,-7.803153991699219,-8.812064170837402,-9.37045669555664,-5.492736339569092,-7.42889404296875
45,-7.787972450256348,-9.007874488830566,-9.258545875549316,-11.510441780090332,-7.343456268310547,-7.461279392242432
46,-5.141274452209473,-7.663887023925781,-8.130515098571777,-8.203064918518066,-6.268418788909912,-6.409494876861572
47,-4.8322553634643555,-6.764030456542969,-7.1274213790893555,-8.191239356994629,-5.983880519866943,-5.8866376876831055
48,-4.559924602508545,-6.744420051574707,-7.200327396392822,-8.186676979064941,-5.474891185760498,-5.610301494598389
49,-4.455508708953857,-5.998594284057617,-6.627573490142822,-8.012584686279297,-5.2686991691589355,-5.416469097137451
50,-5.725444316864014,-8.555391311645508,-8.621614456176758,-9.303380012512207,-6.9523749351501465,-6.389263153076172
51,-5.275341033935547,-8.023805618286133,-8.0443754196167,-8.466690063476562,-6.4026336669921875,-6.409494876861572
52,-5.066428184509277,-7.0826416015625,-7.041987419128418,-8.342885971069336,-6.3003315925598145,-5.8866376876831055
53,-4.854208469390869,-7.120870590209961,-7.076769828796387,-8.247965812683105,-5.793951034545898,-5.610301494598389
54,-4.338148593902588,-6.351778984069824,-6.626466274261475,-7.811339378356934,-5.262626647949219,-5.416469097137451
55,-5.88214635848999,-8.994660377502441,-8.510744094848633,-9.339375495910645,-6.902299404144287,-6.389263153076172
56,-5.874517440795898,-8.095430374145508,-7.915050506591797,-8.999449729919434,-7.180788516998291,-6.409494876861572
57,-5.910552978515625,-7.351056098937988,-7.199584007263184,-9.37002944946289,-7.3607354164123535,-5.8866376876831055
58,-5.6638288497924805,-7.469358444213867,-7.20352840423584,-9.317703247070312,-7.042915344238281,-5.610301494598389
59,-5.09590482711792,-6.836268424987793,-6.98431921005249,-8.18631362915039,-5.492736339569092,-5.416469097137451
60,-6.318368434906006,-8.858135223388672,-8.089165687561035,-9.539396286010742,-7.343456268310547,-6.389263153076172
61,-7.524065971374512,-9.117253303527832,-9.335282325744629,-10.583266258239746,-6.268418788909912,-8.866813659667969
62,-7.423850059509277,-9.202987670898438,-9.339827537536621,-10.629806518554688,-5.983880519866943,-9.09321117401123
63,-6.980671405792236,-8.89124870300293,-9.176713943481445,-10.317387580871582,-5.474891185760498,-8.956286430358887
64,-6.855410575866699,-8.238421440124512,-8.551397323608398,-9.897116661071777,-5.2686991691589355,-8.763197898864746
65,-8.047853469848633,-9.487622261047363,-9.726579666137695,-11.516480445861816,-6.9523749351501465,-8.503998756408691
66,-7.878301620483398,-10.38841724395752,-9.803265571594238,-11.241751670837402,-6.4026336669921875,-8.866813659667969
67,-7.8753743171691895,-10.550612449645996,-9.872116088867188,-11.3912935256958,-6.3003315925598145,-9.09321117401123
68,-7.592898845672607,-10.28543758392334,-9.73902702331543,-11.070198059082031,-5.793951034545898,-8.956286430358887
69,-6.945149898529053,-9.396449089050293,-8.966846466064453,-10.190464973449707,-5.262626647949219,-8.763197898864746
70,-8.45419692993164,-10.806793212890625,-10.221195220947266,-11.928576469421387,-6.902299404144287,-8.503998756408691
71,-8.42655086517334,-10.2201509475708,-8.967118263244629,-11.542125701904297,-7.180788516998291,-8.866813659667969
72,-8.669954299926758,-10.301411628723145,-9.244880676269531,-12.021063804626465,-7.3607354164123535,-9.09321117401123
73,-8.3156156539917,-10.5261869430542,-9.585972785949707,-11.772300720214844,-7.042915344238281,-8.956286430358887
74,-7.34333610534668,-9.512946128845215,-9.066338539123535,-10.164860725402832,-5.492736339569092,-8.763197898864746
75,-8.710030555725098,-10.454737663269043,-9.730464935302734,-12.085678100585938,-7.343456268310547,-8.503998756408691
76,-5.688412189483643,-7.029029846191406,-8.241523742675781,-7.952654838562012,-6.268418788909912,-7.030311584472656
77,-5.438732624053955,-6.547534465789795,-7.612174987792969,-7.855807304382324,-5.983880519866943,-6.559652328491211
78,-5.183495998382568,-6.022419452667236,-7.371803283691406,-7.742384910583496,-5.474891185760498,-6.245059967041016
79,-5.066640377044678,-5.79754638671875,-7.183274745941162,-7.809857368469238,-5.2686991691589355,-5.871367454528809
80,-6.071473121643066,-7.00355339050293,-7.866659641265869,-8.75895881652832,-6.9523749351501465,-6.5691657066345215
81,-5.673269748687744,-7.417607307434082,-8.061843872070312,-8.154801368713379,-6.4026336669921875,-7.030311584472656
82,-5.619266510009766,-6.978283882141113,-7.521263122558594,-8.161042213439941,-6.3003315925598145,-6.559652328491211
83,-5.413573265075684,-6.488020896911621,-7.212089538574219,-7.90177059173584,-5.793951034545898,-6.245059967041016
84,-4.864912986755371,-6.250292778015137,-7.046034336090088,-7.694423675537109,-5.262626647949219,-5.871367454528809
85,-6.190718650817871,-7.333622932434082,-7.773798942565918,-8.640707969665527,-6.902299404144287,-6.5691657066345215
86,-6.174936294555664,-7.415903091430664,-7.8361711502075195,-8.488007545471191,-7.180788516998291,-7.030311584472656
87,-6.233377456665039,-7.039778709411621,-7.297050476074219,-8.567920684814453,-7.3607354164123535,-6.559652328491211
88,-6.0912041664123535,-6.567769527435303,-7.084509372711182,-8.657508850097656,-7.042915344238281,-6.245059967041016
89,-5.27919864654541,-6.435425281524658,-7.048057556152344,-7.525354385375977,-5.492736339569092,-5.871367454528809
90,-6.486520290374756,-7.069369316101074,-7.390370845794678,-8.77827262878418,-7.343456268310547,-6.5691657066345215
91,-7.170629501342773,-8.733302116394043,-8.972326278686523,-9.93204116821289,-6.268418788909912,-8.174835205078125
92,-7.186267852783203,-8.704126358032227,-8.732048988342285,-10.11020565032959,-5.983880519866943,-8.577726364135742
93,-6.839633941650391,-8.462745666503906,-8.81069564819336,-9.926926612854004,-5.474891185760498,-8.782398223876953
94,-6.725160598754883,-8.176358222961426,-8.64182186126709,-9.773944854736328,-5.2686991691589355,-8.496978759765625
95,-7.613347053527832,-8.732178688049316,-8.900487899780273,-10.909806251525879,-6.9523749351501465,-7.901504039764404
96,-7.467484474182129,-9.255590438842773,-8.883879661560059,-10.147342681884766,-6.4026336669921875,-8.174835205078125
97,-7.616322040557861,-9.350750923156738,-8.83060359954834,-10.396141052246094,-6.3003315925598145,-8.577726364135742
98,-7.289820194244385,-9.137137413024902,-8.83390998840332,-10.144373893737793,-5.793951034545898,-8.782398223876953
99,-6.658262252807617,-8.783675193786621,-8.55209732055664,-9.421066284179688,-5.262626647949219,-8.496978759765625
100,-7.933952808380127,-9.24129581451416,-8.811874389648438,-10.985371589660645,-6.902299404144287,-7.901504039764404
101,-8.156768798828125,-9.351215362548828,-9.137860298156738,-11.290432929992676,-7.180788516998291,-8.174835205078125
102,-8.440383911132812,-9.622029304504395,-9.35336685180664,-11.857983589172363,-7.3607354164123535,-8.577726364135742
103,-8.234195709228516,-9.606501579284668,-9.445892333984375,-11.67751407623291,-7.042915344238281,-8.782398223876953
104,-7.122841835021973,-9.076067924499512,-8.980140686035156,-10.124577522277832,-5.492736339569092,-8.496978759765625
105,-8.148735046386719,-9.119083404541016,-9.23265266418457,-11.902920722961426,-7.343456268310547,-7.901504039764404
106,-6.600136756896973,-7.818079471588135,-8.418057441711426,-9.776444435119629,-6.268418788909912,-7.121109485626221
107,-6.372797012329102,-7.844210147857666,-8.40944766998291,-9.765833854675293,-5.983880519866943,-7.693231582641602
108,-5.9762678146362305,-7.681589126586914,-8.577727317810059,-9.36526107788086,-5.474891185760498,-7.988919734954834
109,-5.774234771728516,-6.318307876586914,-7.469181060791016,-8.787193298339844,-5.2686991691589355,-7.012092113494873
110,-6.936018943786621,-8.124855995178223,-9.011614799499512,-10.733192443847656,-6.9523749351501465,-7.467868328094482
111,-7.019410133361816,-8.51120662689209,-8.695815086364746,-10.081921577453613,-6.4026336669921875,-7.121109485626221
112,-6.915194511413574,-8.765881538391113,-8.830610275268555,-10.197125434875488,-6.3003315925598145,-7.693231582641602
113,-6.637688636779785,-8.64380168914795,-8.865848541259766,-9.836474418640137,-5.793951034545898,-7.988919734954834
114,-5.846611976623535,-7.0665283203125,-7.689581871032715,-8.8015775680542,-5.262626647949219,-7.012092113494873
115,-7.267297267913818,-8.731185913085938,-9.1719331741333,-10.939552307128906,-6.902299404144287,-7.467868328094482
116,-7.607416152954102,-8.145086288452148,-8.11791706085205,-11.275726318359375,-7.180788516998291,-7.121109485626221
117,-7.806924343109131,-8.452542304992676,-8.524499893188477,-11.755032539367676,-7.3607354164123535,-7.693231582641602
118,-7.511563301086426,-8.41958999633789,-8.848329544067383,-11.694197654724121,-7.042915344238281,-7.988919734954834
119,-6.338726043701172,-6.782949924468994,-7.810721397399902,-9.821051597595215,-5.492736339569092,-7.012092113494873
120,-7.8521528244018555,-7.711495876312256,-8.553823471069336,-12.038243293762207,-7.343456268310547,-7.467868328094482
121,-5.690657138824463,-5.878662586212158,-6.900036334991455,-7.379323482513428,-6.268418788909912,-6.156146049499512
122,-5.6297736167907715,-6.4456071853637695,-7.149682521820068,-7.529205322265625,-5.983880519866943,-6.5387725830078125
123,-5.364442348480225,-6.140795707702637,-7.024280548095703,-7.168637752532959,-5.474891185760498,-6.527517795562744
124,-5.20918083190918,-5.164198398590088,-6.003015041351318,-6.718617916107178,-5.2686991691589355,-5.359540939331055
125,-6.116163730621338,-6.110102653503418,-6.808786392211914,-8.179300308227539,-6.9523749351501465,-5.926057815551758
126,-5.76296854019165,-6.0766096115112305,-7.151529312133789,-7.233736991882324,-6.4026336669921875,-6.156146049499512
127,-5.840036869049072,-6.624033451080322,-7.38246488571167,-7.332583427429199,-6.3003315925598145,-6.5387725830078125
128,-5.6298980712890625,-6.3145856857299805,-7.321381092071533,-7.064543724060059,-5.793951034545898,-6.527517795562744
129,-5.2150373458862305,-5.381105899810791,-6.306990146636963,-6.529351711273193,-5.262626647949219,-5.359541416168213
130,-6.138580322265625,-6.282548904418945,-7.050483226776123,-7.883108615875244,-6.902299404144287,-5.926059722900391
131,-6.000673770904541,-6.5710344314575195,-7.278491973876953,-7.466137886047363,-7.180788516998291,-6.156147003173828
132,-6.166839599609375,-7.165949821472168,-7.395147323608398,-7.713294982910156,-7.3607354164123535,-6.538774013519287
133,-6.0413079261779785,-7.031141757965088,-7.574086666107178,-7.5611572265625,-7.042915344238281,-6.527519226074219
134,-5.234716892242432,-5.983825206756592,-6.641270160675049,-6.4585089683532715,-5.492736339569092,-5.359541416168213
135,-6.3294548988342285,-6.562386989593506,-7.248275279998779,-7.801999568939209,-7.343456268310547,-5.926059722900391
136,-5.693911552429199,-6.2950873374938965,-6.827657222747803,-6.464822292327881,-6.268418788909912,-5.932712078094482
137,-5.537060737609863,-6.303788661956787,-6.7293548583984375,-6.458371639251709,-5.983880519866943,-6.117309093475342
138,-5.35272216796875,-5.789495468139648,-6.352567195892334,-6.289473056793213,-5.474891185760498,-5.6306538581848145
139,-5.3104963302612305,-5.384010314941406,-6.000954627990723,-6.187750339508057,-5.2686991691589355,-5.554147720336914
140,-5.997352123260498,-6.51437520980835,-6.745734214782715,-6.942845821380615,-6.9523749351501465,-6.034727573394775
141,-5.837985515594482,-6.8330979347229,-6.733232021331787,-6.580655574798584,-6.4026336669921875,-5.932712078094482
142,-5.810184001922607,-6.845272064208984,-6.6833882331848145,-6.538083553314209,-6.3003315925598145,-6.117309093475342
143,-5.586430072784424,-6.3832688331604,-6.355266571044922,-6.300422668457031,-5.793951034545898,-5.6306538581848145
144,-5.277464389801025,-5.9288201332092285,-6.067446231842041,-6.003775119781494,-5.262626647949219,-5.554147720336914
145,-6.1396942138671875,-7.038687229156494,-6.70498514175415,-6.867546081542969,-6.902299404144287,-6.034727573394775
146,-5.960195064544678,-6.1631622314453125,-7.039286136627197,-6.695715427398682,-7.180788516998291,-5.932712078094482
147,-6.072026252746582,-6.220111846923828,-7.0061354637146,-7.003248691558838,-7.3607354164123535,-6.117309093475342
148,-5.924960136413574,-5.978128910064697,-6.737036228179932,-6.894630432128906,-7.042915344238281,-5.6306538581848145
