idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.087686538696289,-6.524916648864746,-6.857011318206787,-6.397002220153809,-5.704753875732422,-5.3884406089782715
2,-3.8719265460968018,-6.387753009796143,-6.70834493637085,-6.093706130981445,-5.662403106689453,-5.170262813568115
3,-3.7815399169921875,-6.160928249359131,-6.5499267578125,-5.76996374130249,-5.633520603179932,-4.98458194732666
4,-3.617223024368286,-4.932263374328613,-5.7729082107543945,-5.478835105895996,-5.016433238983154,-4.304050922393799
5,-4.188889503479004,-6.507508277893066,-6.511296272277832,-6.611512184143066,-6.4121575355529785,-4.57605504989624
6,-4.051980495452881,-6.94758415222168,-7.064741611480713,-6.25579833984375,-5.632479190826416,-5.3884406089782715
7,-3.8479762077331543,-7.012642860412598,-6.9434356689453125,-5.989056587219238,-5.793521881103516,-5.170262813568115
8,-3.722262144088745,-6.682222843170166,-6.808384895324707,-5.688196659088135,-5.666710376739502,-4.98458194732666
9,-3.37330961227417,-5.407321929931641,-6.08663272857666,-5.1990461349487305,-4.727200031280518,-4.304050922393799
10,-4.162728309631348,-6.874096870422363,-6.627863883972168,-6.415966987609863,-6.379339694976807,-4.57605504989624
11,-4.423824310302734,-7.388147354125977,-7.766354560852051,-6.861141204833984,-6.365530490875244,-5.3884406089782715
12,-4.583014488220215,-7.530367851257324,-7.634469509124756,-7.1979289054870605,-6.88006591796875,-5.170262813568115
13,-4.478723049163818,-7.299286842346191,-7.558412075042725,-6.8409342765808105,-6.629209518432617,-4.98458194732666
14,-3.660487413406372,-6.159363746643066,-6.811820983886719,-5.886096000671387,-5.3926825523376465,-4.304050922393799
15,-4.568734169006348,-7.1388020515441895,-7.248753547668457,-7.028377056121826,-6.972875118255615,-4.57605504989624
16,-5.897627830505371,-7.944820404052734,-8.024749755859375,-8.674911499023438,-5.704753875732422,-6.782402038574219
17,-5.589953422546387,-7.7811150550842285,-7.906686782836914,-8.370318412780762,-5.662403106689453,-6.798591613769531
18,-5.495758056640625,-7.910495758056641,-8.099242210388184,-7.918521881103516,-5.633520603179932,-6.871394634246826
19,-5.431926727294922,-6.970127105712891,-7.583044052124023,-7.861621856689453,-5.016433238983154,-6.265434265136719
20,-6.15585994720459,-7.9007697105407715,-8.107361793518066,-8.7962646484375,-6.4121575355529785,-6.448230743408203
21,-5.6836628913879395,-8.431992530822754,-7.8727312088012695,-8.065727233886719,-5.632479190826416,-6.782402038574219
22,-5.4869384765625,-8.460112571716309,-7.8577141761779785,-7.880166530609131,-5.793521881103516,-6.798591613769531
23,-5.363617897033691,-8.439788818359375,-8.038473129272461,-7.488245487213135,-5.666710376739502,-6.871394634246826
24,-4.93766975402832,-7.312675952911377,-7.476078033447266,-7.214442729949951,-4.727200031280518,-6.265434265136719
25,-5.92741584777832,-8.346208572387695,-7.898002624511719,-8.356616020202637,-6.379339694976807,-6.448230743408203
26,-6.228623390197754,-9.412880897521973,-8.665850639343262,-9.572646141052246,-6.365530490875244,-6.782402038574219
27,-6.356246471405029,-9.49132251739502,-8.599703788757324,-10.00200366973877,-6.88006591796875,-6.798591613769531
28,-6.129971504211426,-9.695704460144043,-8.902316093444824,-9.528655052185059,-6.629209518432617,-6.871394634246826
29,-5.052463531494141,-8.485343933105469,-8.19175910949707,-8.13175106048584,-5.3926825523376465,-6.265434265136719
30,-6.489195346832275,-9.059815406799316,-8.457634925842285,-9.75341510772705,-6.972875118255615,-6.448230743408203
31,-6.130685806274414,-7.509321689605713,-7.9533772468566895,-9.63632869720459,-5.704753875732422,-7.123857021331787
32,-5.817112922668457,-7.320550441741943,-7.760412216186523,-9.063485145568848,-5.662403106689453,-7.128161907196045
33,-5.649712562561035,-7.113194942474365,-7.83266019821167,-8.50911808013916,-5.633520603179932,-7.0842719078063965
34,-5.446617126464844,-6.116962432861328,-7.1910319328308105,-8.168871879577637,-5.016433238983154,-6.324769496917725
35,-6.289276123046875,-7.290711879730225,-7.722089767456055,-9.496745109558105,-6.4121575355529785,-6.423766613006592
36,-5.8303375244140625,-7.852258205413818,-7.8614115715026855,-8.875961303710938,-5.632479190826416,-7.123857021331787
37,-5.529305458068848,-7.856443405151367,-7.726302623748779,-8.356709480285645,-5.793521881103516,-7.128161907196045
38,-5.275879383087158,-7.589914798736572,-7.8122782707214355,-7.8827948570251465,-5.666710376739502,-7.0842719078063965
39,-4.8592939376831055,-6.556620121002197,-7.143617630004883,-7.396727085113525,-4.727200031280518,-6.324769496917725
40,-6.041716575622559,-7.4594268798828125,-7.471263408660889,-8.93253231048584,-6.379339694976807,-6.423766613006592
41,-6.292689800262451,-9.201807022094727,-8.849592208862305,-9.55490779876709,-6.365530490875244,-7.123857021331787
42,-6.402710437774658,-9.32088565826416,-8.740747451782227,-9.775904655456543,-6.88006591796875,-7.128161907196045
43,-6.15799617767334,-9.335174560546875,-8.930643081665039,-9.221287727355957,-6.629209518432617,-7.0842719078063965
44,-5.125242710113525,-8.08041763305664,-8.151361465454102,-7.991436004638672,-5.3926825523376465,-6.324769496917725
45,-6.656067371368408,-8.863763809204102,-8.386414527893066,-9.832032203674316,-6.972875118255615,-6.423766613006592
46,-4.71401309967041,-6.230672836303711,-6.87386417388916,-6.776520252227783,-5.704753875732422,-6.104155540466309
47,-4.322436332702637,-5.529442310333252,-6.298532962799072,-6.358401298522949,-5.662403106689453,-5.638198375701904
48,-4.300289154052734,-5.322883605957031,-6.1011762619018555,-6.2196760177612305,-5.633520603179932,-5.324543476104736
49,-4.0739240646362305,-4.641879558563232,-5.768779277801514,-6.051921844482422,-5.016433238983154,-4.984953880310059
