idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.018518924713135,-7.253854274749756,-7.359437465667725,-7.212213516235352,-6.809798717498779,-7.001275539398193
2,-4.92437219619751,-6.8715105056762695,-7.1235198974609375,-7.152070045471191,-6.760326385498047,-6.659852504730225
3,-4.5410614013671875,-6.675264358520508,-6.975561618804932,-6.672614097595215,-6.1140217781066895,-6.586967468261719
4,-4.250502586364746,-6.3580427169799805,-6.618478298187256,-6.179437637329102,-5.522758483886719,-6.360642910003662
5,-5.144658088684082,-6.955410003662109,-7.461560249328613,-7.475830078125,-7.4529290199279785,-6.835483551025391
6,-5.095785617828369,-7.416572570800781,-7.465075492858887,-6.971930980682373,-6.861154079437256,-7.001275539398193
7,-5.1159186363220215,-7.018219470977783,-7.294560432434082,-6.928005218505859,-7.116698741912842,-6.659852504730225
8,-4.717606544494629,-6.849392414093018,-7.165894985198975,-6.4881391525268555,-6.359102725982666,-6.586967468261719
9,-4.243089199066162,-6.391523361206055,-6.6087751388549805,-5.700026512145996,-5.421026706695557,-6.360642910003662
10,-5.416393280029297,-6.998838424682617,-7.490694999694824,-7.379397392272949,-7.65214204788208,-6.835483551025391
11,-5.0006022453308105,-7.459384918212891,-7.810389518737793,-7.236004829406738,-6.570804595947266,-7.001275539398193
12,-5.346442222595215,-7.2445807456970215,-7.723388671875,-7.495021820068359,-7.649603366851807,-6.659852504730225
13,-5.082049369812012,-7.192797660827637,-7.7130231857299805,-7.13987398147583,-7.026712894439697,-6.586967468261719
14,-4.074944019317627,-6.539231300354004,-7.219975471496582,-5.672670841217041,-5.3100786209106445,-6.360642910003662
15,-5.193202495574951,-6.828832626342773,-7.876609802246094,-7.32454776763916,-7.3687424659729,-6.835483551025391
16,-6.123012542724609,-8.130672454833984,-8.47734260559082,-9.783293724060059,-6.809798717498779,-8.268391609191895
17,-6.164207458496094,-8.055564880371094,-8.806602478027344,-9.865463256835938,-6.760326385498047,-8.437469482421875
18,-5.774188995361328,-7.751327991485596,-8.661866188049316,-9.158868789672852,-6.1140217781066895,-8.434449195861816
19,-5.454268455505371,-6.8784098625183105,-7.7843122482299805,-8.719010353088379,-5.522758483886719,-7.232353210449219
20,-6.279972076416016,-8.630692481994629,-9.363190650939941,-9.632831573486328,-7.4529290199279785,-8.539249420166016
21,-6.234464645385742,-8.167351722717285,-8.632608413696289,-10.145730018615723,-6.861154079437256,-8.268391609191895
22,-6.446126937866211,-8.294421195983887,-9.181377410888672,-10.147383689880371,-7.116698741912842,-8.437469482421875
23,-6.0505781173706055,-8.018959999084473,-9.05136489868164,-9.549755096435547,-6.359102725982666,-8.434449195861816
24,-5.418788433074951,-7.090519428253174,-8.055606842041016,-8.407151222229004,-5.421026706695557,-7.232353210449219
25,-6.574275016784668,-8.698200225830078,-9.540061950683594,-10.329480171203613,-7.65214204788208,-8.539249420166016
26,-6.673356056213379,-8.914386749267578,-8.787761688232422,-10.374783515930176,-6.570804595947266,-8.268391609191895
27,-7.295733451843262,-9.533935546875,-9.214381217956543,-11.015571594238281,-7.649603366851807,-8.437469482421875
28,-6.876239776611328,-9.245758056640625,-9.112895011901855,-10.54296875,-7.026712894439697,-8.434449195861816
