idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.820455074310303,-6.925914764404297,-7.105574131011963,-7.144071578979492,-5.782527446746826,-6.874627113342285
2,-4.301558017730713,-6.241874694824219,-6.416489601135254,-6.644503593444824,-5.417179584503174,-6.1137309074401855
3,-4.231321811676025,-6.182709693908691,-6.377493858337402,-6.582441806793213,-5.1063923835754395,-5.780438423156738
4,-3.7414441108703613,-5.066823959350586,-5.540539741516113,-5.928641319274902,-4.923646450042725,-4.835485935211182
5,-4.805755615234375,-6.359580039978027,-6.6899733543396,-7.1223344802856445,-6.2079176902771,-6.1384735107421875
6,-5.1705322265625,-7.4008636474609375,-7.31381893157959,-7.527550220489502,-6.244192123413086,-6.874627113342285
7,-4.664649963378906,-6.657064437866211,-6.590863227844238,-7.11769437789917,-5.969506740570068,-6.1137309074401855
8,-4.537497520446777,-6.617274284362793,-6.544522285461426,-6.896809101104736,-5.539747714996338,-5.780438423156738
9,-3.731372117996216,-5.4425554275512695,-5.641383171081543,-5.899405479431152,-4.74104118347168,-4.835485935211182
10,-5.060312747955322,-6.797399520874023,-6.858913421630859,-7.294506072998047,-6.528865814208984,-6.1384735107421875
11,-5.1745758056640625,-8.082878112792969,-8.178899765014648,-7.511042594909668,-6.968156337738037,-6.874627113342285
12,-5.089394569396973,-7.5705766677856445,-7.5457611083984375,-7.745060920715332,-7.3436279296875,-6.1137309074401855
13,-5.104024410247803,-7.568630218505859,-7.565254211425781,-7.673702716827393,-6.9732513427734375,-5.780438423156738
14,-4.091244697570801,-6.168951034545898,-6.538036346435547,-6.351905822753906,-5.811121463775635,-4.835485935211182
15,-5.323810577392578,-7.394319534301758,-7.699638366699219,-7.636707782745361,-7.715875148773193,-6.1384735107421875
16,-7.310477256774902,-7.977896213531494,-7.245595932006836,-10.096625328063965,-5.782527446746826,-8.559298515319824
17,-6.876540660858154,-7.921712875366211,-6.964223384857178,-9.762650489807129,-5.417179584503174,-8.062914848327637
18,-6.558423042297363,-7.796040058135986,-6.851451873779297,-9.388208389282227,-5.1063923835754395,-8.237898826599121
19,-5.871562957763672,-6.679903507232666,-6.292760848999023,-8.355477333068848,-4.923646450042725,-7.3961663246154785
20,-7.089679718017578,-8.025500297546387,-7.297158718109131,-10.002938270568848,-6.2079176902771,-7.888935089111328
21,-7.792580604553223,-8.357468605041504,-7.322361946105957,-10.733566284179688,-6.244192123413086,-8.559298515319824
22,-7.2983198165893555,-8.474778175354004,-7.269453525543213,-10.376816749572754,-5.969506740570068,-8.062914848327637
23,-6.986100196838379,-8.378045082092285,-7.1689653396606445,-9.894248962402344,-5.539747714996338,-8.237898826599121
24,-6.028866767883301,-7.1326775550842285,-6.481186866760254,-8.547593116760254,-4.74104118347168,-7.3961663246154785
25,-7.480717658996582,-8.324774742126465,-7.391357898712158,-10.389628410339355,-6.528865814208984,-7.888935089111328
26,-8.067361831665039,-8.660755157470703,-7.798267841339111,-11.120147705078125,-6.968156337738037,-8.559298515319824
27,-8.340327262878418,-8.566576957702637,-7.545177936553955,-11.901801109313965,-7.3436279296875,-8.062914848327637
28,-8.136188507080078,-8.58379077911377,-7.6364850997924805,-11.438667297363281,-6.9732513427734375,-8.237898826599121
29,-6.790879726409912,-7.117848873138428,-6.818251609802246,-9.358113288879395,-5.811121463775635,-7.3961663246154785
30,-8.003894805908203,-8.394816398620605,-7.616135597229004,-11.108609199523926,-7.715875148773193,-7.888935089111328
31,-5.940935134887695,-8.515015602111816,-7.568039417266846,-8.976377487182617,-5.782527446746826,-7.2719035148620605
32,-5.5136823654174805,-7.8965983390808105,-6.869847297668457,-8.518294334411621,-5.417179584503174,-6.469041347503662
33,-5.177881240844727,-7.830637454986572,-6.81201696395874,-8.126047134399414,-5.1063923835754395,-6.620138168334961
34,-4.270352363586426,-6.2351202964782715,-5.712817192077637,-6.765007019042969,-4.923646450042725,-5.254524230957031
35,-5.9226837158203125,-8.416707038879395,-7.537695407867432,-9.014460563659668,-6.2079176902771,-7.363178730010986
36,-6.596379280090332,-8.949629783630371,-7.682629108428955,-9.34272289276123,-6.244192123413086,-7.2719035148620605
37,-5.9882307052612305,-8.442461967468262,-7.094846725463867,-8.829218864440918,-5.969506740570068,-6.469041347503662
38,-5.600310802459717,-8.40534496307373,-7.027492046356201,-8.271493911743164,-5.539747714996338,-6.620138168334961
39,-4.322447299957275,-6.678345203399658,-5.859230995178223,-6.759313106536865,-4.74104118347168,-5.254524230957031
40,-6.457046985626221,-9.018597602844238,-7.7531843185424805,-9.186753273010254,-6.528865814208984,-7.363178730010986
41,-6.224925994873047,-9.155069351196289,-8.289011001586914,-9.184616088867188,-6.968156337738037,-7.2719035148620605
42,-6.4546918869018555,-8.49992847442627,-7.60194206237793,-9.926859855651855,-7.3436279296875,-6.469041347503662
43,-6.329155921936035,-8.679215431213379,-7.791143894195557,-9.616923332214355,-6.9732513427734375,-6.620138168334961
44,-4.845150947570801,-6.8939080238342285,-6.506842613220215,-7.359070301055908,-5.811121463775635,-5.254524230957031
45,-6.415900230407715,-8.891143798828125,-8.207443237304688,-9.58452320098877,-7.715875148773193,-7.363178730010986
46,-5.111703395843506,-7.150446891784668,-6.844531059265137,-8.80714225769043,-5.782527446746826,-6.746176719665527
47,-4.6639723777771,-6.5118865966796875,-6.342482566833496,-8.32215690612793,-5.417179584503174,-6.037800312042236
48,-4.517772674560547,-6.199063301086426,-6.0642242431640625,-8.224825859069824,-5.1063923835754395,-5.716186046600342
49,-4.052812576293945,-5.534992218017578,-5.592982292175293,-7.396297454833984,-4.923646450042725,-5.069238185882568
50,-5.126797676086426,-7.343504428863525,-7.051170349121094,-8.935379981994629,-6.2079176902771,-6.994026184082031
51,-5.423818588256836,-7.597294330596924,-6.949268341064453,-9.14036750793457,-6.244192123413086,-6.746176719665527
52,-4.995589256286621,-6.819955825805664,-6.423164367675781,-8.715503692626953,-5.969506740570068,-6.037800312042236
53,-4.906451225280762,-6.5126800537109375,-6.177901744842529,-8.585138320922852,-5.539747714996338,-5.716186046600342
54,-4.26295280456543,-5.8780035972595215,-5.674989700317383,-7.609365940093994,-4.74104118347168,-5.069238185882568
55,-5.5114593505859375,-7.634161949157715,-7.103109836578369,-9.299383163452148,-6.528865814208984,-6.994026184082031
56,-5.906953811645508,-8.152414321899414,-7.1865105628967285,-9.167390823364258,-6.968156337738037,-6.746176719665527
57,-5.840112209320068,-7.369319915771484,-6.539740085601807,-9.19622802734375,-7.3436279296875,-6.037800312042236
58,-5.786871433258057,-7.153124809265137,-6.426919460296631,-9.20716667175293,-6.9732513427734375,-5.716186046600342
59,-5.0146074295043945,-6.318447589874268,-5.8337578773498535,-7.9966583251953125,-5.811121463775635,-5.069238185882568
60,-6.319680213928223,-8.164669036865234,-7.298239707946777,-9.488554954528809,-7.715875148773193,-6.994026184082031
61,-7.703211307525635,-9.470026969909668,-8.551980972290039,-12.164848327636719,-5.782527446746826,-10.832493782043457
62,-7.086800575256348,-9.286988258361816,-8.235817909240723,-11.707634925842285,-5.417179584503174,-10.011985778808594
63,-6.823785305023193,-8.738086700439453,-7.658694267272949,-11.408087730407715,-5.1063923835754395,-9.41180419921875
64,-6.204156398773193,-7.894067287445068,-7.158810615539551,-10.443148612976074,-4.923646450042725,-8.625374794006348
65,-7.599146842956543,-9.171265602111816,-8.705595970153809,-12.071982383728027,-6.2079176902771,-10.655421257019043
66,-8.159058570861816,-9.941303253173828,-8.541646003723145,-12.758480072021484,-6.244192123413086,-10.832493782043457
67,-7.5274457931518555,-9.756529808044434,-8.39476203918457,-12.34325122833252,-5.969506740570068,-10.011985778808594
68,-7.227185249328613,-9.288073539733887,-7.797252655029297,-11.972491264343262,-5.539747714996338,-9.41180419921875
69,-6.224433898925781,-8.469771385192871,-7.309116363525391,-10.565966606140137,-4.74104118347168,-8.625374794006348
70,-7.933566570281982,-9.548062324523926,-8.56934928894043,-12.457858085632324,-6.528865814208984,-10.655421257019043
71,-8.316734313964844,-11.11329174041748,-9.667054176330566,-12.789645195007324,-6.968156337738037,-10.832493782043457
72,-8.424729347229004,-10.88895034790039,-9.396085739135742,-13.37585163116455,-7.3436279296875,-10.011985778808594
73,-8.257231712341309,-10.527071952819824,-9.073781967163086,-13.14404010772705,-6.9732513427734375,-9.41180419921875
74,-6.932870388031006,-9.515210151672363,-8.507338523864746,-11.151265144348145,-5.811121463775635,-8.625374794006348
75,-8.558549880981445,-10.713658332824707,-9.558404922485352,-13.0794095993042,-7.715875148773193,-10.655421257019043
76,-4.916689872741699,-6.659286975860596,-6.728266716003418,-7.8758673667907715,-5.782527446746826,-6.739989757537842
77,-4.524209022521973,-6.707737922668457,-6.539559364318848,-7.644193649291992,-5.417179584503174,-6.390284538269043
78,-4.375270843505859,-5.923206329345703,-5.886061668395996,-7.334773063659668,-5.1063923835754395,-5.789851188659668
79,-4.180655002593994,-5.2833638191223145,-5.466844081878662,-6.971258163452148,-4.923646450042725,-5.1186137199401855
80,-5.0393500328063965,-6.975266933441162,-6.889173984527588,-7.961605072021484,-6.2079176902771,-6.8007659912109375
81,-5.375100612640381,-7.277961254119873,-7.100461006164551,-8.017168998718262,-6.244192123413086,-6.739989757537842
82,-4.933114528656006,-7.344364166259766,-6.959383964538574,-7.927786827087402,-5.969506740570068,-6.390284538269043
83,-4.79404354095459,-6.553809642791748,-6.240744113922119,-7.5189900398254395,-5.539747714996338,-5.789851188659668
84,-4.2330756187438965,-5.932430267333984,-5.778788089752197,-6.806027412414551,-4.74104118347168,-5.1186137199401855
85,-5.341012001037598,-7.563197135925293,-7.2757568359375,-8.146239280700684,-6.528865814208984,-6.8007659912109375
86,-5.682625770568848,-8.612833023071289,-8.113348007202148,-8.401991844177246,-6.968156337738037,-6.739989757537842
87,-5.628285884857178,-8.712198257446289,-7.92975378036499,-8.639760971069336,-7.3436279296875,-6.390284538269043
88,-5.506571292877197,-7.938749313354492,-7.286643981933594,-8.343558311462402,-6.9732513427734375,-5.789851188659668
