idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.423032760620117,-6.899963855743408,-7.157454013824463,-6.657629013061523,-5.7345871925354,-7.183204650878906
2,-5.188177108764648,-6.566740036010742,-6.815320014953613,-6.640071392059326,-5.363077640533447,-6.960625648498535
3,-4.848275184631348,-6.618403911590576,-6.8052496910095215,-6.084404945373535,-4.907857894897461,-6.844150543212891
4,-4.743539333343506,-5.740488529205322,-6.117682456970215,-5.962658882141113,-4.5501275062561035,-6.435796737670898
5,-5.61007833480835,-7.124153137207031,-7.114201545715332,-6.909606456756592,-5.833744049072266,-6.760446548461914
6,-5.166952610015869,-6.936496734619141,-7.08770751953125,-6.426740646362305,-5.87647008895874,-7.183204650878906
7,-5.027066707611084,-6.76243782043457,-6.866662502288818,-6.553101062774658,-5.57123327255249,-6.960625648498535
8,-4.7019243240356445,-6.753945350646973,-6.850979804992676,-6.082588195800781,-5.135687351226807,-6.844150543212891
9,-4.4770684242248535,-5.855772495269775,-6.207736015319824,-5.760512351989746,-4.57107400894165,-6.435796737670898
10,-5.3080573081970215,-7.128583908081055,-7.035557746887207,-6.781436443328857,-6.0643792152404785,-6.760446548461914
11,-5.655006408691406,-7.199339866638184,-7.292793273925781,-7.506072044372559,-7.03181266784668,-7.183204650878906
12,-5.781049728393555,-7.359201431274414,-7.325009346008301,-7.756030559539795,-7.405252933502197,-6.960625648498535
13,-5.463770866394043,-7.222273826599121,-7.225038051605225,-7.434147834777832,-6.746270656585693,-6.844150543212891
14,-4.7226691246032715,-6.225231647491455,-6.442227363586426,-6.271942138671875,-5.4713006019592285,-6.435796737670898
15,-5.697991371154785,-7.248075485229492,-7.113162040710449,-7.552619934082031,-7.067546844482422,-6.760446548461914
16,-6.535399436950684,-7.07033109664917,-8.062551498413086,-9.809121131896973,-5.7345871925354,-8.130355834960938
17,-6.26793098449707,-7.281925201416016,-8.12852954864502,-9.740715026855469,-5.363077640533447,-7.981701374053955
18,-5.944990158081055,-7.0971832275390625,-7.953125,-9.101956367492676,-4.907857894897461,-7.908921718597412
19,-5.797895431518555,-6.093086242675781,-7.252869606018066,-8.93030834197998,-4.5501275062561035,-7.05039644241333
20,-6.579985618591309,-7.687033176422119,-8.365557670593262,-9.859451293945312,-5.833744049072266,-7.571866512298584
21,-6.451751708984375,-7.676854610443115,-8.432540893554688,-9.854432106018066,-5.87647008895874,-8.130355834960938
22,-6.295347213745117,-8.082659721374512,-8.564095497131348,-10.106892585754395,-5.57123327255249,-7.981701374053955
23,-5.939643859863281,-7.814260005950928,-8.397516250610352,-9.374813079833984,-5.135687351226807,-7.908921718597412
24,-5.594912528991699,-6.69554328918457,-7.6897454261779785,-8.905040740966797,-4.57107400894165,-7.05039644241333
