idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.769752502441406,-5.616182327270508,-6.339743614196777,-6.898883819580078,-5.5655517578125,-5.030611038208008
2,-4.6831536293029785,-5.710360527038574,-6.252898693084717,-6.961441993713379,-5.618007659912109,-5.1483154296875
3,-4.301224708557129,-5.477504253387451,-6.134514808654785,-6.406913757324219,-5.2046074867248535,-4.906609058380127
4,-4.16941499710083,-4.725523948669434,-5.676104545593262,-6.005915641784668,-4.839478492736816,-4.6224799156188965
5,-4.963292598724365,-5.640270709991455,-6.29204797744751,-7.16561222076416,-6.434225559234619,-4.765207290649414
6,-4.678252696990967,-5.988968372344971,-6.663189888000488,-6.763146877288818,-6.032516002655029,-5.030611038208008
7,-4.671343803405762,-6.09664249420166,-6.568438529968262,-6.898867607116699,-6.239968776702881,-5.1483154296875
8,-4.27091121673584,-5.855983734130859,-6.444846153259277,-6.2670183181762695,-5.721214294433594,-4.906609058380127
9,-4.028120994567871,-4.956353187561035,-6.011132717132568,-5.745406150817871,-5.194687366485596,-4.6224799156188965
10,-4.88053035736084,-5.9026689529418945,-6.521522521972656,-6.955196380615234,-6.617181777954102,-4.765207290649414
11,-5.105085849761963,-6.447483062744141,-7.004602909088135,-7.399534225463867,-7.024527072906494,-5.030611038208008
12,-5.503418922424316,-6.740659713745117,-7.149890899658203,-7.875983238220215,-7.586415767669678,-5.1483154296875
13,-5.012762069702148,-6.591835975646973,-7.072869300842285,-7.30549430847168,-6.960130214691162,-4.906609058380127
14,-4.547265529632568,-5.619877815246582,-6.632050514221191,-6.360316753387451,-5.987066745758057,-4.6224799156188965
15,-5.27006721496582,-6.275891304016113,-7.011183738708496,-7.382285118103027,-7.499877452850342,-4.765207290649414
16,-6.165717601776123,-6.877048015594482,-8.137948989868164,-8.788768768310547,-5.5655517578125,-6.878616809844971
17,-6.10876989364624,-7.3604912757873535,-8.431816101074219,-9.015157699584961,-5.618007659912109,-7.068492412567139
18,-5.871737003326416,-7.32171106338501,-8.43298625946045,-8.420572280883789,-5.2046074867248535,-7.001485824584961
19,-5.644361972808838,-6.642688751220703,-7.810581207275391,-8.0314359664917,-4.839478492736816,-6.689116954803467
20,-6.451800346374512,-7.765115261077881,-8.741499900817871,-9.171250343322754,-6.434225559234619,-6.565032482147217
21,-6.579636096954346,-7.223232746124268,-8.5952787399292,-8.844593048095703,-6.032516002655029,-6.878616809844971
22,-6.615790367126465,-7.8547539710998535,-8.937006950378418,-9.108933448791504,-6.239968776702881,-7.068492412567139
23,-6.2971038818359375,-7.794486999511719,-8.984472274780273,-8.490632057189941,-5.721214294433594,-7.001485824584961
24,-5.82664155960083,-6.92370080947876,-8.208222389221191,-7.734189510345459,-5.194687366485596,-6.689116954803467
25,-6.77018928527832,-8.035922050476074,-9.082476615905762,-9.113319396972656,-6.617181777954102,-6.565032482147217
26,-7.226314067840576,-8.212578773498535,-8.800484657287598,-9.766968727111816,-7.024527072906494,-6.878616809844971
27,-7.731707572937012,-8.771353721618652,-9.189132690429688,-10.81737232208252,-7.586415767669678,-7.068492412567139
28,-7.306171894073486,-8.764124870300293,-9.274127006530762,-9.919448852539062,-6.960130214691162,-7.001485824584961
29,-6.520576477050781,-7.760111331939697,-8.484838485717773,-8.746903419494629,-5.987066745758057,-6.689116954803467
