idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.939496994018555,-5.520636558532715,-6.480645656585693,-6.710672378540039,-5.291877269744873,-5.326840400695801
2,-4.895366191864014,-5.6580047607421875,-6.7216291427612305,-6.688481330871582,-4.911040306091309,-5.804882526397705
3,-4.730462074279785,-5.446263790130615,-6.565062046051025,-6.447930812835693,-4.805099010467529,-5.526662826538086
4,-4.700173377990723,-5.021486282348633,-6.273313999176025,-6.114527702331543,-4.546342849731445,-5.329583168029785
5,-5.180662155151367,-6.15926456451416,-6.8422532081604,-7.306760311126709,-5.407201290130615,-5.493715286254883
6,-5.097522735595703,-6.026144981384277,-6.820757865905762,-6.535120010375977,-5.629052639007568,-5.326840400695801
7,-5.198782444000244,-6.2226409912109375,-7.017716884613037,-6.758288383483887,-5.560436248779297,-5.804882526397705
8,-5.049386024475098,-6.019500255584717,-6.859775543212891,-6.496870517730713,-5.412130832672119,-5.526662826538086
9,-4.748587131500244,-5.551504135131836,-6.545126914978027,-6.0819292068481445,-4.6497979164123535,-5.329583168029785
10,-5.240848541259766,-6.651430130004883,-7.122729301452637,-7.0587053298950195,-5.806148529052734,-5.493715286254883
11,-5.175284385681152,-6.676451683044434,-7.20681619644165,-6.335738182067871,-5.909782409667969,-5.326840400695801
12,-5.502039909362793,-6.815645217895508,-7.514230251312256,-6.869071960449219,-6.297359466552734,-5.804882526397705
13,-5.29000186920166,-6.58787727355957,-7.362617492675781,-6.599328994750977,-6.025119304656982,-5.526662826538086
14,-4.630846977233887,-6.014215469360352,-7.026577949523926,-5.769047260284424,-5.110495090484619,-5.329583168029785
15,-5.332550525665283,-6.713346481323242,-7.48043966293335,-6.713981628417969,-6.140817165374756,-5.493715286254883
16,-6.258316993713379,-6.9607834815979,-7.628182411193848,-8.731623649597168,-5.291877269744873,-6.8224263191223145
17,-6.153573989868164,-6.913771152496338,-7.775811195373535,-8.67247200012207,-4.911040306091309,-7.568994045257568
18,-5.822752952575684,-6.938077449798584,-7.667010307312012,-8.18853759765625,-4.805099010467529,-7.293996334075928
19,-5.823726654052734,-6.165365219116211,-7.149476051330566,-7.8823561668396,-4.546342849731445,-6.440677165985107
20,-6.359930038452148,-7.2645721435546875,-7.856365203857422,-8.934513092041016,-5.407201290130615,-6.807106018066406
21,-6.705315113067627,-7.467191219329834,-7.919946670532227,-8.762601852416992,-5.629052639007568,-6.8224263191223145
22,-6.86977481842041,-7.557029724121094,-8.134662628173828,-8.924578666687012,-5.560436248779297,-7.568994045257568
23,-6.5772833824157715,-7.624749660491943,-8.005300521850586,-8.472962379455566,-5.412130832672119,-7.293996334075928
24,-5.964631080627441,-6.636000156402588,-7.4524688720703125,-7.474760055541992,-4.6497979164123535,-6.440677165985107
25,-6.665201187133789,-7.890684604644775,-8.141439437866211,-8.74255657196045,-5.806148529052734,-6.807106018066406
26,-6.550148963928223,-8.718938827514648,-8.350218772888184,-8.573986053466797,-5.909782409667969,-6.8224263191223145
27,-6.984708309173584,-8.753524780273438,-8.4995756149292,-9.186863899230957,-6.297359466552734,-7.568994045257568
28,-6.57047176361084,-9.093770980834961,-8.580142974853516,-8.790233612060547,-6.025119304656982,-7.293996334075928
29,-5.619385719299316,-7.649729251861572,-7.836042404174805,-7.428623199462891,-5.110495090484619,-6.440677165985107
30,-6.772006034851074,-8.776825904846191,-8.626608848571777,-8.874570846557617,-6.140817165374756,-6.807106018066406
31,-5.509804725646973,-7.4292893409729,-8.06287670135498,-8.062026023864746,-5.291877269744873,-6.438896179199219
32,-5.431745529174805,-7.185230731964111,-7.808506488800049,-8.158673286437988,-4.911040306091309,-6.760761260986328
33,-5.097714424133301,-7.333983898162842,-7.855162620544434,-7.541709899902344,-4.805099010467529,-6.707958221435547
34,-4.949234485626221,-6.62200927734375,-7.575776100158691,-7.20195198059082,-4.546342849731445,-6.20918083190918
35,-5.642687797546387,-8.094486236572266,-8.479204177856445,-8.623519897460938,-5.407201290130615,-6.687656879425049
36,-5.751160621643066,-8.159955024719238,-8.40395450592041,-7.9518141746521,-5.629052639007568,-6.438896179199219
37,-5.821881294250488,-7.9406585693359375,-8.139189720153809,-8.085135459899902,-5.560436248779297,-6.760761260986328
38,-5.553268909454346,-8.182036399841309,-8.135714530944824,-7.673618316650391,-5.412130832672119,-6.707958221435547
39,-5.057250022888184,-7.358245849609375,-7.880226135253906,-6.89697790145874,-4.6497979164123535,-6.20918083190918
40,-5.857540130615234,-8.840593338012695,-8.724333763122559,-8.382821083068848,-5.806148529052734,-6.687656879425049
41,-6.11336612701416,-8.87943172454834,-8.453868865966797,-8.323173522949219,-5.909782409667969,-6.438896179199219
