idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.667875289916992,-6.4356818199157715,-6.8554487228393555,-7.327927589416504,-5.7467474937438965,-7.161813735961914
2,-5.546095371246338,-6.1547112464904785,-6.586064338684082,-7.439587593078613,-5.703546524047852,-7.143215179443359
3,-5.420106887817383,-5.946193695068359,-6.660607814788818,-7.15058708190918,-5.1952104568481445,-6.892571449279785
4,-5.403984546661377,-5.62397575378418,-6.35722541809082,-6.870488166809082,-4.855829238891602,-6.515098571777344
5,-5.742568016052246,-6.365593910217285,-6.910325527191162,-7.3737592697143555,-6.508720874786377,-6.81109094619751
6,-5.8008599281311035,-7.055874824523926,-7.036835670471191,-7.564471244812012,-5.9192962646484375,-7.161813735961914
7,-5.839918613433838,-6.964934349060059,-6.987815856933594,-7.697003364562988,-6.099754333496094,-7.143215179443359
8,-5.6403326988220215,-6.731259822845459,-7.022518157958984,-7.327667713165283,-5.616522312164307,-6.892571449279785
9,-5.428672790527344,-6.281764030456543,-6.667152404785156,-6.874378204345703,-4.982978343963623,-6.515098571777344
10,-5.9697113037109375,-7.240724563598633,-7.195387363433838,-7.70145320892334,-6.78889274597168,-6.81109094619751
11,-6.597215175628662,-7.021303176879883,-8.022794723510742,-7.585492134094238,-7.134838104248047,-7.161813735961914
12,-6.900854587554932,-7.024114608764648,-7.935734748840332,-8.250868797302246,-8.028441429138184,-7.143215179443359
13,-6.64682674407959,-6.851480960845947,-8.133333206176758,-7.928468227386475,-7.403499603271484,-6.892571449279785
14,-5.721373558044434,-6.253063201904297,-7.4926300048828125,-6.852261543273926,-5.811925411224365,-6.515098571777344
15,-6.609593868255615,-6.951456546783447,-7.951774597167969,-7.726070404052734,-7.932750701904297,-6.81109094619751
16,-6.3049163818359375,-7.352288722991943,-7.53867769241333,-8.972380638122559,-5.7467474937438965,-8.000321388244629
17,-6.222448825836182,-7.446392059326172,-7.802421569824219,-9.09804630279541,-5.703546524047852,-8.430656433105469
18,-5.988626480102539,-7.560842990875244,-7.893822193145752,-8.85004711151123,-5.1952104568481445,-8.137954711914062
19,-5.704672813415527,-6.511165618896484,-7.172579288482666,-8.517970085144043,-4.855829238891602,-6.972435474395752
20,-6.3611249923706055,-7.449015140533447,-7.700677871704102,-9.278229713439941,-6.508720874786377,-7.766834259033203
21,-6.694880962371826,-8.022149085998535,-7.598105430603027,-9.335765838623047,-5.9192962646484375,-8.000321388244629
22,-6.886528015136719,-8.286727905273438,-7.998194694519043,-9.657740592956543,-6.099754333496094,-8.430656433105469
23,-6.638419151306152,-8.434700965881348,-8.105257034301758,-9.293257713317871,-5.616522312164307,-8.137954711914062
24,-5.998042106628418,-6.927310466766357,-7.175817489624023,-8.519877433776855,-4.982978343963623,-6.972435474395752
25,-6.909300804138184,-7.983665466308594,-7.67584228515625,-9.674036979675293,-6.78889274597168,-7.766834259033203
26,-7.633087158203125,-10.024373054504395,-8.939653396606445,-9.7996187210083,-7.134838104248047,-8.000321388244629
27,-8.23574161529541,-9.847344398498535,-9.13735294342041,-10.600263595581055,-8.028441429138184,-8.430656433105469
28,-7.8296966552734375,-10.384159088134766,-9.541727066040039,-10.239365577697754,-7.403499603271484,-8.137954711914062
29,-6.46053409576416,-8.523615837097168,-8.108705520629883,-8.507797241210938,-5.811925411224365,-6.972435474395752
30,-7.87963342666626,-9.858113288879395,-9.059761047363281,-10.259482383728027,-7.932750701904297,-7.766834259033203
31,-5.710976600646973,-7.191356658935547,-7.207033157348633,-9.563843727111816,-5.7467474937438965,-6.911088466644287
32,-5.440120697021484,-7.184047698974609,-7.277711868286133,-9.203780174255371,-5.703546524047852,-6.835504531860352
33,-5.265619277954102,-6.922190189361572,-7.1968841552734375,-9.010384559631348,-5.1952104568481445,-6.565392017364502
34,-4.951251983642578,-6.148019313812256,-6.579590797424316,-8.356705665588379,-4.855829238891602,-6.056051731109619
35,-6.04054069519043,-7.3642449378967285,-7.4978485107421875,-10.100404739379883,-6.508720874786377,-6.9250102043151855
36,-5.908851623535156,-7.867537975311279,-7.8176140785217285,-9.772187232971191,-5.9192962646484375,-6.911088466644287
37,-5.739052772521973,-7.986246585845947,-7.928274631500244,-9.500007629394531,-6.099754333496094,-6.835504531860352
