idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.311851501464844,-6.027285099029541,-7.357274055480957,-7.466366767883301,-6.536380767822266,-5.762551307678223
2,-5.198688507080078,-6.3658318519592285,-7.65380334854126,-7.7434000968933105,-6.372040271759033,-6.700859546661377
3,-4.755846977233887,-6.250691890716553,-7.640225887298584,-7.526817321777344,-6.0258026123046875,-6.253836631774902
4,-4.559509754180908,-5.528569221496582,-7.133633613586426,-7.165815353393555,-5.537591457366943,-5.871673583984375
5,-5.43764066696167,-6.096022605895996,-7.299355506896973,-7.837339401245117,-6.708319187164307,-5.686556816101074
6,-5.346606254577637,-6.440974235534668,-7.852644443511963,-7.087749004364014,-6.949502468109131,-5.762551307678223
7,-5.589552402496338,-6.899336814880371,-8.25346565246582,-7.782037734985352,-6.873728275299072,-6.700859546661377
8,-5.283900260925293,-6.747403144836426,-8.152453422546387,-7.47450065612793,-6.699392795562744,-6.253836631774902
9,-4.707601547241211,-5.946413040161133,-7.59063720703125,-6.825193405151367,-5.7834930419921875,-5.871673583984375
10,-5.360579967498779,-6.48859977722168,-7.773004055023193,-7.497188091278076,-6.740971088409424,-5.686556816101074
11,-5.556636333465576,-8.0606689453125,-9.007261276245117,-8.048957824707031,-7.605703830718994,-5.762551307678223
12,-5.797768592834473,-8.53217887878418,-9.368268966674805,-8.63935375213623,-7.786065578460693,-6.700859546661377
13,-5.514872074127197,-8.464306831359863,-9.333720207214355,-8.431159973144531,-7.257009029388428,-6.253836631774902
14,-4.492644309997559,-7.699748992919922,-8.782044410705566,-6.87363338470459,-6.083775043487549,-5.871673583984375
15,-5.649674415588379,-7.748052597045898,-8.833379745483398,-8.053794860839844,-7.422354221343994,-5.686556816101074
16,-6.93167781829834,-7.3604512214660645,-8.383007049560547,-8.673017501831055,-6.536380767822266,-8.28933334350586
17,-6.89852237701416,-7.998690128326416,-8.681343078613281,-9.07260513305664,-6.372040271759033,-9.707686424255371
18,-6.413512229919434,-7.805821895599365,-8.595966339111328,-8.554014205932617,-6.0258026123046875,-8.876641273498535
19,-6.1375579833984375,-6.557312488555908,-7.88551664352417,-8.136052131652832,-5.537591457366943,-8.140548706054688
20,-6.977303504943848,-7.797135829925537,-8.519113540649414,-9.26900863647461,-6.708319187164307,-8.419417381286621
21,-7.120079040527344,-7.500413417816162,-8.894094467163086,-8.686566352844238,-6.949502468109131,-8.28933334350586
22,-7.438187599182129,-8.593623161315918,-9.378608703613281,-9.408143043518066,-6.873728275299072,-9.707686424255371
23,-6.953987121582031,-8.32299518585205,-9.131011009216309,-8.922843933105469,-6.699392795562744,-8.876641273498535
24,-6.078785419464111,-7.0163445472717285,-8.41372013092041,-7.782157897949219,-5.7834930419921875,-8.140548706054688
25,-6.994452476501465,-8.154003143310547,-8.969608306884766,-9.16303539276123,-6.740971088409424,-8.419417381286621
26,-7.4836931228637695,-9.41910457611084,-9.650561332702637,-9.358321189880371,-7.605703830718994,-8.28933334350586
27,-7.797359943389893,-10.35567855834961,-9.841636657714844,-9.88134479522705,-7.786065578460693,-9.707686424255371
