idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.501954555511475,-5.420483589172363,-6.459399223327637,-7.35953426361084,-5.742432117462158,-6.093786239624023
2,-5.325325965881348,-6.242593765258789,-6.969704627990723,-7.117372035980225,-5.679941654205322,-6.388720512390137
3,-5.168807029724121,-5.724189758300781,-6.734569549560547,-6.83530330657959,-5.3404974937438965,-6.223355293273926
4,-5.215991020202637,-5.103227615356445,-6.337515354156494,-6.5351033210754395,-5.102493762969971,-5.830599784851074
5,-5.6198272705078125,-5.496976375579834,-6.543764591217041,-7.367537498474121,-6.167291164398193,-5.774415969848633
6,-5.283449172973633,-5.782270908355713,-6.8563032150268555,-7.431513786315918,-5.927805423736572,-6.093786239624023
7,-5.2979655265808105,-6.7038092613220215,-7.36767053604126,-7.306084632873535,-5.9147491455078125,-6.388720512390137
8,-5.1548662185668945,-6.182138919830322,-7.159437656402588,-6.959298610687256,-5.720466613769531,-6.223355293273926
9,-5.100998401641846,-5.606584072113037,-6.80835485458374,-6.57614803314209,-5.284624099731445,-5.830599784851074
10,-5.481217384338379,-5.813229560852051,-6.907285213470459,-7.320448875427246,-6.396903991699219,-5.774415969848633
11,-5.584944725036621,-6.491929054260254,-7.790156364440918,-7.824275970458984,-6.60260009765625,-6.093786239624023
12,-5.913300514221191,-7.542212963104248,-8.2312593460083,-8.302603721618652,-6.94641637802124,-6.388720512390137
13,-5.694723129272461,-7.170757293701172,-8.128641128540039,-7.893721103668213,-6.720100402832031,-6.223355293273926
14,-5.014636039733887,-6.649143695831299,-7.874873161315918,-7.044388771057129,-5.515479564666748,-5.830599784851074
15,-5.54008150100708,-6.451152801513672,-7.796917915344238,-7.807638168334961,-6.605214595794678,-5.774415969848633
16,-5.722735404968262,-7.468077182769775,-7.903176307678223,-8.826577186584473,-5.742432117462158,-6.951173305511475
17,-5.454545974731445,-8.102523803710938,-8.053641319274902,-8.775879859924316,-5.679941654205322,-7.051662445068359
18,-5.317103385925293,-8.007023811340332,-8.187362670898438,-8.30795669555664,-5.3404974937438965,-6.911954879760742
19,-5.297664165496826,-6.996570587158203,-7.546110153198242,-7.80460786819458,-5.102493762969971,-6.228921890258789
20,-5.872707366943359,-8.027247428894043,-8.101188659667969,-8.654804229736328,-6.167291164398193,-6.711143493652344
21,-5.505621433258057,-8.137296676635742,-8.72401237487793,-8.576629638671875,-5.927805423736572,-6.951173305511475
22,-5.4414448738098145,-8.705694198608398,-8.859460830688477,-8.709697723388672,-5.9147491455078125,-7.051662445068359
23,-5.399658203125,-8.69239330291748,-9.073687553405762,-8.322794914245605,-5.720466613769531,-6.911954879760742
24,-5.252094745635986,-7.538244247436523,-8.358308792114258,-7.639501094818115,-5.284624099731445,-6.228921890258789
25,-5.637715816497803,-8.742528915405273,-8.97642993927002,-8.390460014343262,-6.396903991699219,-6.711143493652344
26,-6.043170928955078,-7.894222259521484,-9.167850494384766,-9.805621147155762,-6.60260009765625,-6.951173305511475
27,-6.326236248016357,-8.640708923339844,-9.308253288269043,-10.285058975219727,-6.94641637802124,-7.051662445068359
28,-6.126765251159668,-8.677939414978027,-9.58051872253418,-9.467334747314453,-6.720100402832031,-6.911954879760742
29,-5.085134506225586,-7.317595958709717,-8.744065284729004,-7.926680088043213,-5.515479564666748,-6.228921890258789
30,-6.082669734954834,-7.995168209075928,-9.101741790771484,-9.644556045532227,-6.605214595794678,-6.711143493652344
31,-6.17201566696167,-7.272249221801758,-8.221176147460938,-10.039957046508789,-5.742432117462158,-7.5537872314453125
32,-6.07635498046875,-7.543415069580078,-8.12436580657959,-10.008427619934082,-5.679941654205322,-7.400278091430664
33,-5.849778652191162,-6.759667873382568,-7.901536464691162,-9.409879684448242,-5.3404974937438965,-6.742936611175537
34,-5.85032844543457,-6.106776714324951,-7.535731315612793,-8.7416353225708,-5.102493762969971,-6.574063777923584
35,-6.440044403076172,-7.385934829711914,-8.393631935119629,-10.10665512084961,-6.167291164398193,-7.086177349090576
36,-6.201091766357422,-8.366328239440918,-8.93941879272461,-9.943425178527832,-5.927805423736572,-7.5537872314453125
37,-6.162565231323242,-8.815181732177734,-9.046029090881348,-9.969206809997559,-5.9147491455078125,-7.400278091430664
38,-6.00244140625,-8.060887336730957,-8.687314987182617,-9.43934440612793,-5.720466613769531,-6.742936611175537
39,-5.992969512939453,-7.365385055541992,-8.42668342590332,-8.786664962768555,-5.284624099731445,-6.574063777923584
40,-6.550683975219727,-8.760178565979004,-9.156131744384766,-10.04007625579834,-6.396903991699219,-7.086177349090576
41,-6.359640121459961,-8.672770500183105,-9.18818473815918,-10.881832122802734,-6.60260009765625,-7.5537872314453125
42,-6.797443389892578,-9.207831382751465,-9.245601654052734,-11.373923301696777,-6.94641637802124,-7.400278091430664
43,-6.661105155944824,-8.53475284576416,-9.000832557678223,-10.777240753173828,-6.720100402832031,-6.742936611175537
44,-5.755698204040527,-7.806464672088623,-8.554044723510742,-9.25439167022705,-5.515479564666748,-6.574063777923584
45,-6.505949974060059,-8.904251098632812,-9.135614395141602,-10.807663917541504,-6.605214595794678,-7.086177349090576
46,-4.482914924621582,-5.761277198791504,-6.449685573577881,-7.530632495880127,-5.742432117462158,-5.536712646484375
47,-4.493244171142578,-5.8451032638549805,-6.437767028808594,-7.296357154846191,-5.679941654205322,-5.4521989822387695
48,-4.20562744140625,-5.560893535614014,-6.4458513259887695,-6.921233177185059,-5.3404974937438965,-5.520563125610352
49,-4.316537857055664,-4.9925994873046875,-5.989228248596191,-6.674312591552734,-5.102493762969971,-5.1891045570373535
50,-4.911324501037598,-6.372799873352051,-6.973715305328369,-7.833196640014648,-6.167291164398193,-6.01786994934082
51,-4.359442710876465,-5.9292097091674805,-6.646154880523682,-7.472927093505859,-5.927805423736572,-5.536712646484375
52,-4.478581428527832,-6.045243740081787,-6.673133850097656,-7.401982307434082,-5.9147491455078125,-5.4521989822387695
53,-4.228477478027344,-5.785102367401123,-6.64825439453125,-6.984415054321289,-5.720466613769531,-5.520563125610352
54,-4.2993316650390625,-5.216628074645996,-6.2425618171691895,-6.642770767211914,-5.284624099731445,-5.1891045570373535
55,-4.902252197265625,-6.576920032501221,-7.216187953948975,-7.750202178955078,-6.396903991699219,-6.01786994934082
56,-4.927768230438232,-5.900810718536377,-6.750775337219238,-8.229700088500977,-6.60260009765625,-5.536712646484375
