idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.012335300445557,-6.484983444213867,-6.7903900146484375,-8.152996063232422,-6.375156402587891,-6.286048889160156
2,-4.9559783935546875,-6.434975624084473,-6.763705253601074,-8.12586784362793,-6.158605098724365,-6.683947563171387
3,-4.672454833984375,-6.05144739151001,-6.39305305480957,-7.877867221832275,-5.58938455581665,-6.1662797927856445
4,-4.33844518661499,-5.51661491394043,-5.807376384735107,-7.355862617492676,-5.3157877922058105,-5.407865524291992
5,-5.240802764892578,-6.874066352844238,-7.3652849197387695,-8.652236938476562,-7.013181209564209,-6.363832950592041
6,-5.167849540710449,-6.649216651916504,-7.235781669616699,-8.266518592834473,-6.718826770782471,-6.286048889160156
7,-5.186995029449463,-6.737993240356445,-7.2740631103515625,-8.200126647949219,-6.812049388885498,-6.683947563171387
8,-4.91296911239624,-6.373680114746094,-6.936543941497803,-7.894321918487549,-6.063774108886719,-6.1662797927856445
9,-4.3698625564575195,-5.821741104125977,-6.283872127532959,-7.177221775054932,-5.387083053588867,-5.407865524291992
10,-5.403265953063965,-6.940830230712891,-7.686617374420166,-8.535086631774902,-7.417214870452881,-6.363832950592041
11,-5.96190881729126,-7.791946887969971,-8.032666206359863,-8.544388771057129,-7.726429462432861,-6.286048889160156
12,-6.633856773376465,-8.040188789367676,-8.146267890930176,-9.205375671386719,-8.692822456359863,-6.683947563171387
13,-6.229456424713135,-7.6313371658325195,-7.947624206542969,-8.815315246582031,-8.00356388092041,-6.1662797927856445
14,-5.011809349060059,-6.862521171569824,-7.085699558258057,-7.387061595916748,-6.386266231536865,-5.407865524291992
15,-5.969701290130615,-7.765841960906982,-8.156346321105957,-8.452796936035156,-8.070268630981445,-6.363832950592041
16,-6.831074237823486,-7.806529521942139,-8.73106575012207,-11.178736686706543,-6.375156402587891,-8.037216186523438
17,-6.725799083709717,-7.843006134033203,-8.341373443603516,-11.124234199523926,-6.158605098724365,-8.207616806030273
18,-6.194033622741699,-7.615415096282959,-8.257405281066895,-10.478293418884277,-5.58938455581665,-7.920787334442139
19,-6.169787406921387,-6.705491542816162,-7.6215291023254395,-10.126322746276855,-5.3157877922058105,-7.33837890625
20,-6.731881618499756,-8.492865562438965,-9.335648536682129,-11.434906005859375,-7.013181209564209,-7.681811809539795
21,-6.885187149047852,-8.517507553100586,-9.27067756652832,-11.136222839355469,-6.718826770782471,-8.037216186523438
22,-6.922063827514648,-8.677687644958496,-8.84211254119873,-11.148232460021973,-6.812049388885498,-8.207616806030273
23,-6.395301342010498,-8.480231285095215,-8.789042472839355,-10.378342628479004,-6.063774108886719,-7.920787334442139
24,-5.887706756591797,-7.244622707366943,-7.913313388824463,-9.546513557434082,-5.387083053588867,-7.33837890625
25,-6.691404342651367,-9.017029762268066,-9.582204818725586,-10.984185218811035,-7.417214870452881,-7.681811809539795
26,-7.710075378417969,-10.30228328704834,-9.48281192779541,-11.463658332824707,-7.726429462432861,-8.037216186523438
27,-8.279582023620605,-10.71996021270752,-9.359381675720215,-12.270220756530762,-8.692822456359863,-8.207616806030273
28,-7.848280906677246,-10.610050201416016,-9.382670402526855,-11.6782865524292,-8.00356388092041,-7.920787334442139
29,-6.447422504425049,-8.790116310119629,-8.325600624084473,-9.357208251953125,-6.386266231536865,-7.33837890625
30,-7.629446983337402,-10.487351417541504,-9.465383529663086,-11.509384155273438,-8.070268630981445,-7.681811809539795
31,-7.036298751831055,-8.902140617370605,-8.390396118164062,-11.941412925720215,-6.375156402587891,-8.098139762878418
32,-6.745587348937988,-8.572968482971191,-8.04726791381836,-11.675434112548828,-6.158605098724365,-8.358290672302246
33,-6.434968948364258,-8.344659805297852,-8.031126022338867,-11.248791694641113,-5.58938455581665,-8.074097633361816
34,-6.151715278625488,-7.205631256103516,-7.306375026702881,-10.667939186096191,-5.3157877922058105,-7.256872653961182
35,-7.078227996826172,-9.873886108398438,-8.888665199279785,-12.30187702178955,-7.013181209564209,-8.337345123291016
36,-6.929269790649414,-9.57584285736084,-8.923542022705078,-11.951409339904785,-6.718826770782471,-8.098139762878418
37,-6.739977836608887,-9.341217994689941,-8.488276481628418,-11.72082805633545,-6.812049388885498,-8.358290672302246
38,-6.348349094390869,-9.120061874389648,-8.496583938598633,-11.003161430358887,-6.063774108886719,-8.074097633361816
39,-5.794038772583008,-7.783029556274414,-7.656371116638184,-10.24716854095459,-5.387083053588867,-7.256872653961182
40,-6.888701438903809,-10.259936332702637,-9.090547561645508,-12.00095272064209,-7.417214870452881,-8.337345123291016
41,-7.925559043884277,-10.420980453491211,-9.467100143432617,-12.064387321472168,-7.726429462432861,-8.098139762878418
42,-8.332793235778809,-10.518136024475098,-9.55711555480957,-12.695236206054688,-8.692822456359863,-8.358290672302246
43,-7.888617992401123,-10.383071899414062,-9.633453369140625,-12.112048149108887,-8.00356388092041,-8.074097633361816
44,-6.542873382568359,-8.982474327087402,-8.621454238891602,-10.25735855102539,-6.386266231536865,-7.256872653961182
45,-7.813085556030273,-10.883499145507812,-9.541505813598633,-12.002399444580078,-8.070268630981445,-8.337345123291016
46,-5.044379234313965,-5.857743263244629,-7.626828193664551,-8.176895141601562,-6.375156402587891,-7.0119309425354
47,-5.0662841796875,-5.6176862716674805,-7.211260795593262,-8.245933532714844,-6.158605098724365,-7.310879230499268
48,-4.691535949707031,-5.2406110763549805,-7.025221347808838,-7.899991035461426,-5.58938455581665,-6.604488849639893
49,-4.467877388000488,-5.235480308532715,-6.872637748718262,-7.607844352722168,-5.3157877922058105,-6.193146705627441
50,-5.489481449127197,-6.3470869064331055,-8.184599876403809,-8.92363166809082,-7.013181209564209,-7.045753002166748
51,-4.843325614929199,-5.862237930297852,-7.811103820800781,-8.200308799743652,-6.718826770782471,-7.0119309425354
52,-5.037267208099365,-5.805429458618164,-7.384493827819824,-8.42290210723877,-6.812049388885498,-7.310879230499268
53,-4.734147071838379,-5.513332366943359,-7.208029270172119,-7.911139011383057,-6.063774108886719,-6.604488849639893
54,-4.345363616943359,-5.304807662963867,-7.065356254577637,-7.335762977600098,-5.387083053588867,-6.193146705627441
55,-5.107694149017334,-6.323325157165527,-8.31859016418457,-8.694940567016602,-7.417214870452881,-7.045753002166748
56,-6.059102535247803,-6.137716293334961,-8.283940315246582,-8.852239608764648,-7.726429462432861,-7.0119309425354
57,-6.556280612945557,-6.20374870300293,-8.125393867492676,-9.37328815460205,-8.692822456359863,-7.310879230499268
58,-6.274964332580566,-6.038734436035156,-7.861021518707275,-8.976692199707031,-8.00356388092041,-6.604488849639893
59,-5.3074798583984375,-5.666244029998779,-7.661140441894531,-7.596510887145996,-6.386266231536865,-6.193146705627441
60,-6.327944755554199,-6.492621421813965,-8.476655960083008,-9.213156700134277,-8.070268630981445,-7.045753002166748
61,-6.863246440887451,-8.20313835144043,-8.939427375793457,-11.452900886535645,-6.375156402587891,-8.192042350769043
62,-6.859555244445801,-8.153816223144531,-8.742473602294922,-11.546180725097656,-6.158605098724365,-8.519562721252441
63,-6.250036239624023,-7.92349100112915,-8.465544700622559,-11.024256706237793,-5.58938455581665,-7.787818908691406
64,-6.188000679016113,-7.317473888397217,-7.867922306060791,-10.650423049926758,-5.3157877922058105,-7.378511905670166
65,-7.25435733795166,-8.973773002624512,-9.473861694335938,-12.306620597839355,-7.013181209564209,-8.544417381286621
66,-6.848721504211426,-8.62120246887207,-9.140775680541992,-11.94162654876709,-6.718826770782471,-8.192042350769043
67,-6.959615707397461,-8.764616012573242,-8.99110221862793,-12.140202522277832,-6.812049388885498,-8.519562721252441
68,-6.3999552726745605,-8.438881874084473,-8.74212646484375,-11.57856273651123,-6.063774108886719,-7.787818908691406
