idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.496057033538818,-6.518925189971924,-7.774914741516113,-7.864474296569824,-6.272800445556641,-6.995490074157715
2,-5.327478408813477,-6.0593953132629395,-7.5432634353637695,-7.648866653442383,-5.977990627288818,-6.693930625915527
3,-5.042078495025635,-6.1305952072143555,-7.495019435882568,-7.362648963928223,-5.59304666519165,-6.227604389190674
4,-5.202199459075928,-5.669913291931152,-7.110049247741699,-7.405901908874512,-5.485945224761963,-5.89867639541626
5,-5.674550533294678,-6.436337471008301,-7.813848972320557,-8.040184020996094,-6.72311544418335,-6.317408561706543
6,-5.788839817047119,-6.957152366638184,-8.063070297241211,-8.055500984191895,-6.446529865264893,-6.995490074157715
7,-5.709334373474121,-6.58814811706543,-7.881163597106934,-8.024598121643066,-6.234041690826416,-6.693930625915527
8,-5.544466495513916,-6.609317779541016,-7.7329535484313965,-7.789595603942871,-5.780902862548828,-6.227604389190674
9,-5.199295997619629,-6.180819034576416,-7.396585941314697,-7.43195104598999,-5.294983863830566,-5.89867639541626
10,-5.959921836853027,-6.804584980010986,-7.943687438964844,-8.152795791625977,-6.809959888458252,-6.317408561706543
11,-6.102128982543945,-7.643545150756836,-7.571218013763428,-8.303337097167969,-6.439233303070068,-6.995490074157715
12,-6.682696342468262,-7.545424461364746,-7.529915809631348,-9.008171081542969,-7.300843715667725,-6.693930625915527
13,-6.274275779724121,-7.701820373535156,-7.505504608154297,-8.610176086425781,-6.602020263671875,-6.227604389190674
14,-5.458950519561768,-7.20677375793457,-7.079142093658447,-7.3993916511535645,-5.482651233673096,-5.89867639541626
15,-6.285563945770264,-7.42775821685791,-7.439697265625,-8.622800827026367,-6.978656768798828,-6.317408561706543
16,-6.406978130340576,-7.2986884117126465,-8.758172988891602,-11.373202323913574,-6.272800445556641,-8.708248138427734
17,-6.075765132904053,-7.548011779785156,-8.990912437438965,-10.878079414367676,-5.977990627288818,-8.330595970153809
18,-5.702037811279297,-7.306901454925537,-8.552934646606445,-10.327353477478027,-5.59304666519165,-8.360640525817871
19,-5.816916465759277,-6.460456848144531,-8.028779983520508,-10.266101837158203,-5.485945224761963,-7.151407718658447
20,-6.337721824645996,-7.602694034576416,-8.7786226272583,-11.226922035217285,-6.72311544418335,-7.807214260101318
21,-6.962532997131348,-7.925099849700928,-8.899186134338379,-11.438506126403809,-6.446529865264893,-8.708248138427734
22,-6.97799015045166,-8.14523983001709,-9.127180099487305,-11.376654624938965,-6.234041690826416,-8.330595970153809
23,-6.567153453826904,-7.8729567527771,-8.73611068725586,-10.888628959655762,-5.780902862548828,-8.360640525817871
24,-6.04200553894043,-6.979118347167969,-8.000905990600586,-10.25707721710205,-5.294983863830566,-7.151407718658447
25,-6.939027309417725,-7.930375576019287,-8.857352256774902,-11.174736022949219,-6.809959888458252,-7.807214260101318
26,-7.497714996337891,-9.870941162109375,-9.103168487548828,-11.966988563537598,-6.439233303070068,-8.708248138427734
27,-8.246288299560547,-10.160161018371582,-9.341778755187988,-12.972092628479004,-7.300843715667725,-8.330595970153809
28,-7.614882946014404,-9.775498390197754,-9.05638313293457,-12.129986763000488,-6.602020263671875,-8.360640525817871
29,-6.404712677001953,-8.618571281433105,-8.189966201782227,-10.045060157775879,-5.482651233673096,-7.151407718658447
30,-7.673505783081055,-9.595063209533691,-8.746231079101562,-12.11327838897705,-6.978656768798828,-7.807214260101318
31,-6.750458717346191,-7.6796088218688965,-9.057783126831055,-11.91723918914795,-6.272800445556641,-8.741454124450684
32,-6.263360977172852,-7.9928741455078125,-9.346807479858398,-11.28973388671875,-5.977990627288818,-8.50467300415039
33,-5.833990097045898,-7.786871433258057,-8.87771987915039,-10.688952445983887,-5.59304666519165,-8.01700210571289
34,-5.911977767944336,-6.429189205169678,-8.286057472229004,-10.492268562316895,-5.485945224761963,-7.202823162078857
35,-6.7044782638549805,-8.134838104248047,-9.3910551071167,-11.908714294433594,-6.72311544418335,-8.106306076049805
36,-6.866586685180664,-8.487946510314941,-9.32189655303955,-11.398978233337402,-6.446529865264893,-8.741454124450684
37,-6.642522811889648,-8.79294490814209,-9.67066478729248,-11.055221557617188,-6.234041690826416,-8.50467300415039
38,-6.221373558044434,-8.690020561218262,-9.171184539794922,-10.544775009155273,-5.780902862548828,-8.01700210571289
39,-5.810431003570557,-7.246242523193359,-8.432414054870605,-9.937909126281738,-5.294983863830566,-7.202823162078857
40,-6.80958366394043,-8.772818565368652,-9.53395938873291,-11.28170108795166,-6.809959888458252,-8.106306076049805
41,-7.523215293884277,-9.300511360168457,-9.533833503723145,-12.009902000427246,-6.439233303070068,-8.741454124450684
42,-8.129284858703613,-9.868298530578613,-9.926485061645508,-12.800915718078613,-7.300843715667725,-8.50467300415039
43,-7.650853157043457,-9.799880981445312,-9.510763168334961,-12.067051887512207,-6.602020263671875,-8.01700210571289
44,-6.555802345275879,-8.321621894836426,-8.766741752624512,-10.311964988708496,-5.482651233673096,-7.202823162078857
45,-7.620830535888672,-9.641997337341309,-9.518611907958984,-12.03302001953125,-6.978656768798828,-8.106306076049805
46,-4.453466892242432,-6.136382579803467,-7.464434623718262,-7.6102190017700195,-6.272800445556641,-5.917332649230957
47,-4.257097244262695,-5.506120681762695,-7.151917934417725,-7.433553695678711,-5.977990627288818,-5.718067169189453
48,-3.9673867225646973,-5.20991325378418,-6.8385515213012695,-7.178126335144043,-5.59304666519165,-5.178494453430176
49,-4.0341081619262695,-4.692869186401367,-6.407766819000244,-6.988432884216309,-5.485945224761963,-4.638806343078613
50,-4.574038028717041,-6.367770671844482,-7.6486406326293945,-8.007268905639648,-6.72311544418335,-6.0755228996276855
51,-4.795663833618164,-6.682036399841309,-7.791368007659912,-7.919062614440918,-6.446529865264893,-5.917332649230957
52,-4.652967929840088,-5.999074935913086,-7.512948513031006,-7.8844075202941895,-6.234041690826416,-5.718067169189453
53,-4.382610321044922,-5.734901428222656,-7.157797813415527,-7.387923717498779,-5.780902862548828,-5.178494453430176
54,-3.956286668777466,-5.147369861602783,-6.72396183013916,-6.967408180236816,-5.294983863830566,-4.638806343078613
55,-4.814950942993164,-6.860872268676758,-7.973145961761475,-7.9159321784973145,-6.809959888458252,-6.0755228996276855
56,-5.39975118637085,-8.038683891296387,-7.748121738433838,-8.560781478881836,-6.439233303070068,-5.917332649230957
57,-5.7953925132751465,-7.638376235961914,-7.631181240081787,-9.036478996276855,-7.300843715667725,-5.718067169189453
58,-5.356558799743652,-7.449467658996582,-7.319894313812256,-8.570242881774902,-6.602020263671875,-5.178494453430176
59,-4.239731311798096,-6.533095836639404,-6.654786586761475,-7.102551460266113,-5.482651233673096,-4.638806343078613
60,-5.614638805389404,-7.952068328857422,-7.807488918304443,-8.875643730163574,-6.978656768798828,-6.0755228996276855
61,-7.246928691864014,-8.544682502746582,-9.569403648376465,-11.736128807067871,-6.272800445556641,-10.023368835449219
62,-7.003232955932617,-8.746551513671875,-9.671566009521484,-11.498748779296875,-5.977990627288818,-9.552852630615234
63,-6.529219627380371,-8.45849609375,-9.04292106628418,-10.957908630371094,-5.59304666519165,-9.071623802185059
64,-6.699164390563965,-8.14322280883789,-8.778545379638672,-11.039727210998535,-5.485945224761963,-8.295242309570312
65,-7.360204696655273,-9.279364585876465,-9.973724365234375,-11.834771156311035,-6.72311544418335,-8.930249214172363
66,-7.662778854370117,-9.275317192077637,-9.877779960632324,-11.34869384765625,-6.446529865264893,-10.023368835449219
