idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.331770420074463,-5.953107833862305,-6.872469902038574,-7.699625015258789,-5.385548114776611,-6.868296146392822
2,-5.072445869445801,-6.005800247192383,-6.59152364730835,-7.607914447784424,-4.994556903839111,-7.300724029541016
3,-5.010664939880371,-5.4540605545043945,-6.320004463195801,-7.371016502380371,-4.815382480621338,-6.827843189239502
4,-4.744473457336426,-4.6326093673706055,-5.656540870666504,-7.063417434692383,-4.458633899688721,-5.717077255249023
5,-5.606440544128418,-5.952536582946777,-6.949026584625244,-7.905083656311035,-6.13440465927124,-6.682803153991699
6,-5.427337169647217,-6.331951141357422,-7.154253959655762,-7.502520561218262,-5.886950969696045,-6.868296146392822
7,-5.281010627746582,-6.542356491088867,-6.925788879394531,-7.395657539367676,-5.764482021331787,-7.300724029541016
8,-5.10593318939209,-6.006241798400879,-6.6679534912109375,-7.14505672454834,-5.468927383422852,-6.827843189239502
9,-4.809987545013428,-5.24917459487915,-6.033485412597656,-6.716405868530273,-4.898299694061279,-5.717077255249023
10,-5.630276679992676,-6.218626976013184,-7.108550071716309,-7.421115875244141,-6.800909519195557,-6.682803153991699
11,-6.503636360168457,-6.659032821655273,-7.30878210067749,-8.287271499633789,-6.79079008102417,-6.868296146392822
12,-6.974156856536865,-6.96832275390625,-7.23483943939209,-8.994213104248047,-7.257474899291992,-7.300724029541016
13,-6.7678327560424805,-6.7680535316467285,-7.15264368057251,-8.779814720153809,-6.941636562347412,-6.827843189239502
14,-5.755256652832031,-5.952425956726074,-6.310421943664551,-7.431342124938965,-5.182742595672607,-5.717077255249023
15,-6.773135185241699,-6.256566047668457,-7.098805904388428,-8.329593658447266,-7.399101257324219,-6.682803153991699
16,-6.056218147277832,-7.457141876220703,-8.695707321166992,-9.936840057373047,-5.385548114776611,-7.658860683441162
17,-5.817475318908691,-7.520240783691406,-8.56157112121582,-9.897889137268066,-4.994556903839111,-8.691356658935547
18,-5.730337619781494,-7.5699896812438965,-8.67660903930664,-9.827045440673828,-4.815382480621338,-8.858420372009277
19,-5.512990951538086,-6.191300868988037,-7.495628356933594,-9.536361694335938,-4.458633899688721,-6.924560546875
20,-6.276955604553223,-7.387390613555908,-8.894556999206543,-10.24528980255127,-6.13440465927124,-7.517795562744141
21,-6.308919906616211,-7.778421878814697,-8.783377647399902,-9.8243408203125,-5.886950969696045,-7.658860683441162
22,-6.276185035705566,-8.019917488098145,-8.660602569580078,-10.090882301330566,-5.764482021331787,-8.691356658935547
23,-6.079049110412598,-8.185128211975098,-8.946569442749023,-9.822690963745117,-5.468927383422852,-8.858420372009277
24,-5.633841514587402,-6.6018853187561035,-7.856672286987305,-9.21003246307373,-4.898299694061279,-6.924560546875
25,-6.421830654144287,-7.792609691619873,-8.949837684631348,-9.671972274780273,-6.800909519195557,-7.517795562744141
26,-7.409804344177246,-9.411105155944824,-9.763280868530273,-11.015881538391113,-6.79079008102417,-7.658860683441162
27,-8.08875560760498,-9.67002010345459,-9.660699844360352,-11.890925407409668,-7.257474899291992,-8.691356658935547
28,-7.847233295440674,-10.286795616149902,-10.107263565063477,-11.74331283569336,-6.941636562347412,-8.858420372009277
29,-6.299834728240967,-7.997097015380859,-8.482101440429688,-9.529476165771484,-5.182742595672607,-6.924560546875
30,-7.752490997314453,-9.112889289855957,-9.461668968200684,-11.081873893737793,-7.399101257324219,-7.517795562744141
31,-6.629661560058594,-7.470489501953125,-8.462922096252441,-9.84719467163086,-5.385548114776611,-7.966566562652588
32,-6.146594047546387,-7.515050411224365,-8.315594673156738,-9.635886192321777,-4.994556903839111,-8.242775917053223
33,-6.06427001953125,-7.419796466827393,-8.281779289245605,-9.364995002746582,-4.815382480621338,-8.241751670837402
34,-5.773477077484131,-6.299232482910156,-7.394233703613281,-8.6566801071167,-4.458633899688721,-6.972758769989014
35,-6.797242164611816,-7.916955471038818,-8.805011749267578,-10.030858039855957,-6.13440465927124,-7.640926361083984
36,-6.764631271362305,-7.78362512588501,-8.598010063171387,-9.98458480834961,-5.886950969696045,-7.966566562652588
37,-6.503301620483398,-7.972385406494141,-8.577033996582031,-10.019649505615234,-5.764482021331787,-8.242775917053223
38,-6.261835098266602,-7.888978958129883,-8.457499504089355,-9.541497230529785,-5.468927383422852,-8.241751670837402
39,-5.811587333679199,-6.68457555770874,-7.643096923828125,-8.72284984588623,-4.898299694061279,-6.972758769989014
40,-6.938000679016113,-8.289719581604004,-8.9375,-9.873183250427246,-6.800909519195557,-7.640926361083984
41,-7.702779769897461,-9.695897102355957,-9.069337844848633,-10.530949592590332,-6.79079008102417,-7.966566562652588
42,-8.205364227294922,-9.487251281738281,-8.922355651855469,-11.188738822937012,-7.257474899291992,-8.242775917053223
43,-8.008724212646484,-9.842368125915527,-9.04176139831543,-11.142651557922363,-6.941636562347412,-8.241751670837402
44,-6.584834098815918,-8.331391334533691,-8.000297546386719,-8.971217155456543,-5.182742595672607,-6.972758769989014
45,-7.949095726013184,-9.576260566711426,-9.03577709197998,-10.612119674682617,-7.399101257324219,-7.640926361083984
46,-3.9937522411346436,-5.779027938842773,-6.356522560119629,-7.3643693923950195,-5.385548114776611,-5.483694076538086
47,-3.454432249069214,-5.155941963195801,-5.860306739807129,-7.209432601928711,-4.994556903839111,-5.616949081420898
48,-3.4853909015655518,-4.844719886779785,-5.557366371154785,-6.970398902893066,-4.815382480621338,-5.054628849029541
49,-3.233685255050659,-4.639695167541504,-5.4372453689575195,-6.78318452835083,-4.458633899688721,-4.495777130126953
50,-4.354016304016113,-6.57100248336792,-6.937394618988037,-8.022867202758789,-6.13440465927124,-6.160480499267578
51,-3.998603105545044,-5.992465972900391,-6.498020172119141,-7.4758501052856445,-5.886950969696045,-5.483694076538086
52,-3.7192420959472656,-5.518751621246338,-6.088503360748291,-7.37209415435791,-5.764482021331787,-5.616949081420898
53,-3.6591103076934814,-5.184375286102295,-5.8266401290893555,-7.09376335144043,-5.468927383422852,-5.054628849029541
54,-3.280015468597412,-4.994353294372559,-5.6417951583862305,-6.839735984802246,-4.898299694061279,-4.495777130126953
55,-4.1959710121154785,-6.792115688323975,-7.095348358154297,-7.6603522300720215,-6.800909519195557,-6.160480499267578
56,-4.994396209716797,-6.375194549560547,-6.874272346496582,-8.3819580078125,-6.79079008102417,-5.483694076538086
57,-5.026377201080322,-6.262146949768066,-6.662040710449219,-8.608635902404785,-7.257474899291992,-5.616949081420898
58,-4.9248175621032715,-6.189443588256836,-6.584956169128418,-8.485433578491211,-6.941636562347412,-5.054628849029541
59,-3.981745958328247,-6.050257682800293,-6.396289825439453,-7.315798759460449,-5.182742595672607,-4.495777130126953
60,-5.390085697174072,-6.8535919189453125,-7.267050266265869,-8.583269119262695,-7.399101257324219,-6.160480499267578
61,-6.33680534362793,-8.413376808166504,-8.937311172485352,-9.366122245788574,-5.385548114776611,-8.552375793457031
62,-5.99765682220459,-8.613394737243652,-8.894072532653809,-9.228507041931152,-4.994556903839111,-9.042373657226562
63,-5.8576459884643555,-8.049630165100098,-8.560443878173828,-8.965508460998535,-4.815382480621338,-8.825328826904297
64,-5.691993236541748,-6.81639289855957,-7.656818389892578,-8.847018241882324,-4.458633899688721,-7.683950901031494
65,-6.582890510559082,-8.736421585083008,-9.449193000793457,-9.728779792785645,-6.13440465927124,-8.35323429107666
66,-6.563337802886963,-9.252650260925293,-9.153329849243164,-9.675019264221191,-5.886950969696045,-8.552375793457031
67,-6.300786018371582,-9.589801788330078,-9.300390243530273,-9.757796287536621,-5.764482021331787,-9.042373657226562
68,-6.080734729766846,-9.066858291625977,-8.888053894042969,-9.446507453918457,-5.468927383422852,-8.825328826904297
69,-5.7166523933410645,-7.582952499389648,-8.03327751159668,-9.038203239440918,-4.898299694061279,-7.683950901031494
70,-6.636623859405518,-9.794381141662598,-9.737887382507324,-9.690604209899902,-6.800909519195557,-8.35323429107666
71,-7.531147003173828,-11.319293975830078,-9.585819244384766,-10.53010082244873,-6.79079008102417,-8.552375793457031
72,-8.021833419799805,-11.563377380371094,-9.773216247558594,-11.396163940429688,-7.257474899291992,-9.042373657226562
73,-7.855408668518066,-11.461052894592285,-9.590425491333008,-11.090306282043457,-6.941636562347412,-8.825328826904297
74,-6.550967216491699,-9.402318954467773,-8.168503761291504,-9.355034828186035,-5.182742595672607,-7.683950901031494
75,-7.772196292877197,-10.907123565673828,-9.509941101074219,-10.474114418029785,-7.399101257324219,-8.35323429107666
76,-4.853823661804199,-6.158019065856934,-6.9347028732299805,-6.947385311126709,-5.385548114776611,-6.406435489654541
77,-4.711570739746094,-6.167173385620117,-6.930300712585449,-6.867095947265625,-4.994556903839111,-6.740007400512695
78,-4.53601598739624,-5.456639289855957,-6.348889350891113,-6.513496398925781,-4.815382480621338,-6.058449745178223
79,-4.468769073486328,-5.021628379821777,-5.96525764465332,-6.349608898162842,-4.458633899688721,-5.366960525512695
80,-5.3853278160095215,-6.698159217834473,-7.35748291015625,-7.74431037902832,-6.13440465927124,-6.859334945678711
81,-5.055352210998535,-6.413384914398193,-6.9181108474731445,-7.061896324157715,-5.886950969696045,-6.406435489654541
82,-5.025285720825195,-6.4640703201293945,-6.960200309753418,-7.1850080490112305,-5.764482021331787,-6.740007400512695
83,-4.820694446563721,-5.735543251037598,-6.445462226867676,-6.716256141662598,-5.468927383422852,-6.058449745178223
84,-4.520264148712158,-5.273761749267578,-6.061197280883789,-6.495729923248291,-4.898299694061279,-5.366960525512695
85,-5.436081886291504,-6.9611077308654785,-7.465487480163574,-7.574680805206299,-6.800909519195557,-6.859334945678711
86,-6.188170909881592,-8.018699645996094,-7.645738124847412,-8.303628921508789,-6.79079008102417,-6.406435489654541
87,-6.558967590332031,-8.162281036376953,-7.665020942687988,-8.907598495483398,-7.257474899291992,-6.740007400512695
88,-6.326558589935303,-7.672677040100098,-7.270403861999512,-8.627439498901367,-6.941636562347412,-6.058449745178223
89,-5.354674339294434,-7.196933746337891,-6.786634922027588,-7.364858627319336,-5.182742595672607,-5.366960525512695
90,-6.60305118560791,-8.301923751831055,-8.151509284973145,-8.617557525634766,-7.399101257324219,-6.859334945678711
91,-6.910955429077148,-8.686650276184082,-8.740116119384766,-10.555129051208496,-5.385548114776611,-7.9101433753967285
92,-6.822795867919922,-8.858955383300781,-8.740729331970215,-10.91586971282959,-4.994556903839111,-7.962541580200195
93,-6.6713457107543945,-8.23656940460205,-8.34813404083252,-10.59872817993164,-4.815382480621338,-8.092083930969238
94,-6.529714584350586,-7.391270160675049,-7.638000965118408,-10.282641410827637,-4.458633899688721,-7.548877716064453
95,-7.282078266143799,-8.885278701782227,-8.993246078491211,-10.956915855407715,-6.13440465927124,-7.813240051269531
96,-6.87849235534668,-9.308136940002441,-9.110918045043945,-10.479927062988281,-5.886950969696045,-7.9101433753967285
97,-6.965782642364502,-9.460845947265625,-9.057438850402832,-11.050557136535645,-5.764482021331787,-7.962541580200195
98,-6.766510963439941,-8.998686790466309,-8.855203628540039,-10.778152465820312,-5.468927383422852,-8.092083930969238
99,-6.347452640533447,-8.075163841247559,-8.071208953857422,-9.91817569732666,-4.898299694061279,-7.548877716064453
100,-7.02731990814209,-9.556270599365234,-9.273978233337402,-10.679801940917969,-6.800909519195557,-7.813240051269531
101,-8.054439544677734,-10.560032844543457,-9.64589786529541,-11.56510066986084,-6.79079008102417,-7.9101433753967285
102,-8.744441986083984,-10.65276050567627,-9.541439056396484,-12.563151359558105,-7.257474899291992,-7.962541580200195
103,-8.476790428161621,-10.442630767822266,-9.5658597946167,-12.167344093322754,-6.941636562347412,-8.092083930969238
104,-6.972962379455566,-9.42235279083252,-8.708332061767578,-10.419957160949707,-5.182742595672607,-7.548877716064453
105,-8.169232368469238,-10.548592567443848,-9.583946228027344,-11.41168212890625,-7.399101257324219,-7.813240051269531
106,-5.671881198883057,-7.833035945892334,-8.543864250183105,-10.00905990600586,-5.385548114776611,-7.102788925170898
107,-5.40147590637207,-8.079119682312012,-8.524618148803711,-9.95837116241455,-4.994556903839111,-8.02193546295166
108,-5.270202159881592,-7.809459209442139,-8.388498306274414,-9.713103294372559,-4.815382480621338,-7.8966288566589355
109,-4.9296159744262695,-6.0274434089660645,-7.106375217437744,-8.944979667663574,-4.458633899688721,-6.336055278778076
110,-5.974480628967285,-8.38624095916748,-8.858474731445312,-10.3538818359375,-6.13440465927124,-7.333871364593506
111,-6.012351036071777,-8.101652145385742,-8.769558906555176,-10.365063667297363,-5.886950969696045,-7.102788925170898
112,-5.805942058563232,-8.468337059020996,-8.889303207397461,-10.522006034851074,-5.764482021331787,-8.02193546295166
113,-5.524518966674805,-8.238895416259766,-8.795343399047852,-9.980690002441406,-5.468927383422852,-7.8966288566589355
114,-5.054841041564941,-6.408603668212891,-7.404412269592285,-9.131070137023926,-4.898299694061279,-6.336055278778076
115,-6.211582660675049,-8.663399696350098,-9.050318717956543,-10.300727844238281,-6.800909519195557,-7.333871364593506
116,-7.19894552230835,-9.374686241149902,-8.440084457397461,-11.069087028503418,-6.79079008102417,-7.102788925170898
117,-7.894601821899414,-9.790976524353027,-8.954957962036133,-12.139618873596191,-7.257474899291992,-8.02193546295166
118,-7.660661697387695,-9.89122486114502,-9.094694137573242,-11.811257362365723,-6.941636562347412,-7.8966288566589355
119,-6.170610427856445,-7.701265335083008,-7.539706230163574,-9.702315330505371,-5.182742595672607,-6.336055278778076
120,-7.438690185546875,-10.010001182556152,-8.937493324279785,-11.329888343811035,-7.399101257324219,-7.333871364593506
121,-4.176241397857666,-5.287625789642334,-5.986621379852295,-5.510796546936035,-5.385548114776611,-5.002181053161621
122,-4.131657600402832,-5.645711421966553,-6.300602436065674,-5.603263854980469,-4.994556903839111,-5.639134407043457
123,-3.9596900939941406,-5.534510135650635,-6.125938892364502,-5.385558128356934,-4.815382480621338,-5.374886989593506
124,-3.837082862854004,-4.483742713928223,-5.364404678344727,-5.142757415771484,-4.458633899688721,-4.19006872177124
125,-4.52979850769043,-5.723881721496582,-6.425243854522705,-5.8499040603637695,-6.13440465927124,-5.484195232391357
126,-4.512239933013916,-5.643340587615967,-6.3172831535339355,-5.620556831359863,-5.886950969696045,-5.002181053161621
127,-4.68604040145874,-6.069719314575195,-6.654882431030273,-5.992488861083984,-5.764482021331787,-5.639134407043457
128,-4.42588996887207,-5.97587251663208,-6.525701522827148,-5.839164733886719,-5.468927383422852,-5.374886989593506
129,-4.007750988006592,-4.823749542236328,-5.707244873046875,-5.312070369720459,-4.898299694061279,-4.190069198608398
130,-4.880267143249512,-6.149202346801758,-6.752727508544922,-5.85793399810791,-6.800909519195557,-5.484196662902832
131,-5.4085211753845215,-6.31099796295166,-6.793832302093506,-7.045112609863281,-6.79079008102417,-5.002182483673096
132,-5.667191982269287,-6.725384712219238,-7.100929260253906,-7.4224677085876465,-7.257474899291992,-5.639135837554932
133,-5.506707668304443,-6.737922668457031,-7.05166482925415,-7.260554313659668,-6.941636562347412,-5.3748884201049805
134,-4.710720539093018,-5.532075881958008,-6.189504146575928,-6.345798492431641,-5.182742595672607,-4.190069198608398
135,-5.612631320953369,-6.4919633865356445,-7.180033206939697,-7.017325401306152,-7.399101257324219,-5.484196662902832
136,-4.784007549285889,-5.607229709625244,-6.085374355316162,-6.289174556732178,-5.385548114776611,-5.515893459320068
137,-4.67720365524292,-5.646128177642822,-6.065484046936035,-6.272502422332764,-4.994556903839111,-5.754852294921875
138,-4.564572811126709,-5.235199451446533,-5.705723285675049,-6.084831714630127,-4.815382480621338,-5.366569519042969
139,-4.443087577819824,-4.976755619049072,-5.4821295738220215,-6.0469794273376465,-4.458633899688721,-4.963432788848877
140,-4.986643314361572,-5.589847087860107,-6.05604887008667,-6.599491596221924,-6.13440465927124,-5.5713372230529785
141,-4.921578407287598,-5.84877347946167,-6.2604522705078125,-6.257598876953125,-5.886950969696045,-5.515893459320068
142,-4.839146137237549,-5.92687463760376,-6.265778064727783,-6.384933948516846,-5.764482021331787,-5.754852294921875
143,-4.698361873626709,-5.536320209503174,-5.941593647003174,-6.104074001312256,-5.468927383422852,-5.366569519042969
144,-4.480165004730225,-5.245053768157959,-5.663011074066162,-5.996406555175781,-4.898299694061279,-4.963432788848877
145,-5.053999900817871,-5.844803333282471,-6.324800968170166,-6.4349517822265625,-6.800909519195557,-5.5713372230529785
146,-5.483217716217041,-6.468051910400391,-6.293076038360596,-6.909883975982666,-6.79079008102417,-5.515893459320068
147,-5.727027893066406,-6.745458126068115,-6.452155590057373,-7.302316665649414,-7.257474899291992,-5.754852294921875
148,-5.611295223236084,-6.491575717926025,-6.181787014007568,-7.11050271987915,-6.941636562347412,-5.366569519042969
149,-4.984036922454834,-6.225959777832031,-5.951453685760498,-6.387203216552734,-5.182742595672607,-4.963432788848877
150,-5.62539005279541,-6.425804138183594,-6.3253984451293945,-6.9004740715026855,-7.399101257324219,-5.5713372230529785
151,-5.052170753479004,-5.972084045410156,-6.995683670043945,-9.214261054992676,-5.385548114776611,-6.7915778160095215
152,-4.871951103210449,-6.4188690185546875,-7.297635555267334,-9.152748107910156,-4.994556903839111,-6.7744221687316895
153,-4.988974571228027,-6.258703708648682,-7.231700897216797,-9.297005653381348,-4.815382480621338,-6.89646577835083
154,-4.796501159667969,-5.59631872177124,-6.579067230224609,-8.967560768127441,-4.458633899688721,-6.308616638183594
155,-5.388659477233887,-6.235945224761963,-7.257865905761719,-9.377864837646484,-6.13440465927124,-6.4882025718688965
156,-5.867057800292969,-6.9540557861328125,-7.807928085327148,-9.994873046875,-5.886950969696045,-6.7915778160095215
157,-5.711584091186523,-7.377378940582275,-8.151437759399414,-9.79870319366455,-5.764482021331787,-6.7744221687316895
158,-5.70772123336792,-7.229616641998291,-8.09633731842041,-9.887428283691406,-5.468927383422852,-6.89646577835083
159,-5.429134368896484,-6.351146221160889,-7.350551605224609,-9.332087516784668,-4.898299694061279,-6.308616638183594
160,-5.956361770629883,-7.1721978187561035,-8.048450469970703,-9.940651893615723,-6.800909519195557,-6.4882025718688965
161,-6.615239143371582,-8.198044776916504,-8.437531471252441,-10.66775894165039,-6.79079008102417,-6.7915778160095215
162,-7.215439796447754,-8.655842781066895,-8.519037246704102,-11.49155330657959,-7.257474899291992,-6.7744221687316895
163,-7.081737518310547,-8.586617469787598,-8.536840438842773,-11.410626411437988,-6.941636562347412,-6.89646577835083
164,-5.730162620544434,-7.383537769317627,-7.400505065917969,-9.565242767333984,-5.182742595672607,-6.308616638183594
165,-7.07737398147583,-7.887305736541748,-8.184675216674805,-10.950369834899902,-7.399101257324219,-6.4882025718688965
166,-5.212102890014648,-5.764779567718506,-6.953928470611572,-9.950100898742676,-5.385548114776611,-6.306666851043701
167,-4.901342391967773,-6.011157989501953,-7.169315338134766,-9.741816520690918,-4.994556903839111,-6.457940578460693
168,-4.878751754760742,-5.9445013999938965,-7.18412971496582,-9.581463813781738,-4.815382480621338,-6.552082061767578
169,-4.617156505584717,-4.996476650238037,-6.427900314331055,-8.990379333496094,-4.458633899688721,-5.5981879234313965
