idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.087368488311768,-5.961956977844238,-6.275802135467529,-7.272911548614502,-5.660471439361572,-5.888439178466797
2,-4.903714179992676,-6.330108165740967,-6.6211838722229,-7.101369380950928,-5.771134853363037,-6.173671245574951
3,-4.805398941040039,-6.179603576660156,-6.460130214691162,-6.797679901123047,-5.401985168457031,-5.98741340637207
4,-4.618024826049805,-4.997932434082031,-5.5657267570495605,-6.661621570587158,-5.072463512420654,-5.077260971069336
5,-5.4481706619262695,-6.263869285583496,-6.5269575119018555,-7.493906021118164,-6.419101715087891,-5.721020698547363
6,-5.0533246994018555,-6.163877487182617,-6.521705627441406,-7.104504585266113,-6.324202060699463,-5.888439178466797
7,-5.235630035400391,-6.62914514541626,-6.848544120788574,-7.2558512687683105,-6.682975769042969,-6.173671245574951
8,-4.957823753356934,-6.520559310913086,-6.709831237792969,-6.948054313659668,-6.197151184082031,-5.98741340637207
9,-4.487074375152588,-5.407167911529541,-5.950907230377197,-6.422635078430176,-5.4314093589782715,-5.077260971069336
10,-5.282584190368652,-6.4844512939453125,-6.690669059753418,-7.218981742858887,-6.984703540802002,-5.721020698547363
11,-6.038022994995117,-6.361634254455566,-7.4328107833862305,-7.3879828453063965,-6.9885640144348145,-5.888439178466797
12,-6.514754295349121,-6.94697380065918,-7.756568908691406,-7.926705360412598,-7.676014423370361,-6.173671245574951
13,-6.118893146514893,-6.813138008117676,-7.7133469581604,-7.426753997802734,-7.241432189941406,-5.98741340637207
14,-5.01327657699585,-5.802552223205566,-6.854630947113037,-6.318073272705078,-5.535643100738525,-5.077260971069336
15,-6.320222854614258,-6.588104248046875,-7.637123107910156,-7.607241630554199,-7.612893581390381,-5.721020698547363
16,-5.846975326538086,-6.634880065917969,-7.333498001098633,-8.306323051452637,-5.660471439361572,-6.591554641723633
17,-5.8674116134643555,-7.054372787475586,-7.596523761749268,-8.416083335876465,-5.771134853363037,-7.100034236907959
