idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.886493682861328,-6.765667915344238,-7.05169677734375,-7.6619343757629395,-6.476461887359619,-6.305194854736328
2,-4.658580780029297,-6.774934768676758,-7.121710300445557,-7.678957939147949,-6.117681980133057,-6.462964057922363
3,-4.608213901519775,-6.461530685424805,-6.890634059906006,-7.50016450881958,-5.8120880126953125,-6.25126314163208
4,-4.424975395202637,-5.9012603759765625,-6.489713191986084,-7.29733419418335,-5.31101131439209,-5.973220348358154
5,-5.2074079513549805,-7.190455436706543,-7.434622764587402,-8.242372512817383,-6.901432037353516,-6.703671455383301
6,-5.4300432205200195,-6.724406719207764,-6.9866790771484375,-8.202764511108398,-6.821130275726318,-6.305194854736328
7,-5.265433311462402,-6.826811790466309,-7.112746238708496,-8.344182014465332,-6.868255138397217,-6.462964057922363
8,-5.055261135101318,-6.5930986404418945,-6.986335754394531,-7.905573844909668,-6.410486698150635,-6.25126314163208
9,-4.554849147796631,-5.98350715637207,-6.539860725402832,-7.294796943664551,-5.644367218017578,-5.973220348358154
10,-5.7472758293151855,-7.034407615661621,-7.292933464050293,-8.688377380371094,-7.269922733306885,-6.703671455383301
11,-5.802026271820068,-8.335335731506348,-8.210968017578125,-8.338807106018066,-8.00903606414795,-6.305194854736328
12,-5.767819881439209,-8.508806228637695,-8.379008293151855,-8.61337661743164,-8.047515869140625,-6.462964057922363
13,-5.610443115234375,-8.366601943969727,-8.294347763061523,-8.361451148986816,-7.552563190460205,-6.25126314163208
14,-4.6744184494018555,-7.642055034637451,-7.682286262512207,-7.242563247680664,-6.235811233520508,-5.973220348358154
15,-6.18980598449707,-8.476129531860352,-8.494974136352539,-8.550180435180664,-8.308417320251465,-6.703671455383301
16,-6.563712120056152,-7.424510478973389,-8.532442092895508,-9.389449119567871,-6.476461887359619,-8.149395942687988
17,-6.250258445739746,-7.506388187408447,-8.762958526611328,-9.051228523254395,-6.117681980133057,-8.803470611572266
18,-6.205846786499023,-7.371177673339844,-8.569382667541504,-8.856633186340332,-5.8120880126953125,-8.594036102294922
19,-5.849048614501953,-6.413569927215576,-7.821109771728516,-8.2560453414917,-5.31101131439209,-7.527355194091797
20,-6.779158592224121,-8.229153633117676,-9.251104354858398,-9.751051902770996,-6.901432037353516,-8.688910484313965
21,-6.984835624694824,-7.675807476043701,-8.112743377685547,-10.064213752746582,-6.821130275726318,-8.149395942687988
22,-6.904982566833496,-7.702664852142334,-8.379220962524414,-9.937827110290527,-6.868255138397217,-8.803470611572266
23,-6.6479949951171875,-7.64618444442749,-8.25680160522461,-9.678242683410645,-6.410486698150635,-8.594036102294922
24,-5.930685043334961,-6.4894328117370605,-7.565927028656006,-8.455322265625,-5.644367218017578,-7.527355194091797
25,-7.14488410949707,-8.351546287536621,-8.732688903808594,-10.281380653381348,-7.269922733306885,-8.688910484313965
26,-7.7277984619140625,-9.295027732849121,-9.72618293762207,-10.872090339660645,-8.00903606414795,-8.149395942687988
27,-7.611869812011719,-9.721484184265137,-10.05744743347168,-10.945477485656738,-8.047515869140625,-8.803470611572266
28,-7.317101955413818,-9.501445770263672,-9.993120193481445,-10.74795150756836,-7.552563190460205,-8.594036102294922
29,-5.879917144775391,-7.772613525390625,-8.800592422485352,-8.35410213470459,-6.235811233520508,-7.527355194091797
30,-7.795151710510254,-9.593539237976074,-10.327313423156738,-10.922347068786621,-8.308417320251465,-8.688910484313965
31,-5.975070476531982,-7.363378047943115,-8.183344841003418,-9.985381126403809,-6.476461887359619,-8.185198783874512
32,-5.536283493041992,-7.170717716217041,-8.106184005737305,-9.439165115356445,-6.117681980133057,-8.283210754394531
33,-5.4000325202941895,-7.008293151855469,-7.784852027893066,-9.142937660217285,-5.8120880126953125,-7.9234442710876465
34,-4.937697887420654,-6.2390570640563965,-7.143050193786621,-8.352524757385254,-5.31101131439209,-6.873907566070557
35,-6.242629051208496,-9.05597972869873,-9.27292537689209,-10.419366836547852,-6.901432037353516,-8.981974601745605
36,-6.20869255065918,-7.708341121673584,-8.322307586669922,-10.392359733581543,-6.821130275726318,-8.185198783874512
37,-6.032045841217041,-7.594676971435547,-8.171272277832031,-10.05669116973877,-6.868255138397217,-8.283210754394531
38,-5.7011637687683105,-7.567481517791748,-7.97480583190918,-9.541046142578125,-6.410486698150635,-7.9234442710876465
39,-4.9294586181640625,-6.716246128082275,-7.416197776794434,-8.416126251220703,-5.644367218017578,-6.873907566070557
40,-6.556673049926758,-9.300298690795898,-9.350912094116211,-10.776911735534668,-7.269922733306885,-8.981974601745605
41,-7.669179916381836,-9.007372856140137,-8.983965873718262,-11.272407531738281,-8.00903606414795,-8.185198783874512
42,-7.286981105804443,-9.137526512145996,-9.049322128295898,-11.18091106414795,-8.047515869140625,-8.283210754394531
43,-6.857093811035156,-9.09241008758545,-8.957775115966797,-10.64671516418457,-7.552563190460205,-7.9234442710876465
44,-5.589159965515137,-8.002723693847656,-8.190942764282227,-8.627095222473145,-6.235811233520508,-6.873907566070557
45,-7.90549898147583,-9.960077285766602,-9.625051498413086,-11.592339515686035,-8.308417320251465,-8.981974601745605
46,-4.554859638214111,-4.992008209228516,-6.6793622970581055,-7.23379373550415,-6.476461887359619,-5.951703071594238
47,-4.156937599182129,-4.695192813873291,-6.616485595703125,-6.994690895080566,-6.117681980133057,-5.991448402404785
48,-4.079611301422119,-4.468228340148926,-6.275570392608643,-6.846020698547363,-5.8120880126953125,-5.446466445922852
49,-3.780132293701172,-4.249650001525879,-6.009886741638184,-6.555613040924072,-5.31101131439209,-4.9881367683410645
50,-5.077619552612305,-6.079995155334473,-7.643617153167725,-7.96440315246582,-6.901432037353516,-6.997668743133545
51,-5.008900165557861,-5.401256084442139,-6.8229079246521,-7.615734577178955,-6.821130275726318,-5.951703071594238
52,-4.686279773712158,-5.107312202453613,-6.747778415679932,-7.453136444091797,-6.868255138397217,-5.991448402404785
53,-4.563129901885986,-4.917898178100586,-6.412207126617432,-7.192811489105225,-6.410486698150635,-5.446466445922852
54,-4.048262119293213,-4.62335205078125,-6.143852710723877,-6.543216705322266,-5.644367218017578,-4.9881367683410645
55,-5.533292770385742,-6.504574298858643,-7.725064277648926,-8.304828643798828,-7.269922733306885,-6.997668743133545
56,-5.567889213562012,-5.299323081970215,-6.599244117736816,-7.569862365722656,-8.00903606414795,-5.951703071594238
57,-5.298882484436035,-5.150756359100342,-6.581820011138916,-7.526431083679199,-8.047515869140625,-5.991448402404785
58,-5.064856052398682,-5.000130653381348,-6.218604564666748,-7.2587456703186035,-7.552563190460205,-5.446466445922852
59,-4.292673110961914,-4.746567726135254,-6.0907158851623535,-6.17446231842041,-6.235811233520508,-4.9881367683410645
60,-5.9483962059021,-6.06674861907959,-7.331391334533691,-7.816473960876465,-8.308417320251465,-6.997668743133545
61,-6.356080055236816,-9.288758277893066,-9.507429122924805,-9.272040367126465,-6.476461887359619,-8.68346118927002
62,-6.211826324462891,-8.85267162322998,-9.216594696044922,-9.296930313110352,-6.117681980133057,-8.337138175964355
63,-6.132155418395996,-8.643712997436523,-8.918636322021484,-9.06556510925293,-5.8120880126953125,-8.069706916809082
64,-5.8571062088012695,-8.509160041809082,-8.839377403259277,-8.715075492858887,-5.31101131439209,-7.665496826171875
65,-6.810964584350586,-9.794533729553223,-10.012240409851074,-10.025763511657715,-6.901432037353516,-8.886459350585938
66,-7.090482234954834,-9.50740909576416,-9.351655960083008,-10.18921947479248,-6.821130275726318,-8.68346118927002
67,-6.987196445465088,-8.810141563415527,-8.91869831085205,-10.385408401489258,-6.868255138397217,-8.337138175964355
68,-6.743614196777344,-8.728209495544434,-8.813551902770996,-9.786691665649414,-6.410486698150635,-8.069706916809082
69,-6.109612464904785,-8.593864440917969,-8.827520370483398,-8.771101951599121,-5.644367218017578,-7.665496826171875
