idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.455689430236816,-6.5998077392578125,-7.697070121765137,-8.152482032775879,-5.476354598999023,-6.488354682922363
2,-5.460327625274658,-6.309586524963379,-7.418824672698975,-8.253549575805664,-5.577512264251709,-6.619134426116943
3,-4.956268787384033,-5.907137870788574,-6.9969658851623535,-7.651667594909668,-5.109868049621582,-6.0193939208984375
4,-4.886752128601074,-5.7434773445129395,-6.83942174911499,-7.377560615539551,-4.935917377471924,-5.743983268737793
5,-5.768429279327393,-6.576205730438232,-7.817984104156494,-8.745559692382812,-6.499395847320557,-6.1772003173828125
6,-5.545393943786621,-6.955309867858887,-7.981072902679443,-8.42845630645752,-6.00005578994751,-6.488354682922363
7,-5.5688018798828125,-6.740616798400879,-7.832206726074219,-8.550140380859375,-6.234294891357422,-6.619134426116943
8,-5.134957790374756,-6.187070369720459,-7.30453634262085,-8.047843933105469,-5.863553524017334,-6.0193939208984375
9,-4.785742282867432,-6.073667526245117,-7.128863334655762,-7.5019145011901855,-5.411860942840576,-5.743983268737793
10,-5.650782108306885,-6.80192756652832,-7.825537204742432,-8.810073852539062,-6.755665302276611,-6.1772003173828125
11,-6.278157711029053,-7.366281509399414,-7.923138618469238,-8.468502044677734,-7.158817768096924,-6.488354682922363
12,-6.751114845275879,-7.764625549316406,-8.030735969543457,-9.291173934936523,-7.5894341468811035,-6.619134426116943
13,-6.3673095703125,-7.171344757080078,-7.493231296539307,-8.817955017089844,-7.341947078704834,-6.0193939208984375
14,-5.398346900939941,-7.086557388305664,-7.251577854156494,-7.618044853210449,-6.0240325927734375,-5.743983268737793
15,-6.301573276519775,-7.460139751434326,-7.848165988922119,-8.735673904418945,-7.391500473022461,-6.1772003173828125
16,-6.33482551574707,-6.955755710601807,-7.815346717834473,-9.637454986572266,-5.476354598999023,-7.554440021514893
17,-6.387988567352295,-7.022694110870361,-7.803544998168945,-9.719047546386719,-5.577512264251709,-7.593484401702881
18,-5.946733474731445,-7.2084832191467285,-7.801297187805176,-9.153548240661621,-5.109868049621582,-7.465484619140625
19,-5.904621601104736,-6.2316670417785645,-7.301522731781006,-8.988768577575684,-4.935917377471924,-6.891396999359131
20,-6.495635032653809,-7.5815110206604,-8.43099594116211,-9.669831275939941,-6.499395847320557,-7.376155376434326
21,-6.486466407775879,-7.839942932128906,-8.234253883361816,-9.756624221801758,-6.00005578994751,-7.554440021514893
22,-6.718076229095459,-7.911280155181885,-8.225606918334961,-10.021187782287598,-6.234294891357422,-7.593484401702881
23,-6.280336380004883,-8.098725318908691,-8.301481246948242,-9.501509666442871,-5.863553524017334,-7.465484619140625
24,-5.855842113494873,-7.0310235023498535,-7.692062854766846,-8.815404891967773,-5.411860942840576,-6.891396999359131
25,-6.570641994476318,-8.466068267822266,-8.6519193649292,-9.695212364196777,-6.755665302276611,-7.376155376434326
26,-6.760532379150391,-9.819355964660645,-9.20684814453125,-9.577094078063965,-7.158817768096924,-7.554440021514893
27,-7.339260101318359,-9.85726547241211,-9.325724601745605,-10.42965030670166,-7.5894341468811035,-7.593484401702881
28,-6.929294586181641,-10.09129810333252,-9.411261558532715,-9.898872375488281,-7.341947078704834,-7.465484619140625
29,-5.741311073303223,-8.915367126464844,-8.628899574279785,-8.352473258972168,-6.0240325927734375,-6.891396999359131
30,-6.683134078979492,-10.078423500061035,-9.08354663848877,-9.525444030761719,-7.391500473022461,-7.376155376434326
31,-5.4017863273620605,-7.239491939544678,-7.7718186378479,-8.422687530517578,-5.476354598999023,-6.664306640625
32,-5.392607688903809,-7.195909023284912,-7.697032928466797,-8.354325294494629,-5.577512264251709,-6.869859218597412
33,-4.987773418426514,-7.531371593475342,-7.572934150695801,-8.033215522766113,-5.109868049621582,-6.717906951904297
34,-4.763116836547852,-6.601979732513428,-6.932656288146973,-7.537179946899414,-4.935917377471924,-5.902556896209717
35,-5.796797752380371,-8.368311882019043,-8.933187484741211,-8.957141876220703,-6.499395847320557,-7.301973819732666
36,-5.729310035705566,-7.839090824127197,-8.165593147277832,-9.045004844665527,-6.00005578994751,-6.664306640625
37,-5.849589824676514,-7.821113109588623,-8.07394790649414,-9.10672378540039,-6.234294891357422,-6.869859218597412
38,-5.446767330169678,-8.149201393127441,-8.03014850616455,-8.80823040008545,-5.863553524017334,-6.717906951904297
39,-4.839173793792725,-7.2578558921813965,-7.368928909301758,-7.75691032409668,-5.411860942840576,-5.902556896209717
40,-6.053634166717529,-8.8451509475708,-9.154730796813965,-9.417912483215332,-6.755665302276611,-7.301973819732666
41,-6.4013519287109375,-9.034549713134766,-9.232705116271973,-9.13796329498291,-7.158817768096924,-6.664306640625
42,-6.858414173126221,-9.245597839355469,-9.306262016296387,-9.820426940917969,-7.5894341468811035,-6.869859218597412
43,-6.5080366134643555,-9.59761905670166,-9.23763656616211,-9.284384727478027,-7.341947078704834,-6.717906951904297
44,-5.324089050292969,-8.506731986999512,-8.33139419555664,-7.78503942489624,-6.0240325927734375,-5.902556896209717
45,-6.632077217102051,-10.07192611694336,-9.954021453857422,-9.220675468444824,-7.391500473022461,-7.301973819732666
46,-5.161393165588379,-6.712335586547852,-6.324798583984375,-7.480308532714844,-5.476354598999023,-6.369741439819336
47,-4.888777732849121,-6.0759358406066895,-5.850706577301025,-7.166004180908203,-5.577512264251709,-6.2175750732421875
48,-4.554787635803223,-6.031297206878662,-5.741896629333496,-6.737534523010254,-5.109868049621582,-5.899406433105469
49,-4.393986701965332,-5.575963973999023,-5.52090311050415,-6.402926445007324,-4.935917377471924,-5.385684013366699
50,-5.527622222900391,-7.16825532913208,-6.8666839599609375,-7.9403486251831055,-6.499395847320557,-6.838679790496826
51,-5.2970805168151855,-7.035120010375977,-6.358382701873779,-7.904281139373779,-6.00005578994751,-6.369741439819336
52,-5.137843608856201,-6.3922834396362305,-5.994881629943848,-7.729189395904541,-6.234294891357422,-6.2175750732421875
53,-4.725127696990967,-6.300397872924805,-5.860905647277832,-7.299712181091309,-5.863553524017334,-5.899406433105469
54,-4.302733421325684,-5.835683822631836,-5.561008453369141,-6.682314872741699,-5.411860942840576,-5.385684013366699
55,-5.404505729675293,-7.3497819900512695,-6.769056797027588,-8.305578231811523,-6.755665302276611,-6.838679790496826
56,-6.268139839172363,-6.815879821777344,-6.450310707092285,-7.897768497467041,-7.158817768096924,-6.369741439819336
57,-6.391430377960205,-6.5104570388793945,-6.3754119873046875,-8.407713890075684,-7.5894341468811035,-6.2175750732421875
58,-6.097030162811279,-6.269414901733398,-6.023917198181152,-8.008615493774414,-7.341947078704834,-5.899406433105469
59,-5.339643478393555,-5.881021499633789,-5.729329586029053,-6.9724884033203125,-6.0240325927734375,-5.385684013366699
60,-6.383548259735107,-7.071430206298828,-6.7847795486450195,-8.103822708129883,-7.391500473022461,-6.838679790496826
61,-6.258004665374756,-8.560321807861328,-8.51109504699707,-11.034442901611328,-5.476354598999023,-8.511290550231934
62,-5.959895610809326,-8.401579856872559,-8.354423522949219,-10.642807006835938,-5.577512264251709,-8.038561820983887
63,-5.548076629638672,-8.507830619812012,-8.392452239990234,-10.12416934967041,-5.109868049621582,-7.677792072296143
64,-5.081273555755615,-7.537312984466553,-7.944574356079102,-9.276981353759766,-4.935917377471924,-7.314498424530029
65,-6.747128486633301,-8.964665412902832,-9.032333374023438,-11.461695671081543,-6.499395847320557,-8.29234790802002
66,-6.406209945678711,-8.664743423461914,-8.79119873046875,-11.229960441589355,-6.00005578994751,-8.511290550231934
67,-6.345795631408691,-8.583203315734863,-8.702497482299805,-11.290782928466797,-6.234294891357422,-8.038561820983887
68,-5.807745933532715,-8.97689437866211,-8.673733711242676,-10.674262046813965,-5.863553524017334,-7.677792072296143
69,-5.123879432678223,-7.816974639892578,-8.08574104309082,-9.71615219116211,-5.411860942840576,-7.314498424530029
70,-6.721985340118408,-9.067330360412598,-9.191410064697266,-11.620461463928223,-6.755665302276611,-8.29234790802002
71,-7.431928634643555,-9.83044147491455,-8.746129989624023,-10.938480377197266,-7.158817768096924,-8.511290550231934
