idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.880439758300781,-5.8787689208984375,-6.468462944030762,-7.69330358505249,-5.771552562713623,-6.693662643432617
2,-4.864222049713135,-5.835875988006592,-6.623695373535156,-7.935251235961914,-5.73403787612915,-6.923209190368652
3,-4.619999885559082,-5.5986223220825195,-6.512880802154541,-7.460675239562988,-5.309393882751465,-6.491395950317383
4,-4.354247093200684,-4.7935075759887695,-5.588797569274902,-7.095534324645996,-4.668628692626953,-5.790960311889648
5,-5.171029567718506,-5.566715240478516,-6.474544525146484,-8.220017433166504,-6.33489465713501,-5.7714433670043945
6,-4.725955009460449,-6.7009501457214355,-6.915740966796875,-7.638922691345215,-6.004828929901123,-6.693662643432617
7,-4.890598773956299,-6.531991004943848,-7.0576324462890625,-7.943072319030762,-6.123182773590088,-6.923209190368652
8,-4.668551445007324,-6.285181999206543,-6.902960300445557,-7.571617603302002,-5.808120250701904,-6.491395950317383
9,-4.277501106262207,-5.40280818939209,-6.050632953643799,-7.094531059265137,-4.88722562789917,-5.790960311889648
10,-4.959660530090332,-6.330815315246582,-6.857586860656738,-7.888187408447266,-6.667816162109375,-5.7714433670043945
11,-5.795350074768066,-8.09202766418457,-7.738263130187988,-8.472390174865723,-6.666257381439209,-6.693662643432617
12,-6.268552303314209,-8.110093116760254,-7.949745178222656,-9.29609489440918,-7.2319793701171875,-6.923209190368652
13,-5.974183559417725,-8.020537376403809,-7.887986660003662,-8.818401336669922,-6.755714416503906,-6.491395950317383
14,-5.077231407165527,-6.844723701477051,-6.746099948883057,-7.517404556274414,-5.175989627838135,-5.790960311889648
15,-6.148411750793457,-7.312053203582764,-7.438989162445068,-9.295646667480469,-7.221127986907959,-5.7714433670043945
16,-6.223958969116211,-7.790622711181641,-8.474775314331055,-9.85821533203125,-5.771552562713623,-7.071376800537109
17,-6.224347114562988,-8.14478588104248,-8.886575698852539,-10.017890930175781,-5.73403787612915,-7.825241565704346
18,-5.901429176330566,-8.148056030273438,-8.90825366973877,-9.701661109924316,-5.309393882751465,-7.6733856201171875
19,-5.422574996948242,-6.542389392852783,-7.405309677124023,-8.904327392578125,-4.668628692626953,-6.759157657623291
20,-6.515954971313477,-8.961030006408691,-9.363648414611816,-10.349560737609863,-6.33489465713501,-6.579132080078125
21,-6.23108434677124,-8.393048286437988,-9.042744636535645,-9.794142723083496,-6.004828929901123,-7.071376800537109
22,-6.365907669067383,-8.68118953704834,-9.28005599975586,-9.957167625427246,-6.123182773590088,-7.825241565704346
23,-6.119045257568359,-8.71713638305664,-9.476224899291992,-9.832784652709961,-5.808120250701904,-7.6733856201171875
24,-5.457016944885254,-7.002822399139404,-7.913783073425293,-8.838897705078125,-4.88722562789917,-6.759157657623291
25,-6.4576334953308105,-9.413046836853027,-9.694896697998047,-10.035837173461914,-6.667816162109375,-6.579132080078125
26,-7.1005401611328125,-8.93903636932373,-8.89433479309082,-11.03777027130127,-6.666257381439209,-7.071376800537109
27,-7.5774736404418945,-9.310535430908203,-8.861286163330078,-11.618857383728027,-7.2319793701171875,-7.825241565704346
28,-7.365936756134033,-9.899856567382812,-9.50149917602539,-11.410666465759277,-6.755714416503906,-7.6733856201171875
29,-5.956113338470459,-7.9519877433776855,-7.86984920501709,-9.573317527770996,-5.175989627838135,-6.759157657623291
30,-7.444077491760254,-9.241120338439941,-9.131280899047852,-11.3062105178833,-7.221127986907959,-6.579132080078125
31,-5.881139755249023,-8.437190055847168,-8.07972526550293,-9.850590705871582,-5.771552562713623,-7.1877923011779785
32,-5.809996604919434,-8.738770484924316,-8.344061851501465,-9.805370330810547,-5.73403787612915,-7.764441013336182
33,-5.534253120422363,-8.558494567871094,-8.341937065124512,-9.451766014099121,-5.309393882751465,-7.2487568855285645
34,-4.897888660430908,-7.111807346343994,-6.98143196105957,-8.56992244720459,-4.668628692626953,-6.510702133178711
35,-6.359349250793457,-9.674507141113281,-9.148458480834961,-10.397843360900879,-6.33489465713501,-7.452945709228516
36,-5.893405914306641,-8.896697998046875,-8.478741645812988,-10.30542278289795,-6.004828929901123,-7.1877923011779785
37,-5.979101181030273,-9.187823295593262,-8.709053993225098,-10.255524635314941,-6.123182773590088,-7.764441013336182
38,-5.759099960327148,-9.095329284667969,-8.807209968566895,-10.076557159423828,-5.808120250701904,-7.2487568855285645
39,-5.0785369873046875,-7.564377307891846,-7.437500953674316,-9.143427848815918,-4.88722562789917,-6.510702133178711
40,-6.539734363555908,-10.025729179382324,-9.522435188293457,-10.813471794128418,-6.667816162109375,-7.452945709228516
41,-6.9761176109313965,-9.766254425048828,-9.0638427734375,-10.846671104431152,-6.666257381439209,-7.1877923011779785
42,-7.339838027954102,-9.8688325881958,-9.244693756103516,-11.257583618164062,-7.2319793701171875,-7.764441013336182
43,-7.111416816711426,-10.030999183654785,-9.466547012329102,-10.945320129394531,-6.755714416503906,-7.2487568855285645
