idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.246387481689453,-6.465419769287109,-7.0605363845825195,-7.578473091125488,-5.754968166351318,-5.943519592285156
2,-5.238994598388672,-5.940932273864746,-6.827075004577637,-7.69089412689209,-5.714395999908447,-5.906412124633789
3,-4.879534721374512,-5.809893608093262,-6.755154609680176,-7.223011016845703,-5.520468235015869,-5.533891677856445
4,-4.556466102600098,-5.136434078216553,-6.267611980438232,-6.871100425720215,-5.099825382232666,-4.947854995727539
5,-5.493500709533691,-6.127775192260742,-6.8775482177734375,-7.805511474609375,-6.372664928436279,-5.818452835083008
6,-5.126628398895264,-6.865160942077637,-7.1001877784729,-7.5134053230285645,-6.292227268218994,-5.943519592285156
7,-5.313218593597412,-6.335193634033203,-6.88656759262085,-7.645252227783203,-6.563425540924072,-5.906412124633789
8,-4.886064529418945,-6.205838203430176,-6.824183464050293,-7.214939117431641,-6.2353644371032715,-5.533891677856445
9,-4.311173915863037,-5.422290325164795,-6.308701515197754,-6.549155235290527,-5.517322063446045,-4.947854995727539
10,-5.411276340484619,-6.401411056518555,-6.9208173751831055,-7.69651460647583,-6.764854907989502,-5.818452835083008
11,-5.783735752105713,-7.774759292602539,-8.134153366088867,-8.271651268005371,-7.828477382659912,-5.943519592285156
12,-6.1096930503845215,-7.685074806213379,-7.990484714508057,-8.66922664642334,-8.571457862854004,-5.906412124633789
13,-5.626006126403809,-7.4912333488464355,-7.883993625640869,-8.145956039428711,-7.891841888427734,-5.533891677856445
14,-4.566521167755127,-6.475592613220215,-7.3878984451293945,-6.708581924438477,-6.567999362945557,-4.947854995727539
15,-5.698212623596191,-7.258479595184326,-7.808235168457031,-8.210556983947754,-7.830888271331787,-5.818452835083008
16,-5.626016616821289,-7.205806732177734,-7.42366886138916,-8.207062721252441,-5.754968166351318,-6.980487823486328
17,-5.84279203414917,-7.317452907562256,-7.436857223510742,-8.562716484069824,-5.714395999908447,-7.203873157501221
18,-5.498736381530762,-7.303651332855225,-7.481572151184082,-8.143813133239746,-5.520468235015869,-7.2186126708984375
19,-5.320175647735596,-6.11005163192749,-6.74405574798584,-7.718392848968506,-5.099825382232666,-6.17611837387085
20,-5.927462100982666,-7.563279628753662,-7.890227317810059,-8.523938179016113,-6.372664928436279,-7.560268878936768
21,-5.85006046295166,-8.199738502502441,-8.07343864440918,-8.637614250183105,-6.292227268218994,-6.980487823486328
22,-6.283312797546387,-8.328453063964844,-8.112434387207031,-9.160755157470703,-6.563425540924072,-7.203873157501221
23,-5.907764434814453,-8.223366737365723,-8.071687698364258,-8.620590209960938,-6.2353644371032715,-7.2186126708984375
24,-5.274163246154785,-6.8423075675964355,-7.282370567321777,-7.666844844818115,-5.517322063446045,-6.17611837387085
25,-6.243310928344727,-8.45586109161377,-8.463855743408203,-8.924447059631348,-6.764854907989502,-7.560268878936768
26,-6.891796112060547,-9.05800724029541,-9.594560623168945,-10.421578407287598,-7.828477382659912,-6.980487823486328
27,-7.629011631011963,-9.454113006591797,-9.659052848815918,-11.393261909484863,-8.571457862854004,-7.203873157501221
28,-7.005740165710449,-9.549654960632324,-9.746408462524414,-10.541878700256348,-7.891841888427734,-7.2186126708984375
29,-5.742002487182617,-7.748341083526611,-8.77767276763916,-8.592948913574219,-6.567999362945557,-6.17611837387085
30,-6.84232234954834,-9.002760887145996,-9.84353256225586,-10.354765892028809,-7.830888271331787,-7.560268878936768
31,-5.5719757080078125,-8.009706497192383,-7.7495245933532715,-8.653228759765625,-5.754968166351318,-7.39227294921875
32,-5.686422824859619,-8.097469329833984,-7.816140174865723,-8.833950996398926,-5.714395999908447,-7.593297481536865
33,-5.436921119689941,-7.968717098236084,-7.661311149597168,-8.486382484436035,-5.520468235015869,-7.12002420425415
34,-5.024883270263672,-6.7031402587890625,-6.925480842590332,-7.820064067840576,-5.099825382232666,-6.222322940826416
35,-6.049117565155029,-8.53012752532959,-8.054276466369629,-9.214536666870117,-6.372664928436279,-7.75006628036499
36,-5.658773899078369,-8.919528007507324,-8.288863182067871,-8.568381309509277,-6.292227268218994,-7.39227294921875
37,-5.9456024169921875,-9.030486106872559,-8.34689998626709,-8.950333595275879,-6.563425540924072,-7.593297481536865
38,-5.578584671020508,-8.99431037902832,-8.190281867980957,-8.454874992370605,-6.2353644371032715,-7.12002420425415
39,-4.82319974899292,-7.479689121246338,-7.538082122802734,-7.465721130371094,-5.517322063446045,-6.222322940826416
40,-6.1186723709106445,-9.278311729431152,-8.536785125732422,-9.060528755187988,-6.764854907989502,-7.75006628036499
41,-6.817322731018066,-9.622931480407715,-9.41623306274414,-10.064719200134277,-7.828477382659912,-7.39227294921875
42,-7.378624439239502,-9.956966400146484,-9.616445541381836,-10.76518726348877,-8.571457862854004,-7.593297481536865
