idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.129763603210449,-6.611072540283203,-6.784224510192871,-6.780411720275879,-6.24260139465332,-6.006647109985352
2,-4.866683006286621,-6.4087815284729,-6.644835472106934,-6.410134792327881,-5.764307022094727,-6.094005584716797
3,-4.773880958557129,-6.399144172668457,-6.603584289550781,-6.350438117980957,-5.358236789703369,-6.094438552856445
4,-4.360114097595215,-5.477883338928223,-5.8689866065979,-5.894152641296387,-4.62086296081543,-5.258815288543701
5,-4.987921237945557,-6.603855133056641,-6.776664733886719,-6.6663055419921875,-6.766809940338135,-5.237689971923828
6,-5.202978134155273,-6.805767059326172,-7.2460527420043945,-6.7899932861328125,-6.568336486816406,-6.006647109985352
7,-5.02169132232666,-6.672247886657715,-7.115586757659912,-6.812414169311523,-6.030580043792725,-6.094005584716797
8,-4.9671196937561035,-6.64253568649292,-7.058669090270996,-6.60443115234375,-5.56897497177124,-6.094438552856445
9,-4.356520652770996,-5.753567695617676,-6.30164909362793,-5.786623954772949,-4.785741329193115,-5.258815288543701
10,-5.010411739349365,-6.597149848937988,-6.97931432723999,-6.530473709106445,-6.976773738861084,-5.237689971923828
11,-6.109658241271973,-6.853271484375,-8.47776985168457,-7.485376358032227,-6.726063251495361,-6.006647109985352
12,-6.503839015960693,-6.775651454925537,-8.581011772155762,-7.747971534729004,-7.414541244506836,-6.094005584716797
13,-6.444210052490234,-6.857259750366211,-8.500346183776855,-7.713335990905762,-7.083428859710693,-6.094438552856445
14,-5.226113796234131,-5.995517730712891,-7.789380073547363,-6.326874256134033,-5.358386993408203,-5.258815288543701
15,-5.9820098876953125,-6.453867435455322,-8.0775728225708,-7.192870140075684,-6.831135272979736,-5.237689971923828
16,-6.80560302734375,-7.132022857666016,-7.775347709655762,-9.524394989013672,-6.24260139465332,-7.4374847412109375
17,-6.437295913696289,-6.727672576904297,-7.352083206176758,-9.265740394592285,-5.764307022094727,-7.692689418792725
18,-6.396777153015137,-7.207359790802002,-7.6483564376831055,-9.191967964172363,-5.358236789703369,-8.058238983154297
