idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.100926876068115,-6.933692455291748,-7.1069793701171875,-6.906438827514648,-6.00309419631958,-7.041674613952637
2,-4.8922319412231445,-6.698940753936768,-6.904768466949463,-7.084001541137695,-5.643009185791016,-6.737514019012451
3,-4.814517021179199,-6.321349143981934,-6.596930027008057,-6.792767524719238,-5.343137264251709,-6.385777473449707
4,-4.9635820388793945,-5.6602301597595215,-6.090733528137207,-6.828160285949707,-5.753550052642822,-5.5320658683776855
5,-5.142947673797607,-6.410556793212891,-6.829258918762207,-7.210150241851807,-6.2500481605529785,-6.319311141967773
6,-4.96536922454834,-7.853526592254639,-7.5497727394104,-6.797152519226074,-6.6348724365234375,-7.041674613952637
7,-4.922560691833496,-7.682010650634766,-7.4527740478515625,-7.2308855056762695,-6.493954181671143,-6.737514019012451
8,-4.795313835144043,-7.310785293579102,-7.1383056640625,-7.004919052124023,-6.16571569442749,-6.385777473449707
9,-4.681243419647217,-6.671576499938965,-6.582986354827881,-6.660964012145996,-6.036600589752197,-5.5320658683776855
10,-5.122987270355225,-7.260991096496582,-7.217948913574219,-7.06889533996582,-6.973639011383057,-6.319311141967773
11,-5.682381629943848,-7.792163372039795,-7.745021820068359,-7.631436824798584,-7.220592498779297,-7.041674613952637
12,-6.074654579162598,-7.914921760559082,-7.674546241760254,-8.211257934570312,-7.449045658111572,-6.737514019012451
13,-5.93966817855835,-7.642876625061035,-7.399550437927246,-8.143086433410645,-7.227119445800781,-6.385777473449707
14,-5.159014701843262,-6.970364570617676,-6.653084754943848,-7.016730308532715,-6.424747467041016,-5.5320658683776855
15,-5.704745292663574,-7.016147613525391,-7.149903297424316,-7.588600158691406,-7.321319103240967,-6.319311141967773
16,-6.024005889892578,-6.675876617431641,-7.953853130340576,-8.897796630859375,-6.00309419631958,-7.129024505615234
17,-5.818019866943359,-7.248933792114258,-8.130373001098633,-9.047203063964844,-5.643009185791016,-7.270442962646484
18,-5.654101371765137,-6.8789520263671875,-7.972148895263672,-8.556804656982422,-5.343137264251709,-7.177441120147705
19,-5.823515892028809,-5.734773635864258,-7.06141471862793,-8.572712898254395,-5.753550052642822,-6.2768235206604
20,-6.036036014556885,-7.224793910980225,-8.287433624267578,-9.128373146057129,-6.2500481605529785,-6.96245813369751
21,-6.2467498779296875,-7.756590366363525,-8.267821311950684,-9.14558219909668,-6.6348724365234375,-7.129024505615234
22,-6.211576461791992,-8.310460090637207,-8.520098686218262,-9.454813957214355,-6.493954181671143,-7.270442962646484
23,-5.987004280090332,-7.811048984527588,-8.326878547668457,-9.061347007751465,-6.16571569442749,-7.177441120147705
24,-5.7010369300842285,-6.386560916900635,-7.274564743041992,-8.552474975585938,-6.036600589752197,-6.2768235206604
25,-6.283113479614258,-8.071887016296387,-8.421650886535645,-9.292342185974121,-6.973639011383057,-6.96245813369751
26,-6.870212078094482,-9.193469047546387,-8.724727630615234,-9.810837745666504,-7.220592498779297,-7.129024505615234
27,-7.265598773956299,-9.644172668457031,-8.922012329101562,-10.353449821472168,-7.449045658111572,-7.270442962646484
28,-7.061588287353516,-9.609696388244629,-8.892064094543457,-10.048829078674316,-7.227119445800781,-7.177441120147705
29,-6.035849571228027,-7.590225696563721,-7.655585289001465,-8.48776626586914,-6.424747467041016,-6.2768235206604
30,-6.820278167724609,-9.472098350524902,-8.885651588439941,-9.536216735839844,-7.321319103240967,-6.96245813369751
31,-5.796994686126709,-7.399806499481201,-8.042458534240723,-9.385138511657715,-6.00309419631958,-6.850725173950195
32,-5.565994739532471,-7.504367828369141,-7.993574142456055,-9.421900749206543,-5.643009185791016,-6.850202560424805
33,-5.4696221351623535,-7.227985382080078,-7.795039176940918,-8.959420204162598,-5.343137264251709,-6.738351345062256
34,-5.521719455718994,-6.068501949310303,-7.02914571762085,-8.825935363769531,-5.753550052642822,-5.876149654388428
