idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.326027870178223,-6.627989768981934,-7.117683410644531,-6.34422492980957,-5.430393695831299,-7.200545787811279
2,-5.291736125946045,-6.136241912841797,-6.8081769943237305,-6.6638665199279785,-5.5665740966796875,-6.830277919769287
3,-5.113432884216309,-5.865068435668945,-6.646049499511719,-6.190581321716309,-5.298310279846191,-6.7522735595703125
4,-4.799985885620117,-5.706209659576416,-6.386101245880127,-5.828407287597656,-4.9621901512146,-6.25776481628418
5,-5.576052665710449,-6.513917922973633,-6.839286804199219,-6.951196193695068,-5.909861087799072,-6.6285200119018555
6,-5.647378444671631,-7.07895565032959,-7.474835395812988,-6.7420148849487305,-6.168464660644531,-7.200545787811279
7,-5.639964580535889,-6.6315436363220215,-7.191065788269043,-6.951864242553711,-6.213359355926514,-6.830277919769287
8,-5.438370704650879,-6.35548210144043,-7.002047061920166,-6.478318691253662,-6.051624298095703,-6.7522735595703125
9,-4.907509803771973,-6.21025276184082,-6.742013454437256,-6.063312530517578,-5.33310079574585,-6.25776481628418
10,-5.813110828399658,-6.909475326538086,-7.1940155029296875,-7.129157066345215,-6.668351650238037,-6.6285200119018555
11,-5.491379737854004,-7.210765838623047,-7.727159023284912,-6.8482513427734375,-6.3533453941345215,-7.200545787811279
12,-5.878531455993652,-7.121519088745117,-7.599112033843994,-7.359773635864258,-6.74869966506958,-6.830277919769287
13,-5.617556571960449,-6.848198413848877,-7.463708400726318,-6.980642318725586,-6.671471118927002,-6.7522735595703125
14,-4.821502685546875,-6.559320449829102,-7.1654863357543945,-6.129273414611816,-5.666597843170166,-6.25776481628418
15,-5.438621520996094,-6.937689781188965,-7.317039489746094,-6.855453968048096,-6.454580783843994,-6.6285200119018555
16,-5.776296615600586,-7.413055896759033,-8.67211627960205,-9.826552391052246,-5.430393695831299,-7.70225191116333
17,-5.758724212646484,-7.195501804351807,-8.634392738342285,-10.244669914245605,-5.5665740966796875,-7.856738567352295
18,-5.555938720703125,-6.9181389808654785,-8.581537246704102,-9.518965721130371,-5.298310279846191,-7.838097095489502
19,-5.147710800170898,-6.1992106437683105,-7.940761089324951,-8.713212013244629,-4.9621901512146,-6.784756183624268
20,-6.094620227813721,-8.143244743347168,-8.9660062789917,-10.68520736694336,-5.909861087799072,-7.666084289550781
21,-6.480843544006348,-8.032998085021973,-8.747671127319336,-10.332390785217285,-6.168464660644531,-7.70225191116333
22,-6.473681449890137,-7.8903985023498535,-8.699747085571289,-10.66641902923584,-6.213359355926514,-7.856738567352295
23,-6.200963973999023,-7.547079563140869,-8.582321166992188,-9.892590522766113,-6.051624298095703,-7.838097095489502
24,-5.412109851837158,-6.7170329093933105,-7.838203430175781,-8.882555961608887,-5.33310079574585,-6.784756183624268
25,-6.566120624542236,-8.504039764404297,-8.761876106262207,-10.794648170471191,-6.668351650238037,-7.666084289550781
26,-6.132164478302002,-8.56020736694336,-8.657645225524902,-10.449737548828125,-6.3533453941345215,-7.70225191116333
27,-6.605569839477539,-8.852139472961426,-8.798497200012207,-11.282645225524902,-6.74869966506958,-7.856738567352295
28,-6.233184814453125,-8.357584953308105,-8.524642944335938,-10.65091609954834,-6.671471118927002,-7.838097095489502
29,-5.123894691467285,-7.232639312744141,-7.703127861022949,-9.11030101776123,-5.666597843170166,-6.784756183624268
30,-6.072903633117676,-8.630330085754395,-8.501142501831055,-10.60558795928955,-6.454580783843994,-7.666084289550781
