idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.930840492248535,-6.331868648529053,-5.76801061630249,-6.542412281036377,-5.76603889465332,-4.923489093780518
2,-4.897171974182129,-6.248053550720215,-5.362296104431152,-6.425990104675293,-5.811609268188477,-5.048563480377197
3,-4.7437744140625,-5.806543827056885,-5.1155009269714355,-6.151707649230957,-5.6931681632995605,-4.734226226806641
4,-4.808250427246094,-5.5414814949035645,-4.95057487487793,-6.005762577056885,-5.525645732879639,-4.395413398742676
5,-5.201132774353027,-6.770075798034668,-5.994983196258545,-6.930187225341797,-6.699339389801025,-4.8580193519592285
6,-5.179354190826416,-6.507369041442871,-5.885255813598633,-6.68508243560791,-6.267313480377197,-4.923489093780518
7,-5.347442626953125,-6.503791809082031,-5.517068386077881,-6.718489646911621,-6.361673831939697,-5.048563480377197
8,-4.99060583114624,-6.027787208557129,-5.286409378051758,-6.333258628845215,-6.003637790679932,-4.734226226806641
9,-4.84948205947876,-5.704713821411133,-5.092322826385498,-5.933449745178223,-5.571496486663818,-4.395413398742676
10,-5.403161525726318,-6.900465965270996,-6.084502220153809,-7.0126633644104,-7.021249294281006,-4.8580193519592285
11,-5.40618371963501,-6.550291061401367,-5.720760345458984,-6.852195739746094,-6.760719299316406,-4.923489093780518
12,-5.688946723937988,-6.928537845611572,-5.746132850646973,-7.159454345703125,-7.19923210144043,-5.048563480377197
13,-5.4505295753479,-6.570980072021484,-5.468260765075684,-6.942607879638672,-6.918315887451172,-4.734226226806641
14,-4.506743907928467,-5.960995197296143,-5.157412528991699,-5.888209342956543,-5.617376804351807,-4.395413398742676
15,-5.600981712341309,-6.601024627685547,-5.749361515045166,-6.97581148147583,-7.268126010894775,-4.8580193519592285
16,-6.846709251403809,-7.793424129486084,-6.694266319274902,-9.163378715515137,-5.76603889465332,-7.27642822265625
17,-6.885651111602783,-7.461421489715576,-6.216396808624268,-9.236892700195312,-5.811609268188477,-7.311853408813477
18,-6.573902606964111,-7.461906909942627,-6.256357192993164,-8.539596557617188,-5.6931681632995605,-7.089287281036377
19,-6.534538269042969,-7.011728763580322,-5.951543807983398,-8.365708351135254,-5.525645732879639,-6.303195953369141
20,-7.151681900024414,-8.579031944274902,-7.282074928283691,-9.643193244934082,-6.699339389801025,-7.3034586906433105
21,-7.179498672485352,-8.27493953704834,-7.080224990844727,-9.642056465148926,-6.267313480377197,-7.27642822265625
22,-7.248562335968018,-8.025700569152832,-6.588829517364502,-9.720484733581543,-6.361673831939697,-7.311853408813477
23,-6.758786201477051,-7.960867404937744,-6.65147590637207,-8.85659408569336,-6.003637790679932,-7.089287281036377
24,-6.333378791809082,-7.284444332122803,-6.2832512855529785,-8.230010032653809,-5.571496486663818,-6.303195953369141
25,-7.347599029541016,-8.94591999053955,-7.6283745765686035,-10.001904487609863,-7.021249294281006,-7.3034586906433105
26,-7.136441230773926,-8.6759672164917,-7.074036598205566,-9.722996711730957,-6.760719299316406,-7.27642822265625
27,-7.4454426765441895,-8.857284545898438,-6.7939581871032715,-10.152693748474121,-7.19923210144043,-7.311853408813477
28,-7.1679253578186035,-8.740704536437988,-6.94641637802124,-9.708331108093262,-6.918315887451172,-7.089287281036377
29,-5.997058868408203,-7.541844844818115,-6.165702819824219,-8.094326972961426,-5.617376804351807,-6.303195953369141
30,-7.498533725738525,-9.056492805480957,-7.4047064781188965,-10.29230785369873,-7.268126010894775,-7.3034586906433105
