idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.568066120147705,-5.948486328125,-7.864615440368652,-7.054499626159668,-7.335893630981445,-6.052744388580322
2,-5.6525068283081055,-6.012333869934082,-7.718287467956543,-7.38607120513916,-7.054380416870117,-6.004987716674805
3,-5.284163475036621,-5.468082904815674,-7.212796688079834,-6.874807357788086,-6.519913196563721,-5.4492011070251465
4,-5.230629920959473,-5.28913688659668,-7.141313076019287,-6.669151306152344,-6.257120609283447,-5.468636512756348
5,-6.101442813873291,-6.399706840515137,-8.408750534057617,-7.586817741394043,-8.109138488769531,-6.061488628387451
6,-5.535824298858643,-6.8671088218688965,-8.234442710876465,-7.008874416351318,-7.690283298492432,-6.052744388580322
7,-5.805190086364746,-6.964424133300781,-8.087620735168457,-7.435936450958252,-7.648063659667969,-6.004987716674805
8,-5.477798938751221,-6.351596355438232,-7.5382819175720215,-7.022933006286621,-7.047901153564453,-5.4492011070251465
9,-5.056126594543457,-6.121668815612793,-7.438010215759277,-6.337234973907471,-5.956034183502197,-5.468636512756348
10,-5.96785831451416,-7.211994171142578,-8.682088851928711,-7.189127445220947,-8.294323921203613,-6.061488628387451
11,-6.922914028167725,-7.625776290893555,-8.544303894042969,-8.427791595458984,-8.171780586242676,-6.052744388580322
12,-7.120522975921631,-7.6644062995910645,-8.371513366699219,-8.765545845031738,-8.187409400939941,-6.004987716674805
13,-6.747186183929443,-7.266717910766602,-8.001238822937012,-8.460906028747559,-7.682458877563477,-5.4492011070251465
14,-5.607642650604248,-6.7767839431762695,-7.7553391456604,-6.832451820373535,-6.563260555267334,-5.468636512756348
15,-7.203030586242676,-7.987777233123779,-8.988815307617188,-8.425299644470215,-8.605212211608887,-6.061488628387451
16,-7.099477767944336,-7.360542297363281,-9.031852722167969,-10.097341537475586,-7.335893630981445,-8.203747749328613
17,-7.285245895385742,-6.99700403213501,-8.542098999023438,-10.490936279296875,-7.054380416870117,-7.5854058265686035
18,-6.76378059387207,-6.817714214324951,-8.345033645629883,-9.908583641052246,-6.519913196563721,-7.356691837310791
19,-6.695863246917725,-6.212673187255859,-8.147749900817871,-9.59603500366211,-6.257120609283447,-7.307889461517334
20,-7.7526774406433105,-7.381498336791992,-9.281804084777832,-10.633293151855469,-8.109138488769531,-7.901952266693115
21,-7.100679397583008,-8.661059379577637,-9.674505233764648,-9.737433433532715,-7.690283298492432,-8.203747749328613
22,-7.3956193923950195,-8.29137134552002,-9.18527603149414,-10.19493579864502,-7.648063659667969,-7.5854058265686035
23,-6.991266250610352,-8.165804862976074,-8.918071746826172,-9.55459976196289,-7.047901153564453,-7.356691837310791
24,-6.386094093322754,-7.2754225730896,-8.61803150177002,-8.616726875305176,-5.956034183502197,-7.307889461517334
25,-7.588089942932129,-8.67980670928955,-10.035015106201172,-9.93752670288086,-8.294323921203613,-7.901952266693115
26,-8.985679626464844,-10.718232154846191,-10.224318504333496,-11.680191040039062,-8.171780586242676,-8.203747749328613
27,-9.096307754516602,-10.201969146728516,-9.622147560119629,-12.154332160949707,-8.187409400939941,-7.5854058265686035
28,-8.579996109008789,-10.083270072937012,-9.510284423828125,-11.49584674835205,-7.682458877563477,-7.356691837310791
29,-7.274696350097656,-8.460783958435059,-8.609230041503906,-9.497445106506348,-6.563260555267334,-7.307889461517334
30,-9.154658317565918,-10.722309112548828,-10.493125915527344,-11.766118049621582,-8.605212211608887,-7.901952266693115
31,-6.896171569824219,-8.877171516418457,-10.274758338928223,-10.123869895935059,-7.335893630981445,-7.646657466888428
32,-7.1938629150390625,-8.2819185256958,-9.916860580444336,-10.578065872192383,-7.054380416870117,-7.394887447357178
33,-6.482627868652344,-7.970180034637451,-9.401471138000488,-9.722404479980469,-6.519913196563721,-6.7208709716796875
34,-6.295720100402832,-7.440950870513916,-9.379050254821777,-9.417140007019043,-6.257120609283447,-7.035364627838135
35,-7.782585144042969,-8.870354652404785,-10.891448974609375,-10.694686889648438,-8.109138488769531,-7.736278057098389
36,-6.877164840698242,-10.280282020568848,-11.042616844177246,-9.981724739074707,-7.690283298492432,-7.646657466888428
37,-7.4505205154418945,-9.641074180603027,-10.504283905029297,-10.692488670349121,-7.648063659667969,-7.394887447357178
38,-6.700619697570801,-9.2223482131958,-10.00754165649414,-9.78569221496582,-7.047901153564453,-6.7208709716796875
39,-6.124534606933594,-8.369534492492676,-9.896317481994629,-8.816561698913574,-5.956034183502197,-7.035364627838135
40,-7.544478416442871,-10.309473991394043,-11.650369644165039,-10.143692970275879,-8.294323921203613,-7.736278057098389
41,-8.355012893676758,-11.530486106872559,-11.104080200195312,-11.383442878723145,-8.171780586242676,-7.646657466888428
42,-8.431901931762695,-10.648383140563965,-10.445395469665527,-11.740460395812988,-8.187409400939941,-7.394887447357178
43,-7.804557800292969,-10.352777481079102,-9.974050521850586,-11.180403709411621,-7.682458877563477,-6.7208709716796875
44,-6.6585612297058105,-9.145179748535156,-9.704378128051758,-9.524539947509766,-6.563260555267334,-7.035364627838135
45,-8.61015510559082,-11.77209186553955,-11.653665542602539,-11.30661392211914,-8.605212211608887,-7.736278057098389
