idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.1662092208862305,-5.843838691711426,-6.938507080078125,-7.392797946929932,-7.127333164215088,-6.696102142333984
2,-6.314582824707031,-5.635427474975586,-7.130143642425537,-7.517040252685547,-6.583738803863525,-6.91159200668335
3,-5.993723392486572,-5.190767288208008,-6.631361484527588,-7.124510765075684,-6.547574996948242,-6.382840156555176
4,-5.85866641998291,-4.759833335876465,-6.210537910461426,-6.95503044128418,-5.728151798248291,-5.882351875305176
5,-6.348452568054199,-5.349876403808594,-6.483790397644043,-7.726278781890869,-7.166698455810547,-5.984008312225342
6,-6.036758899688721,-6.410489082336426,-7.366493225097656,-7.499067306518555,-7.567274570465088,-6.696102142333984
7,-6.096151351928711,-6.031313896179199,-7.32724142074585,-7.466728210449219,-7.129136562347412,-6.91159200668335
8,-5.8631391525268555,-5.735339164733887,-6.985658168792725,-7.082479953765869,-7.110436916351318,-6.382840156555176
9,-5.486971855163574,-5.024206638336182,-6.4671831130981445,-6.576384544372559,-5.97274923324585,-5.882351875305176
10,-6.038486003875732,-5.648859024047852,-6.700669765472412,-7.511629104614258,-7.443887233734131,-5.984008312225342
11,-6.367650032043457,-6.982295036315918,-7.760986328125,-8.067586898803711,-7.8080878257751465,-6.696102142333984
12,-6.816424369812012,-7.02353572845459,-8.042755126953125,-8.458453178405762,-7.77350378036499,-6.91159200668335
13,-6.43874979019165,-6.762714862823486,-7.6761627197265625,-7.975319862365723,-7.59002685546875,-6.382840156555176
14,-5.579367637634277,-6.1844353675842285,-7.171642303466797,-6.948843955993652,-6.193063259124756,-5.882351875305176
15,-6.0286970138549805,-6.411883354187012,-7.400113582611084,-7.859180450439453,-7.141153335571289,-5.984008312225342
16,-8.225790023803711,-6.901515960693359,-8.018289566040039,-10.86750316619873,-7.127333164215088,-8.456805229187012
17,-8.178059577941895,-7.161983489990234,-8.21731948852539,-11.353350639343262,-6.583738803863525,-8.801823616027832
18,-7.951091289520264,-7.266591548919678,-8.046318054199219,-10.771583557128906,-6.547574996948242,-8.701998710632324
19,-7.379678249359131,-6.4071502685546875,-7.488673686981201,-10.279585838317871,-5.728151798248291,-7.760913848876953
20,-8.163585662841797,-7.2580084800720215,-8.040517807006836,-11.219592094421387,-7.166698455810547,-8.317973136901855
21,-8.469743728637695,-7.631124019622803,-8.535158157348633,-11.317360877990723,-7.567274570465088,-8.456805229187012
22,-8.53347110748291,-7.669124603271484,-8.420064926147461,-11.684609413146973,-7.129136562347412,-8.801823616027832
23,-8.292689323425293,-8.054378509521484,-8.700752258300781,-11.072667121887207,-7.110436916351318,-8.701998710632324
24,-7.293950080871582,-6.7912983894348145,-7.996501445770264,-9.973395347595215,-5.97274923324585,-7.760913848876953
25,-8.209358215332031,-7.635831356048584,-8.430875778198242,-11.053074836730957,-7.443887233734131,-8.317973136901855
26,-8.747543334960938,-7.9909515380859375,-9.472360610961914,-12.469660758972168,-7.8080878257751465,-8.456805229187012
27,-9.080556869506836,-8.568744659423828,-9.9735689163208,-13.28808879852295,-7.77350378036499,-8.801823616027832
28,-8.8212890625,-8.725342750549316,-9.868987083435059,-12.827255249023438,-7.59002685546875,-8.701998710632324
29,-7.36953067779541,-7.082376003265381,-8.926656723022461,-10.801596641540527,-6.193063259124756,-7.760913848876953
30,-8.275568008422852,-8.134184837341309,-9.5883150100708,-12.149955749511719,-7.141153335571289,-8.317973136901855
31,-7.8114914894104,-8.28470230102539,-8.351561546325684,-10.879863739013672,-7.127333164215088,-8.428054809570312
32,-7.537383079528809,-7.835887908935547,-8.050786018371582,-10.978561401367188,-6.583738803863525,-8.42340087890625
33,-7.3394927978515625,-7.539941310882568,-7.8512067794799805,-10.493734359741211,-6.547574996948242,-8.424312591552734
34,-6.792675495147705,-6.569071292877197,-7.061716079711914,-10.037800788879395,-5.728151798248291,-7.723998546600342
35,-7.9090070724487305,-8.99911117553711,-9.027792930603027,-11.477787971496582,-7.166698455810547,-9.0497465133667
36,-8.243730545043945,-9.271380424499512,-8.872822761535645,-11.618046760559082,-7.567274570465088,-8.428054809570312
37,-8.06745433807373,-8.488319396972656,-8.384159088134766,-11.731636047363281,-7.129136562347412,-8.42340087890625
38,-7.822891712188721,-8.444465637207031,-8.357271194458008,-10.984092712402344,-7.110436916351318,-8.424312591552734
39,-6.874528884887695,-7.277473449707031,-7.64653205871582,-10.098211288452148,-5.97274923324585,-7.723998546600342
40,-8.187548637390137,-10.026909828186035,-9.60806655883789,-11.634934425354004,-7.443887233734131,-9.0497465133667
41,-8.359749794006348,-9.161654472351074,-8.969529151916504,-12.305328369140625,-7.8080878257751465,-8.428054809570312
42,-8.508169174194336,-8.89267635345459,-8.963823318481445,-12.950851440429688,-7.77350378036499,-8.42340087890625
43,-8.168060302734375,-9.063212394714355,-8.990626335144043,-12.293694496154785,-7.59002685546875,-8.424312591552734
44,-6.8969526290893555,-7.626556873321533,-8.264609336853027,-10.616852760314941,-6.193063259124756,-7.723998546600342
45,-7.898979187011719,-9.499424934387207,-9.499573707580566,-12.052497863769531,-7.141153335571289,-9.0497465133667
46,-5.443150043487549,-4.947850227355957,-7.144156455993652,-6.6791229248046875,-7.127333164215088,-5.406441688537598
47,-5.389373779296875,-4.578225612640381,-6.933034420013428,-6.748490333557129,-6.583738803863525,-5.809347152709961
48,-5.224672794342041,-4.146904945373535,-6.539708614349365,-6.424041748046875,-6.547574996948242,-5.428875923156738
49,-4.896313667297363,-4.122408390045166,-6.345612525939941,-6.027250289916992,-5.728151798248291,-4.873865127563477
50,-5.686581134796143,-5.295255184173584,-7.706630706787109,-7.3312087059021,-7.166698455810547,-6.22329044342041
51,-5.844132423400879,-5.2845354080200195,-7.393797397613525,-7.112210273742676,-7.567274570465088,-5.406441688537598
52,-5.768075942993164,-4.881155967712402,-7.218116760253906,-7.1383209228515625,-7.129136562347412,-5.809347152709961
53,-5.586602687835693,-4.4711456298828125,-6.8264923095703125,-6.741826057434082,-7.110436916351318,-5.428875923156738
54,-5.013530254364014,-4.365972995758057,-6.62575626373291,-6.0336594581604,-5.97274923324585,-4.873865127563477
55,-5.941283226013184,-5.641977787017822,-8.012430191040039,-7.3370890617370605,-7.443887233734131,-6.22329044342041
56,-5.760128021240234,-5.707742214202881,-7.704005241394043,-7.690394401550293,-7.8080878257751465,-5.406441688537598
57,-5.847590446472168,-5.708373069763184,-7.838885307312012,-8.108680725097656,-7.77350378036499,-5.809347152709961
58,-5.726515769958496,-5.453377723693848,-7.487215995788574,-7.7072062492370605,-7.59002685546875,-5.428875923156738
59,-4.840242385864258,-5.121413230895996,-7.269126892089844,-6.3312554359436035,-6.193063259124756,-4.873865127563477
60,-5.461927890777588,-5.873753547668457,-8.213969230651855,-7.6480712890625,-7.141153335571289,-6.22329044342041
61,-8.362590789794922,-7.990549564361572,-9.593592643737793,-9.09093189239502,-7.127333164215088,-9.333312034606934
62,-8.369168281555176,-7.397533416748047,-8.833283424377441,-9.484321594238281,-6.583738803863525,-9.17168140411377
63,-8.048131942749023,-7.130800724029541,-8.374173164367676,-8.876938819885254,-6.547574996948242,-9.074458122253418
64,-7.7506608963012695,-7.219658374786377,-8.329374313354492,-8.556753158569336,-5.728151798248291,-8.633659362792969
