idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.296952247619629,-5.309037208557129,-6.95955753326416,-6.360782623291016,-6.738656520843506,-6.050924301147461
2,-5.0832600593566895,-5.014289855957031,-6.264364719390869,-6.070863723754883,-6.380500316619873,-5.879786491394043
3,-5.147339344024658,-5.340306282043457,-6.657081604003906,-5.925570487976074,-6.193840503692627,-6.353287696838379
4,-5.003696441650391,-4.889601707458496,-6.249432563781738,-5.803485870361328,-6.051887035369873,-5.736684322357178
5,-5.428051948547363,-5.480672836303711,-6.881472110748291,-6.873957633972168,-6.845125675201416,-5.762294292449951
6,-5.456746578216553,-5.871670246124268,-7.304197788238525,-6.363821029663086,-7.112753391265869,-6.050924301147461
7,-5.185893535614014,-5.488211631774902,-6.536678314208984,-6.23410701751709,-7.003915309906006,-5.879786491394043
8,-5.540749549865723,-5.818734169006348,-6.977189540863037,-6.24143648147583,-6.820499420166016,-6.353287696838379
9,-4.990629196166992,-5.337947845458984,-6.377634525299072,-5.721766471862793,-6.137746334075928,-5.736684322357178
10,-5.428206920623779,-5.978498458862305,-7.2052202224731445,-6.8319220542907715,-7.281778812408447,-5.762294292449951
11,-6.256926536560059,-7.1384124755859375,-8.373913764953613,-7.361278057098389,-7.2865376472473145,-6.050924301147461
12,-6.544729709625244,-6.924461364746094,-7.711916923522949,-7.815124988555908,-7.4314093589782715,-5.879786491394043
13,-6.649359226226807,-7.380119323730469,-8.139431953430176,-7.672912120819092,-7.351555347442627,-6.353287696838379
14,-5.31893253326416,-6.839417457580566,-7.595410346984863,-6.146173477172852,-5.843631744384766,-5.736684322357178
15,-6.28141975402832,-7.313811302185059,-8.086206436157227,-7.614302635192871,-7.428280353546143,-5.762294292449951
16,-7.226097106933594,-7.135556697845459,-7.5569963455200195,-9.822808265686035,-6.738656520843506,-7.088701248168945
17,-7.027795314788818,-7.324239253997803,-7.267234802246094,-9.770313262939453,-6.380500316619873,-7.325877666473389
18,-7.107691764831543,-7.642369747161865,-7.622452735900879,-9.645442962646484,-6.193840503692627,-8.17130184173584
19,-6.889520645141602,-7.001047134399414,-7.120223045349121,-9.52877140045166,-6.051887035369873,-7.321359157562256
20,-7.316618919372559,-7.463654041290283,-7.407718181610107,-10.358471870422363,-6.845125675201416,-7.320072650909424
21,-7.557519912719727,-7.952131748199463,-7.977953910827637,-9.849597930908203,-7.112753391265869,-7.088701248168945
22,-7.6365742683410645,-8.055150985717773,-7.751547813415527,-10.2820463180542,-7.003915309906006,-7.325877666473389
