idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.8200883865356445,-5.966342926025391,-7.244229316711426,-6.857988357543945,-6.268803119659424,-6.19669246673584
2,-4.768068790435791,-5.806271076202393,-7.155484199523926,-6.78574275970459,-6.236237049102783,-6.136079788208008
3,-4.593050479888916,-5.65545654296875,-6.98556661605835,-6.440053462982178,-5.879292964935303,-6.249569892883301
4,-4.447106838226318,-4.723606109619141,-6.207760334014893,-5.884523391723633,-5.388369083404541,-5.052029609680176
5,-5.612303256988525,-5.984714508056641,-7.347201347351074,-7.719851016998291,-7.8073248863220215,-6.0261077880859375
6,-4.765256881713867,-6.318150043487549,-7.36407470703125,-6.7166032791137695,-6.331850528717041,-6.19669246673584
7,-4.882207870483398,-6.210823059082031,-7.3380446434021,-6.794702529907227,-6.653451442718506,-6.136079788208008
8,-4.6232500076293945,-5.972349166870117,-7.190657138824463,-6.437856674194336,-6.308091640472412,-6.249569892883301
9,-4.14676570892334,-4.914427280426025,-6.306744575500488,-5.627915382385254,-5.400563716888428,-5.052029609680176
10,-5.545121192932129,-6.370756149291992,-7.399424076080322,-7.489499092102051,-7.9716668128967285,-6.0261077880859375
11,-5.594110012054443,-7.3291096687316895,-7.785247802734375,-7.255414009094238,-6.995792388916016,-6.19669246673584
12,-5.974614143371582,-7.511102676391602,-7.946413993835449,-7.734379768371582,-7.763935089111328,-6.136079788208008
13,-5.780233860015869,-7.30824089050293,-7.701367378234863,-7.389639377593994,-7.463590145111084,-6.249569892883301
14,-4.741514682769775,-6.112167835235596,-6.578393459320068,-5.932218551635742,-5.711512088775635,-5.052029609680176
15,-5.773984432220459,-7.180205345153809,-7.576176643371582,-7.322606086730957,-7.5967230796813965,-6.0261077880859375
16,-6.380505561828613,-7.021340847015381,-8.315668106079102,-9.702095031738281,-6.268803119659424,-7.424219608306885
17,-6.325039386749268,-6.896443843841553,-8.038204193115234,-9.964069366455078,-6.236237049102783,-7.779571533203125
18,-6.19569206237793,-7.06304407119751,-8.256972312927246,-9.515990257263184,-5.879292964935303,-8.138440132141113
19,-5.843781471252441,-5.986703395843506,-7.545865058898926,-8.867603302001953,-5.388369083404541,-6.598520755767822
20,-7.320501327514648,-7.266704559326172,-8.87278938293457,-10.879603385925293,-7.8073248863220215,-7.736965656280518
21,-6.69744873046875,-7.509371280670166,-8.794811248779297,-10.346001625061035,-6.331850528717041,-7.424219608306885
22,-6.879734039306641,-7.507113933563232,-8.512592315673828,-10.773098945617676,-6.653451442718506,-7.779571533203125
23,-6.737390518188477,-7.5568413734436035,-8.687253952026367,-10.47404956817627,-6.308091640472412,-8.138440132141113
24,-5.847141265869141,-6.379424571990967,-7.745460510253906,-9.211597442626953,-5.400563716888428,-6.598520755767822
25,-7.5615949630737305,-7.78529167175293,-9.363471984863281,-11.226901054382324,-7.9716668128967285,-7.736965656280518
26,-7.398311138153076,-8.643962860107422,-9.23427963256836,-11.021507263183594,-6.995792388916016,-7.424219608306885
27,-7.865999698638916,-8.998902320861816,-9.319478034973145,-11.818507194519043,-7.763935089111328,-7.779571533203125
28,-7.794195175170898,-8.83359432220459,-9.493317604064941,-11.425065040588379,-7.463590145111084,-8.138440132141113
29,-6.362415790557861,-7.371301651000977,-8.266940116882324,-9.389739990234375,-5.711512088775635,-6.598520755767822
30,-7.752695560455322,-8.332649230957031,-9.473550796508789,-11.050667762756348,-7.5967230796813965,-7.736965656280518
31,-6.786343574523926,-6.721488952636719,-7.919918060302734,-9.269725799560547,-6.268803119659424,-7.638256072998047
32,-6.870059967041016,-6.09856653213501,-7.4730987548828125,-9.614730834960938,-6.236237049102783,-7.904621124267578
33,-6.579395294189453,-6.193793773651123,-7.633719444274902,-9.006566047668457,-5.879292964935303,-8.41366195678711
34,-6.080008506774902,-5.307998180389404,-6.746419906616211,-8.087000846862793,-5.388369083404541,-6.622282028198242
35,-7.999809265136719,-7.472549915313721,-8.78547477722168,-10.753106117248535,-7.8073248863220215,-8.501677513122559
36,-6.927112102508545,-7.7303314208984375,-8.399941444396973,-10.000052452087402,-6.331850528717041,-7.638256072998047
37,-7.208518981933594,-7.13379430770874,-8.060644149780273,-10.422920227050781,-6.653451442718506,-7.904621124267578
38,-6.908291339874268,-7.128940582275391,-8.218892097473145,-9.790303230285645,-6.308091640472412,-8.41366195678711
39,-5.925457954406738,-5.926315784454346,-7.001211166381836,-8.352810859680176,-5.400563716888428,-6.622282028198242
40,-8.095999717712402,-8.547865867614746,-9.342124938964844,-11.324488639831543,-7.9716668128967285,-8.501677513122559
41,-7.55288553237915,-9.851279258728027,-9.42457103729248,-10.222468376159668,-6.995792388916016,-7.638256072998047
42,-8.145303726196289,-9.630758285522461,-9.610488891601562,-11.179611206054688,-7.763935089111328,-7.904621124267578
43,-7.899374961853027,-9.67918872833252,-9.819897651672363,-10.657076835632324,-7.463590145111084,-8.41366195678711
44,-6.397590637207031,-8.381699562072754,-8.333999633789062,-8.692776679992676,-5.711512088775635,-6.622282028198242
45,-7.949429988861084,-10.33836841583252,-10.09818172454834,-10.557028770446777,-7.5967230796813965,-8.501677513122559
46,-5.105474472045898,-5.865602016448975,-6.882809638977051,-7.586981773376465,-6.268803119659424,-6.387104034423828
47,-4.660000801086426,-5.493000030517578,-6.525811672210693,-7.339646339416504,-6.236237049102783,-6.249477386474609
48,-4.468356132507324,-5.299954414367676,-6.462715148925781,-7.054225921630859,-5.879292964935303,-6.1017255783081055
49,-4.334902286529541,-4.861487865447998,-5.929301738739014,-6.56143856048584,-5.388369083404541,-5.159043312072754
50,-6.062350273132324,-6.413481712341309,-7.626986503601074,-8.638755798339844,-7.8073248863220215,-7.153790473937988
51,-5.317895412445068,-6.161683082580566,-6.742735385894775,-7.853140830993652,-6.331850528717041,-6.387104034423828
52,-5.005531311035156,-5.802967071533203,-6.480207920074463,-7.582041263580322,-6.653451442718506,-6.249477386474609
53,-4.737060546875,-5.667731285095215,-6.418028354644775,-7.150570869445801,-6.308091640472412,-6.1017255783081055
54,-4.278188228607178,-5.207455635070801,-5.8189849853515625,-6.441763401031494,-5.400563716888428,-5.159043312072754
55,-6.285378456115723,-6.770037651062012,-7.4361162185668945,-8.707019805908203,-7.9716668128967285,-7.153790473937988
56,-5.991494655609131,-7.070272922515869,-7.528316497802734,-8.081766128540039,-6.995792388916016,-6.387104034423828
57,-6.186987400054932,-6.828534126281738,-7.395214080810547,-8.500596046447754,-7.763935089111328,-6.249477386474609
58,-6.024310111999512,-6.633304595947266,-7.4724578857421875,-8.244677543640137,-7.463590145111084,-6.1017255783081055
59,-5.02460241317749,-6.064515590667725,-6.633851051330566,-6.955848217010498,-5.711512088775635,-5.159043312072754
60,-6.46368408203125,-7.356927394866943,-8.150201797485352,-8.392740249633789,-7.5967230796813965,-7.153790473937988
61,-6.0067644119262695,-9.085749626159668,-9.713348388671875,-9.765725135803223,-6.268803119659424,-8.200980186462402
62,-5.904162406921387,-8.867340087890625,-9.348038673400879,-9.941850662231445,-6.236237049102783,-8.097432136535645
63,-5.699799537658691,-8.87784194946289,-9.415904998779297,-9.379533767700195,-5.879292964935303,-8.476651191711426
64,-5.247690200805664,-7.636617183685303,-8.490399360656738,-8.714184761047363,-5.388369083404541,-6.888372898101807
65,-7.241330146789551,-9.141265869140625,-10.029953956604004,-11.042645454406738,-7.8073248863220215,-8.779953956604004
66,-6.258636474609375,-9.998635292053223,-10.040427207946777,-10.67628002166748,-6.331850528717041,-8.200980186462402
67,-6.48963737487793,-9.995319366455078,-9.77120590209961,-10.961323738098145,-6.653451442718506,-8.097432136535645
68,-6.295895576477051,-9.872258186340332,-9.699243545532227,-10.329044342041016,-6.308091640472412,-8.476651191711426
69,-5.403700828552246,-8.504374504089355,-8.672660827636719,-9.033110618591309,-5.400563716888428,-6.888372898101807
70,-7.380278587341309,-10.24410629272461,-10.34246826171875,-11.841465950012207,-7.9716668128967285,-8.779953956604004
71,-6.8953704833984375,-11.225014686584473,-10.828333854675293,-11.011059761047363,-6.995792388916016,-8.200980186462402
72,-7.5379228591918945,-11.159034729003906,-10.793984413146973,-11.804241180419922,-7.763935089111328,-8.097432136535645
73,-7.256618022918701,-11.227740287780762,-10.751989364624023,-11.252044677734375,-7.463590145111084,-8.476651191711426
74,-5.818863868713379,-9.956506729125977,-9.409727096557617,-9.240462303161621,-5.711512088775635,-6.888372898101807
75,-7.352278709411621,-10.57625961303711,-10.64093017578125,-11.284320831298828,-7.5967230796813965,-8.779953956604004
76,-4.690212249755859,-6.383485794067383,-7.330880165100098,-7.543977737426758,-6.268803119659424,-6.0975799560546875
77,-4.558539390563965,-6.074678421020508,-7.077402591705322,-7.771247386932373,-6.236237049102783,-5.845808029174805
78,-4.437251091003418,-5.621507167816162,-6.6346845626831055,-7.466116905212402,-5.879292964935303,-5.999725341796875
79,-4.334768772125244,-5.315857410430908,-6.32968282699585,-7.0787177085876465,-5.388369083404541,-5.19254207611084
80,-5.561837673187256,-7.121686935424805,-7.8365478515625,-8.910877227783203,-7.8073248863220215,-6.731723308563232
81,-4.974484920501709,-6.56729793548584,-7.390328884124756,-8.00633716583252,-6.331850528717041,-6.0975799560546875
