idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.23990535736084,-6.204677581787109,-6.747511386871338,-7.018134117126465,-5.234861850738525,-5.050537586212158
2,-4.0977630615234375,-5.872946739196777,-6.4325761795043945,-6.847335338592529,-5.123806953430176,-4.708010196685791
3,-4.132343292236328,-6.012106895446777,-6.62082052230835,-6.86098575592041,-4.9977288246154785,-4.763220310211182
4,-3.948803424835205,-5.81734561920166,-6.3139238357543945,-6.768336296081543,-4.7418389320373535,-4.286027908325195
5,-4.595154285430908,-6.193229675292969,-6.833433628082275,-7.332612991333008,-6.009570598602295,-4.870682716369629
6,-4.342520713806152,-6.853638172149658,-6.916139125823975,-7.128313064575195,-5.670621871948242,-5.050537586212158
7,-4.3461151123046875,-6.451630592346191,-6.608807563781738,-7.027106285095215,-5.7861175537109375,-4.708010196685791
8,-4.3730998039245605,-6.543807029724121,-6.761331081390381,-6.974766731262207,-5.62510347366333,-4.763220310211182
9,-3.8572540283203125,-6.32855749130249,-6.429276943206787,-6.543043613433838,-4.871601581573486,-4.286027908325195
10,-4.685861587524414,-6.675100326538086,-6.8831682205200195,-7.4065141677856445,-6.291673183441162,-4.870682716369629
11,-4.860551834106445,-6.972280502319336,-7.284065246582031,-7.4259934425354,-6.57671594619751,-5.050537586212158
12,-5.0715837478637695,-6.828366279602051,-7.066261291503906,-7.648381233215332,-6.968907833099365,-4.708010196685791
13,-4.968696594238281,-6.916224002838135,-7.152365207672119,-7.551801681518555,-6.494394302368164,-4.763220310211182
14,-4.071336269378662,-6.505862236022949,-6.744135856628418,-6.522827625274658,-5.307569980621338,-4.286027908325195
15,-4.950774192810059,-6.4311699867248535,-6.951449394226074,-7.522939682006836,-6.8623809814453125,-4.870682716369629
16,-5.721231460571289,-7.560205936431885,-8.44221019744873,-8.539310455322266,-5.234861850738525,-6.495569705963135
17,-5.672002792358398,-6.962451934814453,-7.907964706420898,-8.432461738586426,-5.123806953430176,-6.146539211273193
18,-5.484430313110352,-7.147210597991943,-8.045761108398438,-8.0162935256958,-4.9977288246154785,-6.297300338745117
19,-5.243744850158691,-6.220810413360596,-7.203152656555176,-7.829751968383789,-4.7418389320373535,-5.094247341156006
20,-6.034738540649414,-7.704160690307617,-8.594862937927246,-8.757659912109375,-6.009570598602295,-6.3371100425720215
21,-6.086149215698242,-8.134156227111816,-8.49402904510498,-8.885539054870605,-5.670621871948242,-6.495569705963135
22,-6.184732913970947,-7.5706305503845215,-8.00940990447998,-8.761025428771973,-5.7861175537109375,-6.146539211273193
23,-6.052518844604492,-7.621646404266357,-8.149853706359863,-8.426962852478027,-5.62510347366333,-6.297300338745117
24,-5.368375778198242,-6.49872350692749,-7.23150110244751,-7.719017505645752,-4.871601581573486,-5.094247341156006
25,-6.4088850021362305,-8.178563117980957,-8.592769622802734,-9.03759765625,-6.291673183441162,-6.3371100425720215
26,-6.5596747398376465,-8.947049140930176,-8.911542892456055,-9.017946243286133,-6.57671594619751,-6.495569705963135
27,-6.845395088195801,-8.815491676330566,-8.678610801696777,-9.275938034057617,-6.968907833099365,-6.146539211273193
28,-6.4907026290893555,-8.77126693725586,-8.684117317199707,-8.896998405456543,-6.494394302368164,-6.297300338745117
29,-5.310360431671143,-7.351428985595703,-7.627169609069824,-7.549377918243408,-5.307569980621338,-5.094247341156006
30,-6.62890100479126,-8.433003425598145,-8.817092895507812,-9.219666481018066,-6.8623809814453125,-6.3371100425720215
31,-5.1942291259765625,-6.5574164390563965,-7.512145519256592,-9.426798820495605,-5.234861850738525,-6.2584099769592285
32,-4.971899509429932,-6.415213108062744,-7.205417156219482,-9.23248291015625,-5.123806953430176,-5.972621917724609
33,-4.794317245483398,-6.494330883026123,-7.269697189331055,-8.848916053771973,-4.9977288246154785,-5.92932653427124
